REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,60+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50-59,P_FRANCO ALDO PARISI_50-59,P_GABRIEL BORIC_50-59,P_JOSE ANTONIO KAST_50-59,P_MARCO ENRIQUEZ-OMINAMI_50-59,P_NULO BLANCO_50-59,P_SEBASTIAN SICHEL_50-59,P_YASNA PROVOSTE_50-59,P_EDUARDO ARTES_60+,P_FRANCO ALDO PARISI_60+,P_GABRIEL BORIC_60+,P_JOSE ANTONIO KAST_60+,P_MARCO ENRIQUEZ-OMINAMI_60+,P_NULO BLANCO_60+,P_SEBASTIAN SICHEL_60+,P_YASNA PROVOSTE_60+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,10M,1,10,39,36,7,19,1,0,30,1,5,13,1,6,49,39,24,6,143,110,-1,-1,2,10,31,37,9,2,23,29,18,69,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,-1.0,0.0,8.0,-1.0,-2.0,-1.0,-4.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,11M,0,17,24,30,7,24,1,0,26,1,5,12,3,17,41,32,14,5,129,110,-1,-1,1,10,28,33,8,2,21,26,17,51,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,-1.0,7.0,-4.0,-3.0,-1.0,-1.0,3.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,12M,0,12,43,42,13,20,0,1,28,1,4,11,8,26,37,44,21,8,159,110,-1,-1,2,12,33,42,10,2,25,33,15,73,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,-2.0,0.0,10.0,0.0,3.0,-1.0,-5.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,13M,1,9,31,44,10,25,0,2,23,2,2,14,4,23,33,44,22,3,145,110,-1,-1,2,11,30,38,9,2,23,30,16,69,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,-1.0,-2.0,1.0,6.0,1.0,0.0,2.0,-7.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,14M,0,13,32,38,4,28,1,2,32,3,3,12,2,16,40,41,29,7,150,110,-1,-1,2,11,31,39,9,2,24,32,15,77,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,-2.0,2.0,1.0,-1.0,-5.0,1.0,4.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,15M,0,11,38,48,12,27,1,1,37,2,6,11,8,31,33,51,28,7,175,110,-1,-1,2,14,36,46,11,2,27,37,17,86,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,-2.0,-3.0,2.0,2.0,1.0,0.0,0.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,16M,1,10,34,43,8,24,0,0,22,0,3,8,4,29,33,40,17,8,142,110,-1,-1,2,11,28,37,9,2,23,30,11,65,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,-1.0,-1.0,6.0,6.0,-1.0,-2.0,1.0,-8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,17M,2,14,23,36,12,35,0,1,27,1,4,6,5,27,44,42,15,7,150,110,-1,-1,1,11,30,40,10,2,24,32,10,64,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,1.0,3.0,-7.0,-4.0,2.0,-1.0,11.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,18M,5,7,24,46,8,31,1,3,25,4,4,7,3,21,49,39,17,10,150,110,-1,-1,2,11,30,39,10,2,24,32,11,66,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,3.0,-4.0,-6.0,7.0,-2.0,2.0,7.0,-7.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,19M,1,12,27,45,13,28,1,1,20,2,6,18,1,23,47,33,13,7,148,110,-1,-1,1,13,32,37,10,2,24,29,24,53,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,0.0,-1.0,-5.0,8.0,3.0,0.0,4.0,-9.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,1M,1,13,30,36,4,16,2,1,26,3,4,25,9,3,31,28,18,11,129,110,-1,-1,1,12,32,32,8,2,19,23,29,57,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,0.0,1.0,-2.0,4.0,-4.0,1.0,-3.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,20M,1,7,30,40,8,25,0,1,24,1,2,6,2,18,51,31,23,3,136,110,-1,-1,1,10,26,36,9,2,23,29,8,57,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,0.0,-3.0,4.0,4.0,-1.0,-1.0,2.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,21M,1,13,32,44,10,26,2,0,27,2,6,13,2,25,46,42,15,6,155,110,-1,-1,2,12,32,40,10,2,25,32,19,63,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,-1.0,1.0,0.0,4.0,0.0,0.0,1.0,-5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,22M,1,20,32,36,12,26,1,1,22,2,4,10,2,27,42,32,25,9,151,110,-1,-1,2,11,30,39,10,3,24,32,14,66,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,-1.0,9.0,2.0,-3.0,2.0,-1.0,2.0,-10.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,23M,4,14,37,34,19,26,0,1,23,1,2,11,3,26,45,42,22,7,158,110,-1,-1,2,12,32,41,10,2,25,34,13,71,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,2.0,2.0,5.0,-7.0,9.0,-1.0,1.0,-11.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,ESCUELA CARMEN GALLEGOS DE ROBLES,24M,2,23,27,43,1,22,0,1,24,1,3,6,3,38,41,29,17,5,143,110,-1,-1,1,11,27,38,10,3,23,30,9,51,0.015947508685524612,0.190955781994908,0.4138171004664416,0.15655167044140836,0.05691177434854469,0.009286664022769182,0.11896708693752368,0.03756241310288006,0.01627181381489868,0.18287919113563095,0.3093118226226129,0.2995379198491596,0.05910848578536463,0.00221781446998248,0.08639732911790592,0.04427562320444489,0.00371499969122322,0.11080815393287577,0.12401069974425037,0.25911304519461376,0.08488216709241553,0.021009475171046146,0.17085035354096023,0.2256111056326152,0.0006695962684409784,0.07099768695646509,0.17303689624175192,0.27401054438717715,0.06328926205704191,0.029832950732015903,0.18999754594965482,0.19816551740745222,0.017060994568616237,0.035390186999447314,0.20151498198400913,0.27201925319449427,0.0609817465309541,0.006725167855120491,0.15080919091427114,0.2554984779530872,1.0,12.0,0.0,5.0,-9.0,-2.0,-1.0,-6.0
