REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,1M,1,4,13,35,6,23,0,0,13,0,2,4,6,7,24,31,16,5,95,10,-1,-1,1,7,14,37,8,2,15,11,95,0.014289122137404582,0.07112981643038895,0.15035725645219922,0.38286134587422754,0.07954550617957105,0.023467602689930932,0.1602650172664486,0.11808433296982916,0.0,-3.0,-1.0,-2.0,-2.0,-2.0,8.0,2.0
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,1V,2,7,25,34,11,19,0,3,9,3,4,7,15,7,25,29,18,5,110,10,-1,-1,1,8,16,42,9,3,18,13,110,0.014289122137404582,0.07112981643038895,0.15035725645219922,0.38286134587422754,0.07954550617957105,0.023467602689930932,0.1602650172664486,0.11808433296982916,1.0,-1.0,9.0,-8.0,2.0,0.0,1.0,-4.0
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,2M,0,4,13,37,16,20,2,2,11,4,4,4,5,9,29,21,19,4,105,10,-1,-1,2,8,16,40,8,2,17,12,95,0.014289122137404582,0.07112981643038895,0.15035725645219922,0.38286134587422754,0.07954550617957105,0.023467602689930932,0.1602650172664486,0.11808433296982916,-2.0,-4.0,-3.0,-3.0,8.0,2.0,3.0,-1.0
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,2V,2,9,19,22,6,16,2,1,12,3,2,6,11,10,21,19,18,2,89,10,-1,-1,1,6,14,34,7,2,14,11,89,0.014289122137404582,0.07112981643038895,0.15035725645219922,0.38286134587422754,0.07954550617957105,0.023467602689930932,0.1602650172664486,0.11808433296982916,1.0,3.0,5.0,-12.0,-1.0,1.0,2.0,1.0
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,3M,2,5,13,60,8,13,3,0,12,3,6,8,7,6,32,30,15,12,116,10,-1,-1,2,8,17,44,9,3,19,14,116,0.014289122137404582,0.07112981643038895,0.15035725645219922,0.38286134587422754,0.07954550617957105,0.023467602689930932,0.1602650172664486,0.11808433296982916,0.0,-3.0,-4.0,16.0,-1.0,0.0,-6.0,-2.0
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,3V,2,6,15,19,9,11,0,2,16,2,3,6,4,9,26,20,8,3,80,10,-1,-1,1,6,12,31,6,2,13,9,79,0.014289122137404582,0.07112981643038895,0.15035725645219922,0.38286134587422754,0.07954550617957105,0.023467602689930932,0.1602650172664486,0.11808433296982916,1.0,0.0,3.0,-12.0,3.0,0.0,-2.0,7.0
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,4M-7,4,10,22,80,16,25,2,1,25,3,5,12,27,50,45,31,10,5,185,10,-1,-1,2,13,28,71,15,4,30,22,185,0.014289122137404582,0.07112981643038895,0.15035725645219922,0.38286134587422754,0.07954550617957105,0.023467602689930932,0.1602650172664486,0.11808433296982916,2.0,-3.0,-6.0,9.0,1.0,-1.0,-5.0,3.0
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,4V,0,7,16,43,7,11,0,1,10,1,4,5,4,17,21,32,11,1,95,10,-1,-1,1,7,14,37,8,2,15,11,95,0.014289122137404582,0.07112981643038895,0.15035725645219922,0.38286134587422754,0.07954550617957105,0.023467602689930932,0.1602650172664486,0.11808433296982916,-1.0,0.0,2.0,6.0,-1.0,-1.0,-4.0,-1.0
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,5V,2,6,10,43,2,19,4,0,10,4,0,2,23,44,13,4,7,3,96,10,-1,-1,1,7,15,37,8,2,15,11,96,0.014289122137404582,0.07112981643038895,0.15035725645219922,0.38286134587422754,0.07954550617957105,0.023467602689930932,0.1602650172664486,0.11808433296982916,1.0,-1.0,-5.0,6.0,-6.0,2.0,4.0,-1.0
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,6,0,17,13,32,4,13,2,0,7,2,1,26,40,7,6,8,0,0,88,10,-1,-1,1,6,13,34,7,2,14,11,88,0.014289122137404582,0.07112981643038895,0.15035725645219922,0.38286134587422754,0.07954550617957105,0.023467602689930932,0.1602650172664486,0.11808433296982916,-1.0,11.0,0.0,-2.0,-3.0,0.0,-1.0,-4.0
