REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,60+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50-59,P_FRANCO ALDO PARISI_50-59,P_GABRIEL BORIC_50-59,P_JOSE ANTONIO KAST_50-59,P_MARCO ENRIQUEZ-OMINAMI_50-59,P_NULO BLANCO_50-59,P_SEBASTIAN SICHEL_50-59,P_YASNA PROVOSTE_50-59,P_EDUARDO ARTES_60+,P_FRANCO ALDO PARISI_60+,P_GABRIEL BORIC_60+,P_JOSE ANTONIO KAST_60+,P_MARCO ENRIQUEZ-OMINAMI_60+,P_NULO BLANCO_60+,P_SEBASTIAN SICHEL_60+,P_YASNA PROVOSTE_60+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,CAUQUENES,COLEGIO BLANCO ENCALADA,45M,2,14,22,65,7,27,1,2,12,3,1,5,31,81,15,16,1,2,152,115,-1,-1,1,13,17,71,7,2,23,18,6,19,0.0075602486058277026,0.15834575801327613,0.20855879784685266,0.4080919085314303,0.04120641679475548,0.025700406414648665,0.05268259131498943,0.0978538724782196,0.011035077671034729,0.14737134859355452,0.09223227173770117,0.47474592318608766,0.05189187981521009,0.022401519876509547,0.10339686040214179,0.09692511871776022,7.579084959253894e-06,0.07181335079181504,0.1141345593465164,0.4839785862156495,0.04252138793124235,0.009581549407018893,0.1576640042115443,0.12029898301125447,0.008006990540482668,0.036160861205267916,0.15035007587116234,0.3406924258665773,0.08012712627215153,0.0266696713259827,0.23679697974762448,0.12119586917075123,0.008530952008573093,0.05084946077198275,0.09455900899413601,0.48363188208110847,0.029231913675983302,0.014275959052358973,0.16041720227413248,0.15850362114172473,1.0,1.0,5.0,-6.0,0.0,1.0,4.0,-6.0
DEL MAULE,CAUQUENES,COLEGIO BLANCO ENCALADA,46M,0,13,16,71,6,25,2,5,20,7,3,12,32,65,16,20,5,6,158,115,-1,-1,1,14,19,73,7,2,23,19,15,31,0.0075602486058277026,0.15834575801327613,0.20855879784685266,0.4080919085314303,0.04120641679475548,0.025700406414648665,0.05268259131498943,0.0978538724782196,0.011035077671034729,0.14737134859355452,0.09223227173770117,0.47474592318608766,0.05189187981521009,0.022401519876509547,0.10339686040214179,0.09692511871776022,7.579084959253894e-06,0.07181335079181504,0.1141345593465164,0.4839785862156495,0.04252138793124235,0.009581549407018893,0.1576640042115443,0.12029898301125447,0.008006990540482668,0.036160861205267916,0.15035007587116234,0.3406924258665773,0.08012712627215153,0.0266696713259827,0.23679697974762448,0.12119586917075123,0.008530952008573093,0.05084946077198275,0.09455900899413601,0.48363188208110847,0.029231913675983302,0.014275959052358973,0.16041720227413248,0.15850362114172473,-1.0,-1.0,-3.0,-2.0,-1.0,5.0,2.0,1.0
DEL MAULE,CAUQUENES,COLEGIO BLANCO ENCALADA,47M,2,13,22,68,7,23,1,1,20,2,3,4,36,62,24,16,8,4,157,115,-1,-1,1,13,18,72,7,3,24,19,7,28,0.0075602486058277026,0.15834575801327613,0.20855879784685266,0.4080919085314303,0.04120641679475548,0.025700406414648665,0.05268259131498943,0.0978538724782196,0.011035077671034729,0.14737134859355452,0.09223227173770117,0.47474592318608766,0.05189187981521009,0.022401519876509547,0.10339686040214179,0.09692511871776022,7.579084959253894e-06,0.07181335079181504,0.1141345593465164,0.4839785862156495,0.04252138793124235,0.009581549407018893,0.1576640042115443,0.12029898301125447,0.008006990540482668,0.036160861205267916,0.15035007587116234,0.3406924258665773,0.08012712627215153,0.0266696713259827,0.23679697974762448,0.12119586917075123,0.008530952008573093,0.05084946077198275,0.09455900899413601,0.48363188208110847,0.029231913675983302,0.014275959052358973,0.16041720227413248,0.15850362114172473,1.0,0.0,4.0,-4.0,0.0,-1.0,-1.0,1.0
DEL MAULE,CAUQUENES,COLEGIO BLANCO ENCALADA,48M,1,18,25,82,7,24,0,2,19,2,1,7,39,68,37,20,5,1,178,115,-1,-1,1,15,21,80,9,3,28,21,8,26,0.0075602486058277026,0.15834575801327613,0.20855879784685266,0.4080919085314303,0.04120641679475548,0.025700406414648665,0.05268259131498943,0.0978538724782196,0.011035077671034729,0.14737134859355452,0.09223227173770117,0.47474592318608766,0.05189187981521009,0.022401519876509547,0.10339686040214179,0.09692511871776022,7.579084959253894e-06,0.07181335079181504,0.1141345593465164,0.4839785862156495,0.04252138793124235,0.009581549407018893,0.1576640042115443,0.12029898301125447,0.008006990540482668,0.036160861205267916,0.15035007587116234,0.3406924258665773,0.08012712627215153,0.0266696713259827,0.23679697974762448,0.12119586917075123,0.008530952008573093,0.05084946077198275,0.09455900899413601,0.48363188208110847,0.029231913675983302,0.014275959052358973,0.16041720227413248,0.15850362114172473,0.0,3.0,4.0,2.0,-2.0,-1.0,-4.0,-2.0
DEL MAULE,CAUQUENES,COLEGIO BLANCO ENCALADA,49M,0,7,13,83,7,25,2,1,21,3,2,5,44,45,28,23,8,4,159,115,-1,-1,1,14,18,72,8,3,24,19,7,35,0.0075602486058277026,0.15834575801327613,0.20855879784685266,0.4080919085314303,0.04120641679475548,0.025700406414648665,0.05268259131498943,0.0978538724782196,0.011035077671034729,0.14737134859355452,0.09223227173770117,0.47474592318608766,0.05189187981521009,0.022401519876509547,0.10339686040214179,0.09692511871776022,7.579084959253894e-06,0.07181335079181504,0.1141345593465164,0.4839785862156495,0.04252138793124235,0.009581549407018893,0.1576640042115443,0.12029898301125447,0.008006990540482668,0.036160861205267916,0.15035007587116234,0.3406924258665773,0.08012712627215153,0.0266696713259827,0.23679697974762448,0.12119586917075123,0.008530952008573093,0.05084946077198275,0.09455900899413601,0.48363188208110847,0.029231913675983302,0.014275959052358973,0.16041720227413248,0.15850362114172473,-1.0,-7.0,-5.0,11.0,-1.0,0.0,1.0,2.0
DEL MAULE,CAUQUENES,COLEGIO BLANCO ENCALADA,50M,1,17,16,84,8,22,0,0,24,0,4,8,78,31,25,15,8,3,172,115,-1,-1,1,18,19,78,9,3,24,20,12,26,0.0075602486058277026,0.15834575801327613,0.20855879784685266,0.4080919085314303,0.04120641679475548,0.025700406414648665,0.05268259131498943,0.0978538724782196,0.011035077671034729,0.14737134859355452,0.09223227173770117,0.47474592318608766,0.05189187981521009,0.022401519876509547,0.10339686040214179,0.09692511871776022,7.579084959253894e-06,0.07181335079181504,0.1141345593465164,0.4839785862156495,0.04252138793124235,0.009581549407018893,0.1576640042115443,0.12029898301125447,0.008006990540482668,0.036160861205267916,0.15035007587116234,0.3406924258665773,0.08012712627215153,0.0266696713259827,0.23679697974762448,0.12119586917075123,0.008530952008573093,0.05084946077198275,0.09455900899413601,0.48363188208110847,0.029231913675983302,0.014275959052358973,0.16041720227413248,0.15850362114172473,0.0,-1.0,-3.0,6.0,-1.0,-3.0,-2.0,4.0
DEL MAULE,CAUQUENES,COLEGIO BLANCO ENCALADA,51M,0,13,21,73,6,25,3,1,27,4,4,10,56,39,38,14,7,1,169,115,-1,-1,1,16,20,75,9,3,25,20,14,22,0.0075602486058277026,0.15834575801327613,0.20855879784685266,0.4080919085314303,0.04120641679475548,0.025700406414648665,0.05268259131498943,0.0978538724782196,0.011035077671034729,0.14737134859355452,0.09223227173770117,0.47474592318608766,0.05189187981521009,0.022401519876509547,0.10339686040214179,0.09692511871776022,7.579084959253894e-06,0.07181335079181504,0.1141345593465164,0.4839785862156495,0.04252138793124235,0.009581549407018893,0.1576640042115443,0.12029898301125447,0.008006990540482668,0.036160861205267916,0.15035007587116234,0.3406924258665773,0.08012712627215153,0.0266696713259827,0.23679697974762448,0.12119586917075123,0.008530952008573093,0.05084946077198275,0.09455900899413601,0.48363188208110847,0.029231913675983302,0.014275959052358973,0.16041720227413248,0.15850362114172473,-1.0,-3.0,1.0,-2.0,-3.0,1.0,0.0,7.0
DEL MAULE,CAUQUENES,COLEGIO BLANCO ENCALADA,52M,0,9,18,84,11,31,2,0,24,2,4,4,64,42,34,18,8,5,179,115,-1,-1,1,17,20,81,9,3,27,21,8,31,0.0075602486058277026,0.15834575801327613,0.20855879784685266,0.4080919085314303,0.04120641679475548,0.025700406414648665,0.05268259131498943,0.0978538724782196,0.011035077671034729,0.14737134859355452,0.09223227173770117,0.47474592318608766,0.05189187981521009,0.022401519876509547,0.10339686040214179,0.09692511871776022,7.579084959253894e-06,0.07181335079181504,0.1141345593465164,0.4839785862156495,0.04252138793124235,0.009581549407018893,0.1576640042115443,0.12029898301125447,0.008006990540482668,0.036160861205267916,0.15035007587116234,0.3406924258665773,0.08012712627215153,0.0266696713259827,0.23679697974762448,0.12119586917075123,0.008530952008573093,0.05084946077198275,0.09455900899413601,0.48363188208110847,0.029231913675983302,0.014275959052358973,0.16041720227413248,0.15850362114172473,-1.0,-8.0,-2.0,3.0,2.0,-1.0,4.0,3.0
DEL MAULE,CAUQUENES,COLEGIO BLANCO ENCALADA,53M,1,13,16,71,8,28,0,3,17,3,5,3,64,39,27,9,9,1,157,115,-1,-1,1,15,18,71,8,3,23,18,8,19,0.0075602486058277026,0.15834575801327613,0.20855879784685266,0.4080919085314303,0.04120641679475548,0.025700406414648665,0.05268259131498943,0.0978538724782196,0.011035077671034729,0.14737134859355452,0.09223227173770117,0.47474592318608766,0.05189187981521009,0.022401519876509547,0.10339686040214179,0.09692511871776022,7.579084959253894e-06,0.07181335079181504,0.1141345593465164,0.4839785862156495,0.04252138793124235,0.009581549407018893,0.1576640042115443,0.12029898301125447,0.008006990540482668,0.036160861205267916,0.15035007587116234,0.3406924258665773,0.08012712627215153,0.0266696713259827,0.23679697974762448,0.12119586917075123,0.008530952008573093,0.05084946077198275,0.09455900899413601,0.48363188208110847,0.029231913675983302,0.014275959052358973,0.16041720227413248,0.15850362114172473,0.0,-2.0,-2.0,0.0,0.0,0.0,5.0,-1.0
DEL MAULE,CAUQUENES,COLEGIO BLANCO ENCALADA,54M,3,19,19,79,9,21,1,1,32,2,5,6,77,31,25,18,11,10,184,115,-1,-1,1,18,20,84,9,4,26,22,11,39,0.0075602486058277026,0.15834575801327613,0.20855879784685266,0.4080919085314303,0.04120641679475548,0.025700406414648665,0.05268259131498943,0.0978538724782196,0.011035077671034729,0.14737134859355452,0.09223227173770117,0.47474592318608766,0.05189187981521009,0.022401519876509547,0.10339686040214179,0.09692511871776022,7.579084959253894e-06,0.07181335079181504,0.1141345593465164,0.4839785862156495,0.04252138793124235,0.009581549407018893,0.1576640042115443,0.12029898301125447,0.008006990540482668,0.036160861205267916,0.15035007587116234,0.3406924258665773,0.08012712627215153,0.0266696713259827,0.23679697974762448,0.12119586917075123,0.008530952008573093,0.05084946077198275,0.09455900899413601,0.48363188208110847,0.029231913675983302,0.014275959052358973,0.16041720227413248,0.15850362114172473,2.0,1.0,-1.0,-5.0,0.0,-2.0,-5.0,10.0
