REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,50+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,10M,1,23,40,33,20,19,0,1,35,1,1,6,2,110,35,14,2,2,172,28,-1,-1,1,27,36,37,18,2,16,35,9,53,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,0.0,-4.0,4.0,-4.0,2.0,-1.0,3.0,0.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,11M,3,25,38,35,14,18,0,2,40,2,2,1,4,118,22,20,6,2,175,28,-1,-1,1,27,37,37,19,2,17,35,7,50,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,2.0,-2.0,1.0,-2.0,-5.0,0.0,1.0,5.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,11V,0,26,31,36,19,14,2,1,27,3,2,15,9,79,33,16,1,1,156,28,-1,-1,1,25,34,32,16,2,15,31,26,51,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,-1.0,1.0,-3.0,4.0,3.0,1.0,-1.0,-4.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,12M,1,44,45,30,28,26,0,0,31,0,6,16,71,54,35,15,6,2,205,28,-1,-1,2,39,49,40,18,2,20,35,93,58,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,-1.0,5.0,-4.0,-10.0,10.0,-2.0,6.0,-4.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,12V,0,35,33,28,8,5,0,2,32,2,2,18,5,87,21,7,2,1,143,28,-1,-1,1,25,32,29,15,1,13,27,25,31,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,-1.0,10.0,1.0,-1.0,-7.0,1.0,-8.0,5.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,13M,3,27,47,35,17,23,1,0,32,1,4,6,92,29,26,19,8,1,185,28,-1,-1,1,36,46,36,16,2,18,30,102,54,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,2.0,-9.0,1.0,-1.0,1.0,-1.0,5.0,2.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,13V,1,31,33,40,16,7,1,1,30,2,5,19,25,54,24,22,11,0,160,28,-1,-1,1,27,37,32,15,2,16,30,49,57,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,0.0,4.0,-4.0,8.0,1.0,0.0,-9.0,0.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,14V,1,35,43,44,14,19,2,0,20,2,4,13,58,49,21,23,8,2,178,28,-1,-1,1,33,43,35,16,2,17,31,75,54,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,0.0,2.0,0.0,9.0,-2.0,0.0,2.0,-11.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,15V,0,16,22,21,8,13,1,0,10,1,13,20,17,19,11,6,4,1,91,28,-1,-1,1,18,23,17,8,1,9,14,50,22,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,-1.0,-2.0,-1.0,4.0,0.0,0.0,4.0,-4.0
DEL MAULE,LONTUE,ESCUELA PRESIDENTE EDUARDO FREI MONTALVA,1M,0,13,32,30,16,17,1,1,32,2,3,7,3,18,36,37,29,9,142,28,-1,-1,1,16,29,31,13,3,15,34,13,111,0.007342217069611626,0.2570289286339197,0.2870721201122739,0.17033980306239055,0.07347703059893482,0.003255702722444717,0.09330807384843873,0.10817612395198586,0.0057783827530736845,0.18178163617992207,0.2158433058690275,0.20760037916027915,0.11318108698071415,0.005107385900089632,0.08843950214204561,0.18226832101484813,0.008846945558792446,0.08466857048352554,0.19023491507449522,0.22742826547547093,0.09314637571172985,0.02362235927997977,0.1102886395431687,0.26176392887283767,-1.0,-3.0,3.0,-1.0,3.0,-1.0,2.0,-2.0
