REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,21,1,30,18,40,11,17,1,1,14,2,4,25,24,13,25,27,11,4,133,29,-1,-1,1,23,20,41,12,4,15,17,133,0.009224598930481285,0.17311092893114435,0.14850980971527783,0.30576269675275475,0.09271367038558422,0.029963164884457345,0.11113782654793425,0.129577303852366,0.0,7.0,-2.0,-1.0,-1.0,-2.0,2.0,-3.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,22,0,20,21,28,10,18,0,1,19,1,2,22,15,21,25,22,9,0,117,29,-1,-1,1,20,17,36,11,4,13,15,116,0.009224598930481285,0.17311092893114435,0.14850980971527783,0.30576269675275475,0.09271367038558422,0.029963164884457345,0.11113782654793425,0.129577303852366,-1.0,0.0,4.0,-8.0,-1.0,-3.0,5.0,4.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,23,3,23,15,33,18,20,2,0,22,2,1,17,22,21,33,31,9,3,136,29,-1,-1,1,23,20,42,13,4,15,18,137,0.009224598930481285,0.17311092893114435,0.14850980971527783,0.30576269675275475,0.09271367038558422,0.029963164884457345,0.11113782654793425,0.129577303852366,2.0,0.0,-5.0,-9.0,5.0,-2.0,5.0,4.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,24,0,21,21,47,8,14,2,3,14,5,1,21,22,18,36,17,11,4,130,29,-1,-1,1,23,19,40,12,4,14,17,130,0.009224598930481285,0.17311092893114435,0.14850980971527783,0.30576269675275475,0.09271367038558422,0.029963164884457345,0.11113782654793425,0.129577303852366,-1.0,-2.0,2.0,7.0,-4.0,1.0,0.0,-3.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,25,0,22,13,31,16,17,2,3,15,5,1,17,27,20,23,19,11,1,119,29,-1,-1,1,21,18,36,11,4,13,15,119,0.009224598930481285,0.17311092893114435,0.14850980971527783,0.30576269675275475,0.09271367038558422,0.029963164884457345,0.11113782654793425,0.129577303852366,-1.0,1.0,-5.0,-5.0,5.0,1.0,4.0,0.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,26,4,22,21,41,12,16,0,1,20,1,0,28,27,22,27,19,13,1,137,29,-1,-1,1,24,20,42,13,4,15,18,137,0.009224598930481285,0.17311092893114435,0.14850980971527783,0.30576269675275475,0.09271367038558422,0.029963164884457345,0.11113782654793425,0.129577303852366,3.0,-2.0,1.0,-1.0,-1.0,-3.0,1.0,2.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,27,2,24,20,45,11,18,1,4,22,5,3,22,31,24,30,25,9,3,147,29,-1,-1,1,26,22,45,14,4,16,19,147,0.009224598930481285,0.17311092893114435,0.14850980971527783,0.30576269675275475,0.09271367038558422,0.029963164884457345,0.11113782654793425,0.129577303852366,1.0,-2.0,-2.0,0.0,-3.0,1.0,2.0,3.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,28,0,26,19,41,15,8,2,0,20,2,5,19,22,24,30,18,12,1,131,29,-1,-1,1,23,19,40,12,4,15,17,131,0.009224598930481285,0.17311092893114435,0.14850980971527783,0.30576269675275475,0.09271367038558422,0.029963164884457345,0.11113782654793425,0.129577303852366,-1.0,3.0,0.0,1.0,3.0,-2.0,-7.0,3.0
DEL MAULE,LOS NICHES,ESCUELA DIEGO PORTALES P,29,3,20,21,35,10,14,2,0,19,2,3,28,19,17,25,22,9,1,124,29,-1,-1,1,21,18,38,12,4,14,16,124,0.009224598930481285,0.17311092893114435,0.14850980971527783,0.30576269675275475,0.09271367038558422,0.029963164884457345,0.11113782654793425,0.129577303852366,2.0,-1.0,3.0,-3.0,-2.0,-2.0,0.0,3.0
DEL MAULE,LOS NICHES,ESCUELA REPUBLICA ESTADOS UNIDOS,1,2,20,28,49,17,11,8,3,33,11,7,2,4,3,62,87,6,0,171,29,-1,-1,2,30,25,52,16,5,19,22,171,0.009224598930481285,0.17311092893114435,0.14850980971527783,0.30576269675275475,0.09271367038558422,0.029963164884457345,0.11113782654793425,0.129577303852366,0.0,-10.0,3.0,-3.0,1.0,6.0,-8.0,11.0
