REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,RAUCO,ESCUELA RAUCO,10M,3,25,19,65,14,25,1,1,21,2,0,5,37,73,25,21,12,2,174,29,-1,-1,1,23,24,59,14,3,24,26,115,60,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,2.0,2.0,-5.0,6.0,0.0,-1.0,1.0,-5.0
DEL MAULE,RAUCO,ESCUELA RAUCO,11M,2,27,19,58,19,16,0,2,27,2,3,13,57,32,33,20,13,0,170,29,-1,-1,1,22,24,57,14,3,23,26,105,66,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,1.0,5.0,-5.0,1.0,5.0,-1.0,-7.0,1.0
DEL MAULE,RAUCO,ESCUELA RAUCO,12M,0,18,23,48,13,38,1,0,27,1,1,22,53,36,20,18,15,3,168,29,-1,-1,2,22,23,57,13,3,23,25,112,56,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,-2.0,-4.0,0.0,-9.0,0.0,-2.0,15.0,2.0
DEL MAULE,RAUCO,ESCUELA RAUCO,13M,2,26,26,49,16,25,0,1,23,1,6,20,49,44,22,16,8,3,168,29,-1,-1,2,23,24,57,13,2,23,24,119,49,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,0.0,3.0,2.0,-8.0,3.0,-1.0,2.0,-1.0
DEL MAULE,RAUCO,ESCUELA RAUCO,15,3,28,27,33,9,18,0,2,17,2,8,95,4,7,11,7,2,3,137,29,-1,-1,1,20,19,47,10,2,20,18,114,23,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,2.0,8.0,8.0,-14.0,-1.0,0.0,-2.0,-1.0
DEL MAULE,RAUCO,ESCUELA RAUCO,16-17,4,21,28,74,14,29,3,1,27,4,12,48,31,36,37,23,10,3,201,29,-1,-1,2,26,28,68,16,3,28,30,127,73,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,2.0,-5.0,0.0,6.0,-2.0,1.0,1.0,-3.0
DEL MAULE,RAUCO,ESCUELA RAUCO,1M,0,16,14,43,11,12,0,3,19,3,2,18,8,2,22,29,32,5,118,29,-1,-1,1,12,16,39,12,2,13,23,30,88,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,-1.0,4.0,-2.0,4.0,-1.0,1.0,-1.0,-4.0
DEL MAULE,RAUCO,ESCUELA RAUCO,2M,1,11,18,36,16,20,0,4,30,4,3,13,10,6,32,49,20,3,136,29,-1,-1,1,13,18,45,14,3,16,26,32,104,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,0.0,-2.0,0.0,-9.0,2.0,1.0,4.0,4.0
DEL MAULE,RAUCO,ESCUELA RAUCO,3M,0,12,15,36,10,14,1,2,26,3,1,9,4,11,35,34,15,7,116,29,-1,-1,1,11,15,39,12,2,13,23,25,91,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,-1.0,1.0,0.0,-3.0,-2.0,1.0,1.0,3.0
DEL MAULE,RAUCO,ESCUELA RAUCO,4M,2,13,24,49,19,15,0,0,28,0,2,9,4,22,59,29,20,5,150,29,-1,-1,1,15,20,50,15,3,17,29,37,113,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,1.0,-2.0,4.0,-1.0,4.0,-3.0,-2.0,-1.0
DEL MAULE,RAUCO,ESCUELA RAUCO,5M,0,11,15,47,9,23,1,0,24,1,1,9,2,21,41,37,17,2,130,29,-1,-1,1,13,17,43,13,3,15,25,33,97,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,-1.0,-2.0,-2.0,4.0,-4.0,-2.0,8.0,-1.0
DEL MAULE,RAUCO,ESCUELA RAUCO,6M,2,15,20,46,15,16,1,1,22,2,6,10,20,6,48,30,13,5,138,29,-1,-1,1,14,19,46,13,3,16,26,42,96,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,1.0,1.0,1.0,0.0,2.0,-1.0,0.0,-4.0
DEL MAULE,RAUCO,ESCUELA RAUCO,7M,1,11,20,46,16,17,0,1,24,1,0,7,23,2,58,29,15,2,136,29,-1,-1,1,13,18,45,14,3,16,26,32,104,0.011353167906617464,0.15844316186905077,0.14587635232459648,0.34288503206465565,0.064572647623024,0.011409750453668896,0.15566107062626933,0.1097988171321175,0.0054366042502818485,0.08043012844498938,0.12831591297391148,0.3289349760770821,0.11060365006216652,0.023388828441864556,0.10218058286930605,0.2207093168803982,0.0,-2.0,2.0,1.0,2.0,-2.0,1.0,-2.0
