REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,10M,1,29,26,46,23,27,1,1,39,2,6,23,53,38,39,21,12,2,193,26,-1,-1,2,35,28,57,17,3,25,26,120,74,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,-1.0,-6.0,-2.0,-11.0,6.0,-1.0,2.0,13.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,10V,4,25,21,69,17,18,0,2,20,2,5,27,13,54,24,31,19,4,176,26,-1,-1,2,31,25,51,16,3,23,25,99,78,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,2.0,-6.0,-4.0,18.0,1.0,-1.0,-5.0,-5.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,11M,1,33,36,64,22,23,2,0,25,2,5,15,66,45,32,26,15,2,206,26,-1,-1,2,37,30,61,19,3,26,28,131,75,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,-1.0,-4.0,6.0,3.0,3.0,-1.0,-3.0,-3.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,11V,1,34,32,61,12,18,0,2,20,2,6,34,38,31,17,29,18,7,180,26,-1,-1,2,32,26,53,16,3,23,25,109,71,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,-1.0,2.0,6.0,8.0,-4.0,-1.0,-5.0,-5.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,12V,1,35,26,58,20,25,0,0,19,0,9,26,39,37,21,28,21,4,184,26,-1,-1,2,33,27,54,16,3,23,26,111,74,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,-1.0,2.0,-1.0,4.0,4.0,-3.0,2.0,-7.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,13V,2,33,30,43,19,18,0,1,21,1,10,62,30,18,13,22,11,1,167,26,-1,-1,2,30,26,50,15,2,21,21,120,47,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,0.0,3.0,4.0,-7.0,4.0,-1.0,-3.0,0.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,14,1,34,28,48,12,26,0,1,20,1,17,50,24,27,22,18,11,1,170,26,-1,-1,2,31,26,51,16,2,21,21,118,52,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,-1.0,3.0,2.0,-3.0,-4.0,-1.0,5.0,-1.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,15,1,18,23,27,5,14,0,1,8,1,4,22,39,6,8,11,6,1,97,26,-1,-1,1,18,15,29,9,1,12,12,71,26,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,0.0,0.0,8.0,-2.0,-4.0,0.0,2.0,-4.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,1M,0,23,18,28,14,21,2,1,28,3,3,13,3,6,33,50,23,6,135,26,-1,-1,1,23,17,34,11,4,19,26,25,112,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,-1.0,0.0,1.0,-6.0,3.0,-1.0,2.0,2.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,1V,0,25,18,31,7,20,0,1,35,1,2,8,10,43,20,30,21,4,137,26,-1,-1,1,24,19,38,12,3,18,22,63,75,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,-1.0,1.0,-1.0,-7.0,-5.0,-2.0,2.0,13.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,2M,2,20,22,32,6,21,1,1,22,2,1,9,1,25,33,33,17,8,127,26,-1,-1,1,22,16,33,11,3,18,23,36,91,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,1.0,-2.0,6.0,-1.0,-5.0,-1.0,3.0,-1.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,2V,1,19,28,47,11,15,0,1,37,1,1,16,37,17,29,32,15,12,159,26,-1,-1,1,28,22,44,14,3,21,26,71,88,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,0.0,-9.0,6.0,3.0,-3.0,-2.0,-6.0,11.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,3M,2,26,17,44,13,21,1,0,24,1,0,9,7,27,39,33,27,6,148,26,-1,-1,1,25,19,39,12,4,21,27,43,105,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,1.0,1.0,-2.0,5.0,1.0,-3.0,0.0,-3.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,3V,1,33,18,36,7,18,1,3,14,4,2,8,56,5,20,28,8,4,131,26,-1,-1,1,23,19,38,12,2,17,19,71,60,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,0.0,10.0,-1.0,-2.0,-5.0,2.0,1.0,-5.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,4M,0,32,10,49,13,25,3,1,18,4,2,11,32,3,62,22,14,5,151,26,-1,-1,1,26,20,40,13,4,21,26,48,103,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,-1.0,6.0,-10.0,9.0,0.0,0.0,4.0,-8.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,4V,1,24,23,41,17,18,3,5,27,8,4,7,57,2,28,42,13,6,159,26,-1,-1,1,28,22,44,14,3,21,26,70,89,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,0.0,-4.0,1.0,-3.0,3.0,5.0,-3.0,1.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,5M,0,34,10,50,17,18,1,3,20,4,2,8,44,2,41,29,21,6,153,26,-1,-1,1,27,20,41,13,4,21,26,56,97,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,-1.0,7.0,-10.0,9.0,4.0,0.0,-3.0,-6.0
DEL MAULE,SAN RAFAEL,ESCUELA SAN RAFAEL,5V,2,33,21,44,13,17,4,5,25,9,3,62,13,3,29,24,27,3,164,26,-1,-1,1,29,23,46,15,3,22,25,81,83,0.0152561119421328,0.18704768456588758,0.1705654621877257,0.3278916272369394,0.09735570550566709,0.0016983596493049982,0.11325309572661031,0.08693195318573209,0.002619730464378385,0.16651057299618452,0.11090168766569324,0.23699522443219048,0.07923285147731188,0.035271917793475466,0.15086260840984267,0.2176054067609233,1.0,4.0,-2.0,-2.0,-2.0,6.0,-5.0,0.0
