REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,40-59,60+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-59,P_FRANCO ALDO PARISI_40-59,P_GABRIEL BORIC_40-59,P_JOSE ANTONIO KAST_40-59,P_MARCO ENRIQUEZ-OMINAMI_40-59,P_NULO BLANCO_40-59,P_SEBASTIAN SICHEL_40-59,P_YASNA PROVOSTE_40-59,P_EDUARDO ARTES_60+,P_FRANCO ALDO PARISI_60+,P_GABRIEL BORIC_60+,P_JOSE ANTONIO KAST_60+,P_MARCO ENRIQUEZ-OMINAMI_60+,P_NULO BLANCO_60+,P_SEBASTIAN SICHEL_60+,P_YASNA PROVOSTE_60+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,1,1,14,31,70,14,16,0,1,25,1,2,1,59,4,18,56,32,0,172,26,-1,-1,2,20,34,59,13,3,19,22,3,22,88,0.01923639094294277,0.2097283093399132,0.361889845055706,0.15940503377085083,0.056381435343316876,6.996159963379214e-07,0.14411346466811797,0.04924482126315594,0.02220893436742846,0.21204806528538078,0.30401184232117917,0.2653324704885942,0.07789973097003487,0.018353740517007888,0.045068807210341524,0.05507640884003307,0.015945977963861237,0.1389589031401286,0.2150004709253769,0.2946863621218492,0.08547551866435397,0.013012750447359925,0.11143466614418823,0.12548535059288182,0.004947398334148516,0.038728103781193825,0.11870184619307633,0.41715396916400643,0.0682586820969055,0.019076283547359605,0.14827261535769254,0.18486110152561722,-1.0,-6.0,-3.0,11.0,1.0,-2.0,-3.0,3.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,10,3,27,43,41,16,16,0,2,19,2,1,28,17,40,76,5,0,0,167,26,-1,-1,3,26,41,45,13,2,19,18,29,116,5,0.01923639094294277,0.2097283093399132,0.361889845055706,0.15940503377085083,0.056381435343316876,6.996159963379214e-07,0.14411346466811797,0.04924482126315594,0.02220893436742846,0.21204806528538078,0.30401184232117917,0.2653324704885942,0.07789973097003487,0.018353740517007888,0.045068807210341524,0.05507640884003307,0.015945977963861237,0.1389589031401286,0.2150004709253769,0.2946863621218492,0.08547551866435397,0.013012750447359925,0.11143466614418823,0.12548535059288182,0.004947398334148516,0.038728103781193825,0.11870184619307633,0.41715396916400643,0.0682586820969055,0.019076283547359605,0.14827261535769254,0.18486110152561722,0.0,1.0,2.0,-4.0,3.0,0.0,-3.0,1.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,11,2,17,29,37,12,16,1,1,22,2,17,15,10,33,9,26,24,4,137,26,-1,-1,2,17,30,42,10,2,17,17,32,42,54,0.01923639094294277,0.2097283093399132,0.361889845055706,0.15940503377085083,0.056381435343316876,6.996159963379214e-07,0.14411346466811797,0.04924482126315594,0.02220893436742846,0.21204806528538078,0.30401184232117917,0.2653324704885942,0.07789973097003487,0.018353740517007888,0.045068807210341524,0.05507640884003307,0.015945977963861237,0.1389589031401286,0.2150004709253769,0.2946863621218492,0.08547551866435397,0.013012750447359925,0.11143466614418823,0.12548535059288182,0.004947398334148516,0.038728103781193825,0.11870184619307633,0.41715396916400643,0.0682586820969055,0.019076283547359605,0.14827261535769254,0.18486110152561722,0.0,0.0,-1.0,-5.0,2.0,0.0,-1.0,5.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,12,1,15,38,55,12,20,0,2,19,2,3,19,3,12,80,20,12,14,162,26,-1,-1,2,20,34,50,13,2,20,21,22,92,46,0.01923639094294277,0.2097283093399132,0.361889845055706,0.15940503377085083,0.056381435343316876,6.996159963379214e-07,0.14411346466811797,0.04924482126315594,0.02220893436742846,0.21204806528538078,0.30401184232117917,0.2653324704885942,0.07789973097003487,0.018353740517007888,0.045068807210341524,0.05507640884003307,0.015945977963861237,0.1389589031401286,0.2150004709253769,0.2946863621218492,0.08547551866435397,0.013012750447359925,0.11143466614418823,0.12548535059288182,0.004947398334148516,0.038728103781193825,0.11870184619307633,0.41715396916400643,0.0682586820969055,0.019076283547359605,0.14827261535769254,0.18486110152561722,-1.0,-5.0,4.0,5.0,-1.0,0.0,0.0,-2.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,13,3,27,39,37,18,16,1,7,20,8,1,15,49,11,46,46,0,0,168,26,-1,-1,3,23,38,52,13,2,18,19,16,57,46,0.01923639094294277,0.2097283093399132,0.361889845055706,0.15940503377085083,0.056381435343316876,6.996159963379214e-07,0.14411346466811797,0.04924482126315594,0.02220893436742846,0.21204806528538078,0.30401184232117917,0.2653324704885942,0.07789973097003487,0.018353740517007888,0.045068807210341524,0.05507640884003307,0.015945977963861237,0.1389589031401286,0.2150004709253769,0.2946863621218492,0.08547551866435397,0.013012750447359925,0.11143466614418823,0.12548535059288182,0.004947398334148516,0.038728103781193825,0.11870184619307633,0.41715396916400643,0.0682586820969055,0.019076283547359605,0.14827261535769254,0.18486110152561722,0.0,4.0,1.0,-15.0,5.0,6.0,-2.0,1.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,2,4,30,41,36,13,15,2,2,13,4,0,10,41,9,63,30,0,3,156,26,-1,-1,2,22,36,48,12,2,16,18,10,72,33,0.01923639094294277,0.2097283093399132,0.361889845055706,0.15940503377085083,0.056381435343316876,6.996159963379214e-07,0.14411346466811797,0.04924482126315594,0.02220893436742846,0.21204806528538078,0.30401184232117917,0.2653324704885942,0.07789973097003487,0.018353740517007888,0.045068807210341524,0.05507640884003307,0.015945977963861237,0.1389589031401286,0.2150004709253769,0.2946863621218492,0.08547551866435397,0.013012750447359925,0.11143466614418823,0.12548535059288182,0.004947398334148516,0.038728103781193825,0.11870184619307633,0.41715396916400643,0.0682586820969055,0.019076283547359605,0.14827261535769254,0.18486110152561722,2.0,8.0,5.0,-12.0,1.0,2.0,-1.0,-5.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,3,3,26,36,43,9,17,0,1,19,1,6,31,20,12,62,14,1,8,154,26,-1,-1,2,23,38,43,12,2,18,16,37,74,23,0.01923639094294277,0.2097283093399132,0.361889845055706,0.15940503377085083,0.056381435343316876,6.996159963379214e-07,0.14411346466811797,0.04924482126315594,0.02220893436742846,0.21204806528538078,0.30401184232117917,0.2653324704885942,0.07789973097003487,0.018353740517007888,0.045068807210341524,0.05507640884003307,0.015945977963861237,0.1389589031401286,0.2150004709253769,0.2946863621218492,0.08547551866435397,0.013012750447359925,0.11143466614418823,0.12548535059288182,0.004947398334148516,0.038728103781193825,0.11870184619307633,0.41715396916400643,0.0682586820969055,0.019076283547359605,0.14827261535769254,0.18486110152561722,1.0,3.0,-2.0,0.0,-3.0,-1.0,-1.0,3.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,4,1,13,32,54,12,23,3,1,18,4,3,1,28,2,12,54,54,3,157,26,-1,-1,1,13,26,59,11,3,20,24,4,14,111,0.01923639094294277,0.2097283093399132,0.361889845055706,0.15940503377085083,0.056381435343316876,6.996159963379214e-07,0.14411346466811797,0.04924482126315594,0.02220893436742846,0.21204806528538078,0.30401184232117917,0.2653324704885942,0.07789973097003487,0.018353740517007888,0.045068807210341524,0.05507640884003307,0.015945977963861237,0.1389589031401286,0.2150004709253769,0.2946863621218492,0.08547551866435397,0.013012750447359925,0.11143466614418823,0.12548535059288182,0.004947398334148516,0.038728103781193825,0.11870184619307633,0.41715396916400643,0.0682586820969055,0.019076283547359605,0.14827261535769254,0.18486110152561722,0.0,0.0,6.0,-5.0,1.0,1.0,3.0,-6.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,5,4,21,34,48,7,20,0,1,18,1,3,18,16,25,25,29,10,27,153,26,-1,-1,2,17,31,50,11,2,19,21,21,50,66,0.01923639094294277,0.2097283093399132,0.361889845055706,0.15940503377085083,0.056381435343316876,6.996159963379214e-07,0.14411346466811797,0.04924482126315594,0.02220893436742846,0.21204806528538078,0.30401184232117917,0.2653324704885942,0.07789973097003487,0.018353740517007888,0.045068807210341524,0.05507640884003307,0.015945977963861237,0.1389589031401286,0.2150004709253769,0.2946863621218492,0.08547551866435397,0.013012750447359925,0.11143466614418823,0.12548535059288182,0.004947398334148516,0.038728103781193825,0.11870184619307633,0.41715396916400643,0.0682586820969055,0.019076283547359605,0.14827261535769254,0.18486110152561722,2.0,4.0,3.0,-2.0,-4.0,-1.0,1.0,-3.0
METROPOLITANA DE SANTIAGO,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,6,3,23,36,52,12,13,0,0,26,0,2,16,22,4,76,43,2,0,165,26,-1,-1,2,21,36,51,13,2,19,21,18,80,45,0.01923639094294277,0.2097283093399132,0.361889845055706,0.15940503377085083,0.056381435343316876,6.996159963379214e-07,0.14411346466811797,0.04924482126315594,0.02220893436742846,0.21204806528538078,0.30401184232117917,0.2653324704885942,0.07789973097003487,0.018353740517007888,0.045068807210341524,0.05507640884003307,0.015945977963861237,0.1389589031401286,0.2150004709253769,0.2946863621218492,0.08547551866435397,0.013012750447359925,0.11143466614418823,0.12548535059288182,0.004947398334148516,0.038728103781193825,0.11870184619307633,0.41715396916400643,0.0682586820969055,0.019076283547359605,0.14827261535769254,0.18486110152561722,1.0,2.0,0.0,1.0,-1.0,-2.0,-6.0,5.0
