REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,CHAMPA,ESCUELA CARMEN REVECO NUNEZ,10V,2,18,25,63,14,23,1,0,16,1,4,14,13,83,21,16,8,3,162,27,-1,-1,2,14,39,58,11,1,20,17,114,48,0.010682957867642418,0.10100036127296996,0.2530308270499845,0.35095901799660967,0.069002612092784,0.0021739571285818047,0.1303392374958886,0.08281102909553896,0.009297505239753426,0.05908912154632302,0.22052922936721822,0.3696438324562194,0.06349225356044476,0.015199874217429172,0.11106124730680234,0.1516869363058098,0.0,4.0,-14.0,5.0,3.0,0.0,3.0,-1.0
METROPOLITANA DE SANTIAGO,CHAMPA,ESCUELA CARMEN REVECO NUNEZ,11V,5,8,44,81,9,17,2,0,11,2,4,8,27,41,33,37,23,4,177,27,-1,-1,2,14,41,64,12,2,21,21,80,97,0.010682957867642418,0.10100036127296996,0.2530308270499845,0.35095901799660967,0.069002612092784,0.0021739571285818047,0.1303392374958886,0.08281102909553896,0.009297505239753426,0.05908912154632302,0.22052922936721822,0.3696438324562194,0.06349225356044476,0.015199874217429172,0.11106124730680234,0.1516869363058098,3.0,-6.0,3.0,17.0,-3.0,0.0,-4.0,-10.0
METROPOLITANA DE SANTIAGO,CHAMPA,ESCUELA CARMEN REVECO NUNEZ,12V,1,12,40,65,3,15,0,2,26,2,2,12,34,28,30,32,21,5,164,27,-1,-1,1,13,39,59,11,1,20,20,76,88,0.010682957867642418,0.10100036127296996,0.2530308270499845,0.35095901799660967,0.069002612092784,0.0021739571285818047,0.1303392374958886,0.08281102909553896,0.009297505239753426,0.05908912154632302,0.22052922936721822,0.3696438324562194,0.06349225356044476,0.015199874217429172,0.11106124730680234,0.1516869363058098,0.0,-1.0,1.0,6.0,-8.0,1.0,-5.0,6.0
METROPOLITANA DE SANTIAGO,CHAMPA,ESCUELA CARMEN REVECO NUNEZ,13V,4,18,44,65,8,18,1,3,20,4,3,6,37,36,32,30,30,7,181,27,-1,-1,2,14,42,65,12,2,22,22,82,99,0.010682957867642418,0.10100036127296996,0.2530308270499845,0.35095901799660967,0.069002612092784,0.0021739571285818047,0.1303392374958886,0.08281102909553896,0.009297505239753426,0.05908912154632302,0.22052922936721822,0.3696438324562194,0.06349225356044476,0.015199874217429172,0.11106124730680234,0.1516869363058098,2.0,4.0,2.0,0.0,-4.0,2.0,-4.0,-2.0
METROPOLITANA DE SANTIAGO,CHAMPA,ESCUELA CARMEN REVECO NUNEZ,14V,2,7,32,69,9,12,0,0,20,0,3,9,35,26,30,24,17,7,151,27,-1,-1,2,12,36,54,10,1,18,18,73,78,0.010682957867642418,0.10100036127296996,0.2530308270499845,0.35095901799660967,0.069002612092784,0.0021739571285818047,0.1303392374958886,0.08281102909553896,0.009297505239753426,0.05908912154632302,0.22052922936721822,0.3696438324562194,0.06349225356044476,0.015199874217429172,0.11106124730680234,0.1516869363058098,0.0,-5.0,-4.0,15.0,-1.0,-1.0,-6.0,2.0
METROPOLITANA DE SANTIAGO,CHAMPA,ESCUELA CARMEN REVECO NUNEZ,7V,1,8,34,47,6,19,2,2,12,4,12,6,5,6,38,34,27,3,131,27,-1,-1,1,9,30,48,8,2,15,18,29,102,0.010682957867642418,0.10100036127296996,0.2530308270499845,0.35095901799660967,0.069002612092784,0.0021739571285818047,0.1303392374958886,0.08281102909553896,0.009297505239753426,0.05908912154632302,0.22052922936721822,0.3696438324562194,0.06349225356044476,0.015199874217429172,0.11106124730680234,0.1516869363058098,0.0,-1.0,4.0,-1.0,-2.0,2.0,4.0,-6.0
METROPOLITANA DE SANTIAGO,CHAMPA,ESCUELA CARMEN REVECO NUNEZ,8V,1,12,35,48,9,17,1,0,17,1,5,14,26,27,30,18,17,3,140,27,-1,-1,2,11,33,51,9,1,17,16,72,68,0.010682957867642418,0.10100036127296996,0.2530308270499845,0.35095901799660967,0.069002612092784,0.0021739571285818047,0.1303392374958886,0.08281102909553896,0.009297505239753426,0.05908912154632302,0.22052922936721822,0.3696438324562194,0.06349225356044476,0.015199874217429172,0.11106124730680234,0.1516869363058098,-1.0,1.0,2.0,-3.0,0.0,0.0,0.0,1.0
METROPOLITANA DE SANTIAGO,CHAMPA,ESCUELA CARMEN REVECO NUNEZ,9V,1,15,31,42,10,11,0,0,12,0,6,10,10,45,28,14,6,3,122,27,-1,-1,1,10,29,44,8,1,15,14,71,51,0.010682957867642418,0.10100036127296996,0.2530308270499845,0.35095901799660967,0.069002612092784,0.0021739571285818047,0.1303392374958886,0.08281102909553896,0.009297505239753426,0.05908912154632302,0.22052922936721822,0.3696438324562194,0.06349225356044476,0.015199874217429172,0.11106124730680234,0.1516869363058098,0.0,5.0,2.0,-2.0,2.0,-1.0,-4.0,-2.0
METROPOLITANA DE SANTIAGO,CHAMPA,LICEO POLIVALENTE GREGORIO MORALES MIRANDA,10M,1,17,45,54,10,24,0,0,22,0,4,11,15,48,30,31,29,5,173,27,-1,-1,2,13,41,62,11,2,21,21,78,95,0.010682957867642418,0.10100036127296996,0.2530308270499845,0.35095901799660967,0.069002612092784,0.0021739571285818047,0.1303392374958886,0.08281102909553896,0.009297505239753426,0.05908912154632302,0.22052922936721822,0.3696438324562194,0.06349225356044476,0.015199874217429172,0.11106124730680234,0.1516869363058098,-1.0,4.0,4.0,-8.0,-1.0,-2.0,3.0,1.0
METROPOLITANA DE SANTIAGO,CHAMPA,LICEO POLIVALENTE GREGORIO MORALES MIRANDA,11M,1,11,49,68,11,34,0,2,19,2,3,10,38,32,41,42,19,10,195,27,-1,-1,2,15,46,70,13,2,23,24,83,112,0.010682957867642418,0.10100036127296996,0.2530308270499845,0.35095901799660967,0.069002612092784,0.0021739571285818047,0.1303392374958886,0.08281102909553896,0.009297505239753426,0.05908912154632302,0.22052922936721822,0.3696438324562194,0.06349225356044476,0.015199874217429172,0.11106124730680234,0.1516869363058098,-1.0,-4.0,3.0,-2.0,-2.0,0.0,11.0,-5.0
