REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,30-49,50+,P_EDUARDO ARTES_18-19,P_FRANCO ALDO PARISI_18-19,P_GABRIEL BORIC_18-19,P_JOSE ANTONIO KAST_18-19,P_MARCO ENRIQUEZ-OMINAMI_18-19,P_NULO BLANCO_18-19,P_SEBASTIAN SICHEL_18-19,P_YASNA PROVOSTE_18-19,P_EDUARDO ARTES_20-29,P_FRANCO ALDO PARISI_20-29,P_GABRIEL BORIC_20-29,P_JOSE ANTONIO KAST_20-29,P_MARCO ENRIQUEZ-OMINAMI_20-29,P_NULO BLANCO_20-29,P_SEBASTIAN SICHEL_20-29,P_YASNA PROVOSTE_20-29,P_EDUARDO ARTES_30-49,P_FRANCO ALDO PARISI_30-49,P_GABRIEL BORIC_30-49,P_JOSE ANTONIO KAST_30-49,P_MARCO ENRIQUEZ-OMINAMI_30-49,P_NULO BLANCO_30-49,P_SEBASTIAN SICHEL_30-49,P_YASNA PROVOSTE_30-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,CIUDAD SATELITE,COLEGIO ALCAZAR,1,2,7,57,59,9,31,0,0,18,0,2,8,11,10,36,64,41,11,183,68,-1,-1,1,6,55,61,11,1,31,17,21,152,0.026452311919212847,0.08249426248154733,0.4313363260872443,0.1599712106791537,0.09709926167223004,0.01687775026110741,0.12147330548681429,0.06429557141269014,0.04011204101575997,0.09597043263863714,0.4466307637541098,0.17752419093949842,0.056937138441926174,0.02110673160589912,0.11639030818036152,0.04532839342380781,0.0070782183433749975,0.12432709142106209,0.35017080721944444,0.21078739617719727,0.11094445035330842,0.0029276627254722987,0.1358278383847821,0.05793653537535844,0.005889896697454722,0.016551414839279938,0.2869382588810787,0.3582873595662692,0.053031338651808514,0.003971047950860207,0.17627930496958027,0.09905137844366854,1.0,1.0,2.0,-2.0,-2.0,-1.0,0.0,1.0
METROPOLITANA DE SANTIAGO,CIUDAD SATELITE,COLEGIO ALCAZAR,10,6,25,70,53,16,22,0,1,12,1,7,61,63,42,14,12,3,3,205,68,-1,-1,4,20,76,46,17,2,28,12,105,32,0.026452311919212847,0.08249426248154733,0.4313363260872443,0.1599712106791537,0.09709926167223004,0.01687775026110741,0.12147330548681429,0.06429557141269014,0.04011204101575997,0.09597043263863714,0.4466307637541098,0.17752419093949842,0.056937138441926174,0.02110673160589912,0.11639030818036152,0.04532839342380781,0.0070782183433749975,0.12432709142106209,0.35017080721944444,0.21078739617719727,0.11094445035330842,0.0029276627254722987,0.1358278383847821,0.05793653537535844,0.005889896697454722,0.016551414839279938,0.2869382588810787,0.3582873595662692,0.053031338651808514,0.003971047950860207,0.17627930496958027,0.09905137844366854,2.0,5.0,-6.0,7.0,-1.0,-1.0,-6.0,0.0
METROPOLITANA DE SANTIAGO,CIUDAD SATELITE,COLEGIO ALCAZAR,11,6,21,73,35,20,20,0,3,11,3,3,51,65,37,19,9,5,0,189,68,-1,-1,3,18,69,43,16,2,26,12,102,33,0.026452311919212847,0.08249426248154733,0.4313363260872443,0.1599712106791537,0.09709926167223004,0.01687775026110741,0.12147330548681429,0.06429557141269014,0.04011204101575997,0.09597043263863714,0.4466307637541098,0.17752419093949842,0.056937138441926174,0.02110673160589912,0.11639030818036152,0.04532839342380781,0.0070782183433749975,0.12432709142106209,0.35017080721944444,0.21078739617719727,0.11094445035330842,0.0029276627254722987,0.1358278383847821,0.05793653537535844,0.005889896697454722,0.016551414839279938,0.2869382588810787,0.3582873595662692,0.053031338651808514,0.003971047950860207,0.17627930496958027,0.09905137844366854,3.0,3.0,4.0,-8.0,4.0,1.0,-6.0,-1.0
METROPOLITANA DE SANTIAGO,CIUDAD SATELITE,COLEGIO ALCAZAR,12,4,23,76,36,17,22,0,0,12,0,3,58,58,40,19,10,2,0,190,68,-1,-1,3,18,70,43,16,2,26,12,98,31,0.026452311919212847,0.08249426248154733,0.4313363260872443,0.1599712106791537,0.09709926167223004,0.01687775026110741,0.12147330548681429,0.06429557141269014,0.04011204101575997,0.09597043263863714,0.4466307637541098,0.17752419093949842,0.056937138441926174,0.02110673160589912,0.11639030818036152,0.04532839342380781,0.0070782183433749975,0.12432709142106209,0.35017080721944444,0.21078739617719727,0.11094445035330842,0.0029276627254722987,0.1358278383847821,0.05793653537535844,0.005889896697454722,0.016551414839279938,0.2869382588810787,0.3582873595662692,0.053031338651808514,0.003971047950860207,0.17627930496958027,0.09905137844366854,1.0,5.0,6.0,-7.0,1.0,-2.0,-4.0,0.0
METROPOLITANA DE SANTIAGO,CIUDAD SATELITE,COLEGIO ALCAZAR,13,2,28,65,45,12,25,0,2,11,2,6,65,67,29,13,8,3,0,190,68,-1,-1,4,19,72,41,16,2,25,11,96,24,0.026452311919212847,0.08249426248154733,0.4313363260872443,0.1599712106791537,0.09709926167223004,0.01687775026110741,0.12147330548681429,0.06429557141269014,0.04011204101575997,0.09597043263863714,0.4466307637541098,0.17752419093949842,0.056937138441926174,0.02110673160589912,0.11639030818036152,0.04532839342380781,0.0070782183433749975,0.12432709142106209,0.35017080721944444,0.21078739617719727,0.11094445035330842,0.0029276627254722987,0.1358278383847821,0.05793653537535844,0.005889896697454722,0.016551414839279938,0.2869382588810787,0.3582873595662692,0.053031338651808514,0.003971047950860207,0.17627930496958027,0.09905137844366854,-2.0,9.0,-7.0,4.0,-4.0,0.0,0.0,0.0
METROPOLITANA DE SANTIAGO,CIUDAD SATELITE,COLEGIO ALCAZAR,14,2,21,70,47,10,27,1,1,9,2,6,48,68,35,16,11,2,1,188,68,-1,-1,3,18,69,42,16,2,26,12,103,30,0.026452311919212847,0.08249426248154733,0.4313363260872443,0.1599712106791537,0.09709926167223004,0.01687775026110741,0.12147330548681429,0.06429557141269014,0.04011204101575997,0.09597043263863714,0.4466307637541098,0.17752419093949842,0.056937138441926174,0.02110673160589912,0.11639030818036152,0.04532839342380781,0.0070782183433749975,0.12432709142106209,0.35017080721944444,0.21078739617719727,0.11094445035330842,0.0029276627254722987,0.1358278383847821,0.05793653537535844,0.005889896697454722,0.016551414839279938,0.2869382588810787,0.3582873595662692,0.053031338651808514,0.003971047950860207,0.17627930496958027,0.09905137844366854,-1.0,3.0,1.0,5.0,-6.0,0.0,1.0,-3.0
METROPOLITANA DE SANTIAGO,CIUDAD SATELITE,COLEGIO ALCAZAR,15,2,13,81,41,22,31,0,3,10,3,2,50,72,46,23,11,1,1,203,68,-1,-1,3,20,74,46,18,1,28,13,118,36,0.026452311919212847,0.08249426248154733,0.4313363260872443,0.1599712106791537,0.09709926167223004,0.01687775026110741,0.12147330548681429,0.06429557141269014,0.04011204101575997,0.09597043263863714,0.4466307637541098,0.17752419093949842,0.056937138441926174,0.02110673160589912,0.11639030818036152,0.04532839342380781,0.0070782183433749975,0.12432709142106209,0.35017080721944444,0.21078739617719727,0.11094445035330842,0.0029276627254722987,0.1358278383847821,0.05793653537535844,0.005889896697454722,0.016551414839279938,0.2869382588810787,0.3582873595662692,0.053031338651808514,0.003971047950860207,0.17627930496958027,0.09905137844366854,-1.0,-7.0,7.0,-5.0,4.0,2.0,3.0,-3.0
METROPOLITANA DE SANTIAGO,CIUDAD SATELITE,COLEGIO ALCAZAR,16,2,17,82,62,15,21,1,1,8,2,4,55,68,47,15,14,4,0,209,68,-1,-1,3,21,77,47,18,2,28,13,115,33,0.026452311919212847,0.08249426248154733,0.4313363260872443,0.1599712106791537,0.09709926167223004,0.01687775026110741,0.12147330548681429,0.06429557141269014,0.04011204101575997,0.09597043263863714,0.4466307637541098,0.17752419093949842,0.056937138441926174,0.02110673160589912,0.11639030818036152,0.04532839342380781,0.0070782183433749975,0.12432709142106209,0.35017080721944444,0.21078739617719727,0.11094445035330842,0.0029276627254722987,0.1358278383847821,0.05793653537535844,0.005889896697454722,0.016551414839279938,0.2869382588810787,0.3582873595662692,0.053031338651808514,0.003971047950860207,0.17627930496958027,0.09905137844366854,-1.0,-4.0,5.0,15.0,-3.0,0.0,-7.0,-5.0
METROPOLITANA DE SANTIAGO,CIUDAD SATELITE,COLEGIO ALCAZAR,17,4,23,63,46,18,24,0,2,11,2,4,51,63,36,16,13,6,1,191,68,-1,-1,3,18,70,44,16,2,26,12,99,36,0.026452311919212847,0.08249426248154733,0.4313363260872443,0.1599712106791537,0.09709926167223004,0.01687775026110741,0.12147330548681429,0.06429557141269014,0.04011204101575997,0.09597043263863714,0.4466307637541098,0.17752419093949842,0.056937138441926174,0.02110673160589912,0.11639030818036152,0.04532839342380781,0.0070782183433749975,0.12432709142106209,0.35017080721944444,0.21078739617719727,0.11094445035330842,0.0029276627254722987,0.1358278383847821,0.05793653537535844,0.005889896697454722,0.016551414839279938,0.2869382588810787,0.3582873595662692,0.053031338651808514,0.003971047950860207,0.17627930496958027,0.09905137844366854,1.0,5.0,-7.0,2.0,2.0,0.0,-2.0,-1.0
METROPOLITANA DE SANTIAGO,CIUDAD SATELITE,COLEGIO ALCAZAR,18,2,22,63,43,12,30,0,2,17,2,7,53,66,33,15,11,5,1,191,68,-1,-1,3,18,71,43,16,2,26,12,99,32,0.026452311919212847,0.08249426248154733,0.4313363260872443,0.1599712106791537,0.09709926167223004,0.01687775026110741,0.12147330548681429,0.06429557141269014,0.04011204101575997,0.09597043263863714,0.4466307637541098,0.17752419093949842,0.056937138441926174,0.02110673160589912,0.11639030818036152,0.04532839342380781,0.0070782183433749975,0.12432709142106209,0.35017080721944444,0.21078739617719727,0.11094445035330842,0.0029276627254722987,0.1358278383847821,0.05793653537535844,0.005889896697454722,0.016551414839279938,0.2869382588810787,0.3582873595662692,0.053031338651808514,0.003971047950860207,0.17627930496958027,0.09905137844366854,-1.0,4.0,-8.0,0.0,-4.0,0.0,4.0,5.0
