REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,EL PRINCIPAL,LICEO EL PRINCIPAL,1,3,10,61,48,14,29,0,1,20,1,1,34,36,38,38,22,12,5,186,20,-1,-1,3,16,60,44,16,2,23,22,186,0.013637678291446577,0.08592696329898161,0.3212503615301478,0.23699024249158965,0.0878069200675871,0.010358790129846406,0.12596775912197647,0.11806128506842434,0.0,-6.0,1.0,4.0,-2.0,-1.0,6.0,-2.0
METROPOLITANA DE SANTIAGO,EL PRINCIPAL,LICEO EL PRINCIPAL,10,3,13,53,49,18,21,0,0,27,0,4,28,37,45,27,23,16,4,184,20,-1,-1,2,16,59,44,16,2,23,22,184,0.013637678291446577,0.08592696329898161,0.3212503615301478,0.23699024249158965,0.0878069200675871,0.010358790129846406,0.12596775912197647,0.11806128506842434,1.0,-3.0,-6.0,5.0,2.0,-2.0,-2.0,5.0
METROPOLITANA DE SANTIAGO,EL PRINCIPAL,LICEO EL PRINCIPAL,11,5,13,57,39,14,23,0,2,15,2,3,33,31,35,31,18,15,2,168,20,-1,-1,2,14,54,40,15,2,21,20,168,0.013637678291446577,0.08592696329898161,0.3212503615301478,0.23699024249158965,0.0878069200675871,0.010358790129846406,0.12596775912197647,0.11806128506842434,3.0,-1.0,3.0,-1.0,-1.0,0.0,2.0,-5.0
METROPOLITANA DE SANTIAGO,EL PRINCIPAL,LICEO EL PRINCIPAL,12,3,15,60,40,18,29,0,0,25,0,2,33,37,33,36,30,12,7,190,20,-1,-1,3,16,61,45,17,2,24,22,190,0.013637678291446577,0.08592696329898161,0.3212503615301478,0.23699024249158965,0.0878069200675871,0.010358790129846406,0.12596775912197647,0.11806128506842434,0.0,-1.0,-1.0,-5.0,1.0,-2.0,5.0,3.0
METROPOLITANA DE SANTIAGO,EL PRINCIPAL,LICEO EL PRINCIPAL,13,3,21,59,45,15,18,0,1,17,1,15,72,31,25,22,11,6,0,179,20,-1,-1,2,15,58,42,16,2,23,21,182,0.013637678291446577,0.08592696329898161,0.3212503615301478,0.23699024249158965,0.0878069200675871,0.010358790129846406,0.12596775912197647,0.11806128506842434,1.0,6.0,1.0,3.0,-1.0,-1.0,-5.0,-4.0
METROPOLITANA DE SANTIAGO,EL PRINCIPAL,LICEO EL PRINCIPAL,14,4,27,87,49,20,15,1,3,20,4,31,37,41,51,42,19,5,0,226,20,-1,-1,3,19,73,54,20,2,28,27,226,0.013637678291446577,0.08592696329898161,0.3212503615301478,0.23699024249158965,0.0878069200675871,0.010358790129846406,0.12596775912197647,0.11806128506842434,1.0,8.0,14.0,-5.0,0.0,2.0,-13.0,-7.0
METROPOLITANA DE SANTIAGO,EL PRINCIPAL,LICEO EL PRINCIPAL,15,0,15,27,27,8,9,1,1,5,2,7,46,24,10,2,3,1,0,93,20,-1,-1,1,8,30,22,8,1,12,11,93,0.013637678291446577,0.08592696329898161,0.3212503615301478,0.23699024249158965,0.0878069200675871,0.010358790129846406,0.12596775912197647,0.11806128506842434,-1.0,7.0,-3.0,5.0,0.0,1.0,-3.0,-6.0
METROPOLITANA DE SANTIAGO,EL PRINCIPAL,LICEO EL PRINCIPAL,16,3,29,87,57,18,28,0,2,29,2,38,12,62,56,45,31,7,2,253,20,-1,-1,3,22,81,60,22,3,32,30,253,0.013637678291446577,0.08592696329898161,0.3212503615301478,0.23699024249158965,0.0878069200675871,0.010358790129846406,0.12596775912197647,0.11806128506842434,0.0,7.0,6.0,-3.0,-4.0,-1.0,-4.0,-1.0
METROPOLITANA DE SANTIAGO,EL PRINCIPAL,LICEO EL PRINCIPAL,17,3,20,84,52,22,27,0,1,29,1,4,79,56,37,27,22,13,0,238,20,-1,-1,3,20,77,56,21,3,30,28,238,0.013637678291446577,0.08592696329898161,0.3212503615301478,0.23699024249158965,0.0878069200675871,0.010358790129846406,0.12596775912197647,0.11806128506842434,0.0,0.0,7.0,-4.0,1.0,-2.0,-3.0,1.0
METROPOLITANA DE SANTIAGO,EL PRINCIPAL,LICEO EL PRINCIPAL,18,1,11,80,44,18,23,0,2,26,2,10,12,23,42,61,47,9,1,205,20,-1,-1,3,18,66,48,18,2,26,24,205,0.013637678291446577,0.08592696329898161,0.3212503615301478,0.23699024249158965,0.0878069200675871,0.010358790129846406,0.12596775912197647,0.11806128506842434,-2.0,-7.0,14.0,-4.0,0.0,0.0,-3.0,2.0
