REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,1,8,27,52,49,14,21,0,2,16,2,0,28,42,32,36,27,17,6,189,13,-1,-1,4,27,48,49,15,2,26,18,188,0.020166489186441032,0.14120644769114576,0.25513365921570236,0.26063316419277577,0.07860757437093265,0.013021389102246799,0.13832436965957196,0.09290690658118368,4.0,0.0,4.0,0.0,-1.0,0.0,-5.0,-2.0
METROPOLITANA DE SANTIAGO,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,10,5,44,44,59,18,26,1,0,11,1,32,26,60,45,27,11,6,1,208,13,-1,-1,4,30,53,54,16,3,29,19,208,0.020166489186441032,0.14120644769114576,0.25513365921570236,0.26063316419277577,0.07860757437093265,0.013021389102246799,0.13832436965957196,0.09290690658118368,1.0,14.0,-9.0,5.0,2.0,-2.0,-3.0,-8.0
METROPOLITANA DE SANTIAGO,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,11,2,30,44,54,8,30,0,3,22,3,22,32,58,38,21,17,4,1,193,13,-1,-1,4,27,49,50,15,3,27,18,193,0.020166489186441032,0.14120644769114576,0.25513365921570236,0.26063316419277577,0.07860757437093265,0.013021389102246799,0.13832436965957196,0.09290690658118368,-2.0,3.0,-5.0,4.0,-7.0,0.0,3.0,4.0
METROPOLITANA DE SANTIAGO,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,12,3,20,58,66,20,32,0,1,13,1,8,19,53,53,45,26,5,4,213,13,-1,-1,4,30,54,56,17,3,29,20,213,0.020166489186441032,0.14120644769114576,0.25513365921570236,0.26063316419277577,0.07860757437093265,0.013021389102246799,0.13832436965957196,0.09290690658118368,-1.0,-10.0,4.0,10.0,3.0,-2.0,3.0,-7.0
METROPOLITANA DE SANTIAGO,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,13,0,13,26,20,4,13,1,0,7,1,4,23,26,8,8,9,4,2,84,13,-1,-1,2,12,21,22,6,1,12,8,84,0.020166489186441032,0.14120644769114576,0.25513365921570236,0.26063316419277577,0.07860757437093265,0.013021389102246799,0.13832436965957196,0.09290690658118368,-2.0,1.0,5.0,-2.0,-2.0,0.0,1.0,-1.0
METROPOLITANA DE SANTIAGO,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,2,4,31,43,42,15,16,0,0,22,0,1,35,29,31,30,26,14,6,173,13,-1,-1,4,24,44,45,14,2,24,16,172,0.020166489186441032,0.14120644769114576,0.25513365921570236,0.26063316419277577,0.07860757437093265,0.013021389102246799,0.13832436965957196,0.09290690658118368,0.0,7.0,-1.0,-3.0,1.0,-2.0,-8.0,6.0
METROPOLITANA DE SANTIAGO,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,3,1,25,47,46,13,31,0,5,10,5,0,34,34,28,37,23,17,4,178,13,-1,-1,4,25,45,46,14,2,25,17,177,0.020166489186441032,0.14120644769114576,0.25513365921570236,0.26063316419277577,0.07860757437093265,0.013021389102246799,0.13832436965957196,0.09290690658118368,-3.0,0.0,2.0,0.0,-1.0,3.0,6.0,-7.0
METROPOLITANA DE SANTIAGO,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,4,3,19,43,55,7,34,2,0,21,2,1,34,36,37,34,22,18,2,184,13,-1,-1,4,26,47,48,15,2,25,17,184,0.020166489186441032,0.14120644769114576,0.25513365921570236,0.26063316419277577,0.07860757437093265,0.013021389102246799,0.13832436965957196,0.09290690658118368,-1.0,-7.0,-4.0,7.0,-8.0,0.0,9.0,4.0
METROPOLITANA DE SANTIAGO,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,5,7,24,52,40,12,24,2,0,20,2,1,39,33,34,33,26,12,2,181,13,-1,-1,4,26,46,47,14,2,25,17,180,0.020166489186441032,0.14120644769114576,0.25513365921570236,0.26063316419277577,0.07860757437093265,0.013021389102246799,0.13832436965957196,0.09290690658118368,3.0,-2.0,6.0,-7.0,-2.0,0.0,-1.0,3.0
METROPOLITANA DE SANTIAGO,HUERTOS FAMILIARES,LICEO HUERTOS FAMILIARES,6,3,28,44,51,16,16,1,5,15,6,1,33,25,34,38,30,12,5,179,13,-1,-1,3,25,46,47,14,2,25,17,178,0.020166489186441032,0.14120644769114576,0.25513365921570236,0.26063316419277577,0.07860757437093265,0.013021389102246799,0.13832436965957196,0.09290690658118368,0.0,3.0,-2.0,4.0,2.0,4.0,-9.0,-2.0
