REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,70+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50-59,P_FRANCO ALDO PARISI_50-59,P_GABRIEL BORIC_50-59,P_JOSE ANTONIO KAST_50-59,P_MARCO ENRIQUEZ-OMINAMI_50-59,P_NULO BLANCO_50-59,P_SEBASTIAN SICHEL_50-59,P_YASNA PROVOSTE_50-59,P_EDUARDO ARTES_60-69,P_FRANCO ALDO PARISI_60-69,P_GABRIEL BORIC_60-69,P_JOSE ANTONIO KAST_60-69,P_MARCO ENRIQUEZ-OMINAMI_60-69,P_NULO BLANCO_60-69,P_SEBASTIAN SICHEL_60-69,P_YASNA PROVOSTE_60-69,P_EDUARDO ARTES_70+,P_FRANCO ALDO PARISI_70+,P_GABRIEL BORIC_70+,P_JOSE ANTONIO KAST_70+,P_MARCO ENRIQUEZ-OMINAMI_70+,P_NULO BLANCO_70+,P_SEBASTIAN SICHEL_70+,P_YASNA PROVOSTE_70+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,116M,7,16,40,23,25,18,1,1,23,2,5,13,41,47,19,18,9,2,154,318,-1,-1,4,17,52,27,18,2,15,19,18,11,0.03139807045416104,0.18421374082615086,0.4554076654432001,0.12062505106668864,0.09690504970478502,0.007653140700882228,0.06310314172668723,0.040694140077445075,0.029139344020696612,0.16469005227380795,0.4052052856092548,0.15593761528229172,0.11127283544440782,0.008183339898963814,0.06433595868700147,0.061235568783576035,0.022418556796866135,0.09756920326920289,0.3213170019245093,0.1895171000136685,0.1023580824433426,0.013959466569939747,0.11810273049990176,0.13475785848256902,0.01114218283302995,0.07930640423495794,0.25835130410602397,0.1849641112904064,0.1577030043174129,0.010416221494084943,0.11620019881167282,0.181916572912411,0.01757157545796107,0.04175998404777332,0.2488774971985297,0.22814696425108874,0.17149409070300403,0.01442314420142574,0.10820882839905362,0.16951791574116393,0.01861335278514809,0.016981282367246317,0.22371540549561358,0.21447780375031897,0.08984641254553768,0.01302293514788856,0.16816667658823875,0.2551761313200078,3.0,-1.0,-12.0,-4.0,7.0,0.0,3.0,4.0
METROPOLITANA DE SANTIAGO,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,117M,1,14,51,27,21,12,2,2,22,4,5,16,36,45,23,23,3,1,152,318,-1,-1,3,17,51,27,19,2,15,18,21,4,0.03139807045416104,0.18421374082615086,0.4554076654432001,0.12062505106668864,0.09690504970478502,0.007653140700882228,0.06310314172668723,0.040694140077445075,0.029139344020696612,0.16469005227380795,0.4052052856092548,0.15593761528229172,0.11127283544440782,0.008183339898963814,0.06433595868700147,0.061235568783576035,0.022418556796866135,0.09756920326920289,0.3213170019245093,0.1895171000136685,0.1023580824433426,0.013959466569939747,0.11810273049990176,0.13475785848256902,0.01114218283302995,0.07930640423495794,0.25835130410602397,0.1849641112904064,0.1577030043174129,0.010416221494084943,0.11620019881167282,0.181916572912411,0.01757157545796107,0.04175998404777332,0.2488774971985297,0.22814696425108874,0.17149409070300403,0.01442314420142574,0.10820882839905362,0.16951791574116393,0.01861335278514809,0.016981282367246317,0.22371540549561358,0.21447780375031897,0.08984641254553768,0.01302293514788856,0.16816667658823875,0.2551761313200078,-2.0,-3.0,0.0,0.0,2.0,2.0,-3.0,4.0
METROPOLITANA DE SANTIAGO,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,118M,3,16,46,24,31,15,0,0,18,0,5,10,47,33,27,21,8,2,153,318,-1,-1,3,17,51,27,19,2,15,19,15,10,0.03139807045416104,0.18421374082615086,0.4554076654432001,0.12062505106668864,0.09690504970478502,0.007653140700882228,0.06310314172668723,0.040694140077445075,0.029139344020696612,0.16469005227380795,0.4052052856092548,0.15593761528229172,0.11127283544440782,0.008183339898963814,0.06433595868700147,0.061235568783576035,0.022418556796866135,0.09756920326920289,0.3213170019245093,0.1895171000136685,0.1023580824433426,0.013959466569939747,0.11810273049990176,0.13475785848256902,0.01114218283302995,0.07930640423495794,0.25835130410602397,0.1849641112904064,0.1577030043174129,0.010416221494084943,0.11620019881167282,0.181916572912411,0.01757157545796107,0.04175998404777332,0.2488774971985297,0.22814696425108874,0.17149409070300403,0.01442314420142574,0.10820882839905362,0.16951791574116393,0.01861335278514809,0.016981282367246317,0.22371540549561358,0.21447780375031897,0.08984641254553768,0.01302293514788856,0.16816667658823875,0.2551761313200078,0.0,-1.0,-5.0,-3.0,12.0,-2.0,0.0,-1.0
METROPOLITANA DE SANTIAGO,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,119M,2,11,50,21,19,16,0,3,24,3,1,7,31,39,26,28,11,2,146,318,-1,-1,3,14,46,27,18,2,16,20,8,13,0.03139807045416104,0.18421374082615086,0.4554076654432001,0.12062505106668864,0.09690504970478502,0.007653140700882228,0.06310314172668723,0.040694140077445075,0.029139344020696612,0.16469005227380795,0.4052052856092548,0.15593761528229172,0.11127283544440782,0.008183339898963814,0.06433595868700147,0.061235568783576035,0.022418556796866135,0.09756920326920289,0.3213170019245093,0.1895171000136685,0.1023580824433426,0.013959466569939747,0.11810273049990176,0.13475785848256902,0.01114218283302995,0.07930640423495794,0.25835130410602397,0.1849641112904064,0.1577030043174129,0.010416221494084943,0.11620019881167282,0.181916572912411,0.01757157545796107,0.04175998404777332,0.2488774971985297,0.22814696425108874,0.17149409070300403,0.01442314420142574,0.10820882839905362,0.16951791574116393,0.01861335278514809,0.016981282367246317,0.22371540549561358,0.21447780375031897,0.08984641254553768,0.01302293514788856,0.16816667658823875,0.2551761313200078,-1.0,-3.0,4.0,-6.0,1.0,1.0,0.0,4.0
METROPOLITANA DE SANTIAGO,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,120M,10,23,49,26,21,18,0,0,28,0,2,16,39,46,24,34,9,5,175,318,-1,-1,4,18,56,32,22,2,18,23,18,14,0.03139807045416104,0.18421374082615086,0.4554076654432001,0.12062505106668864,0.09690504970478502,0.007653140700882228,0.06310314172668723,0.040694140077445075,0.029139344020696612,0.16469005227380795,0.4052052856092548,0.15593761528229172,0.11127283544440782,0.008183339898963814,0.06433595868700147,0.061235568783576035,0.022418556796866135,0.09756920326920289,0.3213170019245093,0.1895171000136685,0.1023580824433426,0.013959466569939747,0.11810273049990176,0.13475785848256902,0.01114218283302995,0.07930640423495794,0.25835130410602397,0.1849641112904064,0.1577030043174129,0.010416221494084943,0.11620019881167282,0.181916572912411,0.01757157545796107,0.04175998404777332,0.2488774971985297,0.22814696425108874,0.17149409070300403,0.01442314420142574,0.10820882839905362,0.16951791574116393,0.01861335278514809,0.016981282367246317,0.22371540549561358,0.21447780375031897,0.08984641254553768,0.01302293514788856,0.16816667658823875,0.2551761313200078,6.0,5.0,-7.0,-6.0,-1.0,-2.0,0.0,5.0
METROPOLITANA DE SANTIAGO,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,121M,6,20,55,33,29,19,0,0,24,0,2,16,34,31,35,51,15,3,186,318,-1,-1,4,17,57,35,24,2,20,27,18,18,0.03139807045416104,0.18421374082615086,0.4554076654432001,0.12062505106668864,0.09690504970478502,0.007653140700882228,0.06310314172668723,0.040694140077445075,0.029139344020696612,0.16469005227380795,0.4052052856092548,0.15593761528229172,0.11127283544440782,0.008183339898963814,0.06433595868700147,0.061235568783576035,0.022418556796866135,0.09756920326920289,0.3213170019245093,0.1895171000136685,0.1023580824433426,0.013959466569939747,0.11810273049990176,0.13475785848256902,0.01114218283302995,0.07930640423495794,0.25835130410602397,0.1849641112904064,0.1577030043174129,0.010416221494084943,0.11620019881167282,0.181916572912411,0.01757157545796107,0.04175998404777332,0.2488774971985297,0.22814696425108874,0.17149409070300403,0.01442314420142574,0.10820882839905362,0.16951791574116393,0.01861335278514809,0.016981282367246317,0.22371540549561358,0.21447780375031897,0.08984641254553768,0.01302293514788856,0.16816667658823875,0.2551761313200078,2.0,3.0,-2.0,-2.0,5.0,-2.0,-1.0,-3.0
METROPOLITANA DE SANTIAGO,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,122M,4,19,54,32,23,13,0,1,25,1,4,18,22,44,37,31,13,2,171,318,-1,-1,3,16,54,32,22,2,18,24,22,15,0.03139807045416104,0.18421374082615086,0.4554076654432001,0.12062505106668864,0.09690504970478502,0.007653140700882228,0.06310314172668723,0.040694140077445075,0.029139344020696612,0.16469005227380795,0.4052052856092548,0.15593761528229172,0.11127283544440782,0.008183339898963814,0.06433595868700147,0.061235568783576035,0.022418556796866135,0.09756920326920289,0.3213170019245093,0.1895171000136685,0.1023580824433426,0.013959466569939747,0.11810273049990176,0.13475785848256902,0.01114218283302995,0.07930640423495794,0.25835130410602397,0.1849641112904064,0.1577030043174129,0.010416221494084943,0.11620019881167282,0.181916572912411,0.01757157545796107,0.04175998404777332,0.2488774971985297,0.22814696425108874,0.17149409070300403,0.01442314420142574,0.10820882839905362,0.16951791574116393,0.01861335278514809,0.016981282367246317,0.22371540549561358,0.21447780375031897,0.08984641254553768,0.01302293514788856,0.16816667658823875,0.2551761313200078,1.0,3.0,0.0,0.0,1.0,-1.0,-5.0,1.0
METROPOLITANA DE SANTIAGO,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,123M,8,17,54,38,15,9,0,0,16,0,7,16,29,32,37,23,11,2,157,318,-1,-1,3,16,51,28,20,2,16,21,23,13,0.03139807045416104,0.18421374082615086,0.4554076654432001,0.12062505106668864,0.09690504970478502,0.007653140700882228,0.06310314172668723,0.040694140077445075,0.029139344020696612,0.16469005227380795,0.4052052856092548,0.15593761528229172,0.11127283544440782,0.008183339898963814,0.06433595868700147,0.061235568783576035,0.022418556796866135,0.09756920326920289,0.3213170019245093,0.1895171000136685,0.1023580824433426,0.013959466569939747,0.11810273049990176,0.13475785848256902,0.01114218283302995,0.07930640423495794,0.25835130410602397,0.1849641112904064,0.1577030043174129,0.010416221494084943,0.11620019881167282,0.181916572912411,0.01757157545796107,0.04175998404777332,0.2488774971985297,0.22814696425108874,0.17149409070300403,0.01442314420142574,0.10820882839905362,0.16951791574116393,0.01861335278514809,0.016981282367246317,0.22371540549561358,0.21447780375031897,0.08984641254553768,0.01302293514788856,0.16816667658823875,0.2551761313200078,5.0,1.0,3.0,10.0,-5.0,-2.0,-7.0,-5.0
METROPOLITANA DE SANTIAGO,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,124M,3,17,59,24,18,24,4,2,12,6,2,18,23,73,28,11,7,1,163,318,-1,-1,4,17,54,29,19,2,17,21,20,8,0.03139807045416104,0.18421374082615086,0.4554076654432001,0.12062505106668864,0.09690504970478502,0.007653140700882228,0.06310314172668723,0.040694140077445075,0.029139344020696612,0.16469005227380795,0.4052052856092548,0.15593761528229172,0.11127283544440782,0.008183339898963814,0.06433595868700147,0.061235568783576035,0.022418556796866135,0.09756920326920289,0.3213170019245093,0.1895171000136685,0.1023580824433426,0.013959466569939747,0.11810273049990176,0.13475785848256902,0.01114218283302995,0.07930640423495794,0.25835130410602397,0.1849641112904064,0.1577030043174129,0.010416221494084943,0.11620019881167282,0.181916572912411,0.01757157545796107,0.04175998404777332,0.2488774971985297,0.22814696425108874,0.17149409070300403,0.01442314420142574,0.10820882839905362,0.16951791574116393,0.01861335278514809,0.016981282367246317,0.22371540549561358,0.21447780375031897,0.08984641254553768,0.01302293514788856,0.16816667658823875,0.2551761313200078,-1.0,0.0,5.0,-5.0,-1.0,4.0,7.0,-9.0
METROPOLITANA DE SANTIAGO,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,125M,2,26,56,24,22,17,0,0,24,0,2,14,28,42,39,31,14,1,171,318,-1,-1,4,16,53,32,22,2,18,24,16,15,0.03139807045416104,0.18421374082615086,0.4554076654432001,0.12062505106668864,0.09690504970478502,0.007653140700882228,0.06310314172668723,0.040694140077445075,0.029139344020696612,0.16469005227380795,0.4052052856092548,0.15593761528229172,0.11127283544440782,0.008183339898963814,0.06433595868700147,0.061235568783576035,0.022418556796866135,0.09756920326920289,0.3213170019245093,0.1895171000136685,0.1023580824433426,0.013959466569939747,0.11810273049990176,0.13475785848256902,0.01114218283302995,0.07930640423495794,0.25835130410602397,0.1849641112904064,0.1577030043174129,0.010416221494084943,0.11620019881167282,0.181916572912411,0.01757157545796107,0.04175998404777332,0.2488774971985297,0.22814696425108874,0.17149409070300403,0.01442314420142574,0.10820882839905362,0.16951791574116393,0.01861335278514809,0.016981282367246317,0.22371540549561358,0.21447780375031897,0.08984641254553768,0.01302293514788856,0.16816667658823875,0.2551761313200078,-2.0,10.0,3.0,-8.0,0.0,-2.0,-1.0,0.0
