REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,81M,5,12,50,50,20,16,0,1,10,1,1,12,43,57,26,15,7,3,164,237,0.3,-0.5228787452803376,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,82M,1,13,59,37,13,23,2,0,12,2,3,11,51,43,24,13,11,4,160,237,0.78,-0.10790539730951958,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,83M,4,4,49,36,9,19,1,0,14,1,4,13,33,35,25,17,6,3,136,237,0.74,-0.13076828026902382,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,84M,3,7,52,39,14,21,1,1,13,2,2,12,37,50,21,20,8,0,151,237,0.97,-0.01322826573375516,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,85M,4,10,53,32,9,29,0,0,22,0,1,17,40,30,21,33,11,6,159,237,0.11,-0.958607314841775,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,86M,5,9,52,37,10,14,1,2,16,3,6,20,41,27,22,21,8,1,146,237,0.63,-0.2006594505464183,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,87M,5,8,52,37,10,29,0,1,19,1,3,18,37,34,27,23,15,4,161,237,0.39,-0.4089353929735008,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,88M,3,14,59,33,13,22,1,3,13,4,1,17,36,45,26,27,4,5,161,237,0.44,-0.3565473235138126,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,89M,1,6,64,40,12,19,1,2,16,3,2,16,27,53,23,27,12,2,161,237,0.55,-0.2596373105057561,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,90M,4,13,62,36,13,22,0,0,11,0,5,17,46,39,26,20,6,2,161,237,0.83,-0.08092190762392612,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,91M,5,8,53,39,11,19,0,1,5,1,4,14,54,17,25,17,10,0,141,237,0.37,-0.431798275933005,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,92M,3,9,62,49,13,24,1,0,9,1,5,18,67,11,28,28,8,4,170,237,0.65,-0.18708664335714442,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,93M,2,5,65,38,18,26,1,0,11,1,2,7,60,27,25,32,9,5,166,237,0.19,-0.721246399047171,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,94M,5,10,85,27,18,18,0,0,11,0,4,14,69,34,23,18,11,2,174,237,0.013,-1.8860566476931633,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,95M,6,5,61,51,18,29,0,2,23,2,6,14,45,48,35,27,16,3,195,237,0.37,-0.431798275933005,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,96M,3,8,61,36,10,22,0,0,25,0,5,19,50,35,24,19,12,1,165,237,0.11,-0.958607314841775,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,97M,6,15,57,31,13,22,3,1,22,4,4,10,57,44,30,18,5,2,170,237,0.07,-1.154901959985743,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,98M,4,9,67,47,12,16,0,2,14,2,3,30,40,24,31,24,15,4,171,237,0.75,-0.12493873660829995,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,10M,1,5,32,37,9,19,1,1,11,2,0,25,10,13,18,26,14,11,116,237,0.78,-0.10790539730951958,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,11M,3,5,40,16,9,17,0,7,6,7,1,23,4,6,22,20,17,10,103,237,0.0007,-3.154901959985743,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,12M,2,3,41,25,7,17,0,6,10,6,2,28,3,3,19,23,25,8,111,237,0.07,-1.154901959985743,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,13M,4,5,36,30,12,31,1,1,16,2,3,20,11,7,32,24,29,10,136,237,0.23,-0.638272163982407,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,14M,0,4,41,34,3,28,0,1,13,1,4,18,8,5,24,29,28,8,124,237,0.08,-1.0969100130080565,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,15M,1,3,37,33,7,18,1,2,10,3,2,17,5,6,16,30,26,10,112,237,0.8,-0.09691001300805639,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,16M,2,9,27,33,8,15,0,0,16,0,5,19,2,4,20,34,21,6,110,237,0.25,-0.6020599913279624,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,17M,1,4,36,39,13,20,0,1,10,1,0,27,10,8,19,29,25,6,124,237,0.74,-0.13076828026902382,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,18M,2,6,39,29,15,20,1,2,15,3,3,22,5,10,21,33,25,10,129,237,0.65,-0.18708664335714442,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,19M,0,4,39,32,9,22,0,0,17,0,4,24,9,6,28,23,23,6,123,237,0.51,-0.2924298239020636,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,1M,4,4,46,39,6,16,1,1,12,2,1,45,15,3,21,19,18,7,129,237,0.42,-0.37675070960209955,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,20M,1,5,53,34,11,23,0,1,9,1,5,38,10,5,13,35,22,10,137,237,0.58,-0.23657200643706275,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,2M,4,9,40,23,10,19,0,0,12,0,5,53,13,7,9,8,11,11,117,237,0.59,-0.22914798835785583,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,3M,1,6,35,29,13,16,0,2,8,2,1,37,6,4,16,16,18,12,110,237,0.76,-0.11918640771920865,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,4M,5,9,38,33,4,19,0,1,13,1,1,47,9,4,14,23,15,9,122,237,0.23,-0.638272163982407,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,5M,2,5,29,32,11,13,1,0,9,1,3,21,1,5,19,23,15,15,102,237,0.84,-0.07572071393811836,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,6M,2,8,37,33,10,11,0,1,13,1,0,29,6,8,15,29,13,15,115,237,0.89,-0.05060999335508721,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,7M,1,2,37,28,5,11,0,1,10,1,2,32,9,2,12,18,8,12,95,237,0.66,-0.1804560644581313,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,8M,1,2,32,37,13,25,1,0,12,1,4,21,11,3,17,36,19,12,123,237,0.16,-0.7958800173440752,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 1,9M,2,5,19,44,11,13,1,2,18,3,0,17,9,7,23,27,21,11,115,237,0.006,-2.221848749616356,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,21M,2,9,44,38,13,18,0,1,16,1,2,34,9,5,17,32,31,11,141,237,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,22M,1,6,32,36,11,22,0,0,16,0,2,22,8,5,13,43,21,10,124,237,0.53,-0.27572413039921095,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,23M,1,6,48,35,17,17,0,0,17,0,3,18,5,6,27,41,31,10,141,237,0.52,-0.28399665636520083,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,24M,2,7,33,39,11,10,1,0,14,1,1,22,5,6,19,34,20,10,117,237,0.5,-0.3010299956639812,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,25M,2,7,39,31,8,15,0,0,9,0,2,18,9,6,22,34,16,4,111,237,0.93,-0.03151705144606486,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,26M,2,8,36,42,11,18,0,0,12,0,2,19,8,7,30,37,20,7,129,237,0.72,-0.14266750356873156,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,27M,2,5,36,27,10,18,0,0,11,0,0,23,2,4,25,29,12,14,109,237,0.97,-0.01322826573375516,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,28M,5,1,41,28,12,19,0,0,13,0,4,18,9,6,20,34,18,10,119,237,0.09,-1.0457574905606752,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,29M,1,6,49,27,21,14,0,1,13,1,0,26,7,4,32,41,16,6,132,237,0.1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,30M,2,2,51,30,9,15,0,1,16,1,2,17,7,5,34,33,22,6,126,237,0.49,-0.3098039199714863,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,31M,3,9,38,27,7,20,1,0,5,1,2,15,7,1,25,33,18,9,110,237,0.08,-1.0969100130080565,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,32M,0,3,41,23,10,24,0,1,11,1,2,14,4,6,26,33,16,12,113,237,0.27,-0.5686362358410126,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA ARTURO ALESSANDRI PALMA LOCAL: 2,33M,2,7,33,41,13,16,0,3,19,3,5,25,5,3,28,31,26,10,134,237,0.47,-0.3279021420642826,-1,-1,-1,-1,-1,-1,-1,-1
