REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,PADRE HURTADO,CENTRO DE EMPRENDIMIENTO,100,2,27,65,66,28,29,2,0,13,2,1,46,82,36,38,15,10,3,232,136,-1,-1,4,37,67,47,29,2,25,21,47,66,0.029252420530998937,0.19727937515300087,0.38518314036161505,0.15765242771986113,0.10058121807675843,0.008451672514770222,0.08016914297180347,0.041430602671191925,0.01749268471533192,0.21887186641732403,0.29790320696759576,0.1980970340414665,0.12176837073446006,0.0032238247184548136,0.093069989139404,0.049573023265962954,0.011683518707728519,0.1522025142762481,0.25797926031979285,0.26798819196227613,0.09918174448565835,0.002955871782784344,0.1370741901730702,0.07093470829244151,0.011610670228003982,0.05844627224759003,0.2323766382045879,0.209515828275284,0.15234178564943365,0.021448198619558108,0.12534790236743973,0.18891270440810254,-2.0,-10.0,-2.0,19.0,-1.0,0.0,4.0,-8.0
METROPOLITANA DE SANTIAGO,PADRE HURTADO,CENTRO DE EMPRENDIMIENTO,101,0,10,25,22,15,9,0,0,16,0,10,0,0,0,13,58,16,1,97,136,-1,-1,1,7,24,20,14,2,12,17,10,88,0.029252420530998937,0.19727937515300087,0.38518314036161505,0.15765242771986113,0.10058121807675843,0.008451672514770222,0.08016914297180347,0.041430602671191925,0.01749268471533192,0.21887186641732403,0.29790320696759576,0.1980970340414665,0.12176837073446006,0.0032238247184548136,0.093069989139404,0.049573023265962954,0.011683518707728519,0.1522025142762481,0.25797926031979285,0.26798819196227613,0.09918174448565835,0.002955871782784344,0.1370741901730702,0.07093470829244151,0.011610670228003982,0.05844627224759003,0.2323766382045879,0.209515828275284,0.15234178564943365,0.021448198619558108,0.12534790236743973,0.18891270440810254,-1.0,3.0,1.0,2.0,1.0,-2.0,-3.0,-1.0
METROPOLITANA DE SANTIAGO,PADRE HURTADO,CENTRO DE EMPRENDIMIENTO,102,1,34,78,56,25,18,0,2,21,2,5,44,79,51,47,5,3,0,235,136,-1,-1,4,38,69,49,28,2,25,20,49,55,0.029252420530998937,0.19727937515300087,0.38518314036161505,0.15765242771986113,0.10058121807675843,0.008451672514770222,0.08016914297180347,0.041430602671191925,0.01749268471533192,0.21887186641732403,0.29790320696759576,0.1980970340414665,0.12176837073446006,0.0032238247184548136,0.093069989139404,0.049573023265962954,0.011683518707728519,0.1522025142762481,0.25797926031979285,0.26798819196227613,0.09918174448565835,0.002955871782784344,0.1370741901730702,0.07093470829244151,0.011610670228003982,0.05844627224759003,0.2323766382045879,0.209515828275284,0.15234178564943365,0.021448198619558108,0.12534790236743973,0.18891270440810254,-3.0,-4.0,9.0,7.0,-3.0,0.0,-7.0,1.0
METROPOLITANA DE SANTIAGO,PADRE HURTADO,CENTRO DE EMPRENDIMIENTO,103,5,40,78,55,24,31,0,0,16,0,2,49,92,56,37,13,0,1,249,136,-1,-1,4,41,73,52,30,2,27,20,51,51,0.029252420530998937,0.19727937515300087,0.38518314036161505,0.15765242771986113,0.10058121807675843,0.008451672514770222,0.08016914297180347,0.041430602671191925,0.01749268471533192,0.21887186641732403,0.29790320696759576,0.1980970340414665,0.12176837073446006,0.0032238247184548136,0.093069989139404,0.049573023265962954,0.011683518707728519,0.1522025142762481,0.25797926031979285,0.26798819196227613,0.09918174448565835,0.002955871782784344,0.1370741901730702,0.07093470829244151,0.011610670228003982,0.05844627224759003,0.2323766382045879,0.209515828275284,0.15234178564943365,0.021448198619558108,0.12534790236743973,0.18891270440810254,1.0,-1.0,5.0,3.0,-6.0,-2.0,4.0,-4.0
METROPOLITANA DE SANTIAGO,PADRE HURTADO,CENTRO DE EMPRENDIMIENTO,104,3,38,68,56,25,35,0,0,18,0,2,47,92,44,45,11,2,0,243,136,-1,-1,4,40,71,50,29,2,26,21,49,58,0.029252420530998937,0.19727937515300087,0.38518314036161505,0.15765242771986113,0.10058121807675843,0.008451672514770222,0.08016914297180347,0.041430602671191925,0.01749268471533192,0.21887186641732403,0.29790320696759576,0.1980970340414665,0.12176837073446006,0.0032238247184548136,0.093069989139404,0.049573023265962954,0.011683518707728519,0.1522025142762481,0.25797926031979285,0.26798819196227613,0.09918174448565835,0.002955871782784344,0.1370741901730702,0.07093470829244151,0.011610670228003982,0.05844627224759003,0.2323766382045879,0.209515828275284,0.15234178564943365,0.021448198619558108,0.12534790236743973,0.18891270440810254,-1.0,-2.0,-3.0,6.0,-4.0,-2.0,9.0,-3.0
METROPOLITANA DE SANTIAGO,PADRE HURTADO,CENTRO DE EMPRENDIMIENTO,105,3,48,74,39,32,30,0,1,18,1,5,51,93,49,38,9,0,0,245,136,-1,-1,4,42,73,50,29,2,26,19,56,47,0.029252420530998937,0.19727937515300087,0.38518314036161505,0.15765242771986113,0.10058121807675843,0.008451672514770222,0.08016914297180347,0.041430602671191925,0.01749268471533192,0.21887186641732403,0.29790320696759576,0.1980970340414665,0.12176837073446006,0.0032238247184548136,0.093069989139404,0.049573023265962954,0.011683518707728519,0.1522025142762481,0.25797926031979285,0.26798819196227613,0.09918174448565835,0.002955871782784344,0.1370741901730702,0.07093470829244151,0.011610670228003982,0.05844627224759003,0.2323766382045879,0.209515828275284,0.15234178564943365,0.021448198619558108,0.12534790236743973,0.18891270440810254,-1.0,6.0,1.0,-11.0,3.0,-1.0,4.0,-1.0
METROPOLITANA DE SANTIAGO,PADRE HURTADO,CENTRO DE EMPRENDIMIENTO,106,3,25,75,66,34,24,0,1,19,1,4,51,90,52,43,5,2,0,247,136,-1,-1,4,42,73,51,29,2,26,20,55,50,0.029252420530998937,0.19727937515300087,0.38518314036161505,0.15765242771986113,0.10058121807675843,0.008451672514770222,0.08016914297180347,0.041430602671191925,0.01749268471533192,0.21887186641732403,0.29790320696759576,0.1980970340414665,0.12176837073446006,0.0032238247184548136,0.093069989139404,0.049573023265962954,0.011683518707728519,0.1522025142762481,0.25797926031979285,0.26798819196227613,0.09918174448565835,0.002955871782784344,0.1370741901730702,0.07093470829244151,0.011610670228003982,0.05844627224759003,0.2323766382045879,0.209515828275284,0.15234178564943365,0.021448198619558108,0.12534790236743973,0.18891270440810254,-1.0,-17.0,2.0,15.0,5.0,-1.0,-2.0,-1.0
METROPOLITANA DE SANTIAGO,PADRE HURTADO,CENTRO DE EMPRENDIMIENTO,95,2,34,77,36,19,21,0,0,21,0,86,15,53,26,19,7,2,1,210,136,-1,-1,5,37,68,40,24,2,20,14,101,29,0.029252420530998937,0.19727937515300087,0.38518314036161505,0.15765242771986113,0.10058121807675843,0.008451672514770222,0.08016914297180347,0.041430602671191925,0.01749268471533192,0.21887186641732403,0.29790320696759576,0.1980970340414665,0.12176837073446006,0.0032238247184548136,0.093069989139404,0.049573023265962954,0.011683518707728519,0.1522025142762481,0.25797926031979285,0.26798819196227613,0.09918174448565835,0.002955871782784344,0.1370741901730702,0.07093470829244151,0.011610670228003982,0.05844627224759003,0.2323766382045879,0.209515828275284,0.15234178564943365,0.021448198619558108,0.12534790236743973,0.18891270440810254,-3.0,-3.0,9.0,-4.0,-5.0,-2.0,1.0,7.0
METROPOLITANA DE SANTIAGO,PADRE HURTADO,CENTRO DE EMPRENDIMIENTO,96,6,31,73,55,28,25,1,1,28,2,15,0,17,126,50,34,5,1,248,136,-1,-1,3,31,64,58,30,3,31,28,15,90,0.029252420530998937,0.19727937515300087,0.38518314036161505,0.15765242771986113,0.10058121807675843,0.008451672514770222,0.08016914297180347,0.041430602671191925,0.01749268471533192,0.21887186641732403,0.29790320696759576,0.1980970340414665,0.12176837073446006,0.0032238247184548136,0.093069989139404,0.049573023265962954,0.011683518707728519,0.1522025142762481,0.25797926031979285,0.26798819196227613,0.09918174448565835,0.002955871782784344,0.1370741901730702,0.07093470829244151,0.011610670228003982,0.05844627224759003,0.2323766382045879,0.209515828275284,0.15234178564943365,0.021448198619558108,0.12534790236743973,0.18891270440810254,3.0,0.0,9.0,-3.0,-2.0,-1.0,-6.0,0.0
METROPOLITANA DE SANTIAGO,PADRE HURTADO,CENTRO DE EMPRENDIMIENTO,97,5,37,72,31,34,23,0,2,21,2,9,87,115,9,3,2,0,0,225,136,-1,-1,5,46,75,42,25,1,20,11,96,5,0.029252420530998937,0.19727937515300087,0.38518314036161505,0.15765242771986113,0.10058121807675843,0.008451672514770222,0.08016914297180347,0.041430602671191925,0.01749268471533192,0.21887186641732403,0.29790320696759576,0.1980970340414665,0.12176837073446006,0.0032238247184548136,0.093069989139404,0.049573023265962954,0.011683518707728519,0.1522025142762481,0.25797926031979285,0.26798819196227613,0.09918174448565835,0.002955871782784344,0.1370741901730702,0.07093470829244151,0.011610670228003982,0.05844627224759003,0.2323766382045879,0.209515828275284,0.15234178564943365,0.021448198619558108,0.12534790236743973,0.18891270440810254,0.0,-9.0,-3.0,-11.0,9.0,1.0,3.0,10.0
