REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,40+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40+,P_FRANCO ALDO PARISI_40+,P_GABRIEL BORIC_40+,P_JOSE ANTONIO KAST_40+,P_MARCO ENRIQUEZ-OMINAMI_40+,P_NULO BLANCO_40+,P_SEBASTIAN SICHEL_40+,P_YASNA PROVOSTE_40+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,10M,3,14,23,77,16,18,1,0,15,1,4,10,2,48,38,40,18,7,167,126,-1,-1,1,15,35,60,15,2,18,21,14,151,0.016437224156879385,0.18105915286136884,0.42265300318453747,0.1883785323244922,0.06405701308269277,0.009812276521858723,0.07967460560684332,0.03792819226132733,0.009570994323957185,0.22939260547073634,0.32840805644539955,0.22974829508729033,0.07021235252659093,0.007806379674703417,0.07338494441740435,0.05147637205391796,0.00797723393675974,0.0767141985286621,0.19007253392609638,0.37656598419082055,0.09218532338018474,0.01438412848471045,0.10989670575250611,0.13220389180026004,2.0,-1.0,-12.0,17.0,1.0,-1.0,0.0,-6.0
METROPOLITANA DE SANTIAGO,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,11M,1,25,31,56,10,22,1,0,20,1,2,16,4,45,25,43,26,5,166,126,-1,-1,1,15,36,59,15,2,18,20,18,144,0.016437224156879385,0.18105915286136884,0.42265300318453747,0.1883785323244922,0.06405701308269277,0.009812276521858723,0.07967460560684332,0.03792819226132733,0.009570994323957185,0.22939260547073634,0.32840805644539955,0.22974829508729033,0.07021235252659093,0.007806379674703417,0.07338494441740435,0.05147637205391796,0.00797723393675974,0.0767141985286621,0.19007253392609638,0.37656598419082055,0.09218532338018474,0.01438412848471045,0.10989670575250611,0.13220389180026004,0.0,10.0,-5.0,-3.0,-5.0,-1.0,4.0,0.0
METROPOLITANA DE SANTIAGO,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,12M,2,19,36,56,15,24,0,1,14,1,1,11,4,51,42,43,10,5,167,126,-1,-1,1,15,35,60,15,2,18,21,12,151,0.016437224156879385,0.18105915286136884,0.42265300318453747,0.1883785323244922,0.06405701308269277,0.009812276521858723,0.07967460560684332,0.03792819226132733,0.009570994323957185,0.22939260547073634,0.32840805644539955,0.22974829508729033,0.07021235252659093,0.007806379674703417,0.07338494441740435,0.05147637205391796,0.00797723393675974,0.0767141985286621,0.19007253392609638,0.37656598419082055,0.09218532338018474,0.01438412848471045,0.10989670575250611,0.13220389180026004,1.0,4.0,1.0,-4.0,0.0,-1.0,6.0,-7.0
METROPOLITANA DE SANTIAGO,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,13M,0,15,25,63,10,15,1,1,11,2,3,8,1,53,29,31,12,4,141,126,-1,-1,1,12,29,51,13,2,15,18,11,129,0.016437224156879385,0.18105915286136884,0.42265300318453747,0.1883785323244922,0.06405701308269277,0.009812276521858723,0.07967460560684332,0.03792819226132733,0.009570994323957185,0.22939260547073634,0.32840805644539955,0.22974829508729033,0.07021235252659093,0.007806379674703417,0.07338494441740435,0.05147637205391796,0.00797723393675974,0.0767141985286621,0.19007253392609638,0.37656598419082055,0.09218532338018474,0.01438412848471045,0.10989670575250611,0.13220389180026004,-1.0,3.0,-4.0,12.0,-3.0,0.0,0.0,-7.0
METROPOLITANA DE SANTIAGO,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,14M,2,20,32,46,12,19,1,1,19,2,2,10,2,47,38,33,15,5,152,126,-1,-1,1,13,32,55,14,2,16,19,12,138,0.016437224156879385,0.18105915286136884,0.42265300318453747,0.1883785323244922,0.06405701308269277,0.009812276521858723,0.07967460560684332,0.03792819226132733,0.009570994323957185,0.22939260547073634,0.32840805644539955,0.22974829508729033,0.07021235252659093,0.007806379674703417,0.07338494441740435,0.05147637205391796,0.00797723393675974,0.0767141985286621,0.19007253392609638,0.37656598419082055,0.09218532338018474,0.01438412848471045,0.10989670575250611,0.13220389180026004,1.0,7.0,0.0,-9.0,-2.0,0.0,3.0,0.0
METROPOLITANA DE SANTIAGO,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,15M,1,17,33,57,13,17,0,1,13,1,1,8,7,50,35,31,16,4,152,126,-1,-1,1,14,32,54,14,2,16,19,9,136,0.016437224156879385,0.18105915286136884,0.42265300318453747,0.1883785323244922,0.06405701308269277,0.009812276521858723,0.07967460560684332,0.03792819226132733,0.009570994323957185,0.22939260547073634,0.32840805644539955,0.22974829508729033,0.07021235252659093,0.007806379674703417,0.07338494441740435,0.05147637205391796,0.00797723393675974,0.0767141985286621,0.19007253392609638,0.37656598419082055,0.09218532338018474,0.01438412848471045,0.10989670575250611,0.13220389180026004,0.0,3.0,1.0,3.0,-1.0,-1.0,1.0,-6.0
METROPOLITANA DE SANTIAGO,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,16M,2,20,25,61,12,18,0,3,16,3,0,10,12,51,37,34,12,1,157,126,-1,-1,1,15,34,55,14,2,17,19,10,135,0.016437224156879385,0.18105915286136884,0.42265300318453747,0.1883785323244922,0.06405701308269277,0.009812276521858723,0.07967460560684332,0.03792819226132733,0.009570994323957185,0.22939260547073634,0.32840805644539955,0.22974829508729033,0.07021235252659093,0.007806379674703417,0.07338494441740435,0.05147637205391796,0.00797723393675974,0.0767141985286621,0.19007253392609638,0.37656598419082055,0.09218532338018474,0.01438412848471045,0.10989670575250611,0.13220389180026004,1.0,5.0,-9.0,6.0,-2.0,1.0,1.0,-3.0
METROPOLITANA DE SANTIAGO,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,17M,1,15,22,51,16,13,0,1,16,1,2,7,3,40,41,26,13,3,135,126,-1,-1,1,12,28,49,12,2,14,17,9,123,0.016437224156879385,0.18105915286136884,0.42265300318453747,0.1883785323244922,0.06405701308269277,0.009812276521858723,0.07967460560684332,0.03792819226132733,0.009570994323957185,0.22939260547073634,0.32840805644539955,0.22974829508729033,0.07021235252659093,0.007806379674703417,0.07338494441740435,0.05147637205391796,0.00797723393675974,0.0767141985286621,0.19007253392609638,0.37656598419082055,0.09218532338018474,0.01438412848471045,0.10989670575250611,0.13220389180026004,0.0,3.0,-6.0,2.0,4.0,-1.0,-1.0,-1.0
METROPOLITANA DE SANTIAGO,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,18M,3,15,26,42,16,16,0,1,18,1,1,9,3,36,45,30,10,3,137,126,-1,-1,1,12,29,49,12,2,15,17,10,124,0.016437224156879385,0.18105915286136884,0.42265300318453747,0.1883785323244922,0.06405701308269277,0.009812276521858723,0.07967460560684332,0.03792819226132733,0.009570994323957185,0.22939260547073634,0.32840805644539955,0.22974829508729033,0.07021235252659093,0.007806379674703417,0.07338494441740435,0.05147637205391796,0.00797723393675974,0.0767141985286621,0.19007253392609638,0.37656598419082055,0.09218532338018474,0.01438412848471045,0.10989670575250611,0.13220389180026004,2.0,3.0,-3.0,-7.0,4.0,-1.0,1.0,1.0
METROPOLITANA DE SANTIAGO,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,19M,1,8,32,44,13,19,0,0,12,0,3,16,8,19,36,35,8,4,129,126,-1,-1,1,13,30,44,11,2,13,15,19,102,0.016437224156879385,0.18105915286136884,0.42265300318453747,0.1883785323244922,0.06405701308269277,0.009812276521858723,0.07967460560684332,0.03792819226132733,0.009570994323957185,0.22939260547073634,0.32840805644539955,0.22974829508729033,0.07021235252659093,0.007806379674703417,0.07338494441740435,0.05147637205391796,0.00797723393675974,0.0767141985286621,0.19007253392609638,0.37656598419082055,0.09218532338018474,0.01438412848471045,0.10989670575250611,0.13220389180026004,0.0,-5.0,2.0,0.0,2.0,-2.0,6.0,-3.0
