REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,60+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50-59,P_FRANCO ALDO PARISI_50-59,P_GABRIEL BORIC_50-59,P_JOSE ANTONIO KAST_50-59,P_MARCO ENRIQUEZ-OMINAMI_50-59,P_NULO BLANCO_50-59,P_SEBASTIAN SICHEL_50-59,P_YASNA PROVOSTE_50-59,P_EDUARDO ARTES_60+,P_FRANCO ALDO PARISI_60+,P_GABRIEL BORIC_60+,P_JOSE ANTONIO KAST_60+,P_MARCO ENRIQUEZ-OMINAMI_60+,P_NULO BLANCO_60+,P_SEBASTIAN SICHEL_60+,P_YASNA PROVOSTE_60+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,100V,5,23,58,37,19,13,1,0,7,1,6,63,4,54,13,14,8,1,163,251,-1,-1,5,20,56,29,22,2,15,14,69,23,0.04810996502423331,0.18338985031126737,0.4298619308448912,0.1272178371812663,0.107317182148429,0.015364082607050451,0.059740410272209936,0.02899874161065254,0.029256570031058398,0.14398135189023534,0.3989315509873396,0.17910590785784922,0.08328557700194698,0.009867137799970026,0.05310468023190681,0.10246722419969333,0.02398388574444778,0.08469590984230492,0.30871250060662514,0.2212058221996864,0.14683047813929745,0.003295229046670766,0.09615005041245804,0.11512612400850952,0.010482212962529065,0.08217257787372677,0.26890534763999974,0.2087769349474703,0.1762015509240012,0.00849324222633814,0.08248253390022015,0.16248559952571456,0.01385172092389975,0.0620161833607532,0.21826365419726043,0.1936985093351414,0.15753795971577894,0.024686425443992542,0.1736758144738814,0.1562697325492924,0.0,3.0,2.0,8.0,-3.0,-1.0,-2.0,-7.0
METROPOLITANA DE SANTIAGO,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,101V,4,15,62,35,21,12,0,2,21,2,3,50,9,74,14,13,7,2,172,251,-1,-1,5,20,58,32,23,2,16,16,53,22,0.04810996502423331,0.18338985031126737,0.4298619308448912,0.1272178371812663,0.107317182148429,0.015364082607050451,0.059740410272209936,0.02899874161065254,0.029256570031058398,0.14398135189023534,0.3989315509873396,0.17910590785784922,0.08328557700194698,0.009867137799970026,0.05310468023190681,0.10246722419969333,0.02398388574444778,0.08469590984230492,0.30871250060662514,0.2212058221996864,0.14683047813929745,0.003295229046670766,0.09615005041245804,0.11512612400850952,0.010482212962529065,0.08217257787372677,0.26890534763999974,0.2087769349474703,0.1762015509240012,0.00849324222633814,0.08248253390022015,0.16248559952571456,0.01385172092389975,0.0620161833607532,0.21826365419726043,0.1936985093351414,0.15753795971577894,0.024686425443992542,0.1736758144738814,0.1562697325492924,-1.0,-5.0,4.0,3.0,-2.0,0.0,-4.0,5.0
METROPOLITANA DE SANTIAGO,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,102V,5,10,48,32,19,19,1,0,20,1,4,51,11,38,24,15,6,5,154,251,-1,-1,5,18,52,27,21,2,14,15,55,26,0.04810996502423331,0.18338985031126737,0.4298619308448912,0.1272178371812663,0.107317182148429,0.015364082607050451,0.059740410272209936,0.02899874161065254,0.029256570031058398,0.14398135189023534,0.3989315509873396,0.17910590785784922,0.08328557700194698,0.009867137799970026,0.05310468023190681,0.10246722419969333,0.02398388574444778,0.08469590984230492,0.30871250060662514,0.2212058221996864,0.14683047813929745,0.003295229046670766,0.09615005041245804,0.11512612400850952,0.010482212962529065,0.08217257787372677,0.26890534763999974,0.2087769349474703,0.1762015509240012,0.00849324222633814,0.08248253390022015,0.16248559952571456,0.01385172092389975,0.0620161833607532,0.21826365419726043,0.1936985093351414,0.15753795971577894,0.024686425443992542,0.1736758144738814,0.1562697325492924,0.0,-8.0,-4.0,5.0,-2.0,-1.0,5.0,5.0
METROPOLITANA DE SANTIAGO,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,103V,9,25,47,24,19,9,0,1,14,1,5,44,16,38,19,15,10,1,148,251,-1,-1,4,18,50,26,20,2,13,15,49,26,0.04810996502423331,0.18338985031126737,0.4298619308448912,0.1272178371812663,0.107317182148429,0.015364082607050451,0.059740410272209936,0.02899874161065254,0.029256570031058398,0.14398135189023534,0.3989315509873396,0.17910590785784922,0.08328557700194698,0.009867137799970026,0.05310468023190681,0.10246722419969333,0.02398388574444778,0.08469590984230492,0.30871250060662514,0.2212058221996864,0.14683047813929745,0.003295229046670766,0.09615005041245804,0.11512612400850952,0.010482212962529065,0.08217257787372677,0.26890534763999974,0.2087769349474703,0.1762015509240012,0.00849324222633814,0.08248253390022015,0.16248559952571456,0.01385172092389975,0.0620161833607532,0.21826365419726043,0.1936985093351414,0.15753795971577894,0.024686425443992542,0.1736758144738814,0.1562697325492924,5.0,7.0,-3.0,-2.0,-1.0,-1.0,-4.0,-1.0
METROPOLITANA DE SANTIAGO,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,104V,7,12,54,37,20,12,1,1,10,2,6,38,27,30,18,20,12,3,154,251,-1,-1,4,18,51,28,20,2,15,16,44,35,0.04810996502423331,0.18338985031126737,0.4298619308448912,0.1272178371812663,0.107317182148429,0.015364082607050451,0.059740410272209936,0.02899874161065254,0.029256570031058398,0.14398135189023534,0.3989315509873396,0.17910590785784922,0.08328557700194698,0.009867137799970026,0.05310468023190681,0.10246722419969333,0.02398388574444778,0.08469590984230492,0.30871250060662514,0.2212058221996864,0.14683047813929745,0.003295229046670766,0.09615005041245804,0.11512612400850952,0.010482212962529065,0.08217257787372677,0.26890534763999974,0.2087769349474703,0.1762015509240012,0.00849324222633814,0.08248253390022015,0.16248559952571456,0.01385172092389975,0.0620161833607532,0.21826365419726043,0.1936985093351414,0.15753795971577894,0.024686425443992542,0.1736758144738814,0.1562697325492924,3.0,-6.0,3.0,9.0,0.0,0.0,-3.0,-6.0
METROPOLITANA DE SANTIAGO,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,105V,4,16,62,35,17,15,1,1,18,2,1,24,44,41,17,28,11,3,169,251,-1,-1,4,18,55,32,22,2,17,19,25,42,0.04810996502423331,0.18338985031126737,0.4298619308448912,0.1272178371812663,0.107317182148429,0.015364082607050451,0.059740410272209936,0.02899874161065254,0.029256570031058398,0.14398135189023534,0.3989315509873396,0.17910590785784922,0.08328557700194698,0.009867137799970026,0.05310468023190681,0.10246722419969333,0.02398388574444778,0.08469590984230492,0.30871250060662514,0.2212058221996864,0.14683047813929745,0.003295229046670766,0.09615005041245804,0.11512612400850952,0.010482212962529065,0.08217257787372677,0.26890534763999974,0.2087769349474703,0.1762015509240012,0.00849324222633814,0.08248253390022015,0.16248559952571456,0.01385172092389975,0.0620161833607532,0.21826365419726043,0.1936985093351414,0.15753795971577894,0.024686425443992542,0.1736758144738814,0.1562697325492924,0.0,-2.0,7.0,3.0,-5.0,0.0,-2.0,-1.0
METROPOLITANA DE SANTIAGO,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,106V,9,19,61,34,19,12,0,0,16,0,3,28,34,48,33,12,9,3,170,251,-1,-1,4,19,56,32,23,2,15,19,31,24,0.04810996502423331,0.18338985031126737,0.4298619308448912,0.1272178371812663,0.107317182148429,0.015364082607050451,0.059740410272209936,0.02899874161065254,0.029256570031058398,0.14398135189023534,0.3989315509873396,0.17910590785784922,0.08328557700194698,0.009867137799970026,0.05310468023190681,0.10246722419969333,0.02398388574444778,0.08469590984230492,0.30871250060662514,0.2212058221996864,0.14683047813929745,0.003295229046670766,0.09615005041245804,0.11512612400850952,0.010482212962529065,0.08217257787372677,0.26890534763999974,0.2087769349474703,0.1762015509240012,0.00849324222633814,0.08248253390022015,0.16248559952571456,0.01385172092389975,0.0620161833607532,0.21826365419726043,0.1936985093351414,0.15753795971577894,0.024686425443992542,0.1736758144738814,0.1562697325492924,5.0,0.0,5.0,2.0,-4.0,-2.0,-3.0,-3.0
METROPOLITANA DE SANTIAGO,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,107V,5,28,46,32,16,9,0,0,16,0,2,38,33,26,25,16,9,3,152,251,-1,-1,4,18,51,27,20,2,14,16,40,28,0.04810996502423331,0.18338985031126737,0.4298619308448912,0.1272178371812663,0.107317182148429,0.015364082607050451,0.059740410272209936,0.02899874161065254,0.029256570031058398,0.14398135189023534,0.3989315509873396,0.17910590785784922,0.08328557700194698,0.009867137799970026,0.05310468023190681,0.10246722419969333,0.02398388574444778,0.08469590984230492,0.30871250060662514,0.2212058221996864,0.14683047813929745,0.003295229046670766,0.09615005041245804,0.11512612400850952,0.010482212962529065,0.08217257787372677,0.26890534763999974,0.2087769349474703,0.1762015509240012,0.00849324222633814,0.08248253390022015,0.16248559952571456,0.01385172092389975,0.0620161833607532,0.21826365419726043,0.1936985093351414,0.15753795971577894,0.024686425443992542,0.1736758144738814,0.1562697325492924,1.0,10.0,-5.0,5.0,-4.0,-2.0,-5.0,0.0
METROPOLITANA DE SANTIAGO,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,108V,5,10,57,35,13,14,2,1,21,3,2,30,40,21,24,25,11,4,158,251,-1,-1,4,18,52,29,20,2,15,18,32,40,0.04810996502423331,0.18338985031126737,0.4298619308448912,0.1272178371812663,0.107317182148429,0.015364082607050451,0.059740410272209936,0.02899874161065254,0.029256570031058398,0.14398135189023534,0.3989315509873396,0.17910590785784922,0.08328557700194698,0.009867137799970026,0.05310468023190681,0.10246722419969333,0.02398388574444778,0.08469590984230492,0.30871250060662514,0.2212058221996864,0.14683047813929745,0.003295229046670766,0.09615005041245804,0.11512612400850952,0.010482212962529065,0.08217257787372677,0.26890534763999974,0.2087769349474703,0.1762015509240012,0.00849324222633814,0.08248253390022015,0.16248559952571456,0.01385172092389975,0.0620161833607532,0.21826365419726043,0.1936985093351414,0.15753795971577894,0.024686425443992542,0.1736758144738814,0.1562697325492924,1.0,-8.0,5.0,6.0,-7.0,1.0,-1.0,3.0
METROPOLITANA DE SANTIAGO,SAN RAMON,CENTRO DE EDUCACION PAULA JARAQUEMADA,109V,9,22,41,35,22,8,2,4,19,6,7,21,37,34,27,24,10,2,162,251,-1,-1,4,18,52,30,22,2,15,19,28,36,0.04810996502423331,0.18338985031126737,0.4298619308448912,0.1272178371812663,0.107317182148429,0.015364082607050451,0.059740410272209936,0.02899874161065254,0.029256570031058398,0.14398135189023534,0.3989315509873396,0.17910590785784922,0.08328557700194698,0.009867137799970026,0.05310468023190681,0.10246722419969333,0.02398388574444778,0.08469590984230492,0.30871250060662514,0.2212058221996864,0.14683047813929745,0.003295229046670766,0.09615005041245804,0.11512612400850952,0.010482212962529065,0.08217257787372677,0.26890534763999974,0.2087769349474703,0.1762015509240012,0.00849324222633814,0.08248253390022015,0.16248559952571456,0.01385172092389975,0.0620161833607532,0.21826365419726043,0.1936985093351414,0.15753795971577894,0.024686425443992542,0.1736758144738814,0.1562697325492924,5.0,4.0,-11.0,5.0,0.0,4.0,-7.0,0.0
