REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,TALAGANTE,ESCUELA ALBORADA DE TALAGANTE,77,2,42,58,22,11,8,1,2,11,3,2,149,1,3,0,2,0,0,157,173,-1,-1,4,26,62,29,11,1,16,8,151,2,0.028785479435307026,0.16672786604723583,0.40333565767629254,0.17789794298329134,0.06963950018532984,0.00861496705252055,0.10048976745416575,0.04450881916585758,0.019508991867508207,0.21793694531668512,0.3268850643500497,0.20579059491338322,0.07589103365864178,0.001917369190866761,0.10036028302439619,0.05170971767846901,0.005742008255491564,0.09084955336729525,0.24254395442079335,0.3040557554050664,0.09846380625478865,0.006319884316559308,0.13110652190094257,0.1209185160790631,0.009413223782735828,0.07028812328848649,0.18019166438029646,0.2985752502145758,0.113269778814669,0.02347229855517715,0.12906376210431142,0.1757258988597478,-2.0,16.0,-4.0,-7.0,0.0,2.0,-8.0,3.0
METROPOLITANA DE SANTIAGO,TALAGANTE,ESCUELA ALBORADA DE TALAGANTE,78,1,28,56,37,8,15,0,1,8,1,4,128,6,4,6,2,4,0,154,173,-1,-1,4,25,58,30,11,1,16,9,132,12,0.028785479435307026,0.16672786604723583,0.40333565767629254,0.17789794298329134,0.06963950018532984,0.00861496705252055,0.10048976745416575,0.04450881916585758,0.019508991867508207,0.21793694531668512,0.3268850643500497,0.20579059491338322,0.07589103365864178,0.001917369190866761,0.10036028302439619,0.05170971767846901,0.005742008255491564,0.09084955336729525,0.24254395442079335,0.3040557554050664,0.09846380625478865,0.006319884316559308,0.13110652190094257,0.1209185160790631,0.009413223782735828,0.07028812328848649,0.18019166438029646,0.2985752502145758,0.113269778814669,0.02347229855517715,0.12906376210431142,0.1757258988597478,-3.0,3.0,-2.0,7.0,-3.0,0.0,-1.0,-1.0
METROPOLITANA DE SANTIAGO,TALAGANTE,ESCUELA ALBORADA DE TALAGANTE,79,6,35,64,35,21,14,0,0,7,0,1,153,16,4,5,2,1,0,182,173,-1,-1,5,30,70,34,13,1,19,10,154,8,0.028785479435307026,0.16672786604723583,0.40333565767629254,0.17789794298329134,0.06963950018532984,0.00861496705252055,0.10048976745416575,0.04450881916585758,0.019508991867508207,0.21793694531668512,0.3268850643500497,0.20579059491338322,0.07589103365864178,0.001917369190866761,0.10036028302439619,0.05170971767846901,0.005742008255491564,0.09084955336729525,0.24254395442079335,0.3040557554050664,0.09846380625478865,0.006319884316559308,0.13110652190094257,0.1209185160790631,0.009413223782735828,0.07028812328848649,0.18019166438029646,0.2985752502145758,0.113269778814669,0.02347229855517715,0.12906376210431142,0.1757258988597478,1.0,5.0,-6.0,1.0,8.0,-1.0,-5.0,-3.0
METROPOLITANA DE SANTIAGO,TALAGANTE,ESCUELA ALBORADA DE TALAGANTE,80,3,33,67,21,15,9,0,1,9,1,0,147,4,4,2,0,1,0,158,173,-1,-1,4,26,62,29,11,2,16,8,147,3,0.028785479435307026,0.16672786604723583,0.40333565767629254,0.17789794298329134,0.06963950018532984,0.00861496705252055,0.10048976745416575,0.04450881916585758,0.019508991867508207,0.21793694531668512,0.3268850643500497,0.20579059491338322,0.07589103365864178,0.001917369190866761,0.10036028302439619,0.05170971767846901,0.005742008255491564,0.09084955336729525,0.24254395442079335,0.3040557554050664,0.09846380625478865,0.006319884316559308,0.13110652190094257,0.1209185160790631,0.009413223782735828,0.07028812328848649,0.18019166438029646,0.2985752502145758,0.113269778814669,0.02347229855517715,0.12906376210431142,0.1757258988597478,-1.0,7.0,5.0,-8.0,4.0,-1.0,-7.0,1.0
METROPOLITANA DE SANTIAGO,TALAGANTE,ESCUELA ALBORADA DE TALAGANTE,81,2,34,62,31,19,12,2,1,10,3,4,156,5,4,3,0,1,0,173,173,-1,-1,5,28,68,32,12,1,18,9,160,4,0.028785479435307026,0.16672786604723583,0.40333565767629254,0.17789794298329134,0.06963950018532984,0.00861496705252055,0.10048976745416575,0.04450881916585758,0.019508991867508207,0.21793694531668512,0.3268850643500497,0.20579059491338322,0.07589103365864178,0.001917369190866761,0.10036028302439619,0.05170971767846901,0.005742008255491564,0.09084955336729525,0.24254395442079335,0.3040557554050664,0.09846380625478865,0.006319884316559308,0.13110652190094257,0.1209185160790631,0.009413223782735828,0.07028812328848649,0.18019166438029646,0.2985752502145758,0.113269778814669,0.02347229855517715,0.12906376210431142,0.1757258988597478,-3.0,6.0,-6.0,-1.0,7.0,2.0,-6.0,1.0
METROPOLITANA DE SANTIAGO,TALAGANTE,ESCUELA ALBORADA DE TALAGANTE,82,5,27,62,24,13,20,0,1,8,1,4,133,6,7,4,2,3,1,160,173,-1,-1,4,25,61,31,12,1,17,9,137,10,0.028785479435307026,0.16672786604723583,0.40333565767629254,0.17789794298329134,0.06963950018532984,0.00861496705252055,0.10048976745416575,0.04450881916585758,0.019508991867508207,0.21793694531668512,0.3268850643500497,0.20579059491338322,0.07589103365864178,0.001917369190866761,0.10036028302439619,0.05170971767846901,0.005742008255491564,0.09084955336729525,0.24254395442079335,0.3040557554050664,0.09846380625478865,0.006319884316559308,0.13110652190094257,0.1209185160790631,0.009413223782735828,0.07028812328848649,0.18019166438029646,0.2985752502145758,0.113269778814669,0.02347229855517715,0.12906376210431142,0.1757258988597478,1.0,2.0,1.0,-7.0,1.0,0.0,3.0,-1.0
METROPOLITANA DE SANTIAGO,TALAGANTE,ESCUELA ALBORADA DE TALAGANTE,83,8,33,70,32,8,14,0,0,5,0,3,152,2,6,2,3,2,0,170,173,-1,-1,5,27,66,32,12,2,17,9,155,7,0.028785479435307026,0.16672786604723583,0.40333565767629254,0.17789794298329134,0.06963950018532984,0.00861496705252055,0.10048976745416575,0.04450881916585758,0.019508991867508207,0.21793694531668512,0.3268850643500497,0.20579059491338322,0.07589103365864178,0.001917369190866761,0.10036028302439619,0.05170971767846901,0.005742008255491564,0.09084955336729525,0.24254395442079335,0.3040557554050664,0.09846380625478865,0.006319884316559308,0.13110652190094257,0.1209185160790631,0.009413223782735828,0.07028812328848649,0.18019166438029646,0.2985752502145758,0.113269778814669,0.02347229855517715,0.12906376210431142,0.1757258988597478,3.0,6.0,4.0,0.0,-4.0,-2.0,-3.0,-4.0
METROPOLITANA DE SANTIAGO,TALAGANTE,ESCUELA ALBORADA DE TALAGANTE,84,7,22,61,30,5,18,0,1,5,1,4,125,3,8,2,6,1,0,149,173,-1,-1,4,24,57,29,11,1,15,8,129,9,0.028785479435307026,0.16672786604723583,0.40333565767629254,0.17789794298329134,0.06963950018532984,0.00861496705252055,0.10048976745416575,0.04450881916585758,0.019508991867508207,0.21793694531668512,0.3268850643500497,0.20579059491338322,0.07589103365864178,0.001917369190866761,0.10036028302439619,0.05170971767846901,0.005742008255491564,0.09084955336729525,0.24254395442079335,0.3040557554050664,0.09846380625478865,0.006319884316559308,0.13110652190094257,0.1209185160790631,0.009413223782735828,0.07028812328848649,0.18019166438029646,0.2985752502145758,0.113269778814669,0.02347229855517715,0.12906376210431142,0.1757258988597478,3.0,-2.0,4.0,1.0,-6.0,0.0,3.0,-3.0
METROPOLITANA DE SANTIAGO,TALAGANTE,ESCUELA ALBORADA DE TALAGANTE,85,2,22,52,30,14,10,0,0,13,0,6,47,49,23,14,4,0,0,143,173,-1,-1,3,23,46,32,12,1,15,11,53,18,0.028785479435307026,0.16672786604723583,0.40333565767629254,0.17789794298329134,0.06963950018532984,0.00861496705252055,0.10048976745416575,0.04450881916585758,0.019508991867508207,0.21793694531668512,0.3268850643500497,0.20579059491338322,0.07589103365864178,0.001917369190866761,0.10036028302439619,0.05170971767846901,0.005742008255491564,0.09084955336729525,0.24254395442079335,0.3040557554050664,0.09846380625478865,0.006319884316559308,0.13110652190094257,0.1209185160790631,0.009413223782735828,0.07028812328848649,0.18019166438029646,0.2985752502145758,0.113269778814669,0.02347229855517715,0.12906376210431142,0.1757258988597478,-1.0,-1.0,6.0,-2.0,2.0,-1.0,-5.0,2.0
METROPOLITANA DE SANTIAGO,TALAGANTE,ESCUELA ALBORADA DE TALAGANTE,86,4,10,40,55,8,30,0,3,23,3,4,20,29,16,27,57,19,1,173,173,-1,-1,2,19,42,46,17,3,21,23,24,104,0.028785479435307026,0.16672786604723583,0.40333565767629254,0.17789794298329134,0.06963950018532984,0.00861496705252055,0.10048976745416575,0.04450881916585758,0.019508991867508207,0.21793694531668512,0.3268850643500497,0.20579059491338322,0.07589103365864178,0.001917369190866761,0.10036028302439619,0.05170971767846901,0.005742008255491564,0.09084955336729525,0.24254395442079335,0.3040557554050664,0.09846380625478865,0.006319884316559308,0.13110652190094257,0.1209185160790631,0.009413223782735828,0.07028812328848649,0.18019166438029646,0.2985752502145758,0.113269778814669,0.02347229855517715,0.12906376210431142,0.1757258988597478,2.0,-9.0,-2.0,9.0,-9.0,0.0,9.0,0.0
