REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,30-49,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-49,P_FRANCO ALDO PARISI_30-49,P_GABRIEL BORIC_30-49,P_JOSE ANTONIO KAST_30-49,P_MARCO ENRIQUEZ-OMINAMI_30-49,P_NULO BLANCO_30-49,P_SEBASTIAN SICHEL_30-49,P_YASNA PROVOSTE_30-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,TILTIL,ESCUELA PARTICULAR LA MERCED,13V,0,18,35,28,16,10,1,1,15,2,2,37,4,44,18,12,6,0,124,41,-1,-1,2,19,35,27,11,2,15,13,39,48,36,0.024869810332358924,0.2346083112458888,0.29414635300277153,0.1839139376746301,0.06674005958364748,0.012280869397213588,0.11186223677158583,0.07157842199190384,0.014969094877018951,0.15660693332477746,0.24098572186499237,0.22568543995583012,0.10973666659424926,0.016311247782952065,0.13853076843278553,0.09717412716739421,0.008439192595064933,0.06831243611708931,0.3117325535693676,0.257359126332615,0.09507959958273733,0.011917333546502496,0.10500390329095684,0.1421558549656665,-2.0,-1.0,0.0,1.0,5.0,0.0,-5.0,2.0
METROPOLITANA DE SANTIAGO,TILTIL,ESCUELA PARTICULAR LA MERCED,14V,2,14,28,31,12,16,0,2,10,2,1,55,2,27,13,10,5,1,115,41,-1,-1,2,20,33,25,10,1,13,11,56,29,29,0.024869810332358924,0.2346083112458888,0.29414635300277153,0.1839139376746301,0.06674005958364748,0.012280869397213588,0.11186223677158583,0.07157842199190384,0.014969094877018951,0.15660693332477746,0.24098572186499237,0.22568543995583012,0.10973666659424926,0.016311247782952065,0.13853076843278553,0.09717412716739421,0.008439192595064933,0.06831243611708931,0.3117325535693676,0.257359126332615,0.09507959958273733,0.011917333546502496,0.10500390329095684,0.1421558549656665,0.0,-6.0,-5.0,6.0,2.0,1.0,3.0,-1.0
METROPOLITANA DE SANTIAGO,TILTIL,ESCUELA PARTICULAR LA MERCED,15V,2,18,36,38,9,13,1,2,19,3,7,49,10,26,14,22,7,3,138,41,-1,-1,2,22,40,30,12,2,16,14,56,36,46,0.024869810332358924,0.2346083112458888,0.29414635300277153,0.1839139376746301,0.06674005958364748,0.012280869397213588,0.11186223677158583,0.07157842199190384,0.014969094877018951,0.15660693332477746,0.24098572186499237,0.22568543995583012,0.10973666659424926,0.016311247782952065,0.13853076843278553,0.09717412716739421,0.008439192595064933,0.06831243611708931,0.3117325535693676,0.257359126332615,0.09507959958273733,0.011917333546502496,0.10500390329095684,0.1421558549656665,0.0,-4.0,-4.0,8.0,-3.0,1.0,-3.0,5.0
METROPOLITANA DE SANTIAGO,TILTIL,ESCUELA PARTICULAR LA MERCED,16V,1,22,40,29,3,9,0,1,18,1,6,18,22,23,22,15,12,5,123,41,-1,-1,2,16,35,28,12,2,14,14,24,45,54,0.024869810332358924,0.2346083112458888,0.29414635300277153,0.1839139376746301,0.06674005958364748,0.012280869397213588,0.11186223677158583,0.07157842199190384,0.014969094877018951,0.15660693332477746,0.24098572186499237,0.22568543995583012,0.10973666659424926,0.016311247782952065,0.13853076843278553,0.09717412716739421,0.008439192595064933,0.06831243611708931,0.3117325535693676,0.257359126332615,0.09507959958273733,0.011917333546502496,0.10500390329095684,0.1421558549656665,-1.0,6.0,5.0,1.0,-9.0,-1.0,-5.0,4.0
METROPOLITANA DE SANTIAGO,TILTIL,ESCUELA PARTICULAR LA MERCED,17V,2,21,31,38,13,11,1,0,13,1,4,13,41,31,17,15,7,2,130,41,-1,-1,2,18,35,30,13,2,16,14,17,72,41,0.024869810332358924,0.2346083112458888,0.29414635300277153,0.1839139376746301,0.06674005958364748,0.012280869397213588,0.11186223677158583,0.07157842199190384,0.014969094877018951,0.15660693332477746,0.24098572186499237,0.22568543995583012,0.10973666659424926,0.016311247782952065,0.13853076843278553,0.09717412716739421,0.008439192595064933,0.06831243611708931,0.3117325535693676,0.257359126332615,0.09507959958273733,0.011917333546502496,0.10500390329095684,0.1421558549656665,0.0,3.0,-4.0,8.0,0.0,-1.0,-5.0,-1.0
METROPOLITANA DE SANTIAGO,TILTIL,ESCUELA PARTICULAR LA MERCED,18V,0,23,37,46,13,12,0,0,17,0,5,35,38,21,21,15,9,4,148,41,-1,-1,2,22,41,33,14,2,18,16,40,59,49,0.024869810332358924,0.2346083112458888,0.29414635300277153,0.1839139376746301,0.06674005958364748,0.012280869397213588,0.11186223677158583,0.07157842199190384,0.014969094877018951,0.15660693332477746,0.24098572186499237,0.22568543995583012,0.10973666659424926,0.016311247782952065,0.13853076843278553,0.09717412716739421,0.008439192595064933,0.06831243611708931,0.3117325535693676,0.257359126332615,0.09507959958273733,0.011917333546502496,0.10500390329095684,0.1421558549656665,-2.0,1.0,-4.0,13.0,-1.0,-2.0,-6.0,1.0
METROPOLITANA DE SANTIAGO,TILTIL,ESCUELA PARTICULAR LA MERCED,19V,1,21,36,23,11,9,0,1,13,1,3,58,22,10,12,6,4,0,115,41,-1,-1,2,21,32,24,10,1,14,11,61,32,22,0.024869810332358924,0.2346083112458888,0.29414635300277153,0.1839139376746301,0.06674005958364748,0.012280869397213588,0.11186223677158583,0.07157842199190384,0.014969094877018951,0.15660693332477746,0.24098572186499237,0.22568543995583012,0.10973666659424926,0.016311247782952065,0.13853076843278553,0.09717412716739421,0.008439192595064933,0.06831243611708931,0.3117325535693676,0.257359126332615,0.09507959958273733,0.011917333546502496,0.10500390329095684,0.1421558549656665,-1.0,0.0,4.0,-1.0,1.0,0.0,-5.0,2.0
METROPOLITANA DE SANTIAGO,TILTIL,ESCUELA PARTICULAR LA MERCED,20,4,40,22,20,6,16,1,0,5,1,2,90,9,5,5,1,1,1,114,41,-1,-1,3,24,33,22,8,2,13,9,92,14,8,0.024869810332358924,0.2346083112458888,0.29414635300277153,0.1839139376746301,0.06674005958364748,0.012280869397213588,0.11186223677158583,0.07157842199190384,0.014969094877018951,0.15660693332477746,0.24098572186499237,0.22568543995583012,0.10973666659424926,0.016311247782952065,0.13853076843278553,0.09717412716739421,0.008439192595064933,0.06831243611708931,0.3117325535693676,0.257359126332615,0.09507959958273733,0.011917333546502496,0.10500390329095684,0.1421558549656665,1.0,16.0,-11.0,-2.0,-2.0,-1.0,3.0,-4.0
METROPOLITANA DE SANTIAGO,TILTIL,ESCUELA PARTICULAR LA MERCED,21,3,22,28,17,10,14,0,1,7,1,3,84,6,3,5,1,0,1,102,41,-1,-1,2,22,30,20,7,1,12,8,87,9,7,0.024869810332358924,0.2346083112458888,0.29414635300277153,0.1839139376746301,0.06674005958364748,0.012280869397213588,0.11186223677158583,0.07157842199190384,0.014969094877018951,0.15660693332477746,0.24098572186499237,0.22568543995583012,0.10973666659424926,0.016311247782952065,0.13853076843278553,0.09717412716739421,0.008439192595064933,0.06831243611708931,0.3117325535693676,0.257359126332615,0.09507959958273733,0.011917333546502496,0.10500390329095684,0.1421558549656665,1.0,0.0,-2.0,-3.0,3.0,0.0,2.0,-1.0
METROPOLITANA DE SANTIAGO,TILTIL,ESCUELA PARTICULAR LA MERCED,22,4,9,31,13,5,10,1,1,9,2,5,57,8,4,2,6,2,0,83,41,-1,-1,2,17,24,16,6,1,10,7,62,12,10,0.024869810332358924,0.2346083112458888,0.29414635300277153,0.1839139376746301,0.06674005958364748,0.012280869397213588,0.11186223677158583,0.07157842199190384,0.014969094877018951,0.15660693332477746,0.24098572186499237,0.22568543995583012,0.10973666659424926,0.016311247782952065,0.13853076843278553,0.09717412716739421,0.008439192595064933,0.06831243611708931,0.3117325535693676,0.257359126332615,0.09507959958273733,0.011917333546502496,0.10500390329095684,0.1421558549656665,2.0,-8.0,7.0,-3.0,-1.0,1.0,0.0,2.0
