REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ANTOFAGASTA,ANTOFAGASTA NORTE,COLEGIO ANTOFAGASTA,126,1,71,12,22,5,4,0,0,3,0,0,1,6,1,99,4,0,3,0,0,1,2,1,0,0,0,118,426,-1,-1,2,53,27,18,7,1,6,4,114,4,0.0166468361807941,0.4610111723172446,0.22690140753493576,0.15484244941288444,0.05434970702955624,0.009647495423930319,0.04671087403699019,0.029890058063664692,0.008708969372891258,0.21071911759120285,0.179935572490229,0.22779927425608956,0.1190639053391126,0.013125574018357476,0.08427787836702666,0.1563697085650907,-1.0,18.0,-15.0,4.0,-2.0,-1.0,-2.0,-1.0
DE ANTOFAGASTA,ANTOFAGASTA NORTE,COLEGIO ANTOFAGASTA,127,0,70,11,25,6,4,1,0,4,1,2,0,5,5,96,2,3,3,0,4,0,1,0,0,0,0,121,426,-1,-1,2,55,27,19,7,1,6,4,116,5,0.0166468361807941,0.4610111723172446,0.22690140753493576,0.15484244941288444,0.05434970702955624,0.009647495423930319,0.04671087403699019,0.029890058063664692,0.008708969372891258,0.21071911759120285,0.179935572490229,0.22779927425608956,0.1190639053391126,0.013125574018357476,0.08427787836702666,0.1563697085650907,-2.0,15.0,-16.0,6.0,-1.0,0.0,-2.0,0.0
DE ANTOFAGASTA,ANTOFAGASTA NORTE,COLEGIO ANTOFAGASTA,128,1,70,16,23,5,3,1,2,3,3,3,0,1,4,110,1,1,1,0,2,0,0,1,0,0,0,124,426,-1,-1,2,56,28,20,7,1,6,4,121,3,0.0166468361807941,0.4610111723172446,0.22690140753493576,0.15484244941288444,0.05434970702955624,0.009647495423930319,0.04671087403699019,0.029890058063664692,0.008708969372891258,0.21071911759120285,0.179935572490229,0.22779927425608956,0.1190639053391126,0.013125574018357476,0.08427787836702666,0.1563697085650907,-1.0,14.0,-12.0,3.0,-2.0,2.0,-3.0,-1.0
DE ANTOFAGASTA,ANTOFAGASTA NORTE,COLEGIO ANTOFAGASTA,129,0,75,10,22,2,4,0,2,4,2,1,1,1,1,102,1,3,4,2,1,1,1,0,0,0,0,119,426,-1,-1,2,53,27,19,7,1,6,4,114,5,0.0166468361807941,0.4610111723172446,0.22690140753493576,0.15484244941288444,0.05434970702955624,0.009647495423930319,0.04671087403699019,0.029890058063664692,0.008708969372891258,0.21071911759120285,0.179935572490229,0.22779927425608956,0.1190639053391126,0.013125574018357476,0.08427787836702666,0.1563697085650907,-2.0,22.0,-17.0,3.0,-5.0,1.0,-2.0,0.0
DE ANTOFAGASTA,ANTOFAGASTA NORTE,COLEGIO ANTOFAGASTA,130,1,76,16,23,3,3,0,1,4,1,1,3,5,4,109,3,0,1,1,1,0,0,0,0,0,0,127,426,-1,-1,2,58,29,20,7,1,6,4,126,2,0.0166468361807941,0.4610111723172446,0.22690140753493576,0.15484244941288444,0.05434970702955624,0.009647495423930319,0.04671087403699019,0.029890058063664692,0.008708969372891258,0.21071911759120285,0.179935572490229,0.22779927425608956,0.1190639053391126,0.013125574018357476,0.08427787836702666,0.1563697085650907,-1.0,18.0,-13.0,3.0,-4.0,0.0,-3.0,0.0
DE ANTOFAGASTA,ANTOFAGASTA NORTE,COLEGIO ANTOFAGASTA,131,3,62,22,25,2,4,0,3,3,3,0,3,3,5,101,2,3,1,2,1,1,0,0,0,1,1,124,426,-1,-1,2,56,28,20,7,1,6,4,118,6,0.0166468361807941,0.4610111723172446,0.22690140753493576,0.15484244941288444,0.05434970702955624,0.009647495423930319,0.04671087403699019,0.029890058063664692,0.008708969372891258,0.21071911759120285,0.179935572490229,0.22779927425608956,0.1190639053391126,0.013125574018357476,0.08427787836702666,0.1563697085650907,1.0,6.0,-6.0,5.0,-5.0,2.0,-2.0,-1.0
DE ANTOFAGASTA,ANTOFAGASTA NORTE,COLEGIO ANTOFAGASTA,132,1,74,13,13,10,9,1,0,4,1,1,1,2,1,111,3,0,2,1,1,0,1,1,0,0,0,125,426,-1,-1,2,57,28,20,7,1,6,4,121,4,0.0166468361807941,0.4610111723172446,0.22690140753493576,0.15484244941288444,0.05434970702955624,0.009647495423930319,0.04671087403699019,0.029890058063664692,0.008708969372891258,0.21071911759120285,0.179935572490229,0.22779927425608956,0.1190639053391126,0.013125574018357476,0.08427787836702666,0.1563697085650907,-1.0,17.0,-15.0,-7.0,3.0,0.0,3.0,0.0
DE ANTOFAGASTA,ANTOFAGASTA NORTE,COLEGIO ANTOFAGASTA,133,1,68,21,25,3,7,1,0,1,1,1,5,9,4,88,3,5,1,2,3,1,1,1,1,1,0,127,426,-1,-1,2,56,28,21,8,1,6,5,116,10,0.0166468361807941,0.4610111723172446,0.22690140753493576,0.15484244941288444,0.05434970702955624,0.009647495423930319,0.04671087403699019,0.029890058063664692,0.008708969372891258,0.21071911759120285,0.179935572490229,0.22779927425608956,0.1190639053391126,0.013125574018357476,0.08427787836702666,0.1563697085650907,-1.0,12.0,-7.0,4.0,-5.0,0.0,1.0,-4.0
DE ANTOFAGASTA,ANTOFAGASTA NORTE,COLEGIO ANTOFAGASTA,134,1,72,18,18,5,2,1,0,2,1,0,0,3,3,107,1,2,1,2,0,0,0,0,0,0,0,119,426,-1,-1,2,54,27,18,7,1,6,4,117,2,0.0166468361807941,0.4610111723172446,0.22690140753493576,0.15484244941288444,0.05434970702955624,0.009647495423930319,0.04671087403699019,0.029890058063664692,0.008708969372891258,0.21071911759120285,0.179935572490229,0.22779927425608956,0.1190639053391126,0.013125574018357476,0.08427787836702666,0.1563697085650907,-1.0,18.0,-9.0,0.0,-2.0,0.0,-4.0,-2.0
DE ANTOFAGASTA,ANTOFAGASTA NORTE,COLEGIO ANTOFAGASTA,135,1,74,17,18,6,2,0,0,4,0,0,0,1,3,113,0,0,0,2,1,0,1,1,0,0,0,122,426,-1,-1,2,55,28,19,7,1,6,4,117,5,0.0166468361807941,0.4610111723172446,0.22690140753493576,0.15484244941288444,0.05434970702955624,0.009647495423930319,0.04671087403699019,0.029890058063664692,0.008708969372891258,0.21071911759120285,0.179935572490229,0.22779927425608956,0.1190639053391126,0.013125574018357476,0.08427787836702666,0.1563697085650907,-1.0,19.0,-11.0,-1.0,-1.0,-1.0,-4.0,0.0
