REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ANTOFAGASTA,CALAMA,COLEGIO CALAMA,100M,1,63,27,31,20,15,0,0,10,0,2,1,4,4,32,4,6,75,3,21,1,12,0,1,0,1,167,375,-1,-1,2,74,26,32,10,2,10,11,128,39,0.012307282841228305,0.49335481779386064,0.16035108678161147,0.1781903096834131,0.05008737552519747,0.01176437205007536,0.04955905867947767,0.044385696645135926,0.00698316125085438,0.2841002848691525,0.1406005727678103,0.2364736263631784,0.09499114083334483,0.013106107941301412,0.07953477112314757,0.14421033485121093,-1.0,-11.0,1.0,-1.0,10.0,-2.0,5.0,-1.0
DE ANTOFAGASTA,CALAMA,COLEGIO CALAMA,101M,1,77,29,39,14,10,0,3,7,3,2,1,4,3,52,3,2,68,2,23,0,17,0,1,1,1,180,375,-1,-1,2,79,28,35,11,2,10,13,135,45,0.012307282841228305,0.49335481779386064,0.16035108678161147,0.1781903096834131,0.05008737552519747,0.01176437205007536,0.04955905867947767,0.044385696645135926,0.00698316125085438,0.2841002848691525,0.1406005727678103,0.2364736263631784,0.09499114083334483,0.013106107941301412,0.07953477112314757,0.14421033485121093,-1.0,-2.0,1.0,4.0,3.0,1.0,0.0,-6.0
DE ANTOFAGASTA,CALAMA,COLEGIO CALAMA,102M,0,73,23,43,4,13,0,4,13,4,1,2,7,9,39,3,0,67,1,24,1,13,0,4,0,1,173,375,-1,-1,2,76,27,33,11,2,10,12,128,44,0.012307282841228305,0.49335481779386064,0.16035108678161147,0.1781903096834131,0.05008737552519747,0.01176437205007536,0.04955905867947767,0.044385696645135926,0.00698316125085438,0.2841002848691525,0.1406005727678103,0.2364736263631784,0.09499114083334483,0.013106107941301412,0.07953477112314757,0.14421033485121093,-2.0,-3.0,-4.0,10.0,-7.0,2.0,3.0,1.0
DE ANTOFAGASTA,CALAMA,COLEGIO CALAMA,103M,3,80,16,39,15,11,1,1,18,2,1,0,4,3,34,2,4,113,1,14,1,2,0,5,0,0,184,375,-1,-1,2,86,29,34,10,2,10,11,161,23,0.012307282841228305,0.49335481779386064,0.16035108678161147,0.1781903096834131,0.05008737552519747,0.01176437205007536,0.04955905867947767,0.044385696645135926,0.00698316125085438,0.2841002848691525,0.1406005727678103,0.2364736263631784,0.09499114083334483,0.013106107941301412,0.07953477112314757,0.14421033485121093,1.0,-6.0,-13.0,5.0,5.0,0.0,1.0,7.0
DE ANTOFAGASTA,CALAMA,COLEGIO CALAMA,104M,1,77,18,32,11,13,0,2,19,2,1,0,6,3,25,3,1,105,0,15,0,11,2,1,0,0,173,375,-1,-1,2,79,27,33,10,2,9,11,144,29,0.012307282841228305,0.49335481779386064,0.16035108678161147,0.1781903096834131,0.05008737552519747,0.01176437205007536,0.04955905867947767,0.044385696645135926,0.00698316125085438,0.2841002848691525,0.1406005727678103,0.2364736263631784,0.09499114083334483,0.013106107941301412,0.07953477112314757,0.14421033485121093,-1.0,-2.0,-9.0,-1.0,1.0,0.0,4.0,8.0
DE ANTOFAGASTA,CALAMA,COLEGIO CALAMA,105M,0,69,23,39,16,9,0,6,16,6,1,1,7,2,22,2,4,119,1,9,1,6,1,2,0,0,178,375,-1,-1,2,84,28,33,10,2,9,10,158,20,0.012307282841228305,0.49335481779386064,0.16035108678161147,0.1781903096834131,0.05008737552519747,0.01176437205007536,0.04955905867947767,0.044385696645135926,0.00698316125085438,0.2841002848691525,0.1406005727678103,0.2364736263631784,0.09499114083334483,0.013106107941301412,0.07953477112314757,0.14421033485121093,-2.0,-15.0,-5.0,6.0,6.0,4.0,0.0,6.0
DE ANTOFAGASTA,CALAMA,COLEGIO CALAMA,106M,4,80,13,31,24,14,0,0,11,0,0,2,8,7,27,2,2,103,1,16,0,9,0,0,0,0,177,375,-1,-1,2,82,28,33,10,2,10,10,151,26,0.012307282841228305,0.49335481779386064,0.16035108678161147,0.1781903096834131,0.05008737552519747,0.01176437205007536,0.04955905867947767,0.044385696645135926,0.00698316125085438,0.2841002848691525,0.1406005727678103,0.2364736263631784,0.09499114083334483,0.013106107941301412,0.07953477112314757,0.14421033485121093,2.0,-2.0,-15.0,-2.0,14.0,-2.0,4.0,1.0
DE ANTOFAGASTA,CALAMA,COLEGIO CALAMA,107M,0,77,26,29,12,12,1,2,11,3,0,1,7,4,59,4,6,58,2,15,0,10,0,3,1,0,170,375,-1,-1,2,77,27,32,10,2,9,11,139,31,0.012307282841228305,0.49335481779386064,0.16035108678161147,0.1781903096834131,0.05008737552519747,0.01176437205007536,0.04955905867947767,0.044385696645135926,0.00698316125085438,0.2841002848691525,0.1406005727678103,0.2364736263631784,0.09499114083334483,0.013106107941301412,0.07953477112314757,0.14421033485121093,-2.0,0.0,-1.0,-3.0,2.0,1.0,3.0,0.0
DE ANTOFAGASTA,CALAMA,COLEGIO CALAMA,108M,3,77,18,34,11,14,1,0,14,1,1,0,3,5,48,3,4,59,0,30,1,13,0,1,0,3,172,375,-1,-1,2,75,27,33,11,2,10,12,123,48,0.012307282841228305,0.49335481779386064,0.16035108678161147,0.1781903096834131,0.05008737552519747,0.01176437205007536,0.04955905867947767,0.044385696645135926,0.00698316125085438,0.2841002848691525,0.1406005727678103,0.2364736263631784,0.09499114083334483,0.013106107941301412,0.07953477112314757,0.14421033485121093,1.0,2.0,-9.0,1.0,0.0,-1.0,4.0,2.0
DE ANTOFAGASTA,CALAMA,COLEGIO CALAMA,109M,2,82,27,32,18,13,2,0,8,2,3,5,3,2,42,4,3,73,0,29,0,18,0,2,0,0,184,375,-1,-1,2,80,29,36,11,2,11,13,135,49,0.012307282841228305,0.49335481779386064,0.16035108678161147,0.1781903096834131,0.05008737552519747,0.01176437205007536,0.04955905867947767,0.044385696645135926,0.00698316125085438,0.2841002848691525,0.1406005727678103,0.2364736263631784,0.09499114083334483,0.013106107941301412,0.07953477112314757,0.14421033485121093,0.0,2.0,-2.0,-4.0,7.0,0.0,2.0,-5.0
