REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ANTOFAGASTA,CHUQUICAMATA,COLEGIO CHUQUICAMATA,10M-11M-12M,1,40,30,34,11,20,0,1,24,1,0,0,1,1,0,0,0,0,0,47,0,79,0,30,0,3,161,16,-1,-1,1,33,34,38,13,2,14,26,2,159,0.006322876723225249,0.4042971647063569,0.15535544148040537,0.2229591534887622,0.05465295923863621,0.022158745240417888,0.0986705142026734,0.03558314491952277,0.007446726188450554,0.20526608952671008,0.2092183738856442,0.23521875373872933,0.0822337732099197,0.009700295490391168,0.0861014083522395,0.16481457960791548,0.0,7.0,-4.0,-4.0,-2.0,-1.0,6.0,-2.0
DE ANTOFAGASTA,CHUQUICAMATA,COLEGIO CHUQUICAMATA,11V-13V-14V,0,38,43,40,10,13,0,0,22,0,0,1,1,0,0,0,0,0,45,0,89,0,29,0,1,0,166,16,-1,-1,1,34,35,39,14,2,14,27,2,164,0.006322876723225249,0.4042971647063569,0.15535544148040537,0.2229591534887622,0.05465295923863621,0.022158745240417888,0.0986705142026734,0.03558314491952277,0.007446726188450554,0.20526608952671008,0.2092183738856442,0.23521875373872933,0.0822337732099197,0.009700295490391168,0.0861014083522395,0.16481457960791548,-1.0,4.0,8.0,1.0,-4.0,-2.0,-1.0,-5.0
DE ANTOFAGASTA,CHUQUICAMATA,COLEGIO CHUQUICAMATA,13M-14M-15M,1,26,36,31,16,17,0,0,18,0,0,1,0,3,0,1,0,1,0,46,0,64,1,25,0,3,145,16,-1,-1,1,31,30,34,12,1,13,23,6,139,0.006322876723225249,0.4042971647063569,0.15535544148040537,0.2229591534887622,0.05465295923863621,0.022158745240417888,0.0986705142026734,0.03558314491952277,0.007446726188450554,0.20526608952671008,0.2092183738856442,0.23521875373872933,0.0822337732099197,0.009700295490391168,0.0861014083522395,0.16481457960791548,0.0,-5.0,6.0,-3.0,4.0,-1.0,4.0,-5.0
DE ANTOFAGASTA,CHUQUICAMATA,COLEGIO CHUQUICAMATA,15V-16V-17V,1,27,41,28,11,12,0,2,33,2,0,0,0,0,0,0,0,0,37,0,72,0,41,0,5,0,155,16,-1,-1,1,32,32,36,13,2,13,26,0,155,0.006322876723225249,0.4042971647063569,0.15535544148040537,0.2229591534887622,0.05465295923863621,0.022158745240417888,0.0986705142026734,0.03558314491952277,0.007446726188450554,0.20526608952671008,0.2092183738856442,0.23521875373872933,0.0822337732099197,0.009700295490391168,0.0861014083522395,0.16481457960791548,0.0,-5.0,9.0,-8.0,-2.0,0.0,-1.0,7.0
DE ANTOFAGASTA,CHUQUICAMATA,COLEGIO CHUQUICAMATA,16M-17M-18M,2,46,35,41,22,16,0,1,26,1,0,1,0,1,0,0,0,66,0,71,0,46,0,3,0,1,189,16,-1,-1,1,52,36,44,14,3,17,22,68,121,0.006322876723225249,0.4042971647063569,0.15535544148040537,0.2229591534887622,0.05465295923863621,0.022158745240417888,0.0986705142026734,0.03558314491952277,0.007446726188450554,0.20526608952671008,0.2092183738856442,0.23521875373872933,0.0822337732099197,0.009700295490391168,0.0861014083522395,0.16481457960791548,1.0,-6.0,-1.0,-3.0,8.0,-2.0,-1.0,4.0
DE ANTOFAGASTA,CHUQUICAMATA,COLEGIO CHUQUICAMATA,18V-19V-20V,0,32,23,33,11,7,0,1,17,1,0,1,1,1,0,0,7,0,60,0,43,0,10,0,1,0,124,16,-1,-1,1,28,25,29,10,1,11,19,10,114,0.006322876723225249,0.4042971647063569,0.15535544148040537,0.2229591534887622,0.05465295923863621,0.022158745240417888,0.0986705142026734,0.03558314491952277,0.007446726188450554,0.20526608952671008,0.2092183738856442,0.23521875373872933,0.0822337732099197,0.009700295490391168,0.0861014083522395,0.16481457960791548,-1.0,4.0,-2.0,4.0,1.0,0.0,-4.0,-2.0
DE ANTOFAGASTA,CHUQUICAMATA,COLEGIO CHUQUICAMATA,19M-20M-21M,1,51,38,42,15,27,0,0,17,0,0,0,0,1,1,8,0,77,0,67,0,31,0,4,0,2,191,16,-1,-1,1,57,35,44,13,3,18,20,87,104,0.006322876723225249,0.4042971647063569,0.15535544148040537,0.2229591534887622,0.05465295923863621,0.022158745240417888,0.0986705142026734,0.03558314491952277,0.007446726188450554,0.20526608952671008,0.2092183738856442,0.23521875373872933,0.0822337732099197,0.009700295490391168,0.0861014083522395,0.16481457960791548,0.0,-6.0,3.0,-2.0,2.0,-3.0,9.0,-3.0
DE ANTOFAGASTA,CHUQUICAMATA,COLEGIO CHUQUICAMATA,1M-2M-3M,2,24,22,30,17,17,0,2,20,2,1,0,0,0,0,0,1,0,0,28,0,57,0,35,0,11,134,16,-1,-1,1,28,28,31,11,1,12,22,2,131,0.006322876723225249,0.4042971647063569,0.15535544148040537,0.2229591534887622,0.05465295923863621,0.022158745240417888,0.0986705142026734,0.03558314491952277,0.007446726188450554,0.20526608952671008,0.2092183738856442,0.23521875373872933,0.0822337732099197,0.009700295490391168,0.0861014083522395,0.16481457960791548,1.0,-4.0,-6.0,-1.0,6.0,1.0,5.0,-2.0
DE ANTOFAGASTA,CHUQUICAMATA,COLEGIO CHUQUICAMATA,21V-22V-23V,0,42,23,35,6,11,0,1,22,1,0,1,0,1,0,0,50,0,53,0,25,0,10,0,0,0,140,16,-1,-1,1,39,27,32,10,2,13,16,52,88,0.006322876723225249,0.4042971647063569,0.15535544148040537,0.2229591534887622,0.05465295923863621,0.022158745240417888,0.0986705142026734,0.03558314491952277,0.007446726188450554,0.20526608952671008,0.2092183738856442,0.23521875373872933,0.0822337732099197,0.009700295490391168,0.0861014083522395,0.16481457960791548,-1.0,3.0,-4.0,3.0,-4.0,-1.0,-2.0,6.0
DE ANTOFAGASTA,CHUQUICAMATA,COLEGIO CHUQUICAMATA,24V-25V-26V,1,53,22,25,8,9,4,4,7,8,0,1,0,0,0,0,71,0,33,0,17,0,3,0,0,0,133,16,-1,-1,1,43,24,30,9,2,12,12,72,53,0.006322876723225249,0.4042971647063569,0.15535544148040537,0.2229591534887622,0.05465295923863621,0.022158745240417888,0.0986705142026734,0.03558314491952277,0.007446726188450554,0.20526608952671008,0.2092183738856442,0.23521875373872933,0.0822337732099197,0.009700295490391168,0.0861014083522395,0.16481457960791548,0.0,10.0,-2.0,-5.0,-1.0,6.0,-3.0,-5.0
