REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,10M-7V,5,46,17,8,10,9,1,2,10,3,1,2,10,3,7,0,1,13,12,25,18,11,1,4,0,0,108,21,-1,-1,3,45,20,13,9,2,4,12,37,71,8.964669518420461e-05,0.7702349353441462,0.0693316633085613,0.09602857241949074,0.018505895648281197,2.7603952804226405e-08,0.03449719250833525,0.011312066472048164,0.04188248312088215,0.2400298686848848,0.2416206322544793,0.13411784868394183,0.11385476947743663,0.027961425075098505,0.03743783929320461,0.16309513341007223,2.0,1.0,-3.0,-5.0,1.0,1.0,5.0,-2.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,10V-11V,2,48,14,9,3,4,2,0,9,2,2,3,8,10,2,1,26,2,25,2,7,1,1,1,0,0,91,21,-1,-1,2,50,13,10,5,1,3,7,54,37,8.964669518420461e-05,0.7702349353441462,0.0693316633085613,0.09602857241949074,0.018505895648281197,2.7603952804226405e-08,0.03449719250833525,0.011312066472048164,0.04188248312088215,0.2400298686848848,0.2416206322544793,0.13411784868394183,0.11385476947743663,0.027961425075098505,0.03743783929320461,0.16309513341007223,0.0,-2.0,1.0,-1.0,-2.0,1.0,1.0,2.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,11M-8V,1,39,21,19,9,1,0,1,6,1,2,1,6,9,3,1,2,20,6,17,7,15,3,3,1,1,97,21,-1,-1,2,47,16,11,7,1,4,9,44,53,8.964669518420461e-05,0.7702349353441462,0.0693316633085613,0.09602857241949074,0.018505895648281197,2.7603952804226405e-08,0.03449719250833525,0.011312066472048164,0.04188248312088215,0.2400298686848848,0.2416206322544793,0.13411784868394183,0.11385476947743663,0.027961425075098505,0.03743783929320461,0.16309513341007223,-1.0,-8.0,5.0,8.0,2.0,0.0,-3.0,-3.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,12M-9V,2,68,20,20,2,7,1,0,10,1,2,2,9,6,1,24,3,23,18,14,10,11,2,3,1,0,130,21,-1,-1,2,69,19,15,8,2,5,10,70,59,8.964669518420461e-05,0.7702349353441462,0.0693316633085613,0.09602857241949074,0.018505895648281197,2.7603952804226405e-08,0.03449719250833525,0.011312066472048164,0.04188248312088215,0.2400298686848848,0.2416206322544793,0.13411784868394183,0.11385476947743663,0.027961425075098505,0.03743783929320461,0.16309513341007223,0.0,-1.0,1.0,5.0,-6.0,-1.0,2.0,0.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,12V-15V,3,62,16,11,3,2,2,1,15,3,2,2,3,5,11,6,20,0,37,2,21,0,6,0,1,0,115,21,-1,-1,3,53,19,14,9,2,4,11,49,67,8.964669518420461e-05,0.7702349353441462,0.0693316633085613,0.09602857241949074,0.018505895648281197,2.7603952804226405e-08,0.03449719250833525,0.011312066472048164,0.04188248312088215,0.2400298686848848,0.2416206322544793,0.13411784868394183,0.11385476947743663,0.027961425075098505,0.03743783929320461,0.16309513341007223,0.0,9.0,-3.0,-3.0,-6.0,1.0,-2.0,4.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,13V,3,33,12,5,9,3,0,0,9,0,2,0,7,7,6,4,8,3,20,2,9,1,1,1,3,0,74,21,-1,-1,2,37,11,9,5,1,3,6,37,37,8.964669518420461e-05,0.7702349353441462,0.0693316633085613,0.09602857241949074,0.018505895648281197,2.7603952804226405e-08,0.03449719250833525,0.011312066472048164,0.04188248312088215,0.2400298686848848,0.2416206322544793,0.13411784868394183,0.11385476947743663,0.027961425075098505,0.03743783929320461,0.16309513341007223,1.0,-4.0,1.0,-4.0,4.0,-1.0,0.0,3.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,14V,1,27,11,10,5,1,0,2,5,2,0,1,2,8,0,3,8,1,14,1,22,0,1,0,1,0,62,21,-1,-1,2,27,11,7,5,1,2,7,23,39,8.964669518420461e-05,0.7702349353441462,0.0693316633085613,0.09602857241949074,0.018505895648281197,2.7603952804226405e-08,0.03449719250833525,0.011312066472048164,0.04188248312088215,0.2400298686848848,0.2416206322544793,0.13411784868394183,0.11385476947743663,0.027961425075098505,0.03743783929320461,0.16309513341007223,-1.0,0.0,0.0,3.0,0.0,1.0,-1.0,-2.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,16V,0,37,13,13,3,0,0,0,2,0,0,0,3,3,21,2,14,0,16,0,7,0,2,0,0,0,68,21,-1,-1,1,39,9,7,4,1,2,5,43,25,8.964669518420461e-05,0.7702349353441462,0.0693316633085613,0.09602857241949074,0.018505895648281197,2.7603952804226405e-08,0.03449719250833525,0.011312066472048164,0.04188248312088215,0.2400298686848848,0.2416206322544793,0.13411784868394183,0.11385476947743663,0.027961425075098505,0.03743783929320461,0.16309513341007223,-1.0,-2.0,4.0,6.0,-1.0,-1.0,-2.0,-3.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,1M-13M,1,25,10,9,5,1,0,2,4,2,1,1,3,5,2,9,2,3,0,9,1,14,1,6,0,0,57,21,-1,-1,1,28,9,7,4,1,2,5,26,31,8.964669518420461e-05,0.7702349353441462,0.0693316633085613,0.09602857241949074,0.018505895648281197,2.7603952804226405e-08,0.03449719250833525,0.011312066472048164,0.04188248312088215,0.2400298686848848,0.2416206322544793,0.13411784868394183,0.11385476947743663,0.027961425075098505,0.03743783929320461,0.16309513341007223,0.0,-3.0,1.0,2.0,1.0,1.0,-1.0,-1.0
DE ANTOFAGASTA,MARIA ELENA,ESCUELA ARTURO PEREZ CANTO,1V,0,13,3,2,3,1,0,0,3,0,1,1,4,2,0,0,0,1,5,0,6,0,2,2,0,1,25,21,-1,-1,1,11,4,3,2,0,1,3,9,16,8.964669518420461e-05,0.7702349353441462,0.0693316633085613,0.09602857241949074,0.018505895648281197,2.7603952804226405e-08,0.03449719250833525,0.011312066472048164,0.04188248312088215,0.2400298686848848,0.2416206322544793,0.13411784868394183,0.11385476947743663,0.027961425075098505,0.03743783929320461,0.16309513341007223,-1.0,2.0,-1.0,-1.0,1.0,0.0,0.0,0.0
