REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ANTOFAGASTA,TOCOPILLA,ESCUELA CARLOS CONDELL DE LA HAZA,10V,0,46,18,23,10,10,0,1,18,1,0,0,8,10,1,37,6,2,25,0,21,1,14,0,1,0,126,69,-1,-1,1,51,23,18,10,2,7,14,64,62,0.015181692235475254,0.4661700966289554,0.18349821130406974,0.1396029279587077,0.06241965282146073,0.009961894389352072,0.032759754457186756,0.09040577020479226,0.009454468531509993,0.3464000370368903,0.17517039274532814,0.143803515953724,0.0946548566942152,0.01692667339844128,0.08403467220354782,0.12955538343634307,-1.0,-5.0,-5.0,5.0,0.0,-1.0,3.0,4.0
DE ANTOFAGASTA,TOCOPILLA,ESCUELA CARLOS CONDELL DE LA HAZA,11V,2,52,25,24,3,6,3,1,15,4,0,2,2,2,1,60,0,0,16,0,31,0,13,0,4,0,131,69,-1,-1,2,53,23,19,10,2,8,14,67,64,0.015181692235475254,0.4661700966289554,0.18349821130406974,0.1396029279587077,0.06241965282146073,0.009961894389352072,0.032759754457186756,0.09040577020479226,0.009454468531509993,0.3464000370368903,0.17517039274532814,0.143803515953724,0.0946548566942152,0.01692667339844128,0.08403467220354782,0.12955538343634307,0.0,-1.0,2.0,5.0,-7.0,2.0,-2.0,1.0
DE ANTOFAGASTA,TOCOPILLA,ESCUELA CARLOS CONDELL DE LA HAZA,12V,1,67,16,10,8,5,0,1,15,1,0,2,5,1,3,47,1,3,18,0,36,1,6,0,1,0,123,69,-1,-1,1,50,22,17,10,2,7,14,62,62,0.015181692235475254,0.4661700966289554,0.18349821130406974,0.1396029279587077,0.06241965282146073,0.009961894389352072,0.032759754457186756,0.09040577020479226,0.009454468531509993,0.3464000370368903,0.17517039274532814,0.143803515953724,0.0946548566942152,0.01692667339844128,0.08403467220354782,0.12955538343634307,0.0,17.0,-6.0,-7.0,-2.0,-1.0,-2.0,1.0
DE ANTOFAGASTA,TOCOPILLA,ESCUELA CARLOS CONDELL DE LA HAZA,13V,1,55,28,14,13,12,1,0,15,1,0,2,2,4,0,63,2,0,22,1,26,0,14,1,3,0,139,69,-1,-1,2,57,25,19,11,2,8,15,73,67,0.015181692235475254,0.4661700966289554,0.18349821130406974,0.1396029279587077,0.06241965282146073,0.009961894389352072,0.032759754457186756,0.09040577020479226,0.009454468531509993,0.3464000370368903,0.17517039274532814,0.143803515953724,0.0946548566942152,0.01692667339844128,0.08403467220354782,0.12955538343634307,-1.0,-2.0,3.0,-5.0,2.0,-1.0,4.0,0.0
DE ANTOFAGASTA,TOCOPILLA,ESCUELA CARLOS CONDELL DE LA HAZA,14V,1,65,32,21,6,10,2,2,11,4,5,2,6,3,3,59,2,3,19,0,31,1,15,0,1,0,150,69,-1,-1,2,62,27,21,12,2,8,16,83,67,0.015181692235475254,0.4661700966289554,0.18349821130406974,0.1396029279587077,0.06241965282146073,0.009961894389352072,0.032759754457186756,0.09040577020479226,0.009454468531509993,0.3464000370368903,0.17517039274532814,0.143803515953724,0.0946548566942152,0.01692667339844128,0.08403467220354782,0.12955538343634307,-1.0,3.0,5.0,0.0,-6.0,2.0,2.0,-5.0
DE ANTOFAGASTA,TOCOPILLA,ESCUELA CARLOS CONDELL DE LA HAZA,1V,1,20,17,5,4,6,1,1,11,2,0,3,6,8,2,4,0,0,6,0,12,4,11,4,5,1,66,69,-1,-1,1,26,12,9,5,1,4,8,23,43,0.015181692235475254,0.4661700966289554,0.18349821130406974,0.1396029279587077,0.06241965282146073,0.009961894389352072,0.032759754457186756,0.09040577020479226,0.009454468531509993,0.3464000370368903,0.17517039274532814,0.143803515953724,0.0946548566942152,0.01692667339844128,0.08403467220354782,0.12955538343634307,0.0,-6.0,5.0,-4.0,-1.0,1.0,2.0,3.0
DE ANTOFAGASTA,TOCOPILLA,ESCUELA CARLOS CONDELL DE LA HAZA,26M,3,56,22,16,16,7,0,2,12,2,1,1,35,4,1,1,1,37,1,28,4,15,0,3,0,2,134,69,-1,-1,2,56,24,19,10,2,7,14,81,53,0.015181692235475254,0.4661700966289554,0.18349821130406974,0.1396029279587077,0.06241965282146073,0.009961894389352072,0.032759754457186756,0.09040577020479226,0.009454468531509993,0.3464000370368903,0.17517039274532814,0.143803515953724,0.0946548566942152,0.01692667339844128,0.08403467220354782,0.12955538343634307,1.0,0.0,-2.0,-3.0,6.0,0.0,0.0,-2.0
DE ANTOFAGASTA,TOCOPILLA,ESCUELA CARLOS CONDELL DE LA HAZA,27M,0,50,21,16,12,5,1,1,15,2,0,3,27,3,1,1,1,53,1,19,0,12,0,1,0,0,121,69,-1,-1,2,52,22,17,9,1,6,12,89,33,0.015181692235475254,0.4661700966289554,0.18349821130406974,0.1396029279587077,0.06241965282146073,0.009961894389352072,0.032759754457186756,0.09040577020479226,0.009454468531509993,0.3464000370368903,0.17517039274532814,0.143803515953724,0.0946548566942152,0.01692667339844128,0.08403467220354782,0.12955538343634307,-2.0,-2.0,-1.0,-1.0,3.0,1.0,-1.0,3.0
DE ANTOFAGASTA,TOCOPILLA,ESCUELA CARLOS CONDELL DE LA HAZA,28M,0,68,17,22,9,8,0,5,12,5,1,2,28,2,2,2,1,65,1,21,1,8,0,7,0,0,141,69,-1,-1,2,61,25,20,10,2,7,14,103,38,0.015181692235475254,0.4661700966289554,0.18349821130406974,0.1396029279587077,0.06241965282146073,0.009961894389352072,0.032759754457186756,0.09040577020479226,0.009454468531509993,0.3464000370368903,0.17517039274532814,0.143803515953724,0.0946548566942152,0.01692667339844128,0.08403467220354782,0.12955538343634307,-2.0,7.0,-8.0,2.0,-1.0,3.0,1.0,-2.0
DE ANTOFAGASTA,TOCOPILLA,ESCUELA CARLOS CONDELL DE LA HAZA,29M,1,62,24,18,8,11,0,0,10,0,0,1,40,3,3,3,1,49,1,12,1,16,0,3,0,1,134,69,-1,-1,2,58,24,19,10,2,6,13,100,34,0.015181692235475254,0.4661700966289554,0.18349821130406974,0.1396029279587077,0.06241965282146073,0.009961894389352072,0.032759754457186756,0.09040577020479226,0.009454468531509993,0.3464000370368903,0.17517039274532814,0.143803515953724,0.0946548566942152,0.01692667339844128,0.08403467220354782,0.12955538343634307,-1.0,4.0,0.0,-1.0,-2.0,-2.0,5.0,-3.0
