REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ARICA Y PARINACOTA,PUTRE,LICEO GRANADEROS DE PUTRE,10V-11V-12V,2,23,6,20,5,0,0,1,7,1,1,0,3,5,7,3,13,4,7,2,2,6,7,2,2,0,64,16,-1,-1,1,21,6,22,3,1,3,7,36,28,0.009499749984573135,0.40608517286582185,0.13310797814266612,0.28894045058227075,0.04565754416950585,0.00820246886887373,0.06731196808435591,0.04119466730193264,0.012288735879901537,0.24080810432159327,0.03289150197249957,0.4062418545256348,0.047453903603573655,0.041579763141334075,0.019969344460065413,0.19876679209539766,1.0,2.0,0.0,-2.0,2.0,0.0,-3.0,0.0
DE ARICA Y PARINACOTA,PUTRE,LICEO GRANADEROS DE PUTRE,11M-2V,0,23,1,27,9,6,1,0,12,1,0,2,3,5,5,20,2,4,7,6,8,5,4,4,3,1,79,16,-1,-1,1,26,7,27,4,2,3,9,41,38,0.009499749984573135,0.40608517286582185,0.13310797814266612,0.28894045058227075,0.04565754416950585,0.00820246886887373,0.06731196808435591,0.04119466730193264,0.012288735879901537,0.24080810432159327,0.03289150197249957,0.4062418545256348,0.047453903603573655,0.041579763141334075,0.019969344460065413,0.19876679209539766,-1.0,-3.0,-6.0,0.0,5.0,-1.0,3.0,3.0
DE ARICA Y PARINACOTA,PUTRE,LICEO GRANADEROS DE PUTRE,13V-17V,0,45,9,38,4,5,1,1,7,2,0,1,10,12,16,12,17,7,9,7,9,4,4,1,1,0,110,16,-1,-1,1,39,11,36,5,2,6,10,75,35,0.009499749984573135,0.40608517286582185,0.13310797814266612,0.28894045058227075,0.04565754416950585,0.00820246886887373,0.06731196808435591,0.04119466730193264,0.012288735879901537,0.24080810432159327,0.03289150197249957,0.4062418545256348,0.047453903603573655,0.041579763141334075,0.019969344460065413,0.19876679209539766,-1.0,6.0,-2.0,2.0,-1.0,0.0,-1.0,-3.0
DE ARICA Y PARINACOTA,PUTRE,LICEO GRANADEROS DE PUTRE,14V-15V,0,21,6,23,0,0,1,1,4,2,0,1,10,7,4,7,6,1,4,6,4,3,2,1,0,0,56,16,-1,-1,1,19,5,19,3,1,3,5,36,20,0.009499749984573135,0.40608517286582185,0.13310797814266612,0.28894045058227075,0.04565754416950585,0.00820246886887373,0.06731196808435591,0.04119466730193264,0.012288735879901537,0.24080810432159327,0.03289150197249957,0.4062418545256348,0.047453903603573655,0.041579763141334075,0.019969344460065413,0.19876679209539766,-1.0,2.0,1.0,4.0,-3.0,1.0,-3.0,-1.0
DE ARICA Y PARINACOTA,PUTRE,LICEO GRANADEROS DE PUTRE,16V-18V-27V,0,29,8,30,5,2,1,2,10,3,0,0,6,3,12,9,12,5,10,8,15,4,1,2,0,0,87,16,-1,-1,1,29,7,30,4,2,4,10,47,40,0.009499749984573135,0.40608517286582185,0.13310797814266612,0.28894045058227075,0.04565754416950585,0.00820246886887373,0.06731196808435591,0.04119466730193264,0.012288735879901537,0.24080810432159327,0.03289150197249957,0.4062418545256348,0.047453903603573655,0.041579763141334075,0.019969344460065413,0.19876679209539766,-1.0,0.0,1.0,0.0,1.0,1.0,-2.0,0.0
DE ARICA Y PARINACOTA,PUTRE,LICEO GRANADEROS DE PUTRE,19V-20V,1,31,10,39,3,8,1,2,9,3,1,1,5,14,7,9,23,9,12,6,9,5,3,0,0,0,104,16,-1,-1,1,37,10,34,5,2,5,10,69,35,0.009499749984573135,0.40608517286582185,0.13310797814266612,0.28894045058227075,0.04565754416950585,0.00820246886887373,0.06731196808435591,0.04119466730193264,0.012288735879901537,0.24080810432159327,0.03289150197249957,0.4062418545256348,0.047453903603573655,0.041579763141334075,0.019969344460065413,0.19876679209539766,0.0,-6.0,0.0,5.0,-2.0,1.0,3.0,-1.0
DE ARICA Y PARINACOTA,PUTRE,LICEO GRANADEROS DE PUTRE,1M-9M,1,30,5,39,5,6,2,0,16,2,0,0,7,7,13,6,4,4,6,21,2,14,2,11,0,7,104,16,-1,-1,1,32,8,37,5,3,4,14,41,63,0.009499749984573135,0.40608517286582185,0.13310797814266612,0.28894045058227075,0.04565754416950585,0.00820246886887373,0.06731196808435591,0.04119466730193264,0.012288735879901537,0.24080810432159327,0.03289150197249957,0.4062418545256348,0.047453903603573655,0.041579763141334075,0.019969344460065413,0.19876679209539766,0.0,-2.0,-3.0,2.0,0.0,-1.0,2.0,2.0
DE ARICA Y PARINACOTA,PUTRE,LICEO GRANADEROS DE PUTRE,21V-22V-24V,3,25,6,33,3,5,2,0,11,2,0,1,5,4,11,9,10,3,12,6,11,5,6,4,1,0,88,16,-1,-1,1,28,7,31,4,2,4,11,43,45,0.009499749984573135,0.40608517286582185,0.13310797814266612,0.28894045058227075,0.04565754416950585,0.00820246886887373,0.06731196808435591,0.04119466730193264,0.012288735879901537,0.24080810432159327,0.03289150197249957,0.4062418545256348,0.047453903603573655,0.041579763141334075,0.019969344460065413,0.19876679209539766,2.0,-3.0,-1.0,2.0,-1.0,0.0,1.0,0.0
DE ARICA Y PARINACOTA,PUTRE,LICEO GRANADEROS DE PUTRE,23V-25V,0,27,9,37,3,4,0,2,19,2,0,0,3,5,12,4,9,5,15,13,19,4,6,3,3,0,101,16,-1,-1,1,31,7,36,5,3,4,14,38,63,0.009499749984573135,0.40608517286582185,0.13310797814266612,0.28894045058227075,0.04565754416950585,0.00820246886887373,0.06731196808435591,0.04119466730193264,0.012288735879901537,0.24080810432159327,0.03289150197249957,0.4062418545256348,0.047453903603573655,0.041579763141334075,0.019969344460065413,0.19876679209539766,-1.0,-4.0,2.0,1.0,-2.0,-1.0,0.0,5.0
DE ARICA Y PARINACOTA,PUTRE,LICEO GRANADEROS DE PUTRE,26V,0,12,4,14,0,0,0,0,9,0,0,0,2,4,9,4,6,1,0,2,6,2,2,0,1,0,39,16,-1,-1,0,14,4,13,2,1,2,3,26,13,0.009499749984573135,0.40608517286582185,0.13310797814266612,0.28894045058227075,0.04565754416950585,0.00820246886887373,0.06731196808435591,0.04119466730193264,0.012288735879901537,0.24080810432159327,0.03289150197249957,0.4062418545256348,0.047453903603573655,0.041579763141334075,0.019969344460065413,0.19876679209539766,0.0,-2.0,0.0,1.0,-2.0,-1.0,-2.0,6.0
