REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ARICA Y PARINACOTA,SAN MIGUEL DE AZAPA,AZAPA VALLEY SCHOOL,15,0,28,11,33,1,8,1,1,9,2,3,1,7,9,12,20,5,5,4,7,4,4,6,3,0,1,92,26,-1,-1,1,31,11,29,4,2,7,7,62,29,0.02139659218616424,0.37059005396417455,0.10830080715030423,0.34054727671745794,0.019746546707245,0.0009299733772628101,0.07212376469416616,0.06636498520322495,0.00039810300530854177,0.26953331533996294,0.14344067406031843,0.2527538273131527,0.09597503110201548,0.0643287665731294,0.07977659967715682,0.09379368292895572,-1.0,-3.0,0.0,4.0,-3.0,0.0,1.0,2.0
DE ARICA Y PARINACOTA,SAN MIGUEL DE AZAPA,AZAPA VALLEY SCHOOL,16,1,35,11,32,3,3,0,1,4,1,3,2,15,12,8,6,9,8,3,6,5,5,3,6,0,0,90,26,-1,-1,1,30,11,28,4,2,7,7,63,28,0.02139659218616424,0.37059005396417455,0.10830080715030423,0.34054727671745794,0.019746546707245,0.0009299733772628101,0.07212376469416616,0.06636498520322495,0.00039810300530854177,0.26953331533996294,0.14344067406031843,0.2527538273131527,0.09597503110201548,0.0643287665731294,0.07977659967715682,0.09379368292895572,0.0,5.0,0.0,4.0,-1.0,-1.0,-4.0,-3.0
DE ARICA Y PARINACOTA,SAN MIGUEL DE AZAPA,AZAPA VALLEY SCHOOL,17,1,35,8,27,3,5,1,2,7,3,0,1,4,6,20,17,12,6,3,7,4,3,3,3,1,0,89,26,-1,-1,1,31,10,28,4,2,7,6,66,24,0.02139659218616424,0.37059005396417455,0.10830080715030423,0.34054727671745794,0.019746546707245,0.0009299733772628101,0.07212376469416616,0.06636498520322495,0.00039810300530854177,0.26953331533996294,0.14344067406031843,0.2527538273131527,0.09597503110201548,0.0643287665731294,0.07977659967715682,0.09379368292895572,0.0,4.0,-2.0,-1.0,-1.0,1.0,-2.0,1.0
DE ARICA Y PARINACOTA,SAN MIGUEL DE AZAPA,AZAPA VALLEY SCHOOL,18,1,38,18,23,3,7,0,0,11,0,3,5,14,17,4,7,12,9,6,4,10,2,4,1,3,0,101,26,-1,-1,2,34,12,32,4,2,7,8,71,30,0.02139659218616424,0.37059005396417455,0.10830080715030423,0.34054727671745794,0.019746546707245,0.0009299733772628101,0.07212376469416616,0.06636498520322495,0.00039810300530854177,0.26953331533996294,0.14344067406031843,0.2527538273131527,0.09597503110201548,0.0643287665731294,0.07977659967715682,0.09379368292895572,-1.0,4.0,6.0,-9.0,-1.0,-2.0,0.0,3.0
DE ARICA Y PARINACOTA,SAN MIGUEL DE AZAPA,AZAPA VALLEY SCHOOL,19,2,36,9,35,1,5,0,0,8,0,3,2,14,17,8,10,6,8,4,7,3,2,7,2,2,1,96,26,-1,-1,2,33,11,30,4,2,7,7,68,28,0.02139659218616424,0.37059005396417455,0.10830080715030423,0.34054727671745794,0.019746546707245,0.0009299733772628101,0.07212376469416616,0.06636498520322495,0.00039810300530854177,0.26953331533996294,0.14344067406031843,0.2527538273131527,0.09597503110201548,0.0643287665731294,0.07977659967715682,0.09379368292895572,0.0,3.0,-2.0,5.0,-3.0,-2.0,-2.0,1.0
DE ARICA Y PARINACOTA,SAN MIGUEL DE AZAPA,AZAPA VALLEY SCHOOL,20,2,45,12,30,5,10,1,0,9,1,1,2,8,22,10,12,8,14,11,7,4,6,4,4,1,0,114,26,-1,-1,2,38,14,36,5,2,8,9,77,37,0.02139659218616424,0.37059005396417455,0.10830080715030423,0.34054727671745794,0.019746546707245,0.0009299733772628101,0.07212376469416616,0.06636498520322495,0.00039810300530854177,0.26953331533996294,0.14344067406031843,0.2527538273131527,0.09597503110201548,0.0643287665731294,0.07977659967715682,0.09379368292895572,0.0,7.0,-2.0,-6.0,0.0,-1.0,2.0,0.0
DE ARICA Y PARINACOTA,SAN MIGUEL DE AZAPA,AZAPA VALLEY SCHOOL,21,3,36,13,21,4,5,1,0,11,1,1,1,4,3,9,8,17,24,6,6,5,0,3,2,3,2,94,26,-1,-1,1,32,11,30,4,2,7,7,67,27,0.02139659218616424,0.37059005396417455,0.10830080715030423,0.34054727671745794,0.019746546707245,0.0009299733772628101,0.07212376469416616,0.06636498520322495,0.00039810300530854177,0.26953331533996294,0.14344067406031843,0.2527538273131527,0.09597503110201548,0.0643287665731294,0.07977659967715682,0.09379368292895572,2.0,4.0,2.0,-9.0,0.0,-1.0,-2.0,4.0
DE ARICA Y PARINACOTA,SAN MIGUEL DE AZAPA,AZAPA VALLEY SCHOOL,22,1,29,7,30,8,5,3,4,7,7,1,1,4,8,12,11,11,8,12,10,5,4,1,5,1,0,94,26,-1,-1,1,31,12,29,5,2,7,7,56,38,0.02139659218616424,0.37059005396417455,0.10830080715030423,0.34054727671745794,0.019746546707245,0.0009299733772628101,0.07212376469416616,0.06636498520322495,0.00039810300530854177,0.26953331533996294,0.14344067406031843,0.2527538273131527,0.09597503110201548,0.0643287665731294,0.07977659967715682,0.09379368292895572,0.0,-2.0,-5.0,1.0,3.0,5.0,-2.0,0.0
DE ARICA Y PARINACOTA,SAN MIGUEL DE AZAPA,AZAPA VALLEY SCHOOL,23,1,23,9,32,3,7,2,0,3,2,3,2,7,9,4,9,9,6,7,7,7,3,5,2,0,0,80,26,-1,-1,1,26,10,25,4,2,6,6,49,31,0.02139659218616424,0.37059005396417455,0.10830080715030423,0.34054727671745794,0.019746546707245,0.0009299733772628101,0.07212376469416616,0.06636498520322495,0.00039810300530854177,0.26953331533996294,0.14344067406031843,0.2527538273131527,0.09597503110201548,0.0643287665731294,0.07977659967715682,0.09379368292895572,0.0,-3.0,-1.0,7.0,-1.0,0.0,1.0,-3.0
DE ARICA Y PARINACOTA,SAN MIGUEL DE AZAPA,AZAPA VALLEY SCHOOL,24,2,34,17,31,5,10,0,1,10,1,0,5,8,11,7,11,11,11,14,6,6,7,11,1,1,0,110,26,-1,-1,1,36,14,33,6,3,8,9,64,46,0.02139659218616424,0.37059005396417455,0.10830080715030423,0.34054727671745794,0.019746546707245,0.0009299733772628101,0.07212376469416616,0.06636498520322495,0.00039810300530854177,0.26953331533996294,0.14344067406031843,0.2527538273131527,0.09597503110201548,0.0643287665731294,0.07977659967715682,0.09379368292895572,1.0,-2.0,3.0,-2.0,-1.0,-2.0,2.0,1.0
