REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ARICA Y PARINACOTA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ARICA COLLEGE,100,2,47,30,42,5,13,0,4,16,4,0,0,7,12,9,19,10,14,14,27,10,12,10,8,3,4,159,131,-1,-1,2,44,28,44,10,3,10,18,71,88,0.017078266104722836,0.3424897568703077,0.2304964648006417,0.24457809269936184,0.0485596968954649,0.007855319046310415,0.0643795157425714,0.04456288784061929,0.005516486279298701,0.22499412973376623,0.13110889386102365,0.3035368602041925,0.07536966706505595,0.022246237920390648,0.06649129350399799,0.17073643143227432,0.0,3.0,2.0,-2.0,-5.0,1.0,3.0,-2.0
DE ARICA Y PARINACOTA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ARICA COLLEGE,101,4,36,28,43,13,9,0,1,19,1,1,3,11,10,12,13,8,7,19,19,5,20,7,15,3,0,153,131,-1,-1,2,42,26,43,10,2,10,18,65,88,0.017078266104722836,0.3424897568703077,0.2304964648006417,0.24457809269936184,0.0485596968954649,0.007855319046310415,0.0643795157425714,0.04456288784061929,0.005516486279298701,0.22499412973376623,0.13110889386102365,0.3035368602041925,0.07536966706505595,0.022246237920390648,0.06649129350399799,0.17073643143227432,2.0,-6.0,2.0,0.0,3.0,-1.0,-1.0,1.0
DE ARICA Y PARINACOTA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ARICA COLLEGE,102,0,44,37,41,19,11,1,2,14,3,3,2,8,11,12,20,15,11,23,17,9,18,4,13,1,2,169,131,-1,-1,2,48,30,46,11,3,11,18,82,87,0.017078266104722836,0.3424897568703077,0.2304964648006417,0.24457809269936184,0.0485596968954649,0.007855319046310415,0.0643795157425714,0.04456288784061929,0.005516486279298701,0.22499412973376623,0.13110889386102365,0.3035368602041925,0.07536966706505595,0.022246237920390648,0.06649129350399799,0.17073643143227432,-2.0,-4.0,7.0,-5.0,8.0,0.0,0.0,-4.0
DE ARICA Y PARINACOTA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ARICA COLLEGE,103,2,55,34,39,9,8,0,0,20,0,3,2,8,20,7,15,15,12,19,17,10,17,10,5,5,2,167,131,-1,-1,2,47,30,46,10,3,11,18,82,85,0.017078266104722836,0.3424897568703077,0.2304964648006417,0.24457809269936184,0.0485596968954649,0.007855319046310415,0.0643795157425714,0.04456288784061929,0.005516486279298701,0.22499412973376623,0.13110889386102365,0.3035368602041925,0.07536966706505595,0.022246237920390648,0.06649129350399799,0.17073643143227432,0.0,8.0,4.0,-7.0,-1.0,-3.0,-3.0,2.0
DE ARICA Y PARINACOTA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ARICA COLLEGE,104,2,45,30,35,15,11,1,0,16,1,1,0,8,10,12,18,9,14,12,20,15,15,7,9,3,2,155,131,-1,-1,2,43,28,43,10,2,10,17,72,83,0.017078266104722836,0.3424897568703077,0.2304964648006417,0.24457809269936184,0.0485596968954649,0.007855319046310415,0.0643795157425714,0.04456288784061929,0.005516486279298701,0.22499412973376623,0.13110889386102365,0.3035368602041925,0.07536966706505595,0.022246237920390648,0.06649129350399799,0.17073643143227432,0.0,2.0,2.0,-8.0,5.0,-1.0,1.0,-1.0
DE ARICA Y PARINACOTA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ARICA COLLEGE,105,1,42,28,45,9,13,1,0,16,1,1,0,9,11,13,13,6,21,17,16,9,14,5,11,2,7,155,131,-1,-1,2,43,28,43,10,2,10,17,74,81,0.017078266104722836,0.3424897568703077,0.2304964648006417,0.24457809269936184,0.0485596968954649,0.007855319046310415,0.0643795157425714,0.04456288784061929,0.005516486279298701,0.22499412973376623,0.13110889386102365,0.3035368602041925,0.07536966706505595,0.022246237920390648,0.06649129350399799,0.17073643143227432,-1.0,-1.0,0.0,2.0,-1.0,-1.0,3.0,-1.0
DE ARICA Y PARINACOTA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ARICA COLLEGE,106,3,37,31,53,11,7,1,3,20,4,5,3,4,16,11,20,11,13,15,20,15,14,10,3,2,4,166,131,-1,-1,2,47,30,45,10,3,11,18,83,83,0.017078266104722836,0.3424897568703077,0.2304964648006417,0.24457809269936184,0.0485596968954649,0.007855319046310415,0.0643795157425714,0.04456288784061929,0.005516486279298701,0.22499412973376623,0.13110889386102365,0.3035368602041925,0.07536966706505595,0.022246237920390648,0.06649129350399799,0.17073643143227432,1.0,-10.0,1.0,8.0,1.0,1.0,-4.0,2.0
DE ARICA Y PARINACOTA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ARICA COLLEGE,94,0,52,21,40,11,14,1,1,18,2,2,0,13,4,10,14,15,16,26,14,7,18,7,8,3,1,158,131,-1,-1,2,44,28,44,10,2,10,18,74,84,0.017078266104722836,0.3424897568703077,0.2304964648006417,0.24457809269936184,0.0485596968954649,0.007855319046310415,0.0643795157425714,0.04456288784061929,0.005516486279298701,0.22499412973376623,0.13110889386102365,0.3035368602041925,0.07536966706505595,0.022246237920390648,0.06649129350399799,0.17073643143227432,-2.0,8.0,-7.0,-4.0,1.0,0.0,4.0,0.0
DE ARICA Y PARINACOTA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ARICA COLLEGE,95,2,46,26,50,10,7,2,3,15,5,0,1,9,9,14,13,13,17,16,20,16,12,9,5,2,4,161,131,-1,-1,2,45,29,44,10,2,11,18,76,84,0.017078266104722836,0.3424897568703077,0.2304964648006417,0.24457809269936184,0.0485596968954649,0.007855319046310415,0.0643795157425714,0.04456288784061929,0.005516486279298701,0.22499412973376623,0.13110889386102365,0.3035368602041925,0.07536966706505595,0.022246237920390648,0.06649129350399799,0.17073643143227432,0.0,1.0,-3.0,6.0,0.0,3.0,-4.0,-3.0
DE ARICA Y PARINACOTA,SECTOR EX BARRIO INDUSTRIAL DE ARICA,ARICA COLLEGE,96,0,37,29,50,6,7,0,2,21,2,0,4,8,11,7,14,12,11,15,19,10,16,13,9,2,1,152,131,-1,-1,2,42,27,42,10,2,10,17,67,85,0.017078266104722836,0.3424897568703077,0.2304964648006417,0.24457809269936184,0.0485596968954649,0.007855319046310415,0.0643795157425714,0.04456288784061929,0.005516486279298701,0.22499412973376623,0.13110889386102365,0.3035368602041925,0.07536966706505595,0.022246237920390648,0.06649129350399799,0.17073643143227432,-2.0,-5.0,2.0,8.0,-4.0,0.0,-3.0,4.0
