REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ATACAMA,COPIAPO,CENTRO CULTURAL,153,4,60,24,17,8,10,1,0,6,1,3,0,1,0,55,62,1,4,1,1,0,1,1,1,0,0,130,350,-1,-1,2,43,33,25,6,1,8,12,126,5,0.01946973961670132,0.33720813270589584,0.2561838578845354,0.18628936985282554,0.0482646621903881,0.009404967738822132,0.061299770852186374,0.08187949915864526,0.005406347304242089,0.09203597715903306,0.15365010218597722,0.2552295291174099,0.06419366051424454,0.009799939923142901,0.10166779481533927,0.318016648980611,2.0,17.0,-9.0,-8.0,2.0,0.0,2.0,-6.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,154,4,55,29,14,5,1,0,2,12,2,2,1,2,5,55,46,1,2,5,1,0,1,1,0,0,0,122,350,-1,-1,2,39,31,23,6,1,8,12,114,8,0.01946973961670132,0.33720813270589584,0.2561838578845354,0.18628936985282554,0.0482646621903881,0.009404967738822132,0.061299770852186374,0.08187949915864526,0.005406347304242089,0.09203597715903306,0.15365010218597722,0.2552295291174099,0.06419366051424454,0.009799939923142901,0.10166779481533927,0.318016648980611,2.0,16.0,-2.0,-9.0,-1.0,1.0,-7.0,0.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,155,3,46,29,15,6,3,0,0,9,0,2,1,2,4,52,42,2,1,0,3,1,0,1,0,0,0,111,350,-1,-1,2,36,28,21,6,1,7,10,106,5,0.01946973961670132,0.33720813270589584,0.2561838578845354,0.18628936985282554,0.0482646621903881,0.009404967738822132,0.061299770852186374,0.08187949915864526,0.005406347304242089,0.09203597715903306,0.15365010218597722,0.2552295291174099,0.06419366051424454,0.009799939923142901,0.10166779481533927,0.318016648980611,1.0,10.0,1.0,-6.0,0.0,-1.0,-4.0,-1.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,156,2,43,30,26,4,5,0,0,10,0,2,5,9,6,38,43,3,0,7,2,1,2,0,1,0,0,120,350,-1,-1,2,37,30,23,6,1,8,13,106,13,0.01946973961670132,0.33720813270589584,0.2561838578845354,0.18628936985282554,0.0482646621903881,0.009404967738822132,0.061299770852186374,0.08187949915864526,0.005406347304242089,0.09203597715903306,0.15365010218597722,0.2552295291174099,0.06419366051424454,0.009799939923142901,0.10166779481533927,0.318016648980611,0.0,6.0,0.0,3.0,-2.0,-1.0,-3.0,-3.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,66V,1,19,34,28,4,13,0,0,31,0,0,1,1,9,1,21,1,6,33,1,30,1,21,0,4,0,130,350,-1,-1,1,22,24,30,8,1,12,32,40,90,0.01946973961670132,0.33720813270589584,0.2561838578845354,0.18628936985282554,0.0482646621903881,0.009404967738822132,0.061299770852186374,0.08187949915864526,0.005406347304242089,0.09203597715903306,0.15365010218597722,0.2552295291174099,0.06419366051424454,0.009799939923142901,0.10166779481533927,0.318016648980611,0.0,-3.0,10.0,-2.0,-4.0,-1.0,1.0,-1.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,67V,1,20,29,20,6,10,1,1,27,2,0,2,3,9,3,18,3,5,41,1,19,1,9,0,1,0,115,350,-1,-1,1,21,22,26,7,1,10,27,43,72,0.01946973961670132,0.33720813270589584,0.2561838578845354,0.18628936985282554,0.0482646621903881,0.009404967738822132,0.061299770852186374,0.08187949915864526,0.005406347304242089,0.09203597715903306,0.15365010218597722,0.2552295291174099,0.06419366051424454,0.009799939923142901,0.10166779481533927,0.318016648980611,0.0,-1.0,7.0,-6.0,-1.0,1.0,0.0,0.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,68V,0,20,30,16,11,13,0,0,26,0,0,5,4,4,2,22,1,6,35,2,22,0,11,0,2,0,116,350,-1,-1,1,21,22,27,7,1,10,27,44,72,0.01946973961670132,0.33720813270589584,0.2561838578845354,0.18628936985282554,0.0482646621903881,0.009404967738822132,0.061299770852186374,0.08187949915864526,0.005406347304242089,0.09203597715903306,0.15365010218597722,0.2552295291174099,0.06419366051424454,0.009799939923142901,0.10166779481533927,0.318016648980611,-1.0,-1.0,8.0,-11.0,4.0,-1.0,3.0,-1.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,69V,3,19,21,24,10,8,1,0,39,1,1,0,3,5,2,28,1,2,30,2,35,0,13,1,2,0,125,350,-1,-1,1,22,24,29,7,1,11,30,42,83,0.01946973961670132,0.33720813270589584,0.2561838578845354,0.18628936985282554,0.0482646621903881,0.009404967738822132,0.061299770852186374,0.08187949915864526,0.005406347304242089,0.09203597715903306,0.15365010218597722,0.2552295291174099,0.06419366051424454,0.009799939923142901,0.10166779481533927,0.318016648980611,2.0,-3.0,-3.0,-5.0,3.0,0.0,-3.0,9.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,70V,1,24,36,25,10,10,0,1,27,1,1,1,7,9,2,40,1,3,33,0,22,1,11,1,1,0,134,350,-1,-1,2,28,27,30,8,1,11,27,64,69,0.01946973961670132,0.33720813270589584,0.2561838578845354,0.18628936985282554,0.0482646621903881,0.009404967738822132,0.061299770852186374,0.08187949915864526,0.005406347304242089,0.09203597715903306,0.15365010218597722,0.2552295291174099,0.06419366051424454,0.009799939923142901,0.10166779481533927,0.318016648980611,-1.0,-4.0,9.0,-5.0,2.0,0.0,-1.0,0.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,71V,3,30,30,20,7,7,1,0,26,1,0,1,0,15,1,36,2,2,24,2,26,0,7,1,7,0,124,350,-1,-1,2,25,25,28,7,1,10,26,57,67,0.01946973961670132,0.33720813270589584,0.2561838578845354,0.18628936985282554,0.0482646621903881,0.009404967738822132,0.061299770852186374,0.08187949915864526,0.005406347304242089,0.09203597715903306,0.15365010218597722,0.2552295291174099,0.06419366051424454,0.009799939923142901,0.10166779481533927,0.318016648980611,1.0,5.0,5.0,-8.0,0.0,0.0,-3.0,0.0
