REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE ATACAMA,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,1M-2M,3,20,15,10,4,4,3,3,59,6,1,1,3,6,4,5,7,12,3,34,2,25,3,13,1,1,121,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3M-1V,2,27,19,20,8,15,3,1,62,4,3,2,6,7,8,13,4,26,14,14,22,10,12,10,6,0,157,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,3V-4V,0,20,26,23,4,4,1,1,55,2,0,0,4,4,8,4,29,7,28,5,19,5,14,2,4,1,134,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,4M-2V,0,31,26,19,6,5,0,1,47,1,0,1,6,9,13,19,8,14,14,11,13,10,10,3,3,1,135,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,ALTO DEL CARMEN,ESCUELA RICARDO CAMPILLAY CONTRERAS,5V-6,1,16,13,11,3,6,0,1,29,1,0,2,7,6,10,6,6,3,10,1,12,5,6,0,3,3,80,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA DE DESARROLLO ARTISTICO,10M,6,49,25,23,17,7,0,2,38,2,0,4,3,5,41,2,5,26,4,40,3,23,2,7,0,2,167,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA DE DESARROLLO ARTISTICO,11M,3,38,28,23,14,10,2,5,31,7,0,3,3,7,29,9,4,35,3,28,2,19,0,8,0,4,154,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA DE DESARROLLO ARTISTICO,12M,1,42,29,19,11,5,0,1,47,1,0,1,7,5,33,3,4,32,1,36,3,20,1,8,0,1,155,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA DE DESARROLLO ARTISTICO,13M,1,44,32,25,9,11,1,3,33,4,1,2,5,7,29,2,3,40,1,27,0,30,0,9,0,3,159,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA DE DESARROLLO ARTISTICO,14M,1,45,27,39,7,16,0,1,42,1,0,1,28,3,12,3,3,59,1,31,2,17,0,16,1,1,178,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CALDERA,ESCUELA DE DESARROLLO ARTISTICO,15M,1,46,26,23,7,9,2,1,34,3,2,1,26,2,2,15,2,28,2,30,1,21,2,10,2,3,149,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
