REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ATACAMA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,10,1,25,22,14,4,4,0,2,36,2,9,9,0,5,9,16,9,10,7,10,9,8,3,2,2,0,108,18,-1,-1,1,24,20,13,3,1,5,41,67,41,0.009387290050531806,0.2896162353340033,0.23460649806503733,0.1373574439968779,0.03921529011901291,0.014447551470587985,0.04069643875387743,0.2346732522100713,0.00725173886618947,0.10378623060188134,0.09158548880915966,0.09383164425678478,0.013926893924845647,0.007713176513296802,0.05961668644701072,0.6222881405808316,0.0,1.0,2.0,1.0,1.0,1.0,-1.0,-5.0
DE ATACAMA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,1M,3,13,22,18,3,7,0,1,80,1,0,3,7,8,2,4,3,0,6,26,2,43,0,26,1,15,147,18,-1,-1,1,20,18,15,3,1,8,81,27,119,0.009387290050531806,0.2896162353340033,0.23460649806503733,0.1373574439968779,0.03921529011901291,0.014447551470587985,0.04069643875387743,0.2346732522100713,0.00725173886618947,0.10378623060188134,0.09158548880915966,0.09383164425678478,0.013926893924845647,0.007713176513296802,0.05961668644701072,0.6222881405808316,2.0,-7.0,4.0,3.0,0.0,0.0,-1.0,-1.0
DE ATACAMA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,1V,2,17,20,16,3,6,0,1,77,1,1,2,2,9,1,2,4,22,22,4,31,0,27,0,13,1,142,18,-1,-1,1,23,19,15,3,1,8,72,43,98,0.009387290050531806,0.2896162353340033,0.23460649806503733,0.1373574439968779,0.03921529011901291,0.014447551470587985,0.04069643875387743,0.2346732522100713,0.00725173886618947,0.10378623060188134,0.09158548880915966,0.09383164425678478,0.013926893924845647,0.007713176513296802,0.05961668644701072,0.6222881405808316,1.0,-6.0,1.0,1.0,0.0,0.0,-2.0,5.0
DE ATACAMA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,2M,0,29,12,9,4,11,2,0,70,2,0,2,1,2,0,1,20,1,1,32,2,46,1,21,1,6,137,18,-1,-1,1,19,16,14,3,1,8,75,27,110,0.009387290050531806,0.2896162353340033,0.23460649806503733,0.1373574439968779,0.03921529011901291,0.014447551470587985,0.04069643875387743,0.2346732522100713,0.00725173886618947,0.10378623060188134,0.09158548880915966,0.09383164425678478,0.013926893924845647,0.007713176513296802,0.05961668644701072,0.6222881405808316,-1.0,10.0,-4.0,-5.0,1.0,1.0,3.0,-5.0
DE ATACAMA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,2V,2,26,24,15,2,11,1,2,67,3,0,2,9,6,2,39,2,19,23,4,25,0,12,0,7,0,150,18,-1,-1,1,30,25,18,4,2,7,63,79,71,0.009387290050531806,0.2896162353340033,0.23460649806503733,0.1373574439968779,0.03921529011901291,0.014447551470587985,0.04069643875387743,0.2346732522100713,0.00725173886618947,0.10378623060188134,0.09158548880915966,0.09383164425678478,0.013926893924845647,0.007713176513296802,0.05961668644701072,0.6222881405808316,1.0,-4.0,-1.0,-3.0,-2.0,1.0,4.0,4.0
DE ATACAMA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,3M,0,19,19,21,4,8,2,0,76,2,0,0,2,5,14,2,13,0,0,49,1,34,0,21,0,8,149,18,-1,-1,1,22,19,16,3,1,8,79,36,113,0.009387290050531806,0.2896162353340033,0.23460649806503733,0.1373574439968779,0.03921529011901291,0.014447551470587985,0.04069643875387743,0.2346732522100713,0.00725173886618947,0.10378623060188134,0.09158548880915966,0.09383164425678478,0.013926893924845647,0.007713176513296802,0.05961668644701072,0.6222881405808316,-1.0,-3.0,0.0,5.0,1.0,1.0,0.0,-3.0
DE ATACAMA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,3V,0,27,20,19,6,9,2,1,95,3,1,4,5,5,3,47,0,2,40,2,34,1,24,1,10,0,179,18,-1,-1,2,31,26,20,4,2,9,85,67,112,0.009387290050531806,0.2896162353340033,0.23460649806503733,0.1373574439968779,0.03921529011901291,0.014447551470587985,0.04069643875387743,0.2346732522100713,0.00725173886618947,0.10378623060188134,0.09158548880915966,0.09383164425678478,0.013926893924845647,0.007713176513296802,0.05961668644701072,0.6222881405808316,-2.0,-4.0,-6.0,-1.0,2.0,1.0,0.0,10.0
DE ATACAMA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,4M,2,27,22,15,1,10,0,0,69,0,1,0,3,4,25,2,3,0,0,43,3,37,1,16,1,7,146,18,-1,-1,1,22,19,15,3,2,8,76,38,108,0.009387290050531806,0.2896162353340033,0.23460649806503733,0.1373574439968779,0.03921529011901291,0.014447551470587985,0.04069643875387743,0.2346732522100713,0.00725173886618947,0.10378623060188134,0.09158548880915966,0.09383164425678478,0.013926893924845647,0.007713176513296802,0.05961668644701072,0.6222881405808316,1.0,5.0,3.0,0.0,-2.0,-2.0,2.0,-7.0
DE ATACAMA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,4V,0,31,19,13,2,9,0,1,72,1,0,4,1,23,1,33,0,0,34,1,27,1,15,0,7,0,147,18,-1,-1,1,27,22,16,4,2,8,67,62,85,0.009387290050531806,0.2896162353340033,0.23460649806503733,0.1373574439968779,0.03921529011901291,0.014447551470587985,0.04069643875387743,0.2346732522100713,0.00725173886618947,0.10378623060188134,0.09158548880915966,0.09383164425678478,0.013926893924845647,0.007713176513296802,0.05961668644701072,0.6222881405808316,-1.0,4.0,-3.0,-3.0,-2.0,-1.0,1.0,5.0
DE ATACAMA,FREIRINA,ESCUELA BASICA ALEJANDRO NOEMI HUERTA,5M,1,42,25,12,2,8,0,0,59,0,0,1,4,2,34,6,1,31,0,39,5,15,0,8,0,3,149,18,-1,-1,1,30,25,18,4,2,7,62,79,70,0.009387290050531806,0.2896162353340033,0.23460649806503733,0.1373574439968779,0.03921529011901291,0.014447551470587985,0.04069643875387743,0.2346732522100713,0.00725173886618947,0.10378623060188134,0.09158548880915966,0.09383164425678478,0.013926893924845647,0.007713176513296802,0.05961668644701072,0.6222881405808316,0.0,12.0,0.0,-6.0,-2.0,-2.0,1.0,-3.0
