REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ATACAMA,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,1,0,35,32,31,16,10,2,1,26,3,4,8,0,2,3,0,33,26,13,16,18,30,0,0,0,0,153,18,-1,-1,2,36,26,31,13,1,11,33,76,77,0.02915007306319525,0.4122263841023177,0.32507723339662425,0.11642375116478722,0.032723635442878464,1.2495974926965106e-16,0.053105304468695866,0.0312936183615012,1.9507562534063773e-11,0.06231097704721343,0.016124112801147505,0.2879553120390045,0.133244400437365,0.016326035968428437,0.08619995655652188,0.39783920513081156,-2.0,-1.0,6.0,0.0,3.0,2.0,-1.0,-7.0
DE ATACAMA,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,10,4,47,41,29,13,18,0,1,22,1,3,3,19,19,22,24,10,16,8,15,17,7,4,7,0,0,175,18,-1,-1,3,52,39,30,12,1,11,27,116,58,0.02915007306319525,0.4122263841023177,0.32507723339662425,0.11642375116478722,0.032723635442878464,1.2495974926965106e-16,0.053105304468695866,0.0312936183615012,1.9507562534063773e-11,0.06231097704721343,0.016124112801147505,0.2879553120390045,0.133244400437365,0.016326035968428437,0.08619995655652188,0.39783920513081156,1.0,-5.0,2.0,-1.0,1.0,0.0,7.0,-5.0
DE ATACAMA,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,11,2,48,31,33,8,9,0,0,33,0,1,2,17,19,27,20,11,9,12,14,11,8,5,6,1,1,164,18,-1,-1,3,47,36,29,11,1,11,26,106,58,0.02915007306319525,0.4122263841023177,0.32507723339662425,0.11642375116478722,0.032723635442878464,1.2495974926965106e-16,0.053105304468695866,0.0312936183615012,1.9507562534063773e-11,0.06231097704721343,0.016124112801147505,0.2879553120390045,0.133244400437365,0.016326035968428437,0.08619995655652188,0.39783920513081156,-1.0,1.0,-5.0,4.0,-3.0,-1.0,-2.0,7.0
DE ATACAMA,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,12,3,45,49,28,12,8,0,0,23,0,0,1,18,26,28,19,9,19,14,13,3,12,3,3,0,1,168,18,-1,-1,3,52,40,28,10,1,11,23,120,49,0.02915007306319525,0.4122263841023177,0.32507723339662425,0.11642375116478722,0.032723635442878464,1.2495974926965106e-16,0.053105304468695866,0.0312936183615012,1.9507562534063773e-11,0.06231097704721343,0.016124112801147505,0.2879553120390045,0.133244400437365,0.016326035968428437,0.08619995655652188,0.39783920513081156,0.0,-7.0,9.0,0.0,2.0,-1.0,-3.0,0.0
DE ATACAMA,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,13,2,47,38,27,8,11,0,0,28,0,6,2,14,20,23,23,7,11,15,10,9,11,3,4,0,2,161,18,-1,-1,3,47,36,28,11,1,10,25,106,54,0.02915007306319525,0.4122263841023177,0.32507723339662425,0.11642375116478722,0.032723635442878464,1.2495974926965106e-16,0.053105304468695866,0.0312936183615012,1.9507562534063773e-11,0.06231097704721343,0.016124112801147505,0.2879553120390045,0.133244400437365,0.016326035968428437,0.08619995655652188,0.39783920513081156,-1.0,0.0,2.0,-1.0,-3.0,-1.0,1.0,3.0
DE ATACAMA,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,14,3,55,38,33,11,8,0,0,21,0,1,1,21,27,25,18,17,15,9,12,6,9,4,2,0,2,169,18,-1,-1,4,54,41,27,10,1,11,21,125,44,0.02915007306319525,0.4122263841023177,0.32507723339662425,0.11642375116478722,0.032723635442878464,1.2495974926965106e-16,0.053105304468695866,0.0312936183615012,1.9507562534063773e-11,0.06231097704721343,0.016124112801147505,0.2879553120390045,0.133244400437365,0.016326035968428437,0.08619995655652188,0.39783920513081156,-1.0,1.0,-3.0,6.0,1.0,-1.0,-3.0,0.0
DE ATACAMA,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,15,5,37,34,32,10,11,0,2,21,2,0,2,16,16,17,24,8,11,2,22,10,9,4,9,0,2,152,18,-1,-1,3,42,31,28,11,1,10,26,94,58,0.02915007306319525,0.4122263841023177,0.32507723339662425,0.11642375116478722,0.032723635442878464,1.2495974926965106e-16,0.053105304468695866,0.0312936183615012,1.9507562534063773e-11,0.06231097704721343,0.016124112801147505,0.2879553120390045,0.133244400437365,0.016326035968428437,0.08619995655652188,0.39783920513081156,2.0,-5.0,3.0,4.0,-1.0,1.0,1.0,-5.0
DE ATACAMA,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,16,3,35,32,35,9,8,0,0,27,0,4,2,14,16,21,19,6,9,11,11,11,11,6,7,1,0,149,18,-1,-1,3,41,30,27,11,1,10,26,91,58,0.02915007306319525,0.4122263841023177,0.32507723339662425,0.11642375116478722,0.032723635442878464,1.2495974926965106e-16,0.053105304468695866,0.0312936183615012,1.9507562534063773e-11,0.06231097704721343,0.016124112801147505,0.2879553120390045,0.133244400437365,0.016326035968428437,0.08619995655652188,0.39783920513081156,0.0,-6.0,2.0,8.0,-2.0,-1.0,-2.0,1.0
DE ATACAMA,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,17,1,64,29,26,12,7,1,1,19,2,0,3,16,14,25,23,13,14,17,8,10,7,2,6,1,1,160,18,-1,-1,3,48,36,28,10,1,10,24,108,52,0.02915007306319525,0.4122263841023177,0.32507723339662425,0.11642375116478722,0.032723635442878464,1.2495974926965106e-16,0.053105304468695866,0.0312936183615012,1.9507562534063773e-11,0.06231097704721343,0.016124112801147505,0.2879553120390045,0.133244400437365,0.016326035968428437,0.08619995655652188,0.39783920513081156,-2.0,16.0,-7.0,-2.0,2.0,1.0,-3.0,-5.0
DE ATACAMA,LOS VOLCANES,CENTRO DE EDUCACION INTEGRADA DE ADULTOS,18,5,25,31,12,7,6,1,0,7,1,18,18,7,10,7,5,4,5,6,5,3,3,0,2,0,0,94,18,-1,-1,2,32,25,14,5,0,6,10,74,19,0.02915007306319525,0.4122263841023177,0.32507723339662425,0.11642375116478722,0.032723635442878464,1.2495974926965106e-16,0.053105304468695866,0.0312936183615012,1.9507562534063773e-11,0.06231097704721343,0.016124112801147505,0.2879553120390045,0.133244400437365,0.016326035968428437,0.08619995655652188,0.39783920513081156,3.0,-7.0,6.0,-2.0,2.0,1.0,0.0,-3.0
