REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES,ESCUELA GUIDO GOMEZ MUNOZ,1M,0,13,25,50,7,12,1,3,14,4,0,0,5,10,2,2,2,2,7,31,4,30,2,22,0,6,125,10,-1,-1,1,12,24,48,11,2,9,18,23,102,0.018525215942230788,0.2377760616739756,0.2748687630732289,0.25374580407637476,0.0450706109172577,0.024461478815064167,0.0629954757041086,0.08255658979775943,6.207524331465601e-06,0.06098396457625085,0.1768498817416798,0.41729238015568043,0.09308883683612085,0.016768634099973177,0.0776512612396894,0.15735883382627402,-1.0,1.0,1.0,2.0,-4.0,2.0,3.0,-4.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES,ESCUELA GUIDO GOMEZ MUNOZ,1V,1,20,32,45,7,10,0,0,26,0,0,2,11,11,9,20,5,13,23,1,22,1,18,1,4,0,141,10,-1,-1,1,21,32,47,10,3,10,17,71,70,0.018525215942230788,0.2377760616739756,0.2748687630732289,0.25374580407637476,0.0450706109172577,0.024461478815064167,0.0629954757041086,0.08255658979775943,6.207524331465601e-06,0.06098396457625085,0.1768498817416798,0.41729238015568043,0.09308883683612085,0.016768634099973177,0.0776512612396894,0.15735883382627402,0.0,-1.0,0.0,-2.0,-3.0,-3.0,0.0,9.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES,ESCUELA GUIDO GOMEZ MUNOZ,2M,0,15,24,41,11,9,0,1,17,1,2,0,2,3,7,4,8,25,1,49,0,11,0,6,0,0,118,10,-1,-1,1,16,26,41,9,2,8,15,51,67,0.018525215942230788,0.2377760616739756,0.2748687630732289,0.25374580407637476,0.0450706109172577,0.024461478815064167,0.0629954757041086,0.08255658979775943,6.207524331465601e-06,0.06098396457625085,0.1768498817416798,0.41729238015568043,0.09308883683612085,0.016768634099973177,0.0776512612396894,0.15735883382627402,-1.0,-1.0,-2.0,0.0,2.0,-1.0,1.0,2.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES,ESCUELA GUIDO GOMEZ MUNOZ,2V,4,17,28,32,10,1,1,0,9,1,0,1,2,16,7,26,4,1,20,1,14,1,5,0,4,0,102,10,-1,-1,1,16,24,33,7,2,7,12,57,45,0.018525215942230788,0.2377760616739756,0.2748687630732289,0.25374580407637476,0.0450706109172577,0.024461478815064167,0.0629954757041086,0.08255658979775943,6.207524331465601e-06,0.06098396457625085,0.1768498817416798,0.41729238015568043,0.09308883683612085,0.016768634099973177,0.0776512612396894,0.15735883382627402,3.0,1.0,4.0,-1.0,3.0,-1.0,-6.0,-3.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES,ESCUELA GUIDO GOMEZ MUNOZ,3M,1,26,30,48,5,8,1,1,20,2,2,2,4,5,12,28,3,49,1,22,0,9,0,2,0,1,140,10,-1,-1,2,27,35,41,8,3,10,14,105,35,0.018525215942230788,0.2377760616739756,0.2748687630732289,0.25374580407637476,0.0450706109172577,0.024461478815064167,0.0629954757041086,0.08255658979775943,6.207524331465601e-06,0.06098396457625085,0.1768498817416798,0.41729238015568043,0.09308883683612085,0.016768634099973177,0.0776512612396894,0.15735883382627402,-1.0,-1.0,-5.0,7.0,-3.0,-1.0,-2.0,6.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES,ESCUELA GUIDO GOMEZ MUNOZ,3V,1,20,28,29,10,8,4,2,11,6,3,3,7,9,9,14,29,5,20,1,8,0,5,0,0,0,113,10,-1,-1,1,21,28,34,7,2,8,12,79,34,0.018525215942230788,0.2377760616739756,0.2748687630732289,0.25374580407637476,0.0450706109172577,0.024461478815064167,0.0629954757041086,0.08255658979775943,6.207524331465601e-06,0.06098396457625085,0.1768498817416798,0.41729238015568043,0.09308883683612085,0.016768634099973177,0.0776512612396894,0.15735883382627402,0.0,-1.0,0.0,-5.0,3.0,4.0,0.0,-1.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES,ESCUELA GUIDO GOMEZ MUNOZ,4M,1,21,22,16,1,7,1,1,6,2,0,2,15,4,20,15,4,10,1,1,1,2,0,1,0,0,76,10,-1,-1,1,17,20,20,4,2,5,7,70,6,0.018525215942230788,0.2377760616739756,0.2748687630732289,0.25374580407637476,0.0450706109172577,0.024461478815064167,0.0629954757041086,0.08255658979775943,6.207524331465601e-06,0.06098396457625085,0.1768498817416798,0.41729238015568043,0.09308883683612085,0.016768634099973177,0.0776512612396894,0.15735883382627402,0.0,4.0,2.0,-4.0,-3.0,0.0,2.0,-1.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES,ESCUELA GUIDO GOMEZ MUNOZ,4V,1,22,24,34,7,7,1,3,9,4,0,1,8,9,7,7,35,4,22,0,11,1,1,0,1,0,108,10,-1,-1,1,19,26,33,7,3,7,12,71,36,0.018525215942230788,0.2377760616739756,0.2748687630732289,0.25374580407637476,0.0450706109172577,0.024461478815064167,0.0629954757041086,0.08255658979775943,6.207524331465601e-06,0.06098396457625085,0.1768498817416798,0.41729238015568043,0.09308883683612085,0.016768634099973177,0.0776512612396894,0.15735883382627402,0.0,3.0,-2.0,1.0,0.0,1.0,0.0,-3.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES,ESCUELA GUIDO GOMEZ MUNOZ,5V,1,12,24,23,7,10,1,0,2,1,3,1,11,13,12,11,8,1,8,1,9,0,1,1,0,0,80,10,-1,-1,1,15,20,24,5,2,5,8,60,20,0.018525215942230788,0.2377760616739756,0.2748687630732289,0.25374580407637476,0.0450706109172577,0.024461478815064167,0.0629954757041086,0.08255658979775943,6.207524331465601e-06,0.06098396457625085,0.1768498817416798,0.41729238015568043,0.09308883683612085,0.016768634099973177,0.0776512612396894,0.15735883382627402,0.0,-3.0,4.0,-1.0,2.0,-1.0,5.0,-6.0
DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,CISNES,ESCUELA GUIDO GOMEZ MUNOZ,6,2,13,16,25,4,2,2,0,7,2,1,2,9,5,8,14,11,7,9,2,1,0,1,1,0,0,71,10,-1,-1,1,14,18,20,4,2,5,7,57,14,0.018525215942230788,0.2377760616739756,0.2748687630732289,0.25374580407637476,0.0450706109172577,0.024461478815064167,0.0629954757041086,0.08255658979775943,6.207524331465601e-06,0.06098396457625085,0.1768498817416798,0.41729238015568043,0.09308883683612085,0.016768634099973177,0.0776512612396894,0.15735883382627402,1.0,-1.0,-2.0,5.0,0.0,0.0,-3.0,0.0
