REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE COQUIMBO,ILLAPEL,COLEGIO SANTA TERESA,19M,1,35,39,13,9,9,0,2,27,2,1,0,6,6,25,2,1,1,0,40,0,31,1,18,0,3,135,82,-1,-1,1,27,34,22,9,2,12,28,42,93,0.017207855772695294,0.30374117164170017,0.2941400569474138,0.1564164171757974,0.05406709188960082,0.011445430108596305,0.07602462749329475,0.08695734897090125,0.00775102581598542,0.15221951872852016,0.22883659970641726,0.16778245393083704,0.06959637599578442,0.013766499629309616,0.0998722910642665,0.26017523512887947,0.0,8.0,5.0,-9.0,0.0,0.0,-3.0,-1.0
DE COQUIMBO,ILLAPEL,COLEGIO SANTA TERESA,20M,2,40,46,20,7,19,1,0,32,1,2,2,7,4,29,4,3,1,2,46,1,32,2,26,0,6,167,82,-1,-1,2,33,42,27,11,2,15,35,52,115,0.017207855772695294,0.30374117164170017,0.2941400569474138,0.1564164171757974,0.05406709188960082,0.011445430108596305,0.07602462749329475,0.08695734897090125,0.00775102581598542,0.15221951872852016,0.22883659970641726,0.16778245393083704,0.06959637599578442,0.013766499629309616,0.0998722910642665,0.26017523512887947,0.0,7.0,4.0,-7.0,-4.0,-1.0,4.0,-3.0
DE COQUIMBO,ILLAPEL,COLEGIO SANTA TERESA,21M,5,31,33,30,11,12,2,1,25,3,2,2,3,3,35,3,0,0,0,46,4,31,0,14,0,7,150,82,-1,-1,1,30,37,25,10,2,14,31,48,102,0.017207855772695294,0.30374117164170017,0.2941400569474138,0.1564164171757974,0.05406709188960082,0.011445430108596305,0.07602462749329475,0.08695734897090125,0.00775102581598542,0.15221951872852016,0.22883659970641726,0.16778245393083704,0.06959637599578442,0.013766499629309616,0.0998722910642665,0.26017523512887947,4.0,1.0,-4.0,5.0,1.0,1.0,-2.0,-6.0
DE COQUIMBO,ILLAPEL,COLEGIO SANTA TERESA,22M,0,39,28,27,10,20,0,0,32,0,1,0,5,2,28,1,5,3,2,41,0,42,2,21,0,2,156,82,-1,-1,2,30,39,26,10,2,14,33,45,110,0.017207855772695294,0.30374117164170017,0.2941400569474138,0.1564164171757974,0.05406709188960082,0.011445430108596305,0.07602462749329475,0.08695734897090125,0.00775102581598542,0.15221951872852016,0.22883659970641726,0.16778245393083704,0.06959637599578442,0.013766499629309616,0.0998722910642665,0.26017523512887947,-2.0,9.0,-11.0,1.0,0.0,-2.0,6.0,-1.0
DE COQUIMBO,ILLAPEL,COLEGIO SANTA TERESA,23M,1,35,35,35,12,12,1,1,28,2,0,1,8,4,35,0,2,1,1,48,2,32,3,17,0,7,160,82,-1,-1,2,32,40,26,10,2,15,33,51,110,0.017207855772695294,0.30374117164170017,0.2941400569474138,0.1564164171757974,0.05406709188960082,0.011445430108596305,0.07602462749329475,0.08695734897090125,0.00775102581598542,0.15221951872852016,0.22883659970641726,0.16778245393083704,0.06959637599578442,0.013766499629309616,0.0998722910642665,0.26017523512887947,-1.0,3.0,-5.0,9.0,2.0,0.0,-3.0,-5.0
DE COQUIMBO,ILLAPEL,COLEGIO SANTA TERESA,24M,4,38,40,25,10,11,0,0,16,0,0,0,4,3,35,2,2,1,1,40,0,35,0,14,0,7,144,82,-1,-1,2,29,36,24,9,2,13,29,47,97,0.017207855772695294,0.30374117164170017,0.2941400569474138,0.1564164171757974,0.05406709188960082,0.011445430108596305,0.07602462749329475,0.08695734897090125,0.00775102581598542,0.15221951872852016,0.22883659970641726,0.16778245393083704,0.06959637599578442,0.013766499629309616,0.0998722910642665,0.26017523512887947,2.0,9.0,4.0,1.0,1.0,-2.0,-2.0,-13.0
DE COQUIMBO,ILLAPEL,COLEGIO SANTA TERESA,25M,5,29,37,18,7,21,2,0,26,2,0,1,1,4,28,0,0,2,0,58,1,30,1,17,0,2,145,82,-1,-1,1,27,36,24,10,2,14,31,36,109,0.017207855772695294,0.30374117164170017,0.2941400569474138,0.1564164171757974,0.05406709188960082,0.011445430108596305,0.07602462749329475,0.08695734897090125,0.00775102581598542,0.15221951872852016,0.22883659970641726,0.16778245393083704,0.06959637599578442,0.013766499629309616,0.0998722910642665,0.26017523512887947,4.0,2.0,1.0,-6.0,-3.0,0.0,7.0,-5.0
DE COQUIMBO,ILLAPEL,COLEGIO SANTA TERESA,26M,2,43,42,24,8,15,0,2,26,2,4,2,3,5,28,1,2,35,3,38,2,24,0,12,0,3,162,82,-1,-1,2,37,43,26,10,2,14,28,80,82,0.017207855772695294,0.30374117164170017,0.2941400569474138,0.1564164171757974,0.05406709188960082,0.011445430108596305,0.07602462749329475,0.08695734897090125,0.00775102581598542,0.15221951872852016,0.22883659970641726,0.16778245393083704,0.06959637599578442,0.013766499629309616,0.0998722910642665,0.26017523512887947,0.0,6.0,-1.0,-2.0,-2.0,0.0,1.0,-2.0
DE COQUIMBO,ILLAPEL,COLEGIO SANTA TERESA,27M,1,32,34,27,15,21,1,0,18,1,0,1,3,3,22,3,1,55,1,30,0,21,0,7,0,2,149,82,-1,-1,2,36,40,24,9,2,13,23,88,61,0.017207855772695294,0.30374117164170017,0.2941400569474138,0.1564164171757974,0.05406709188960082,0.011445430108596305,0.07602462749329475,0.08695734897090125,0.00775102581598542,0.15221951872852016,0.22883659970641726,0.16778245393083704,0.06959637599578442,0.013766499629309616,0.0998722910642665,0.26017523512887947,-1.0,-4.0,-6.0,3.0,6.0,-1.0,8.0,-5.0
DE COQUIMBO,ILLAPEL,COLEGIO SANTA TERESA,28M,1,36,29,30,15,9,1,2,25,3,0,0,0,3,29,3,2,49,2,25,0,26,0,8,0,1,148,82,-1,-1,2,35,39,24,9,2,13,24,86,62,0.017207855772695294,0.30374117164170017,0.2941400569474138,0.1564164171757974,0.05406709188960082,0.011445430108596305,0.07602462749329475,0.08695734897090125,0.00775102581598542,0.15221951872852016,0.22883659970641726,0.16778245393083704,0.06959637599578442,0.013766499629309616,0.0998722910642665,0.26017523512887947,-1.0,1.0,-10.0,6.0,6.0,1.0,-4.0,1.0
