REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE COQUIMBO,MONTE PATRIA,COLEGIO CERRO GUAYAQUIL,10M,2,25,18,16,5,8,0,2,19,2,1,1,2,3,24,1,3,2,1,26,3,17,1,4,0,6,95,46,-1,-1,2,22,19,17,8,2,7,18,37,58,0.027570440915836898,0.36768752909743907,0.22875466754117252,0.1810843605190402,0.07228891545859106,0.007686000979914544,0.037912224802641226,0.07701586068536449,0.019429198894197214,0.13781777763011735,0.17983499261684716,0.1836135538995375,0.08225994333543375,0.035577422349190306,0.09490748537199808,0.2665596259026786,0.0,3.0,-1.0,-1.0,-3.0,0.0,1.0,1.0
DE COQUIMBO,MONTE PATRIA,COLEGIO CERRO GUAYAQUIL,11M,2,19,30,15,8,6,1,2,18,3,1,0,3,7,8,1,2,16,3,39,1,13,0,7,0,0,101,46,-1,-1,2,23,20,18,8,3,7,20,38,63,0.027570440915836898,0.36768752909743907,0.22875466754117252,0.1810843605190402,0.07228891545859106,0.007686000979914544,0.037912224802641226,0.07701586068536449,0.019429198894197214,0.13781777763011735,0.17983499261684716,0.1836135538995375,0.08225994333543375,0.035577422349190306,0.09490748537199808,0.2665596259026786,0.0,-4.0,10.0,-3.0,0.0,0.0,-1.0,-2.0
DE COQUIMBO,MONTE PATRIA,COLEGIO CERRO GUAYAQUIL,12M,1,26,18,21,5,5,2,0,19,2,1,0,9,3,10,1,3,31,2,21,2,9,2,3,0,0,97,46,-1,-1,2,27,20,18,7,2,6,15,58,39,0.027570440915836898,0.36768752909743907,0.22875466754117252,0.1810843605190402,0.07228891545859106,0.007686000979914544,0.037912224802641226,0.07701586068536449,0.019429198894197214,0.13781777763011735,0.17983499261684716,0.1836135538995375,0.08225994333543375,0.035577422349190306,0.09490748537199808,0.2665596259026786,-1.0,-1.0,-2.0,3.0,-2.0,0.0,-1.0,4.0
DE COQUIMBO,MONTE PATRIA,COLEGIO CERRO GUAYAQUIL,13M,0,17,24,24,12,3,0,1,18,1,2,0,1,1,16,0,3,44,0,22,1,5,0,3,1,0,99,46,-1,-1,2,29,21,18,7,2,6,14,67,32,0.027570440915836898,0.36768752909743907,0.22875466754117252,0.1810843605190402,0.07228891545859106,0.007686000979914544,0.037912224802641226,0.07701586068536449,0.019429198894197214,0.13781777763011735,0.17983499261684716,0.1836135538995375,0.08225994333543375,0.035577422349190306,0.09490748537199808,0.2665596259026786,-2.0,-12.0,3.0,6.0,5.0,-1.0,-3.0,4.0
DE COQUIMBO,MONTE PATRIA,COLEGIO CERRO GUAYAQUIL,14M,2,13,23,22,10,5,0,1,17,1,0,0,4,0,9,3,0,40,1,19,2,10,0,4,0,1,93,46,-1,-1,2,26,19,17,7,2,6,14,56,37,0.027570440915836898,0.36768752909743907,0.22875466754117252,0.1810843605190402,0.07228891545859106,0.007686000979914544,0.037912224802641226,0.07701586068536449,0.019429198894197214,0.13781777763011735,0.17983499261684716,0.1836135538995375,0.08225994333543375,0.035577422349190306,0.09490748537199808,0.2665596259026786,0.0,-13.0,4.0,5.0,3.0,-1.0,-1.0,3.0
DE COQUIMBO,MONTE PATRIA,COLEGIO CERRO GUAYAQUIL,15M,4,26,24,15,14,14,0,2,8,2,2,1,6,3,14,7,2,29,1,18,2,11,0,10,0,1,107,46,-1,-1,3,29,22,20,8,2,7,16,64,43,0.027570440915836898,0.36768752909743907,0.22875466754117252,0.1810843605190402,0.07228891545859106,0.007686000979914544,0.037912224802641226,0.07701586068536449,0.019429198894197214,0.13781777763011735,0.17983499261684716,0.1836135538995375,0.08225994333543375,0.035577422349190306,0.09490748537199808,0.2665596259026786,1.0,-3.0,2.0,-5.0,6.0,0.0,7.0,-8.0
DE COQUIMBO,MONTE PATRIA,COLEGIO CERRO GUAYAQUIL,1M,3,17,19,19,11,5,0,1,21,1,0,0,5,8,0,0,2,0,0,19,0,34,1,12,1,14,96,46,-1,-1,2,17,18,17,8,3,8,23,15,81,0.027570440915836898,0.36768752909743907,0.22875466754117252,0.1810843605190402,0.07228891545859106,0.007686000979914544,0.037912224802641226,0.07701586068536449,0.019429198894197214,0.13781777763011735,0.17983499261684716,0.1836135538995375,0.08225994333543375,0.035577422349190306,0.09490748537199808,0.2665596259026786,1.0,0.0,1.0,2.0,3.0,-2.0,-3.0,-2.0
DE COQUIMBO,MONTE PATRIA,COLEGIO CERRO GUAYAQUIL,2M,2,15,9,10,3,10,0,1,18,1,0,2,2,4,0,3,0,1,0,20,0,17,2,14,0,3,68,46,-1,-1,1,12,13,12,6,2,6,16,12,56,0.027570440915836898,0.36768752909743907,0.22875466754117252,0.1810843605190402,0.07228891545859106,0.007686000979914544,0.037912224802641226,0.07701586068536449,0.019429198894197214,0.13781777763011735,0.17983499261684716,0.1836135538995375,0.08225994333543375,0.035577422349190306,0.09490748537199808,0.2665596259026786,1.0,3.0,-4.0,-2.0,-3.0,-1.0,4.0,2.0
DE COQUIMBO,MONTE PATRIA,COLEGIO CERRO GUAYAQUIL,3M,1,17,18,20,4,6,1,2,17,3,1,2,1,6,0,3,2,1,8,24,6,17,0,10,0,5,86,46,-1,-1,2,15,16,16,7,3,7,20,16,70,0.027570440915836898,0.36768752909743907,0.22875466754117252,0.1810843605190402,0.07228891545859106,0.007686000979914544,0.037912224802641226,0.07701586068536449,0.019429198894197214,0.13781777763011735,0.17983499261684716,0.1836135538995375,0.08225994333543375,0.035577422349190306,0.09490748537199808,0.2665596259026786,-1.0,2.0,2.0,4.0,-3.0,0.0,-1.0,-3.0
DE COQUIMBO,MONTE PATRIA,COLEGIO CERRO GUAYAQUIL,4M,2,19,22,12,7,7,0,1,19,1,1,0,4,1,2,2,3,1,10,26,1,22,1,12,0,3,89,46,-1,-1,2,15,17,16,7,3,8,21,14,75,0.027570440915836898,0.36768752909743907,0.22875466754117252,0.1810843605190402,0.07228891545859106,0.007686000979914544,0.037912224802641226,0.07701586068536449,0.019429198894197214,0.13781777763011735,0.17983499261684716,0.1836135538995375,0.08225994333543375,0.035577422349190306,0.09490748537199808,0.2665596259026786,0.0,4.0,5.0,-4.0,0.0,-2.0,-1.0,-2.0
