REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,55,1,35,46,27,10,8,1,0,14,1,1,1,32,42,7,12,9,5,6,7,6,7,4,3,0,0,142,85,-1,-1,2,39,39,25,12,1,11,13,109,33,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,-1.0,-4.0,7.0,2.0,-2.0,0.0,-3.0,1.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,56,1,25,50,24,8,18,0,0,6,0,0,0,41,60,2,4,4,5,2,3,5,1,0,4,1,0,132,85,-1,-1,2,40,37,22,10,1,10,10,116,16,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,-1.0,-15.0,13.0,2.0,-2.0,-1.0,8.0,-4.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,57,2,41,44,18,11,12,0,1,14,1,0,1,21,30,17,11,15,8,11,15,7,3,3,2,0,0,143,85,-1,-1,2,38,39,25,12,1,12,14,103,41,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,0.0,3.0,5.0,-7.0,-1.0,0.0,0.0,0.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,58,2,29,45,18,11,8,0,0,12,0,16,18,22,37,4,4,6,6,5,3,1,2,0,1,0,0,125,85,-1,-1,2,39,35,21,9,1,9,9,113,12,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,0.0,-10.0,10.0,-3.0,2.0,-1.0,-1.0,3.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,59,4,23,28,19,5,8,0,3,7,3,24,35,3,11,1,4,4,4,1,3,5,0,1,1,0,0,97,85,-1,-1,1,30,27,16,8,1,7,7,86,11,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,3.0,-7.0,1.0,3.0,-3.0,2.0,1.0,0.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,60,2,28,74,21,9,9,0,2,15,2,17,31,11,13,16,18,10,13,4,6,8,5,5,2,0,1,160,85,-1,-1,2,46,44,28,13,1,13,13,129,31,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,0.0,-18.0,30.0,-7.0,-4.0,1.0,-4.0,2.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,61,3,51,63,29,12,16,0,0,14,0,7,8,10,24,20,37,20,26,11,9,5,6,1,4,0,0,188,85,-1,-1,2,54,52,33,15,1,15,16,152,36,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,1.0,-3.0,11.0,-4.0,-3.0,-1.0,1.0,-2.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,62,4,48,72,27,19,12,0,0,14,0,4,1,17,22,25,28,12,18,12,14,18,15,6,4,0,0,196,85,-1,-1,3,48,53,36,17,2,16,21,127,69,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,1.0,0.0,19.0,-9.0,2.0,-2.0,-4.0,-7.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,63,3,41,56,21,6,4,0,0,11,0,34,51,5,6,7,12,7,3,5,5,1,3,2,1,0,0,142,85,-1,-1,2,44,39,24,11,1,11,10,125,17,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,1.0,-3.0,17.0,-3.0,-5.0,-1.0,-7.0,1.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,64,3,47,60,34,17,12,1,1,11,2,17,34,1,2,16,30,21,31,11,10,3,8,2,0,0,0,186,85,-1,-1,3,54,51,32,15,1,15,15,152,34,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,0.0,-7.0,9.0,2.0,2.0,1.0,-3.0,-4.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,65,1,57,77,23,11,14,0,0,21,0,1,2,30,72,18,23,5,7,5,16,8,6,5,4,1,1,204,85,-1,-1,3,57,56,36,17,1,16,18,158,46,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,-2.0,0.0,21.0,-13.0,-6.0,-1.0,-2.0,3.0
DE COQUIMBO,TIERRAS BLANCAS,ESCUELA BASICA REPUBLICA DE ITALIA,66-70,3,33,42,15,11,15,0,1,13,1,9,14,18,33,7,4,11,13,9,6,3,4,1,1,1,0,133,85,-1,-1,2,38,37,23,11,1,10,11,109,25,0.013811794357989673,0.3360715258151474,0.27926544374252077,0.16406769160291323,0.07312019699752476,0.004732157036492214,0.0741026057292948,0.054828584718117405,0.012525399138428128,0.08396499305273444,0.2570457237587025,0.2142049972625802,0.1111682338744402,0.018713558138592705,0.10061579924015535,0.20176129553436653,1.0,-5.0,5.0,-8.0,0.0,0.0,5.0,2.0
