REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,10,2,39,27,26,5,13,1,0,8,1,2,0,12,13,17,29,10,3,4,8,11,9,2,1,0,0,121,20,-1,-1,2,26,38,25,6,1,13,10,86,35,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,0.0,13.0,-11.0,1.0,-1.0,0.0,0.0,-2.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,11,2,25,37,11,4,14,0,0,10,0,1,7,22,19,11,7,2,4,7,6,6,7,3,0,0,1,103,20,-1,-1,2,22,32,21,6,1,11,8,73,30,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,0.0,3.0,5.0,-10.0,-2.0,-1.0,3.0,2.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,12,3,21,68,31,7,27,0,0,10,0,11,8,7,14,10,14,15,12,10,13,15,23,6,6,1,2,167,20,-1,-1,3,32,48,33,10,2,19,20,91,76,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,0.0,-11.0,20.0,-2.0,-3.0,-2.0,8.0,-10.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,13,4,15,64,47,4,22,1,1,23,2,1,0,10,12,17,28,19,24,9,14,18,12,9,3,1,4,181,20,-1,-1,3,36,54,36,10,2,21,19,111,70,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,1.0,-21.0,10.0,11.0,-6.0,0.0,1.0,4.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,1M,0,23,25,23,9,21,1,1,26,2,0,1,4,12,4,5,8,7,3,19,4,33,2,16,1,10,129,20,-1,-1,2,20,32,24,9,3,16,23,41,88,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,-2.0,3.0,-7.0,-1.0,0.0,-1.0,5.0,3.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,1V,3,24,47,22,11,6,4,4,26,8,1,1,11,5,5,10,2,5,26,2,38,0,28,2,9,2,147,20,-1,-1,3,22,36,27,11,3,18,27,40,107,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,0.0,2.0,11.0,-5.0,0.0,5.0,-12.0,-1.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,2M,1,21,29,23,9,23,0,0,25,0,2,1,4,8,10,2,4,5,3,34,3,37,1,12,0,5,131,20,-1,-1,3,20,32,24,9,3,16,24,36,95,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,-2.0,1.0,-3.0,-1.0,0.0,-3.0,7.0,1.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,2V,2,18,30,26,12,16,6,2,24,8,1,0,7,7,6,11,3,5,24,4,39,4,13,5,7,0,136,20,-1,-1,3,21,33,25,10,3,17,24,40,96,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,-1.0,-3.0,-3.0,1.0,2.0,5.0,-1.0,0.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,3M,2,22,37,23,9,20,2,0,20,2,0,1,10,7,8,5,1,4,5,40,6,20,5,16,1,5,135,20,-1,-1,2,20,33,25,10,3,17,25,36,98,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,0.0,2.0,4.0,-2.0,-1.0,-1.0,3.0,-5.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,3V,1,25,28,36,6,20,0,3,25,3,2,2,7,7,4,12,9,6,26,2,37,5,17,2,6,0,144,20,-1,-1,3,23,37,27,10,3,17,24,49,95,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,-2.0,2.0,-9.0,9.0,-4.0,0.0,3.0,1.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,4M,5,22,44,24,14,18,2,3,27,5,0,0,4,6,4,10,1,32,3,59,4,22,4,9,0,1,159,20,-1,-1,3,26,41,30,11,3,19,26,57,102,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,2.0,-4.0,3.0,-6.0,3.0,2.0,-1.0,1.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,4V,6,25,27,21,10,11,0,2,21,2,3,0,6,8,8,4,7,8,29,1,32,5,9,1,2,0,123,20,-1,-1,2,20,32,23,8,3,15,20,44,79,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,4.0,5.0,-5.0,-2.0,2.0,-1.0,-4.0,1.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,5M,5,24,47,30,13,15,0,3,25,3,0,0,6,7,10,4,2,57,1,37,1,23,1,6,0,7,162,20,-1,-1,3,30,46,32,10,2,19,20,86,76,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,2.0,-6.0,1.0,-2.0,3.0,1.0,-4.0,5.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,5V,0,29,42,35,7,10,0,3,14,3,1,1,8,11,6,9,36,9,26,4,10,5,9,1,4,0,140,20,-1,-1,2,27,41,28,8,2,16,16,81,59,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,-2.0,2.0,1.0,7.0,-1.0,1.0,-6.0,-2.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,6M,4,32,30,39,10,20,4,0,23,4,0,0,5,5,4,28,2,44,6,25,3,20,1,9,0,10,162,20,-1,-1,3,31,46,32,10,2,19,19,88,74,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,1.0,1.0,-16.0,7.0,0.0,2.0,1.0,4.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,6V,4,37,34,23,7,15,1,0,17,1,2,0,7,10,8,9,30,5,21,8,17,5,13,2,1,0,138,20,-1,-1,2,26,39,27,8,2,16,18,71,67,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,2.0,11.0,-5.0,-4.0,-1.0,-1.0,-1.0,-1.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,7M,1,20,38,28,11,19,0,0,9,0,0,0,7,15,10,32,5,20,1,10,4,13,2,2,0,5,126,20,-1,-1,2,27,39,26,7,1,14,10,89,37,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,-1.0,-7.0,-1.0,2.0,4.0,-1.0,5.0,-1.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,7V,2,25,41,34,11,13,2,1,16,3,0,0,7,9,30,4,24,5,26,0,11,5,15,2,7,0,145,20,-1,-1,3,27,41,29,9,2,17,17,79,66,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,-1.0,-2.0,0.0,5.0,2.0,1.0,-4.0,-1.0
DE COQUIMBO,TONGOY,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ,8V,2,22,40,21,6,12,0,0,17,0,2,3,4,12,17,17,9,13,10,10,7,7,5,2,2,0,120,20,-1,-1,2,24,36,24,7,1,14,12,77,43,0.016547345020449054,0.25119544754046536,0.35510903676439265,0.22179421722526402,0.040873035574162574,7.32985049198071e-10,0.10354933026849682,0.010931586873784517,0.01954018994207347,0.11540718154123746,0.20076089439946043,0.16719887955977497,0.08333632542984315,0.0330516310743708,0.13026005375680835,0.2504448442964314,0.0,-2.0,4.0,-3.0,-1.0,-1.0,-2.0,5.0
