REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,COLLIPULLI,COMPLEJO EDUCACIONAL COLLIPULLI,17V,4,21,18,92,9,11,2,0,11,2,1,5,6,60,2,8,0,2,26,1,27,1,20,1,7,0,168,62,-1,-1,2,18,19,90,8,4,12,15,84,83,0.008166405482453796,0.14265296211758852,0.14182973601323545,0.5138879472327531,0.05338085494746906,0.013387411235652728,0.06205522123742655,0.06463946173342074,0.00980183843595107,0.07421144316108605,0.08713983312191238,0.5591369879788033,0.04369750494293375,0.03040130833699396,0.07901472798367944,0.11659635603864014,2.0,3.0,-1.0,2.0,1.0,-2.0,-1.0,-4.0
DE LA ARAUCANIA,COLLIPULLI,COMPLEJO EDUCACIONAL COLLIPULLI,18V,1,18,23,71,5,8,4,0,17,4,1,1,2,39,3,4,6,3,37,3,29,0,14,0,4,0,147,62,-1,-1,1,15,16,80,7,3,11,14,59,87,0.008166405482453796,0.14265296211758852,0.14182973601323545,0.5138879472327531,0.05338085494746906,0.013387411235652728,0.06205522123742655,0.06463946173342074,0.00980183843595107,0.07421144316108605,0.08713983312191238,0.5591369879788033,0.04369750494293375,0.03040130833699396,0.07901472798367944,0.11659635603864014,0.0,3.0,7.0,-9.0,-2.0,1.0,-3.0,3.0
DE LA ARAUCANIA,COLLIPULLI,COMPLEJO EDUCACIONAL COLLIPULLI,19V,2,17,16,78,10,9,5,3,10,8,0,1,2,60,2,11,1,0,41,0,17,1,11,0,3,0,150,62,-1,-1,1,17,17,80,7,3,11,14,77,73,0.008166405482453796,0.14265296211758852,0.14182973601323545,0.5138879472327531,0.05338085494746906,0.013387411235652728,0.06205522123742655,0.06463946173342074,0.00980183843595107,0.07421144316108605,0.08713983312191238,0.5591369879788033,0.04369750494293375,0.03040130833699396,0.07901472798367944,0.11659635603864014,1.0,0.0,-1.0,-2.0,3.0,5.0,-2.0,-4.0
DE LA ARAUCANIA,COLLIPULLI,COMPLEJO EDUCACIONAL COLLIPULLI,20V,3,17,31,61,7,14,0,0,15,0,2,1,9,52,4,8,4,1,30,0,29,1,5,0,2,0,148,62,-1,-1,1,17,18,79,7,3,10,13,81,67,0.008166405482453796,0.14265296211758852,0.14182973601323545,0.5138879472327531,0.05338085494746906,0.013387411235652728,0.06205522123742655,0.06463946173342074,0.00980183843595107,0.07421144316108605,0.08713983312191238,0.5591369879788033,0.04369750494293375,0.03040130833699396,0.07901472798367944,0.11659635603864014,2.0,0.0,13.0,-18.0,0.0,-3.0,4.0,2.0
DE LA ARAUCANIA,COLLIPULLI,COMPLEJO EDUCACIONAL COLLIPULLI,21V,0,19,13,88,6,3,1,2,13,3,2,3,4,9,8,12,9,10,53,4,17,9,3,0,2,0,145,62,-1,-1,1,15,16,79,7,3,10,14,57,88,0.008166405482453796,0.14265296211758852,0.14182973601323545,0.5138879472327531,0.05338085494746906,0.013387411235652728,0.06205522123742655,0.06463946173342074,0.00980183843595107,0.07421144316108605,0.08713983312191238,0.5591369879788033,0.04369750494293375,0.03040130833699396,0.07901472798367944,0.11659635603864014,-1.0,4.0,-3.0,9.0,-1.0,0.0,-7.0,-1.0
DE LA ARAUCANIA,COLLIPULLI,COMPLEJO EDUCACIONAL COLLIPULLI,22V,1,17,22,68,6,6,3,0,17,3,1,4,14,29,6,5,44,2,11,3,11,1,5,0,4,0,140,62,-1,-1,1,18,18,74,7,2,9,11,105,35,0.008166405482453796,0.14265296211758852,0.14182973601323545,0.5138879472327531,0.05338085494746906,0.013387411235652728,0.06205522123742655,0.06463946173342074,0.00980183843595107,0.07421144316108605,0.08713983312191238,0.5591369879788033,0.04369750494293375,0.03040130833699396,0.07901472798367944,0.11659635603864014,0.0,-1.0,4.0,-6.0,-1.0,1.0,-3.0,6.0
DE LA ARAUCANIA,COLLIPULLI,COMPLEJO EDUCACIONAL COLLIPULLI,23V,3,15,17,62,9,6,2,0,9,2,1,9,11,13,0,3,45,1,23,3,9,1,4,0,0,0,123,62,-1,-1,1,15,15,65,6,3,8,10,83,40,0.008166405482453796,0.14265296211758852,0.14182973601323545,0.5138879472327531,0.05338085494746906,0.013387411235652728,0.06205522123742655,0.06463946173342074,0.00980183843595107,0.07421144316108605,0.08713983312191238,0.5591369879788033,0.04369750494293375,0.03040130833699396,0.07901472798367944,0.11659635603864014,2.0,0.0,2.0,-3.0,3.0,-1.0,-2.0,-1.0
DE LA ARAUCANIA,COLLIPULLI,COMPLEJO EDUCACIONAL COLLIPULLI,24V,1,20,21,76,9,8,2,2,14,4,0,5,19,24,1,6,48,4,26,2,11,1,4,0,2,0,153,62,-1,-1,1,19,19,81,8,3,10,12,107,46,0.008166405482453796,0.14265296211758852,0.14182973601323545,0.5138879472327531,0.05338085494746906,0.013387411235652728,0.06205522123742655,0.06463946173342074,0.00980183843595107,0.07421144316108605,0.08713983312191238,0.5591369879788033,0.04369750494293375,0.03040130833699396,0.07901472798367944,0.11659635603864014,0.0,1.0,2.0,-5.0,1.0,1.0,-2.0,2.0
DE LA ARAUCANIA,COLLIPULLI,COMPLEJO EDUCACIONAL COLLIPULLI,25V,3,13,21,86,8,9,2,2,14,4,1,8,14,19,0,2,69,4,18,3,13,2,4,1,0,0,158,62,-1,-1,1,20,20,83,8,3,11,12,117,41,0.008166405482453796,0.14265296211758852,0.14182973601323545,0.5138879472327531,0.05338085494746906,0.013387411235652728,0.06205522123742655,0.06463946173342074,0.00980183843595107,0.07421144316108605,0.08713983312191238,0.5591369879788033,0.04369750494293375,0.03040130833699396,0.07901472798367944,0.11659635603864014,2.0,-7.0,1.0,3.0,0.0,1.0,-2.0,2.0
DE LA ARAUCANIA,COLLIPULLI,COMPLEJO EDUCACIONAL COLLIPULLI,26V,3,19,19,80,7,11,0,2,6,2,1,4,21,15,2,4,58,3,17,3,12,2,4,0,1,0,147,62,-1,-1,1,18,19,77,7,3,10,12,108,39,0.008166405482453796,0.14265296211758852,0.14182973601323545,0.5138879472327531,0.05338085494746906,0.013387411235652728,0.06205522123742655,0.06463946173342074,0.00980183843595107,0.07421144316108605,0.08713983312191238,0.5591369879788033,0.04369750494293375,0.03040130833699396,0.07901472798367944,0.11659635603864014,2.0,1.0,0.0,3.0,0.0,-1.0,1.0,-6.0
