REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,10M,1,18,22,57,5,10,0,3,21,3,5,1,6,8,1,3,2,1,15,20,1,41,1,27,0,5,137,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,11M,3,12,16,62,8,18,0,4,14,4,1,1,5,8,3,3,5,2,1,26,2,43,1,29,0,7,137,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,12M,0,21,17,63,8,12,1,0,21,1,1,2,7,9,0,0,1,2,18,36,0,34,0,24,0,9,143,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,13M,2,10,14,63,5,23,0,0,18,0,2,1,10,5,2,3,0,2,13,24,0,31,0,31,0,11,135,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,14M,0,5,13,65,5,19,1,1,22,2,0,2,3,5,2,0,19,1,9,19,0,41,1,20,1,8,131,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,15M,0,13,21,68,6,17,1,0,13,1,1,3,7,6,1,2,26,0,1,34,1,33,1,15,0,8,139,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,16M,0,21,12,76,8,19,1,2,13,3,1,1,7,2,2,2,30,1,0,29,0,43,2,23,0,6,152,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,1M,1,12,16,61,7,20,0,1,15,1,0,1,11,17,1,3,3,1,0,15,2,34,2,28,1,13,133,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,2M,0,11,14,59,7,11,0,0,12,0,1,3,7,15,1,4,3,1,0,16,2,29,1,17,0,14,114,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,3M,2,15,6,71,5,11,1,1,20,2,2,2,13,9,2,2,3,2,1,25,1,25,6,23,5,11,132,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,4M,1,20,15,62,9,15,0,1,10,1,2,5,11,10,0,2,1,1,1,11,3,49,14,17,0,6,133,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,5M,1,14,17,62,11,15,0,3,13,3,2,4,7,15,1,1,1,1,1,29,10,36,3,17,0,8,136,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,6M,1,9,15,56,5,14,0,1,19,1,4,0,7,15,3,1,1,1,1,17,14,24,2,19,1,10,120,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,7M,0,18,8,58,4,21,0,1,16,1,0,1,7,8,1,5,1,0,1,24,12,36,1,18,1,9,126,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,8M,0,19,11,72,15,13,1,1,11,2,1,0,7,8,2,1,0,1,12,21,8,40,0,32,0,9,143,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,COLEGIO BASICO ARAGON,9M,0,7,16,60,5,14,0,0,19,0,1,3,3,12,4,1,2,0,9,16,1,26,0,33,1,9,121,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,ESCUELA BASICA NAHUELBUTA,17M,2,20,10,83,8,20,1,2,18,3,0,0,3,8,1,1,36,2,1,31,1,42,0,25,1,12,164,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,ESCUELA BASICA NAHUELBUTA,18M,2,13,20,66,7,9,1,2,20,3,2,0,4,8,1,0,27,1,1,42,0,33,0,13,0,8,140,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,ESCUELA BASICA NAHUELBUTA,19M,1,19,16,67,6,17,0,2,19,2,0,2,6,3,1,2,25,0,1,41,0,28,2,31,1,4,147,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,ESCUELA BASICA NAHUELBUTA,20M,1,12,16,67,9,18,1,1,21,2,3,1,8,9,1,1,27,1,1,29,1,38,0,19,1,5,146,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,ESCUELA BASICA NAHUELBUTA,21M,2,14,14,61,7,15,2,0,19,2,2,1,8,3,1,0,25,2,1,31,0,31,0,20,0,9,134,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE LA ARAUCANIA,ANGOL,ESCUELA BASICA NAHUELBUTA,22M,0,14,15,67,5,13,1,1,13,2,1,0,3,6,2,3,24,2,0,21,1,38,3,19,0,5,129,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
