REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,15M,1,19,23,56,10,7,0,1,12,1,5,1,2,8,52,2,0,5,6,29,3,10,0,4,1,1,129,54,-1,-1,1,15,19,51,7,3,12,21,75,54,0.00020956072203466596,0.1636018280638798,0.1764797149897558,0.4014707690999004,0.04909560298954854,0.009199245146439395,0.07014897335052624,0.12979430563791514,0.02055207660018956,0.045875163992695096,0.1133796967407754,0.3900606272357556,0.06839632392098353,0.03210302890083495,0.11610741333698638,0.2135256692717796,0.0,4.0,4.0,5.0,3.0,-2.0,-5.0,-9.0
DE LA ARAUCANIA,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,16M,0,18,14,53,9,11,0,3,16,3,0,1,5,8,44,1,1,0,2,24,2,16,0,9,0,1,124,54,-1,-1,1,13,18,49,7,3,12,21,60,54,0.00020956072203466596,0.1636018280638798,0.1764797149897558,0.4014707690999004,0.04909560298954854,0.009199245146439395,0.07014897335052624,0.12979430563791514,0.02055207660018956,0.045875163992695096,0.1133796967407754,0.3900606272357556,0.06839632392098353,0.03210302890083495,0.11610741333698638,0.2135256692717796,-1.0,5.0,-4.0,4.0,2.0,0.0,-1.0,-5.0
DE LA ARAUCANIA,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,17M,1,14,14,41,6,8,0,2,19,2,0,0,34,4,13,1,1,2,1,27,3,12,1,3,0,3,105,54,-1,-1,1,11,15,42,6,2,10,18,55,50,0.00020956072203466596,0.1636018280638798,0.1764797149897558,0.4014707690999004,0.04909560298954854,0.009199245146439395,0.07014897335052624,0.12979430563791514,0.02055207660018956,0.045875163992695096,0.1133796967407754,0.3900606272357556,0.06839632392098353,0.03210302890083495,0.11610741333698638,0.2135256692717796,0.0,3.0,-1.0,-1.0,0.0,0.0,-2.0,1.0
DE LA ARAUCANIA,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,18M,1,15,19,56,4,15,3,1,28,4,0,0,21,2,2,2,3,53,0,29,5,14,1,8,0,0,142,54,-1,-1,1,17,21,56,8,3,13,23,83,57,0.00020956072203466596,0.1636018280638798,0.1764797149897558,0.4014707690999004,0.04909560298954854,0.009199245146439395,0.07014897335052624,0.12979430563791514,0.02055207660018956,0.045875163992695096,0.1133796967407754,0.3900606272357556,0.06839632392098353,0.03210302890083495,0.11610741333698638,0.2135256692717796,0.0,-2.0,-2.0,0.0,-4.0,1.0,2.0,5.0
DE LA ARAUCANIA,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,19M,0,21,23,53,8,17,4,1,27,5,1,0,27,3,1,0,3,51,3,39,4,16,1,4,0,1,154,54,-1,-1,1,17,23,61,9,3,14,26,86,68,0.00020956072203466596,0.1636018280638798,0.1764797149897558,0.4014707690999004,0.04909560298954854,0.009199245146439395,0.07014897335052624,0.12979430563791514,0.02055207660018956,0.045875163992695096,0.1133796967407754,0.3900606272357556,0.06839632392098353,0.03210302890083495,0.11610741333698638,0.2135256692717796,-1.0,4.0,0.0,-8.0,-1.0,2.0,3.0,1.0
DE LA ARAUCANIA,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,20M,0,16,30,62,18,19,0,2,13,2,2,3,33,2,2,1,1,67,1,23,2,11,1,8,0,3,160,54,-1,-1,1,20,25,64,9,3,13,25,111,49,0.00020956072203466596,0.1636018280638798,0.1764797149897558,0.4014707690999004,0.04909560298954854,0.009199245146439395,0.07014897335052624,0.12979430563791514,0.02055207660018956,0.045875163992695096,0.1133796967407754,0.3900606272357556,0.06839632392098353,0.03210302890083495,0.11610741333698638,0.2135256692717796,-1.0,-4.0,5.0,-2.0,9.0,-1.0,6.0,-12.0
DE LA ARAUCANIA,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,21M,2,17,25,60,7,14,6,1,19,7,2,3,17,8,2,3,3,42,2,34,3,18,1,10,0,3,151,54,-1,-1,1,16,22,60,9,3,14,26,80,71,0.00020956072203466596,0.1636018280638798,0.1764797149897558,0.4014707690999004,0.04909560298954854,0.009199245146439395,0.07014897335052624,0.12979430563791514,0.02055207660018956,0.045875163992695096,0.1133796967407754,0.3900606272357556,0.06839632392098353,0.03210302890083495,0.11610741333698638,0.2135256692717796,1.0,1.0,3.0,0.0,-2.0,4.0,0.0,-7.0
DE LA ARAUCANIA,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,22M,0,13,29,73,12,24,1,2,33,3,1,1,8,6,3,39,2,35,6,41,5,26,0,14,0,0,187,54,-1,-1,2,20,27,74,11,4,17,32,95,92,0.00020956072203466596,0.1636018280638798,0.1764797149897558,0.4014707690999004,0.04909560298954854,0.009199245146439395,0.07014897335052624,0.12979430563791514,0.02055207660018956,0.045875163992695096,0.1133796967407754,0.3900606272357556,0.06839632392098353,0.03210302890083495,0.11610741333698638,0.2135256692717796,-2.0,-7.0,2.0,-1.0,1.0,-1.0,7.0,1.0
DE LA ARAUCANIA,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,23M,0,16,20,72,7,13,1,1,27,2,1,2,8,4,2,41,3,34,2,26,1,17,1,13,0,2,157,54,-1,-1,1,18,24,62,9,3,14,26,95,62,0.00020956072203466596,0.1636018280638798,0.1764797149897558,0.4014707690999004,0.04909560298954854,0.009199245146439395,0.07014897335052624,0.12979430563791514,0.02055207660018956,0.045875163992695096,0.1133796967407754,0.3900606272357556,0.06839632392098353,0.03210302890083495,0.11610741333698638,0.2135256692717796,-1.0,-2.0,-4.0,10.0,-2.0,-1.0,-1.0,1.0
DE LA ARAUCANIA,FREIRE,COLEGIO SANTA CRUZ DE FREIRE,24M,1,19,25,75,16,23,1,1,33,2,1,1,4,10,0,54,2,33,3,43,5,18,0,16,1,3,194,54,-1,-1,2,21,28,77,11,4,18,33,105,89,0.00020956072203466596,0.1636018280638798,0.1764797149897558,0.4014707690999004,0.04909560298954854,0.009199245146439395,0.07014897335052624,0.12979430563791514,0.02055207660018956,0.045875163992695096,0.1133796967407754,0.3900606272357556,0.06839632392098353,0.03210302890083495,0.11610741333698638,0.2135256692717796,-1.0,-2.0,-3.0,-2.0,5.0,-2.0,5.0,0.0
