REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,GORBEA,ESCUELA BASICA CINCO,10M,2,8,11,65,6,16,2,0,15,2,1,2,3,6,1,0,29,2,1,39,1,23,2,10,0,5,125,40,-1,-1,1,11,15,59,5,2,15,17,44,81,0.0045415033661569335,0.1460122329400503,0.16812137445003197,0.43645246677972455,0.035304523645127026,0.012806828603290958,0.09145330422239993,0.10530776599321828,0.008445923847745769,0.05435266322014574,0.08965556771711178,0.4924625192445733,0.03924811513735237,0.01705923986859313,0.1405703429516214,0.15820562801285637,1.0,-3.0,-4.0,6.0,1.0,0.0,1.0,-2.0
DE LA ARAUCANIA,GORBEA,ESCUELA BASICA CINCO,11M,0,9,15,59,4,18,0,2,21,2,0,0,4,4,21,0,4,6,1,46,1,23,0,15,0,3,128,40,-1,-1,1,10,15,61,5,2,16,18,39,89,0.0045415033661569335,0.1460122329400503,0.16812137445003197,0.43645246677972455,0.035304523645127026,0.012806828603290958,0.09145330422239993,0.10530776599321828,0.008445923847745769,0.05435266322014574,0.08965556771711178,0.4924625192445733,0.03924811513735237,0.01705923986859313,0.1405703429516214,0.15820562801285637,-1.0,-1.0,0.0,-2.0,-1.0,0.0,2.0,3.0
DE LA ARAUCANIA,GORBEA,ESCUELA BASICA CINCO,12M,0,12,21,67,6,18,1,1,24,2,1,1,2,8,27,3,1,34,1,41,2,16,0,12,0,2,150,40,-1,-1,1,15,19,70,6,2,17,20,77,74,0.0045415033661569335,0.1460122329400503,0.16812137445003197,0.43645246677972455,0.035304523645127026,0.012806828603290958,0.09145330422239993,0.10530776599321828,0.008445923847745769,0.05435266322014574,0.08965556771711178,0.4924625192445733,0.03924811513735237,0.01705923986859313,0.1405703429516214,0.15820562801285637,-1.0,-3.0,2.0,-3.0,0.0,0.0,1.0,4.0
DE LA ARAUCANIA,GORBEA,ESCUELA BASICA CINCO,1M,2,14,12,60,5,9,0,0,11,0,1,1,11,13,1,3,1,2,0,13,2,19,0,30,0,16,113,40,-1,-1,1,9,13,54,4,2,14,16,33,80,0.0045415033661569335,0.1460122329400503,0.16812137445003197,0.43645246677972455,0.035304523645127026,0.012806828603290958,0.09145330422239993,0.10530776599321828,0.008445923847745769,0.05435266322014574,0.08965556771711178,0.4924625192445733,0.03924811513735237,0.01705923986859313,0.1405703429516214,0.15820562801285637,1.0,5.0,-1.0,6.0,1.0,-2.0,-5.0,-5.0
DE LA ARAUCANIA,GORBEA,ESCUELA BASICA CINCO,2M,0,7,5,62,5,14,0,0,10,0,0,3,3,5,1,2,3,2,1,23,2,26,1,19,0,12,103,40,-1,-1,1,7,11,50,4,2,13,15,19,84,0.0045415033661569335,0.1460122329400503,0.16812137445003197,0.43645246677972455,0.035304523645127026,0.012806828603290958,0.09145330422239993,0.10530776599321828,0.008445923847745769,0.05435266322014574,0.08965556771711178,0.4924625192445733,0.03924811513735237,0.01705923986859313,0.1405703429516214,0.15820562801285637,-1.0,0.0,-6.0,12.0,1.0,-2.0,1.0,-5.0
DE LA ARAUCANIA,GORBEA,ESCUELA BASICA CINCO,3M,1,2,14,50,5,17,1,1,13,2,1,1,3,3,0,2,0,0,2,17,2,37,1,27,1,6,104,40,-1,-1,1,6,10,51,4,2,14,16,10,93,0.0045415033661569335,0.1460122329400503,0.16812137445003197,0.43645246677972455,0.035304523645127026,0.012806828603290958,0.09145330422239993,0.10530776599321828,0.008445923847745769,0.05435266322014574,0.08965556771711178,0.4924625192445733,0.03924811513735237,0.01705923986859313,0.1405703429516214,0.15820562801285637,0.0,-4.0,4.0,-1.0,1.0,0.0,3.0,-3.0
DE LA ARAUCANIA,GORBEA,ESCUELA BASICA CINCO,4M,0,11,19,57,3,22,1,0,24,1,1,2,3,15,2,5,1,1,0,28,2,39,3,24,1,10,137,40,-1,-1,1,10,15,66,5,2,18,20,30,107,0.0045415033661569335,0.1460122329400503,0.16812137445003197,0.43645246677972455,0.035304523645127026,0.012806828603290958,0.09145330422239993,0.10530776599321828,0.008445923847745769,0.05435266322014574,0.08965556771711178,0.4924625192445733,0.03924811513735237,0.01705923986859313,0.1405703429516214,0.15820562801285637,-1.0,1.0,4.0,-9.0,-2.0,-1.0,4.0,4.0
DE LA ARAUCANIA,GORBEA,ESCUELA BASICA CINCO,5M,1,7,6,60,4,12,0,2,13,2,1,2,6,2,3,1,0,1,1,29,7,20,0,23,1,8,105,40,-1,-1,1,7,10,51,4,2,14,16,16,89,0.0045415033661569335,0.1460122329400503,0.16812137445003197,0.43645246677972455,0.035304523645127026,0.012806828603290958,0.09145330422239993,0.10530776599321828,0.008445923847745769,0.05435266322014574,0.08965556771711178,0.4924625192445733,0.03924811513735237,0.01705923986859313,0.1405703429516214,0.15820562801285637,0.0,0.0,-4.0,9.0,0.0,0.0,-2.0,-3.0
DE LA ARAUCANIA,GORBEA,ESCUELA BASICA CINCO,6M,1,13,9,62,2,16,0,1,18,1,1,1,4,5,2,1,1,0,3,33,8,26,0,26,0,11,122,40,-1,-1,1,8,12,59,5,2,16,19,15,107,0.0045415033661569335,0.1460122329400503,0.16812137445003197,0.43645246677972455,0.035304523645127026,0.012806828603290958,0.09145330422239993,0.10530776599321828,0.008445923847745769,0.05435266322014574,0.08965556771711178,0.4924625192445733,0.03924811513735237,0.01705923986859313,0.1405703429516214,0.15820562801285637,0.0,5.0,-3.0,3.0,-3.0,-1.0,0.0,-1.0
DE LA ARAUCANIA,GORBEA,ESCUELA BASICA CINCO,7M,1,10,16,67,6,14,3,1,9,4,1,0,5,4,1,2,0,3,21,44,2,25,0,12,0,6,127,40,-1,-1,1,8,13,62,5,2,17,19,16,110,0.0045415033661569335,0.1460122329400503,0.16812137445003197,0.43645246677972455,0.035304523645127026,0.012806828603290958,0.09145330422239993,0.10530776599321828,0.008445923847745769,0.05435266322014574,0.08965556771711178,0.4924625192445733,0.03924811513735237,0.01705923986859313,0.1405703429516214,0.15820562801285637,0.0,2.0,3.0,5.0,1.0,2.0,-3.0,-10.0
