REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,10M,2,13,17,70,5,15,1,0,26,1,3,0,9,7,2,2,5,3,13,30,0,42,2,19,0,12,149,95,-1,-1,1,12,16,69,7,4,14,26,31,118,0.01057628815478393,0.16707628090969578,0.17441115549729821,0.4268576112441341,0.052839980089350785,0.008194302158588167,0.06519053973784954,0.09485384220829941,0.008659411237775349,0.06104260763475426,0.09308259454657108,0.4695758952585722,0.04637145616672166,0.026649315030055628,0.0992892456147676,0.1953294745107823,1.0,1.0,1.0,1.0,-2.0,-3.0,1.0,0.0
DE LA ARAUCANIA,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,11M,2,17,14,46,9,15,0,2,35,2,0,2,8,6,3,3,21,2,9,24,1,33,2,19,1,5,140,95,-1,-1,1,13,17,64,7,3,12,23,45,94,0.01057628815478393,0.16707628090969578,0.17441115549729821,0.4268576112441341,0.052839980089350785,0.008194302158588167,0.06519053973784954,0.09485384220829941,0.008659411237775349,0.06104260763475426,0.09308259454657108,0.4695758952585722,0.04637145616672166,0.026649315030055628,0.0992892456147676,0.1953294745107823,1.0,4.0,-3.0,-18.0,2.0,-1.0,3.0,12.0
DE LA ARAUCANIA,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,12M,1,10,26,65,7,9,1,2,21,3,0,3,3,9,0,2,36,1,2,34,3,29,2,11,2,5,142,95,-1,-1,1,15,18,64,7,3,12,22,54,88,0.01057628815478393,0.16707628090969578,0.17441115549729821,0.4268576112441341,0.052839980089350785,0.008194302158588167,0.06519053973784954,0.09485384220829941,0.008659411237775349,0.06104260763475426,0.09308259454657108,0.4695758952585722,0.04637145616672166,0.026649315030055628,0.0992892456147676,0.1953294745107823,0.0,-5.0,8.0,1.0,0.0,0.0,-3.0,-1.0
DE LA ARAUCANIA,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,13M,0,14,15,69,12,16,1,2,20,3,0,1,10,5,1,2,32,3,2,38,2,33,1,13,1,5,149,95,-1,-1,1,15,18,68,7,3,13,24,54,95,0.01057628815478393,0.16707628090969578,0.17441115549729821,0.4268576112441341,0.052839980089350785,0.008194302158588167,0.06519053973784954,0.09485384220829941,0.008659411237775349,0.06104260763475426,0.09308259454657108,0.4695758952585722,0.04637145616672166,0.026649315030055628,0.0992892456147676,0.1953294745107823,-1.0,-1.0,-3.0,1.0,5.0,0.0,3.0,-4.0
DE LA ARAUCANIA,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,14M,2,8,16,57,11,14,2,3,20,5,1,1,4,6,0,0,32,0,3,33,0,33,0,16,0,4,133,95,-1,-1,1,13,16,61,6,3,12,21,44,89,0.01057628815478393,0.16707628090969578,0.17441115549729821,0.4268576112441341,0.052839980089350785,0.008194302158588167,0.06519053973784954,0.09485384220829941,0.008659411237775349,0.06104260763475426,0.09308259454657108,0.4695758952585722,0.04637145616672166,0.026649315030055628,0.0992892456147676,0.1953294745107823,1.0,-5.0,0.0,-4.0,5.0,2.0,2.0,-1.0
DE LA ARAUCANIA,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,1M,1,13,9,64,3,10,0,1,8,1,1,0,12,10,3,2,2,0,2,16,1,29,0,22,0,9,109,95,-1,-1,1,10,13,50,5,2,10,18,30,79,0.01057628815478393,0.16707628090969578,0.17441115549729821,0.4268576112441341,0.052839980089350785,0.008194302158588167,0.06519053973784954,0.09485384220829941,0.008659411237775349,0.06104260763475426,0.09308259454657108,0.4695758952585722,0.04637145616672166,0.026649315030055628,0.0992892456147676,0.1953294745107823,0.0,3.0,-4.0,14.0,-2.0,-1.0,0.0,-10.0
DE LA ARAUCANIA,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,2M,1,9,12,42,4,10,2,0,18,2,0,3,5,11,0,3,1,0,1,10,3,30,0,23,1,7,98,95,-1,-1,1,8,11,45,5,2,9,17,23,75,0.01057628815478393,0.16707628090969578,0.17441115549729821,0.4268576112441341,0.052839980089350785,0.008194302158588167,0.06519053973784954,0.09485384220829941,0.008659411237775349,0.06104260763475426,0.09308259454657108,0.4695758952585722,0.04637145616672166,0.026649315030055628,0.0992892456147676,0.1953294745107823,0.0,1.0,1.0,-3.0,-1.0,0.0,1.0,1.0
DE LA ARAUCANIA,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,3M,0,12,12,60,2,11,3,1,25,4,1,3,8,10,2,0,3,3,1,22,0,31,2,31,0,9,126,95,-1,-1,1,11,14,58,6,3,11,22,30,96,0.01057628815478393,0.16707628090969578,0.17441115549729821,0.4268576112441341,0.052839980089350785,0.008194302158588167,0.06519053973784954,0.09485384220829941,0.008659411237775349,0.06104260763475426,0.09308259454657108,0.4695758952585722,0.04637145616672166,0.026649315030055628,0.0992892456147676,0.1953294745107823,-1.0,1.0,-2.0,2.0,-4.0,1.0,0.0,3.0
DE LA ARAUCANIA,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,4M,2,10,13,67,1,15,0,1,24,1,0,3,8,3,3,3,1,4,1,21,1,37,2,33,2,11,133,95,-1,-1,1,11,15,61,6,3,12,24,25,108,0.01057628815478393,0.16707628090969578,0.17441115549729821,0.4268576112441341,0.052839980089350785,0.008194302158588167,0.06519053973784954,0.09485384220829941,0.008659411237775349,0.06104260763475426,0.09308259454657108,0.4695758952585722,0.04637145616672166,0.026649315030055628,0.0992892456147676,0.1953294745107823,1.0,-1.0,-2.0,6.0,-5.0,-2.0,3.0,0.0
DE LA ARAUCANIA,LAUTARO,ESCUELA BASICA NUMERO 1 LOS CACHORROS,5M,1,12,21,63,1,13,2,1,21,3,2,1,5,10,1,1,0,0,1,30,2,38,5,29,0,10,135,95,-1,-1,1,10,14,63,7,3,13,24,20,115,0.01057628815478393,0.16707628090969578,0.17441115549729821,0.4268576112441341,0.052839980089350785,0.008194302158588167,0.06519053973784954,0.09485384220829941,0.008659411237775349,0.06104260763475426,0.09308259454657108,0.4695758952585722,0.04637145616672166,0.026649315030055628,0.0992892456147676,0.1953294745107823,0.0,2.0,7.0,0.0,-6.0,0.0,0.0,-3.0
