REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,LOS LAURELES,LICEO ARTURO VALENZUELA,1M,0,12,13,68,9,11,2,4,24,6,1,0,9,3,11,4,8,9,4,27,1,31,2,23,1,9,143,11,-1,-1,1,13,16,62,7,2,14,28,45,98,0.006568827302749172,0.11076287146376901,0.08547503030322222,0.5137933007954617,0.09192133566132492,0.006463296946782153,0.08423819194786825,0.10077714557882263,0.0079042382002857,0.08050836128681267,0.12243254199049562,0.397105492929837,0.030016996056955167,0.021193378257556832,0.09815171970901071,0.24268727156904635,-1.0,-1.0,-3.0,6.0,2.0,4.0,-3.0,-4.0
DE LA ARAUCANIA,LOS LAURELES,LICEO ARTURO VALENZUELA,1V,0,5,11,41,8,16,4,1,18,5,0,1,2,6,0,14,1,4,20,0,28,2,16,0,10,0,104,11,-1,-1,1,9,12,44,5,2,10,21,28,76,0.006568827302749172,0.11076287146376901,0.08547503030322222,0.5137933007954617,0.09192133566132492,0.006463296946782153,0.08423819194786825,0.10077714557882263,0.0079042382002857,0.08050836128681267,0.12243254199049562,0.397105492929837,0.030016996056955167,0.021193378257556832,0.09815171970901071,0.24268727156904635,-1.0,-4.0,-1.0,-3.0,3.0,3.0,6.0,-3.0
DE LA ARAUCANIA,LOS LAURELES,LICEO ARTURO VALENZUELA,2M-7V,1,17,18,68,9,12,1,0,28,1,1,1,9,11,7,6,7,6,8,23,10,37,5,17,2,4,154,11,-1,-1,1,14,17,67,8,2,14,31,48,106,0.006568827302749172,0.11076287146376901,0.08547503030322222,0.5137933007954617,0.09192133566132492,0.006463296946782153,0.08423819194786825,0.10077714557882263,0.0079042382002857,0.08050836128681267,0.12243254199049562,0.397105492929837,0.030016996056955167,0.021193378257556832,0.09815171970901071,0.24268727156904635,0.0,3.0,1.0,1.0,1.0,-1.0,-2.0,-3.0
DE LA ARAUCANIA,LOS LAURELES,LICEO ARTURO VALENZUELA,3M-8,4,19,24,67,6,13,0,1,34,1,5,4,9,11,6,9,9,9,2,37,2,38,4,17,1,5,168,11,-1,-1,1,15,18,74,9,3,16,32,62,106,0.006568827302749172,0.11076287146376901,0.08547503030322222,0.5137933007954617,0.09192133566132492,0.006463296946782153,0.08423819194786825,0.10077714557882263,0.0079042382002857,0.08050836128681267,0.12243254199049562,0.397105492929837,0.030016996056955167,0.021193378257556832,0.09815171970901071,0.24268727156904635,3.0,4.0,6.0,-7.0,-3.0,-2.0,-3.0,2.0
DE LA ARAUCANIA,LOS LAURELES,LICEO ARTURO VALENZUELA,3V,2,12,11,47,3,10,0,0,26,0,2,2,1,3,1,2,0,1,29,3,37,0,19,4,7,0,111,11,-1,-1,1,9,13,46,4,2,11,25,12,99,0.006568827302749172,0.11076287146376901,0.08547503030322222,0.5137933007954617,0.09192133566132492,0.006463296946782153,0.08423819194786825,0.10077714557882263,0.0079042382002857,0.08050836128681267,0.12243254199049562,0.397105492929837,0.030016996056955167,0.021193378257556832,0.09815171970901071,0.24268727156904635,1.0,3.0,-2.0,1.0,-1.0,-2.0,-1.0,1.0
DE LA ARAUCANIA,LOS LAURELES,LICEO ARTURO VALENZUELA,4M,0,14,11,52,12,19,0,4,15,4,1,1,1,7,3,4,0,42,3,33,3,15,2,11,0,1,127,11,-1,-1,1,12,13,57,8,2,12,22,59,68,0.006568827302749172,0.11076287146376901,0.08547503030322222,0.5137933007954617,0.09192133566132492,0.006463296946782153,0.08423819194786825,0.10077714557882263,0.0079042382002857,0.08050836128681267,0.12243254199049562,0.397105492929837,0.030016996056955167,0.021193378257556832,0.09815171970901071,0.24268727156904635,-1.0,2.0,-2.0,-5.0,4.0,2.0,7.0,-7.0
DE LA ARAUCANIA,LOS LAURELES,LICEO ARTURO VALENZUELA,4V,0,5,12,52,1,6,0,0,30,0,2,3,2,3,3,3,6,1,36,3,22,2,14,1,5,0,106,11,-1,-1,1,9,12,45,5,2,10,22,23,83,0.006568827302749172,0.11076287146376901,0.08547503030322222,0.5137933007954617,0.09192133566132492,0.006463296946782153,0.08423819194786825,0.10077714557882263,0.0079042382002857,0.08050836128681267,0.12243254199049562,0.397105492929837,0.030016996056955167,0.021193378257556832,0.09815171970901071,0.24268727156904635,-1.0,-4.0,0.0,7.0,-4.0,-2.0,-4.0,8.0
DE LA ARAUCANIA,LOS LAURELES,LICEO ARTURO VALENZUELA,5M,1,18,18,67,11,16,1,0,23,1,0,2,3,3,3,26,1,47,3,33,1,20,1,9,0,3,155,11,-1,-1,1,15,16,71,10,2,14,26,85,70,0.006568827302749172,0.11076287146376901,0.08547503030322222,0.5137933007954617,0.09192133566132492,0.006463296946782153,0.08423819194786825,0.10077714557882263,0.0079042382002857,0.08050836128681267,0.12243254199049562,0.397105492929837,0.030016996056955167,0.021193378257556832,0.09815171970901071,0.24268727156904635,0.0,3.0,2.0,-4.0,1.0,-1.0,2.0,-3.0
DE LA ARAUCANIA,LOS LAURELES,LICEO ARTURO VALENZUELA,5V,1,4,9,59,5,5,0,0,21,0,1,2,3,3,4,3,43,5,18,1,10,0,10,0,1,0,104,11,-1,-1,1,10,11,49,7,1,9,16,64,40,0.006568827302749172,0.11076287146376901,0.08547503030322222,0.5137933007954617,0.09192133566132492,0.006463296946782153,0.08423819194786825,0.10077714557882263,0.0079042382002857,0.08050836128681267,0.12243254199049562,0.397105492929837,0.030016996056955167,0.021193378257556832,0.09815171970901071,0.24268727156904635,0.0,-6.0,-2.0,10.0,-2.0,-1.0,-4.0,5.0
DE LA ARAUCANIA,LOS LAURELES,LICEO ARTURO VALENZUELA,6M-2V,1,16,24,78,11,20,1,2,41,3,1,3,9,7,5,31,1,15,25,9,37,13,23,8,3,4,194,11,-1,-1,1,18,21,86,10,3,18,37,72,122,0.006568827302749172,0.11076287146376901,0.08547503030322222,0.5137933007954617,0.09192133566132492,0.006463296946782153,0.08423819194786825,0.10077714557882263,0.0079042382002857,0.08050836128681267,0.12243254199049562,0.397105492929837,0.030016996056955167,0.021193378257556832,0.09815171970901071,0.24268727156904635,0.0,-2.0,3.0,-8.0,1.0,0.0,2.0,4.0
