REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,PERQUENCO,ESCUELA EDUARDO FREI MONTALVA,10M,3,22,21,74,7,8,1,1,29,2,1,1,5,22,10,42,15,18,6,19,5,6,6,6,1,3,166,21,-1,-1,3,27,25,67,10,2,10,22,114,52,0.021863103690206418,0.18243749022814698,0.1922215365156293,0.3868775764487159,0.05485198754913097,0.004895388602549739,0.0629330069726812,0.09391990999293956,0.0027198633904581496,0.12251499996672899,0.06593627165219802,0.44463802787312295,0.06856727352304134,0.03483619737786518,0.05312757655745135,0.20765978965913404,0.0,-5.0,-4.0,7.0,-3.0,0.0,-2.0,7.0
DE LA ARAUCANIA,PERQUENCO,ESCUELA EDUARDO FREI MONTALVA,11,1,15,19,42,6,4,0,1,14,1,3,3,12,16,4,4,7,9,11,10,9,3,9,1,0,1,102,21,-1,-1,1,16,14,42,6,2,6,15,58,44,0.021863103690206418,0.18243749022814698,0.1922215365156293,0.3868775764487159,0.05485198754913097,0.004895388602549739,0.0629330069726812,0.09391990999293956,0.0027198633904581496,0.12251499996672899,0.06593627165219802,0.44463802787312295,0.06856727352304134,0.03483619737786518,0.05312757655745135,0.20765978965913404,0.0,-1.0,5.0,0.0,0.0,-1.0,-2.0,-1.0
DE LA ARAUCANIA,PERQUENCO,ESCUELA EDUARDO FREI MONTALVA,1M,0,15,13,50,8,9,2,4,16,6,2,1,8,12,1,2,3,2,2,22,5,30,1,17,0,10,117,21,-1,-1,1,16,12,50,8,3,6,21,31,87,0.021863103690206418,0.18243749022814698,0.1922215365156293,0.3868775764487159,0.05485198754913097,0.004895388602549739,0.0629330069726812,0.09391990999293956,0.0027198633904581496,0.12251499996672899,0.06593627165219802,0.44463802787312295,0.06856727352304134,0.03483619737786518,0.05312757655745135,0.20765978965913404,-1.0,-1.0,1.0,0.0,0.0,3.0,3.0,-5.0
DE LA ARAUCANIA,PERQUENCO,ESCUELA EDUARDO FREI MONTALVA,2M,1,22,14,57,18,9,0,1,29,1,0,1,6,7,0,2,15,3,9,29,4,45,2,21,0,7,151,21,-1,-1,1,21,14,65,10,4,8,28,34,117,0.021863103690206418,0.18243749022814698,0.1922215365156293,0.3868775764487159,0.05485198754913097,0.004895388602549739,0.0629330069726812,0.09391990999293956,0.0027198633904581496,0.12251499996672899,0.06593627165219802,0.44463802787312295,0.06856727352304134,0.03483619737786518,0.05312757655745135,0.20765978965913404,0.0,1.0,0.0,-8.0,8.0,-3.0,1.0,1.0
DE LA ARAUCANIA,PERQUENCO,ESCUELA EDUARDO FREI MONTALVA,3M,2,11,12,70,9,11,0,2,20,2,0,2,2,1,8,0,19,2,1,35,1,32,2,20,2,10,137,21,-1,-1,1,19,13,59,9,4,8,24,34,103,0.021863103690206418,0.18243749022814698,0.1922215365156293,0.3868775764487159,0.05485198754913097,0.004895388602549739,0.0629330069726812,0.09391990999293956,0.0027198633904581496,0.12251499996672899,0.06593627165219802,0.44463802787312295,0.06856727352304134,0.03483619737786518,0.05312757655745135,0.20765978965913404,1.0,-8.0,-1.0,11.0,0.0,-2.0,3.0,-4.0
DE LA ARAUCANIA,PERQUENCO,ESCUELA EDUARDO FREI MONTALVA,4M,1,23,11,69,7,6,0,0,18,0,2,3,5,3,23,1,0,1,3,43,3,30,1,12,0,5,135,21,-1,-1,1,19,14,58,9,3,7,24,38,97,0.021863103690206418,0.18243749022814698,0.1922215365156293,0.3868775764487159,0.05485198754913097,0.004895388602549739,0.0629330069726812,0.09391990999293956,0.0027198633904581496,0.12251499996672899,0.06593627165219802,0.44463802787312295,0.06856727352304134,0.03483619737786518,0.05312757655745135,0.20765978965913404,0.0,4.0,-3.0,11.0,-2.0,-3.0,-1.0,-6.0
DE LA ARAUCANIA,PERQUENCO,ESCUELA EDUARDO FREI MONTALVA,5M,0,32,17,46,11,5,1,3,17,4,1,1,6,3,23,2,1,13,3,43,1,18,1,15,0,1,132,21,-1,-1,1,19,15,56,8,3,8,22,50,82,0.021863103690206418,0.18243749022814698,0.1922215365156293,0.3868775764487159,0.05485198754913097,0.004895388602549739,0.0629330069726812,0.09391990999293956,0.0027198633904581496,0.12251499996672899,0.06593627165219802,0.44463802787312295,0.06856727352304134,0.03483619737786518,0.05312757655745135,0.20765978965913404,-1.0,13.0,2.0,-10.0,3.0,1.0,-3.0,-5.0
DE LA ARAUCANIA,PERQUENCO,ESCUELA EDUARDO FREI MONTALVA,6M,3,34,14,66,4,14,1,2,20,3,1,0,21,3,10,1,1,52,2,34,4,17,0,6,0,6,158,21,-1,-1,2,25,22,65,9,3,9,23,89,69,0.021863103690206418,0.18243749022814698,0.1922215365156293,0.3868775764487159,0.05485198754913097,0.004895388602549739,0.0629330069726812,0.09391990999293956,0.0027198633904581496,0.12251499996672899,0.06593627165219802,0.44463802787312295,0.06856727352304134,0.03483619737786518,0.05312757655745135,0.20765978965913404,1.0,9.0,-8.0,1.0,-5.0,0.0,5.0,-3.0
DE LA ARAUCANIA,PERQUENCO,ESCUELA EDUARDO FREI MONTALVA,7M,1,34,17,59,18,12,0,1,24,1,0,1,26,5,2,3,2,59,3,29,3,22,1,6,0,4,166,21,-1,-1,3,26,23,68,10,3,10,23,98,68,0.021863103690206418,0.18243749022814698,0.1922215365156293,0.3868775764487159,0.05485198754913097,0.004895388602549739,0.0629330069726812,0.09391990999293956,0.0027198633904581496,0.12251499996672899,0.06593627165219802,0.44463802787312295,0.06856727352304134,0.03483619737786518,0.05312757655745135,0.20765978965913404,-2.0,8.0,-6.0,-9.0,8.0,-2.0,2.0,1.0
DE LA ARAUCANIA,PERQUENCO,ESCUELA EDUARDO FREI MONTALVA,8M,3,23,24,66,5,11,1,0,17,1,1,2,9,9,9,36,1,18,3,33,2,18,0,6,0,3,150,21,-1,-1,2,23,21,62,9,3,9,21,85,65,0.021863103690206418,0.18243749022814698,0.1922215365156293,0.3868775764487159,0.05485198754913097,0.004895388602549739,0.0629330069726812,0.09391990999293956,0.0027198633904581496,0.12251499996672899,0.06593627165219802,0.44463802787312295,0.06856727352304134,0.03483619737786518,0.05312757655745135,0.20765978965913404,1.0,0.0,3.0,4.0,-4.0,-2.0,2.0,-4.0
