REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,RENAICO,ESCUELA LA NOBEL GABRIELA,10M,0,40,17,54,10,8,0,2,16,2,1,2,28,16,13,9,4,35,6,19,1,9,2,2,0,1,147,29,-1,-1,1,32,16,59,8,3,11,17,108,40,0.011847702640611133,0.2507615016269413,0.10941073306058549,0.41747300323915665,0.04574489940477412,0.018277013699531976,0.06073933248007125,0.08574581384832809,0.005349968608991412,0.12108810189152232,0.10024734691934256,0.3514614113971687,0.07710047357494021,0.023887005773630822,0.11731904691445509,0.20354664491994895,-1.0,8.0,1.0,-5.0,2.0,-1.0,-3.0,-1.0
DE LA ARAUCANIA,RENAICO,ESCUELA LA NOBEL GABRIELA,11M,1,20,11,55,9,12,2,2,24,4,1,1,9,5,2,7,7,51,5,26,2,10,2,4,1,3,136,29,-1,-1,1,27,15,53,8,3,11,18,83,53,0.011847702640611133,0.2507615016269413,0.10941073306058549,0.41747300323915665,0.04574489940477412,0.018277013699531976,0.06073933248007125,0.08574581384832809,0.005349968608991412,0.12108810189152232,0.10024734691934256,0.3514614113971687,0.07710047357494021,0.023887005773630822,0.11731904691445509,0.20354664491994895,0.0,-7.0,-4.0,2.0,1.0,1.0,1.0,6.0
DE LA ARAUCANIA,RENAICO,ESCUELA LA NOBEL GABRIELA,12M,1,19,7,51,8,11,0,0,21,0,2,1,3,6,0,3,11,40,6,26,4,9,0,5,0,2,118,29,-1,-1,1,23,12,46,7,3,10,16,66,52,0.011847702640611133,0.2507615016269413,0.10941073306058549,0.41747300323915665,0.04574489940477412,0.018277013699531976,0.06073933248007125,0.08574581384832809,0.005349968608991412,0.12108810189152232,0.10024734691934256,0.3514614113971687,0.07710047357494021,0.023887005773630822,0.11731904691445509,0.20354664491994895,0.0,-4.0,-5.0,5.0,1.0,-3.0,1.0,5.0
DE LA ARAUCANIA,RENAICO,ESCUELA LA NOBEL GABRIELA,13M,2,25,14,50,7,16,0,0,16,0,0,1,6,9,7,42,0,32,1,15,2,10,0,5,0,0,130,29,-1,-1,1,28,14,52,7,3,10,15,97,33,0.011847702640611133,0.2507615016269413,0.10941073306058549,0.41747300323915665,0.04574489940477412,0.018277013699531976,0.06073933248007125,0.08574581384832809,0.005349968608991412,0.12108810189152232,0.10024734691934256,0.3514614113971687,0.07710047357494021,0.023887005773630822,0.11731904691445509,0.20354664491994895,1.0,-3.0,0.0,-2.0,0.0,-3.0,6.0,1.0
DE LA ARAUCANIA,RENAICO,ESCUELA LA NOBEL GABRIELA,14M,1,23,9,46,12,14,0,3,23,3,0,2,2,8,0,48,2,23,2,14,2,14,2,6,0,6,131,29,-1,-1,1,27,14,52,7,3,10,17,85,46,0.011847702640611133,0.2507615016269413,0.10941073306058549,0.41747300323915665,0.04574489940477412,0.018277013699531976,0.06073933248007125,0.08574581384832809,0.005349968608991412,0.12108810189152232,0.10024734691934256,0.3514614113971687,0.07710047357494021,0.023887005773630822,0.11731904691445509,0.20354664491994895,0.0,-4.0,-5.0,-6.0,5.0,0.0,4.0,6.0
DE LA ARAUCANIA,RENAICO,ESCUELA LA NOBEL GABRIELA,15M-9V,3,24,30,62,5,12,2,2,24,4,3,3,16,19,2,17,16,5,30,2,31,6,9,3,0,2,164,29,-1,-1,1,30,17,63,10,4,15,24,81,83,0.011847702640611133,0.2507615016269413,0.10941073306058549,0.41747300323915665,0.04574489940477412,0.018277013699531976,0.06073933248007125,0.08574581384832809,0.005349968608991412,0.12108810189152232,0.10024734691934256,0.3514614113971687,0.07710047357494021,0.023887005773630822,0.11731904691445509,0.20354664491994895,2.0,-6.0,13.0,-1.0,-5.0,0.0,-3.0,0.0
DE LA ARAUCANIA,RENAICO,ESCUELA LA NOBEL GABRIELA,1M,2,15,12,39,3,19,1,1,21,2,1,0,9,6,4,1,5,2,3,19,7,17,5,22,3,9,113,29,-1,-1,1,17,12,41,8,2,12,20,28,85,0.011847702640611133,0.2507615016269413,0.10941073306058549,0.41747300323915665,0.04574489940477412,0.018277013699531976,0.06073933248007125,0.08574581384832809,0.005349968608991412,0.12108810189152232,0.10024734691934256,0.3514614113971687,0.07710047357494021,0.023887005773630822,0.11731904691445509,0.20354664491994895,1.0,-2.0,0.0,-2.0,-5.0,0.0,7.0,1.0
DE LA ARAUCANIA,RENAICO,ESCUELA LA NOBEL GABRIELA,2M,1,12,10,32,12,10,0,2,24,2,0,1,4,7,3,0,10,0,13,19,1,22,0,17,0,6,103,29,-1,-1,1,16,10,38,7,2,11,18,25,78,0.011847702640611133,0.2507615016269413,0.10941073306058549,0.41747300323915665,0.04574489940477412,0.018277013699531976,0.06073933248007125,0.08574581384832809,0.005349968608991412,0.12108810189152232,0.10024734691934256,0.3514614113971687,0.07710047357494021,0.023887005773630822,0.11731904691445509,0.20354664491994895,0.0,-4.0,0.0,-6.0,5.0,0.0,-1.0,6.0
DE LA ARAUCANIA,RENAICO,ESCUELA LA NOBEL GABRIELA,3M,0,16,6,45,7,11,0,5,21,5,2,0,2,2,0,2,26,1,1,16,1,32,1,16,0,9,111,29,-1,-1,1,18,11,41,8,2,11,19,35,76,0.011847702640611133,0.2507615016269413,0.10941073306058549,0.41747300323915665,0.04574489940477412,0.018277013699531976,0.06073933248007125,0.08574581384832809,0.005349968608991412,0.12108810189152232,0.10024734691934256,0.3514614113971687,0.07710047357494021,0.023887005773630822,0.11731904691445509,0.20354664491994895,-1.0,-2.0,-5.0,4.0,-1.0,3.0,0.0,2.0
DE LA ARAUCANIA,RENAICO,ESCUELA LA NOBEL GABRIELA,4M,1,14,9,44,11,8,0,0,26,0,2,1,3,5,22,2,8,7,1,14,3,25,2,13,0,5,113,29,-1,-1,1,20,12,43,7,2,11,17,50,63,0.011847702640611133,0.2507615016269413,0.10941073306058549,0.41747300323915665,0.04574489940477412,0.018277013699531976,0.06073933248007125,0.08574581384832809,0.005349968608991412,0.12108810189152232,0.10024734691934256,0.3514614113971687,0.07710047357494021,0.023887005773630822,0.11731904691445509,0.20354664491994895,0.0,-6.0,-3.0,1.0,4.0,-2.0,-3.0,9.0
