REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,10M,2,19,22,57,16,10,2,4,33,6,2,3,4,4,6,32,16,35,1,30,1,17,1,11,0,3,165,33,-1,-1,4,21,27,48,13,5,12,35,102,64,0.02368128906235333,0.17865770965616248,0.17899817985125094,0.3116799937375634,0.0749434900911865,0.016622232078717075,0.05272852679040267,0.16268857873236367,0.01710009464038188,0.036414872030953754,0.14071042381974896,0.26297572016627113,0.08575898238570817,0.05114586209795991,0.10929639317636826,0.29659765168260793,-2.0,-2.0,-5.0,9.0,3.0,1.0,-2.0,-2.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,11M,3,17,22,42,12,19,2,4,48,6,0,2,5,3,1,59,4,17,5,23,2,24,2,18,0,4,169,33,-1,-1,3,19,27,49,14,6,13,38,91,78,0.02368128906235333,0.17865770965616248,0.17899817985125094,0.3116799937375634,0.0749434900911865,0.016622232078717075,0.05272852679040267,0.16268857873236367,0.01710009464038188,0.036414872030953754,0.14071042381974896,0.26297572016627113,0.08575898238570817,0.05114586209795991,0.10929639317636826,0.29659765168260793,0.0,-2.0,-5.0,-7.0,-2.0,0.0,6.0,10.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,12M,5,12,17,35,6,8,1,2,28,3,1,0,3,7,10,28,7,18,5,8,4,13,1,7,0,2,114,33,-1,-1,2,15,19,34,9,3,8,24,74,40,0.02368128906235333,0.17865770965616248,0.17899817985125094,0.3116799937375634,0.0749434900911865,0.016622232078717075,0.05272852679040267,0.16268857873236367,0.01710009464038188,0.036414872030953754,0.14071042381974896,0.26297572016627113,0.08575898238570817,0.05114586209795991,0.10929639317636826,0.29659765168260793,3.0,-3.0,-2.0,1.0,-3.0,0.0,0.0,4.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,18,3,19,15,20,8,4,0,1,19,1,2,4,22,34,3,10,2,2,1,4,3,0,1,1,0,0,89,33,-1,-1,2,14,16,27,7,2,5,16,79,10,0.02368128906235333,0.17865770965616248,0.17899817985125094,0.3116799937375634,0.0749434900911865,0.016622232078717075,0.05272852679040267,0.16268857873236367,0.01710009464038188,0.036414872030953754,0.14071042381974896,0.26297572016627113,0.08575898238570817,0.05114586209795991,0.10929639317636826,0.29659765168260793,1.0,5.0,-1.0,-7.0,1.0,-1.0,-1.0,3.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,19,2,18,23,38,9,6,2,0,25,2,2,5,13,26,4,14,6,12,15,7,7,6,3,3,0,0,123,33,-1,-1,3,16,20,36,10,3,9,26,82,41,0.02368128906235333,0.17865770965616248,0.17899817985125094,0.3116799937375634,0.0749434900911865,0.016622232078717075,0.05272852679040267,0.16268857873236367,0.01710009464038188,0.036414872030953754,0.14071042381974896,0.26297572016627113,0.08575898238570817,0.05114586209795991,0.10929639317636826,0.29659765168260793,-1.0,2.0,3.0,2.0,-1.0,-1.0,-3.0,-1.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,1M,1,13,14,32,8,10,4,3,20,7,0,2,7,10,3,0,3,1,2,15,1,37,0,20,0,4,105,33,-1,-1,2,7,16,29,9,4,10,28,26,79,0.02368128906235333,0.17865770965616248,0.17899817985125094,0.3116799937375634,0.0749434900911865,0.016622232078717075,0.05272852679040267,0.16268857873236367,0.01710009464038188,0.036414872030953754,0.14071042381974896,0.26297572016627113,0.08575898238570817,0.05114586209795991,0.10929639317636826,0.29659765168260793,-1.0,6.0,-2.0,3.0,-1.0,3.0,0.0,-8.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,20,0,19,32,24,7,8,0,2,28,2,4,6,18,24,17,9,4,5,6,5,3,9,4,4,1,1,120,33,-1,-1,3,17,20,36,9,3,8,24,87,33,0.02368128906235333,0.17865770965616248,0.17899817985125094,0.3116799937375634,0.0749434900911865,0.016622232078717075,0.05272852679040267,0.16268857873236367,0.01710009464038188,0.036414872030953754,0.14071042381974896,0.26297572016627113,0.08575898238570817,0.05114586209795991,0.10929639317636826,0.29659765168260793,-3.0,2.0,12.0,-12.0,-2.0,-1.0,0.0,4.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,21,3,16,23,34,8,10,0,2,20,2,7,8,13,12,6,13,6,7,6,7,11,8,3,7,2,0,116,33,-1,-1,2,15,19,34,9,3,9,25,72,44,0.02368128906235333,0.17865770965616248,0.17899817985125094,0.3116799937375634,0.0749434900911865,0.016622232078717075,0.05272852679040267,0.16268857873236367,0.01710009464038188,0.036414872030953754,0.14071042381974896,0.26297572016627113,0.08575898238570817,0.05114586209795991,0.10929639317636826,0.29659765168260793,1.0,1.0,4.0,0.0,-1.0,-1.0,1.0,-5.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,2M,3,7,21,29,9,6,0,0,36,0,1,3,7,6,1,3,0,1,2,11,0,42,3,26,1,4,111,33,-1,-1,2,7,17,30,9,5,11,30,22,89,0.02368128906235333,0.17865770965616248,0.17899817985125094,0.3116799937375634,0.0749434900911865,0.016622232078717075,0.05272852679040267,0.16268857873236367,0.01710009464038188,0.036414872030953754,0.14071042381974896,0.26297572016627113,0.08575898238570817,0.05114586209795991,0.10929639317636826,0.29659765168260793,1.0,0.0,4.0,-1.0,0.0,-5.0,-5.0,6.0
DE LA ARAUCANIA,SAAVEDRA,ESCUELA PARTICULAR SAN SEBASTIAN,3M,3,7,16,46,10,15,1,1,38,2,2,1,3,7,0,1,2,6,1,30,1,46,6,20,1,10,137,33,-1,-1,2,8,20,37,12,6,14,38,22,115,0.02368128906235333,0.17865770965616248,0.17899817985125094,0.3116799937375634,0.0749434900911865,0.016622232078717075,0.05272852679040267,0.16268857873236367,0.01710009464038188,0.036414872030953754,0.14071042381974896,0.26297572016627113,0.08575898238570817,0.05114586209795991,0.10929639317636826,0.29659765168260793,1.0,-1.0,-4.0,9.0,-2.0,-4.0,1.0,0.0
