REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,TEMUCO CENTRO,COLEGIO DE LA SALLE,118V,1,18,25,43,5,8,0,1,6,1,0,0,17,17,25,2,17,0,13,1,8,1,3,1,2,0,107,252,-1,-1,1,17,23,39,6,1,11,9,78,29,0.015319755510334468,0.17949260724797703,0.24509707125513636,0.34405020807030795,0.04755683822987469,0.01158957864795753,0.09552644127477618,0.06136749976363579,0.005993205676358297,0.09229025349231694,0.12892272127362758,0.4058073487605779,0.08357113710287599,0.010136870432359923,0.12296578532652037,0.15031267793536332,0.0,1.0,2.0,4.0,-1.0,0.0,-3.0,-3.0
DE LA ARAUCANIA,TEMUCO CENTRO,COLEGIO DE LA SALLE,119V,2,10,29,43,6,8,2,1,10,3,0,4,14,10,25,2,22,1,12,2,9,2,8,0,1,0,111,252,-1,-1,1,17,23,40,7,1,12,10,78,34,0.015319755510334468,0.17949260724797703,0.24509707125513636,0.34405020807030795,0.04755683822987469,0.01158957864795753,0.09552644127477618,0.06136749976363579,0.005993205676358297,0.09229025349231694,0.12892272127362758,0.4058073487605779,0.08357113710287599,0.010136870432359923,0.12296578532652037,0.15031267793536332,1.0,-7.0,6.0,3.0,-1.0,2.0,-4.0,0.0
DE LA ARAUCANIA,TEMUCO CENTRO,COLEGIO DE LA SALLE,120V,3,12,20,54,2,11,0,0,8,0,1,1,16,10,19,2,19,1,20,2,10,1,4,0,4,0,110,252,-1,-1,1,16,22,40,7,1,12,11,69,41,0.015319755510334468,0.17949260724797703,0.24509707125513636,0.34405020807030795,0.04755683822987469,0.01158957864795753,0.09552644127477618,0.06136749976363579,0.005993205676358297,0.09229025349231694,0.12892272127362758,0.4058073487605779,0.08357113710287599,0.010136870432359923,0.12296578532652037,0.15031267793536332,2.0,-4.0,-2.0,14.0,-5.0,-1.0,-1.0,-3.0
DE LA ARAUCANIA,TEMUCO CENTRO,COLEGIO DE LA SALLE,121V,2,15,15,44,10,8,0,0,14,0,0,1,7,15,28,1,22,1,18,3,4,2,5,0,0,0,108,252,-1,-1,1,17,23,39,6,1,11,10,75,32,0.015319755510334468,0.17949260724797703,0.24509707125513636,0.34405020807030795,0.04755683822987469,0.01158957864795753,0.09552644127477618,0.06136749976363579,0.005993205676358297,0.09229025349231694,0.12892272127362758,0.4058073487605779,0.08357113710287599,0.010136870432359923,0.12296578532652037,0.15031267793536332,1.0,-2.0,-8.0,5.0,4.0,-1.0,-3.0,4.0
DE LA ARAUCANIA,TEMUCO CENTRO,COLEGIO DE LA SALLE,122V,0,12,34,43,1,6,0,0,5,0,3,2,10,8,27,4,14,2,19,5,4,0,1,0,1,0,101,252,-1,-1,1,16,21,37,6,1,10,9,70,30,0.015319755510334468,0.17949260724797703,0.24509707125513636,0.34405020807030795,0.04755683822987469,0.01158957864795753,0.09552644127477618,0.06136749976363579,0.005993205676358297,0.09229025349231694,0.12892272127362758,0.4058073487605779,0.08357113710287599,0.010136870432359923,0.12296578532652037,0.15031267793536332,-1.0,-4.0,13.0,6.0,-5.0,-1.0,-4.0,-4.0
DE LA ARAUCANIA,TEMUCO CENTRO,COLEGIO DE LA SALLE,123V,2,16,22,47,6,8,0,0,10,0,3,1,7,7,33,5,20,3,14,1,8,2,4,0,2,1,111,252,-1,-1,1,17,24,40,6,1,12,10,79,32,0.015319755510334468,0.17949260724797703,0.24509707125513636,0.34405020807030795,0.04755683822987469,0.01158957864795753,0.09552644127477618,0.06136749976363579,0.005993205676358297,0.09229025349231694,0.12892272127362758,0.4058073487605779,0.08357113710287599,0.010136870432359923,0.12296578532652037,0.15031267793536332,1.0,-1.0,-2.0,7.0,0.0,-1.0,-4.0,0.0
DE LA ARAUCANIA,TEMUCO CENTRO,COLEGIO DE LA SALLE,124V,1,20,22,45,5,18,1,0,12,1,1,3,7,5,38,4,31,1,13,1,15,1,3,0,1,0,124,252,-1,-1,2,19,26,45,7,1,13,11,90,34,0.015319755510334468,0.17949260724797703,0.24509707125513636,0.34405020807030795,0.04755683822987469,0.01158957864795753,0.09552644127477618,0.06136749976363579,0.005993205676358297,0.09229025349231694,0.12892272127362758,0.4058073487605779,0.08357113710287599,0.010136870432359923,0.12296578532652037,0.15031267793536332,-1.0,1.0,-4.0,0.0,-2.0,0.0,5.0,1.0
DE LA ARAUCANIA,TEMUCO CENTRO,COLEGIO DE LA SALLE,125V,1,16,26,35,7,9,0,1,11,1,2,2,19,6,30,2,15,3,9,0,8,3,4,1,2,0,106,252,-1,-1,1,17,23,38,6,1,11,9,79,27,0.015319755510334468,0.17949260724797703,0.24509707125513636,0.34405020807030795,0.04755683822987469,0.01158957864795753,0.09552644127477618,0.06136749976363579,0.005993205676358297,0.09229025349231694,0.12892272127362758,0.4058073487605779,0.08357113710287599,0.010136870432359923,0.12296578532652037,0.15031267793536332,0.0,-1.0,3.0,-3.0,1.0,0.0,-2.0,2.0
DE LA ARAUCANIA,TEMUCO CENTRO,COLEGIO DE LA SALLE,126V,1,19,22,28,2,6,0,0,5,0,0,1,22,31,9,3,5,2,2,1,5,1,1,0,0,0,83,252,-1,-1,1,14,19,29,5,1,8,6,73,10,0.015319755510334468,0.17949260724797703,0.24509707125513636,0.34405020807030795,0.04755683822987469,0.01158957864795753,0.09552644127477618,0.06136749976363579,0.005993205676358297,0.09229025349231694,0.12892272127362758,0.4058073487605779,0.08357113710287599,0.010136870432359923,0.12296578532652037,0.15031267793536332,0.0,5.0,3.0,-1.0,-3.0,-1.0,-2.0,-1.0
DE LA ARAUCANIA,TEMUCO CENTRO,COLEGIO DE LA SALLE,130,2,26,43,66,12,23,0,1,21,1,0,4,26,34,13,19,17,30,8,13,8,14,1,4,1,1,194,252,-1,-1,3,30,42,70,11,2,20,16,143,50,0.015319755510334468,0.17949260724797703,0.24509707125513636,0.34405020807030795,0.04755683822987469,0.01158957864795753,0.09552644127477618,0.06136749976363579,0.005993205676358297,0.09229025349231694,0.12892272127362758,0.4058073487605779,0.08357113710287599,0.010136870432359923,0.12296578532652037,0.15031267793536332,-1.0,-4.0,1.0,-4.0,1.0,-1.0,3.0,5.0
