REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,TEMUCO NORTE,COLEGIO AUGUSTO WINTER,26,3,23,32,78,8,17,1,1,15,2,1,3,12,16,21,16,11,18,20,11,15,16,6,10,1,1,178,80,-1,-1,2,23,36,68,10,2,19,18,98,80,0.018751021400964317,0.21119015987150377,0.23421881679170992,0.315358575751678,0.05692833109865408,0.017831548276652245,0.06370922155047151,0.08201232525836621,1.1424032986668648e-05,0.026578091919130086,0.1658201507293486,0.4622733152366749,0.05779433926375473,0.0001585867130717178,0.16347294287260772,0.12389114923242571,1.0,0.0,-4.0,10.0,-2.0,0.0,-2.0,-3.0
DE LA ARAUCANIA,TEMUCO NORTE,COLEGIO AUGUSTO WINTER,27,3,20,29,63,15,15,1,0,22,1,1,1,19,19,12,16,7,12,19,21,12,10,4,6,4,5,168,80,-1,-1,2,20,34,65,10,1,19,17,87,81,0.018751021400964317,0.21119015987150377,0.23421881679170992,0.315358575751678,0.05692833109865408,0.017831548276652245,0.06370922155047151,0.08201232525836621,1.1424032986668648e-05,0.026578091919130086,0.1658201507293486,0.4622733152366749,0.05779433926375473,0.0001585867130717178,0.16347294287260772,0.12389114923242571,1.0,0.0,-5.0,-2.0,5.0,0.0,-4.0,5.0
DE LA ARAUCANIA,TEMUCO NORTE,COLEGIO AUGUSTO WINTER,28,1,21,37,64,11,24,0,2,20,2,1,1,21,17,11,14,18,11,23,15,9,18,8,7,2,4,180,80,-1,-1,2,22,36,70,10,2,20,18,94,86,0.018751021400964317,0.21119015987150377,0.23421881679170992,0.315358575751678,0.05692833109865408,0.017831548276652245,0.06370922155047151,0.08201232525836621,1.1424032986668648e-05,0.026578091919130086,0.1658201507293486,0.4622733152366749,0.05779433926375473,0.0001585867130717178,0.16347294287260772,0.12389114923242571,-1.0,-1.0,1.0,-6.0,1.0,0.0,4.0,2.0
DE LA ARAUCANIA,TEMUCO NORTE,COLEGIO AUGUSTO WINTER,29,1,27,28,67,6,16,1,0,24,1,1,1,18,21,12,14,15,16,16,10,13,13,6,9,1,4,170,80,-1,-1,2,22,35,64,10,2,18,17,98,72,0.018751021400964317,0.21119015987150377,0.23421881679170992,0.315358575751678,0.05692833109865408,0.017831548276652245,0.06370922155047151,0.08201232525836621,1.1424032986668648e-05,0.026578091919130086,0.1658201507293486,0.4622733152366749,0.05779433926375473,0.0001585867130717178,0.16347294287260772,0.12389114923242571,-1.0,5.0,-7.0,3.0,-4.0,-1.0,-2.0,7.0
DE LA ARAUCANIA,TEMUCO NORTE,COLEGIO AUGUSTO WINTER,30,3,13,36,64,8,23,0,2,15,2,0,1,12,17,11,18,12,17,15,18,14,8,6,10,3,2,164,80,-1,-1,2,21,33,63,9,1,18,17,88,76,0.018751021400964317,0.21119015987150377,0.23421881679170992,0.315358575751678,0.05692833109865408,0.017831548276652245,0.06370922155047151,0.08201232525836621,1.1424032986668648e-05,0.026578091919130086,0.1658201507293486,0.4622733152366749,0.05779433926375473,0.0001585867130717178,0.16347294287260772,0.12389114923242571,1.0,-8.0,3.0,1.0,-1.0,1.0,5.0,-2.0
DE LA ARAUCANIA,TEMUCO NORTE,COLEGIO AUGUSTO WINTER,31,2,22,29,66,7,19,1,1,17,2,0,0,22,12,18,16,15,9,13,18,12,16,3,5,1,4,164,80,-1,-1,2,21,34,62,9,2,18,16,92,72,0.018751021400964317,0.21119015987150377,0.23421881679170992,0.315358575751678,0.05692833109865408,0.017831548276652245,0.06370922155047151,0.08201232525836621,1.1424032986668648e-05,0.026578091919130086,0.1658201507293486,0.4622733152366749,0.05779433926375473,0.0001585867130717178,0.16347294287260772,0.12389114923242571,0.0,1.0,-5.0,4.0,-2.0,0.0,1.0,1.0
DE LA ARAUCANIA,TEMUCO NORTE,COLEGIO AUGUSTO WINTER,32,1,24,34,81,12,18,0,0,19,0,2,4,15,16,17,23,7,21,12,17,16,20,8,5,2,4,189,80,-1,-1,2,24,39,72,11,2,20,19,105,84,0.018751021400964317,0.21119015987150377,0.23421881679170992,0.315358575751678,0.05692833109865408,0.017831548276652245,0.06370922155047151,0.08201232525836621,1.1424032986668648e-05,0.026578091919130086,0.1658201507293486,0.4622733152366749,0.05779433926375473,0.0001585867130717178,0.16347294287260772,0.12389114923242571,-1.0,0.0,-5.0,9.0,1.0,-2.0,-2.0,0.0
DE LA ARAUCANIA,TEMUCO NORTE,COLEGIO AUGUSTO WINTER,33,2,23,42,71,10,17,1,1,19,2,1,3,20,15,13,21,15,13,20,20,15,12,8,5,4,1,186,80,-1,-1,2,23,38,71,11,2,20,19,101,85,0.018751021400964317,0.21119015987150377,0.23421881679170992,0.315358575751678,0.05692833109865408,0.017831548276652245,0.06370922155047151,0.08201232525836621,1.1424032986668648e-05,0.026578091919130086,0.1658201507293486,0.4622733152366749,0.05779433926375473,0.0001585867130717178,0.16347294287260772,0.12389114923242571,0.0,0.0,4.0,0.0,-1.0,0.0,-3.0,0.0
DE LA ARAUCANIA,TEMUCO NORTE,COLEGIO AUGUSTO WINTER,34,2,23,37,68,10,18,3,1,19,4,1,3,14,17,19,17,13,18,19,15,8,22,4,3,2,3,181,80,-1,-1,2,24,37,69,10,2,19,18,102,76,0.018751021400964317,0.21119015987150377,0.23421881679170992,0.315358575751678,0.05692833109865408,0.017831548276652245,0.06370922155047151,0.08201232525836621,1.1424032986668648e-05,0.026578091919130086,0.1658201507293486,0.4622733152366749,0.05779433926375473,0.0001585867130717178,0.16347294287260772,0.12389114923242571,0.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,1.0
DE LA ARAUCANIA,TEMUCO NORTE,COLEGIO AUGUSTO WINTER,35,3,19,43,52,12,17,0,0,21,0,2,3,16,14,11,15,16,16,17,22,7,11,7,6,4,0,167,80,-1,-1,2,22,34,63,9,2,18,17,93,74,0.018751021400964317,0.21119015987150377,0.23421881679170992,0.315358575751678,0.05692833109865408,0.017831548276652245,0.06370922155047151,0.08201232525836621,1.1424032986668648e-05,0.026578091919130086,0.1658201507293486,0.4622733152366749,0.05779433926375473,0.0001585867130717178,0.16347294287260772,0.12389114923242571,1.0,-3.0,9.0,-11.0,3.0,-2.0,-1.0,4.0
