REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,VICTORIA,COLEGIO IGNACIO CARRERA PINTO,1V,0,3,9,42,4,9,1,0,6,1,0,2,9,8,2,0,2,0,3,2,21,0,15,0,10,0,74,94,-1,-1,0,4,8,43,4,1,6,8,23,51,0.009700134352733605,0.1022129662609522,0.1408398784986322,0.5719888442758262,0.04300282496544781,0.010341990645993334,0.072238452127708,0.04967490887270657,0.006124907173833066,0.037263145295526434,0.09074352282828571,0.582411612985847,0.05434782432078092,0.013961956205842344,0.08134251277962093,0.1338045184102639,0.0,-1.0,1.0,-1.0,0.0,0.0,3.0,-2.0
DE LA ARAUCANIA,VICTORIA,COLEGIO IGNACIO CARRERA PINTO,34M,1,13,13,85,6,10,1,0,11,1,0,0,6,2,21,4,4,49,2,31,1,15,0,3,0,2,140,94,-1,-1,1,11,17,81,7,2,10,11,86,54,0.009700134352733605,0.1022129662609522,0.1408398784986322,0.5719888442758262,0.04300282496544781,0.010341990645993334,0.072238452127708,0.04967490887270657,0.006124907173833066,0.037263145295526434,0.09074352282828571,0.582411612985847,0.05434782432078092,0.013961956205842344,0.08134251277962093,0.1338045184102639,0.0,2.0,-4.0,4.0,-1.0,-1.0,0.0,0.0
DE LA ARAUCANIA,VICTORIA,COLEGIO IGNACIO CARRERA PINTO,35M,0,20,13,80,6,17,0,1,12,1,2,1,7,6,10,1,2,71,3,16,0,21,1,4,0,4,149,94,-1,-1,1,12,19,86,7,2,11,11,100,49,0.009700134352733605,0.1022129662609522,0.1408398784986322,0.5719888442758262,0.04300282496544781,0.010341990645993334,0.072238452127708,0.04967490887270657,0.006124907173833066,0.037263145295526434,0.09074352282828571,0.582411612985847,0.05434782432078092,0.013961956205842344,0.08134251277962093,0.1338045184102639,-1.0,8.0,-6.0,-6.0,-1.0,-1.0,6.0,1.0
DE LA ARAUCANIA,VICTORIA,COLEGIO IGNACIO CARRERA PINTO,36M,1,12,22,86,7,13,2,1,12,3,1,3,14,3,9,4,2,67,1,26,0,17,0,7,0,2,156,94,-1,-1,1,13,19,90,7,2,12,12,103,53,0.009700134352733605,0.1022129662609522,0.1408398784986322,0.5719888442758262,0.04300282496544781,0.010341990645993334,0.072238452127708,0.04967490887270657,0.006124907173833066,0.037263145295526434,0.09074352282828571,0.582411612985847,0.05434782432078092,0.013961956205842344,0.08134251277962093,0.1338045184102639,0.0,-1.0,3.0,-4.0,0.0,1.0,1.0,0.0
DE LA ARAUCANIA,VICTORIA,COLEGIO IGNACIO CARRERA PINTO,37M,1,9,17,95,7,12,0,0,12,0,2,3,21,4,1,5,5,63,1,24,0,14,2,7,0,1,153,94,-1,-1,1,12,19,88,7,2,12,12,104,49,0.009700134352733605,0.1022129662609522,0.1408398784986322,0.5719888442758262,0.04300282496544781,0.010341990645993334,0.072238452127708,0.04967490887270657,0.006124907173833066,0.037263145295526434,0.09074352282828571,0.582411612985847,0.05434782432078092,0.013961956205842344,0.08134251277962093,0.1338045184102639,0.0,-3.0,-2.0,7.0,0.0,-2.0,0.0,0.0
DE LA ARAUCANIA,VICTORIA,COLEGIO IGNACIO CARRERA PINTO,38M,2,9,15,100,5,15,1,2,19,3,1,1,20,3,5,26,5,48,0,31,2,12,1,12,0,1,168,94,-1,-1,1,13,21,97,8,2,13,13,109,59,0.009700134352733605,0.1022129662609522,0.1408398784986322,0.5719888442758262,0.04300282496544781,0.010341990645993334,0.072238452127708,0.04967490887270657,0.006124907173833066,0.037263145295526434,0.09074352282828571,0.582411612985847,0.05434782432078092,0.013961956205842344,0.08134251277962093,0.1338045184102639,1.0,-4.0,-6.0,3.0,-3.0,1.0,2.0,6.0
DE LA ARAUCANIA,VICTORIA,COLEGIO IGNACIO CARRERA PINTO,39M,0,12,21,97,4,20,0,1,16,1,2,1,20,5,4,44,3,46,1,21,0,13,0,8,0,3,171,94,-1,-1,2,14,22,98,8,2,13,12,125,46,0.009700134352733605,0.1022129662609522,0.1408398784986322,0.5719888442758262,0.04300282496544781,0.010341990645993334,0.072238452127708,0.04967490887270657,0.006124907173833066,0.037263145295526434,0.09074352282828571,0.582411612985847,0.05434782432078092,0.013961956205842344,0.08134251277962093,0.1338045184102639,-2.0,-2.0,-1.0,-1.0,-4.0,-1.0,7.0,4.0
DE LA ARAUCANIA,VICTORIA,COLEGIO IGNACIO CARRERA PINTO,40M,1,10,27,87,8,9,0,1,15,1,0,2,13,4,2,45,3,32,0,26,0,14,2,11,0,4,158,94,-1,-1,1,13,19,91,7,2,12,13,101,57,0.009700134352733605,0.1022129662609522,0.1408398784986322,0.5719888442758262,0.04300282496544781,0.010341990645993334,0.072238452127708,0.04967490887270657,0.006124907173833066,0.037263145295526434,0.09074352282828571,0.582411612985847,0.05434782432078092,0.013961956205842344,0.08134251277962093,0.1338045184102639,0.0,-3.0,8.0,-4.0,1.0,-1.0,-3.0,2.0
DE LA ARAUCANIA,VICTORIA,COLEGIO IGNACIO CARRERA PINTO,41M,0,12,18,103,14,21,0,1,9,1,1,2,11,6,4,52,0,47,2,26,0,17,0,8,0,2,178,94,-1,-1,2,15,22,102,8,2,13,14,123,55,0.009700134352733605,0.1022129662609522,0.1408398784986322,0.5719888442758262,0.04300282496544781,0.010341990645993334,0.072238452127708,0.04967490887270657,0.006124907173833066,0.037263145295526434,0.09074352282828571,0.582411612985847,0.05434782432078092,0.013961956205842344,0.08134251277962093,0.1338045184102639,-2.0,-3.0,-4.0,1.0,6.0,-1.0,8.0,-5.0
DE LA ARAUCANIA,VICTORIA,COLEGIO IGNACIO CARRERA PINTO,42M,2,10,23,79,9,20,0,3,20,3,0,0,5,5,5,53,1,43,1,21,2,17,0,10,0,3,166,94,-1,-1,1,13,21,96,8,2,12,13,112,54,0.009700134352733605,0.1022129662609522,0.1408398784986322,0.5719888442758262,0.04300282496544781,0.010341990645993334,0.072238452127708,0.04967490887270657,0.006124907173833066,0.037263145295526434,0.09074352282828571,0.582411612985847,0.05434782432078092,0.013961956205842344,0.08134251277962093,0.1338045184102639,1.0,-3.0,2.0,-17.0,1.0,1.0,8.0,7.0
