REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,27M,5,18,40,26,12,14,1,0,17,1,1,4,4,6,3,4,30,32,0,33,0,11,0,5,0,0,133,109,-1,-1,3,23,36,32,7,2,13,17,84,49,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,2.0,-5.0,4.0,-6.0,5.0,-1.0,1.0,0.0
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,28M,2,23,29,33,17,19,0,1,23,1,0,1,5,1,2,7,29,46,2,34,0,15,2,3,0,0,147,109,-1,-1,3,25,39,36,8,2,15,19,91,56,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,-1.0,-2.0,-10.0,-3.0,9.0,-1.0,4.0,4.0
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,29M,3,22,36,41,7,15,1,1,21,2,3,2,6,16,2,4,24,32,1,30,1,16,0,10,0,0,147,109,-1,-1,3,25,39,36,8,2,15,19,89,58,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,0.0,-3.0,-3.0,5.0,-1.0,0.0,0.0,2.0
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,30M,2,24,44,35,8,14,0,0,25,0,1,1,2,7,5,2,23,46,1,37,0,19,1,5,0,1,152,109,-1,-1,3,25,40,37,8,2,16,21,87,64,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,-1.0,-1.0,4.0,-2.0,0.0,-2.0,-2.0,4.0
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,31M,4,15,33,28,13,15,1,3,24,4,1,5,7,3,12,1,4,50,3,28,0,15,0,6,0,1,136,109,-1,-1,3,23,36,33,7,2,14,18,83,53,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,1.0,-8.0,-3.0,-5.0,6.0,2.0,1.0,6.0
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,32M,3,29,39,41,16,21,1,1,30,2,2,1,3,3,30,6,9,67,8,33,1,12,2,1,0,3,181,109,-1,-1,3,33,49,44,10,3,17,22,121,60,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,0.0,-4.0,-10.0,-3.0,6.0,-1.0,4.0,8.0
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,33M,3,24,49,25,5,18,2,1,20,3,4,0,5,8,23,1,0,45,0,36,0,17,0,2,0,6,147,109,-1,-1,3,24,39,36,8,2,15,20,86,61,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,0.0,0.0,10.0,-11.0,-3.0,1.0,3.0,0.0
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,34M,1,19,45,39,9,16,2,0,15,2,1,1,6,1,24,7,7,49,3,29,1,13,0,4,0,0,146,109,-1,-1,3,26,39,36,8,2,14,18,96,50,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,-2.0,-7.0,6.0,3.0,1.0,0.0,2.0,-3.0
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,35M,3,19,40,31,15,16,1,0,21,1,1,5,7,3,23,8,6,36,1,33,1,13,0,7,0,2,146,109,-1,-1,3,24,39,36,8,2,15,19,89,57,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,0.0,-5.0,1.0,-5.0,7.0,-1.0,1.0,2.0
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,36M,6,24,38,41,8,23,2,0,34,2,5,1,4,8,20,27,6,46,2,23,0,22,0,9,0,3,176,109,-1,-1,3,32,47,43,9,3,17,22,117,59,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,3.0,-8.0,-9.0,-2.0,-1.0,-1.0,6.0,12.0
DE LOS LAGOS,CASTRO,ESCUELA AYTUE,37M,4,32,49,30,11,21,0,2,20,2,2,1,2,4,19,33,4,33,4,34,3,22,1,7,0,0,169,109,-1,-1,3,27,45,42,9,3,17,23,98,71,0.023027301369924237,0.2510752637510187,0.29329242561866437,0.22658093075676056,0.05096624198844561,0.013964035831568246,0.0699344692014578,0.07115933148216058,0.011725354083059948,0.039100235851617635,0.22332582782876145,0.27260053327437467,0.0613961544257568,0.016200360841219546,0.14834565731751448,0.22730587637769512,1.0,5.0,4.0,-12.0,2.0,-1.0,4.0,-3.0
