REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,CHAMIZA,ESCUELA RURAL LA CHAMIZA,1,6,23,39,53,8,25,2,1,14,3,3,1,20,11,17,20,17,12,15,20,11,12,4,6,1,1,171,10,-1,-1,2,20,41,56,9,3,22,18,101,70,0.017645849221931527,0.1405446660862317,0.31577541870864956,0.11983030623177326,0.00020788805689007906,0.02759079652717463,0.2037323538768062,0.174672721290543,0.008910335439471416,0.08606240469481567,0.12934314963599297,0.622267380125619,0.12316958906986825,0.0029201361203913478,0.01666323695638103,0.0106637679574603,4.0,3.0,-2.0,-3.0,-1.0,0.0,3.0,-4.0
DE LOS LAGOS,CHAMIZA,ESCUELA RURAL LA CHAMIZA,10,1,29,46,57,6,17,1,0,24,1,2,2,14,22,13,17,19,20,24,14,7,8,8,5,2,4,181,10,-1,-1,3,21,44,58,9,3,23,20,109,72,0.017645849221931527,0.1405446660862317,0.31577541870864956,0.11983030623177326,0.00020788805689007906,0.02759079652717463,0.2037323538768062,0.174672721290543,0.008910335439471416,0.08606240469481567,0.12934314963599297,0.622267380125619,0.12316958906986825,0.0029201361203913478,0.01666323695638103,0.0106637679574603,-2.0,8.0,2.0,-1.0,-3.0,-2.0,-6.0,4.0
DE LOS LAGOS,CHAMIZA,ESCUELA RURAL LA CHAMIZA,2,1,13,38,63,8,26,1,2,7,3,1,3,9,13,13,14,7,26,11,24,14,14,3,5,0,2,159,10,-1,-1,2,18,37,56,9,2,19,16,86,73,0.017645849221931527,0.1405446660862317,0.31577541870864956,0.11983030623177326,0.00020788805689007906,0.02759079652717463,0.2037323538768062,0.174672721290543,0.008910335439471416,0.08606240469481567,0.12934314963599297,0.622267380125619,0.12316958906986825,0.0029201361203913478,0.01666323695638103,0.0106637679574603,-1.0,-5.0,1.0,7.0,-1.0,1.0,7.0,-9.0
DE LOS LAGOS,CHAMIZA,ESCUELA RURAL LA CHAMIZA,3,3,20,47,62,11,20,2,4,15,6,2,3,6,6,20,16,16,24,20,21,13,18,8,8,0,3,184,10,-1,-1,2,21,41,68,11,3,21,17,93,91,0.017645849221931527,0.1405446660862317,0.31577541870864956,0.11983030623177326,0.00020788805689007906,0.02759079652717463,0.2037323538768062,0.174672721290543,0.008910335439471416,0.08606240469481567,0.12934314963599297,0.622267380125619,0.12316958906986825,0.0029201361203913478,0.01666323695638103,0.0106637679574603,1.0,-1.0,6.0,-6.0,0.0,3.0,-1.0,-2.0
DE LOS LAGOS,CHAMIZA,ESCUELA RURAL LA CHAMIZA,4,1,16,35,57,10,18,0,1,22,1,1,0,12,10,18,15,14,14,21,14,13,12,4,8,1,3,160,10,-1,-1,2,18,36,57,9,3,19,16,84,76,0.017645849221931527,0.1405446660862317,0.31577541870864956,0.11983030623177326,0.00020788805689007906,0.02759079652717463,0.2037323538768062,0.174672721290543,0.008910335439471416,0.08606240469481567,0.12934314963599297,0.622267380125619,0.12316958906986825,0.0029201361203913478,0.01666323695638103,0.0106637679574603,-1.0,-2.0,-1.0,0.0,1.0,-2.0,-1.0,6.0
DE LOS LAGOS,CHAMIZA,ESCUELA RURAL LA CHAMIZA,5,1,14,40,52,7,21,2,4,14,6,3,2,16,16,21,13,10,16,8,22,11,7,5,2,0,2,155,10,-1,-1,2,19,38,47,7,3,21,18,97,57,0.017645849221931527,0.1405446660862317,0.31577541870864956,0.11983030623177326,0.00020788805689007906,0.02759079652717463,0.2037323538768062,0.174672721290543,0.008910335439471416,0.08606240469481567,0.12934314963599297,0.622267380125619,0.12316958906986825,0.0029201361203913478,0.01666323695638103,0.0106637679574603,-1.0,-5.0,2.0,5.0,0.0,3.0,0.0,-4.0
DE LOS LAGOS,CHAMIZA,ESCUELA RURAL LA CHAMIZA,6,3,28,35,61,13,18,2,1,14,3,1,4,10,15,18,12,12,20,19,24,8,18,7,6,0,1,175,10,-1,-1,2,20,40,63,10,3,20,17,92,83,0.017645849221931527,0.1405446660862317,0.31577541870864956,0.11983030623177326,0.00020788805689007906,0.02759079652717463,0.2037323538768062,0.174672721290543,0.008910335439471416,0.08606240469481567,0.12934314963599297,0.622267380125619,0.12316958906986825,0.0029201361203913478,0.01666323695638103,0.0106637679574603,1.0,8.0,-5.0,-2.0,3.0,0.0,-2.0,-3.0
DE LOS LAGOS,CHAMIZA,ESCUELA RURAL LA CHAMIZA,7,0,16,48,59,4,22,0,1,22,1,2,3,14,10,16,19,15,24,14,19,13,11,7,3,2,0,172,10,-1,-1,2,20,42,55,9,3,22,19,103,69,0.017645849221931527,0.1405446660862317,0.31577541870864956,0.11983030623177326,0.00020788805689007906,0.02759079652717463,0.2037323538768062,0.174672721290543,0.008910335439471416,0.08606240469481567,0.12934314963599297,0.622267380125619,0.12316958906986825,0.0029201361203913478,0.01666323695638103,0.0106637679574603,-2.0,-4.0,6.0,4.0,-5.0,-2.0,0.0,3.0
DE LOS LAGOS,CHAMIZA,ESCUELA RURAL LA CHAMIZA,8,3,16,32,52,12,17,0,0,23,0,1,3,13,13,7,14,21,15,19,17,11,11,2,4,4,0,155,10,-1,-1,2,18,36,53,8,3,19,16,87,68,0.017645849221931527,0.1405446660862317,0.31577541870864956,0.11983030623177326,0.00020788805689007906,0.02759079652717463,0.2037323538768062,0.174672721290543,0.008910335439471416,0.08606240469481567,0.12934314963599297,0.622267380125619,0.12316958906986825,0.0029201361203913478,0.01666323695638103,0.0106637679574603,1.0,-2.0,-4.0,-1.0,4.0,-3.0,-2.0,7.0
DE LOS LAGOS,CHAMIZA,ESCUELA RURAL LA CHAMIZA,9,4,19,30,41,9,19,3,1,17,4,1,2,14,18,10,15,11,17,10,17,10,7,5,5,1,0,143,10,-1,-1,2,17,35,45,7,2,19,16,88,55,0.017645849221931527,0.1405446660862317,0.31577541870864956,0.11983030623177326,0.00020788805689007906,0.02759079652717463,0.2037323538768062,0.174672721290543,0.008910335439471416,0.08606240469481567,0.12934314963599297,0.622267380125619,0.12316958906986825,0.0029201361203913478,0.01666323695638103,0.0106637679574603,2.0,2.0,-5.0,-4.0,2.0,2.0,0.0,1.0
