REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,12V,4,30,44,44,10,14,0,2,22,2,2,4,2,5,15,27,40,6,31,1,22,3,10,0,3,0,170,38,-1,-1,3,33,39,38,9,3,16,29,101,70,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,1.0,-3.0,5.0,6.0,1.0,-1.0,-2.0,-7.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,13V,2,25,35,43,12,12,2,1,30,3,1,1,1,5,32,17,38,7,30,3,21,0,4,1,1,0,162,38,-1,-1,3,32,38,36,8,3,15,27,102,60,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,-1.0,-7.0,-3.0,7.0,4.0,0.0,-3.0,3.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,14V,2,30,41,30,9,17,2,1,36,3,2,7,7,6,38,17,34,4,23,2,14,2,10,1,1,0,168,38,-1,-1,3,35,40,37,9,3,15,26,115,53,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,-1.0,-5.0,1.0,-7.0,0.0,0.0,2.0,10.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,15V,5,46,34,24,8,11,1,6,21,7,2,4,2,71,11,40,8,2,6,0,4,2,2,1,1,0,156,38,-1,-1,3,37,41,34,8,3,12,18,140,16,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,2.0,9.0,-7.0,-10.0,0.0,4.0,-1.0,3.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,16,4,51,19,27,4,9,0,0,12,0,0,3,8,9,86,1,3,2,4,1,2,3,2,1,1,0,126,38,-1,-1,2,30,33,27,7,2,10,15,112,14,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,2.0,21.0,-14.0,0.0,-3.0,-2.0,-1.0,-3.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,17,2,39,21,25,4,10,0,1,13,1,3,3,43,2,42,4,7,4,3,1,1,1,0,0,0,1,115,38,-1,-1,2,28,30,25,6,2,9,13,108,7,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,0.0,11.0,-9.0,0.0,-2.0,-1.0,1.0,0.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,18,2,40,33,15,5,17,1,2,12,3,0,4,46,41,5,8,9,1,2,6,2,1,2,0,0,0,127,38,-1,-1,2,31,33,27,7,2,10,15,114,13,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,0.0,9.0,0.0,-12.0,-2.0,1.0,7.0,-3.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,19,2,30,40,23,6,11,2,1,15,3,2,5,22,27,17,22,12,5,7,3,2,3,0,2,0,1,130,38,-1,-1,2,31,33,28,7,2,11,16,112,18,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,0.0,-1.0,7.0,-5.0,-1.0,1.0,0.0,-1.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,20,0,28,36,31,5,5,1,1,20,2,4,2,35,24,8,10,5,11,2,7,4,6,5,1,2,1,127,38,-1,-1,2,28,31,28,7,2,11,18,99,28,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,-2.0,0.0,5.0,3.0,-2.0,0.0,-6.0,2.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,21,1,32,49,35,7,7,1,2,20,3,2,3,21,15,22,25,9,11,13,11,12,4,2,3,1,0,154,38,-1,-1,3,32,37,34,8,3,13,24,108,46,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,-2.0,0.0,12.0,1.0,-1.0,0.0,-6.0,-4.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,22,4,31,54,20,12,9,0,1,15,1,4,10,28,31,22,13,5,6,6,6,4,8,3,0,0,0,146,38,-1,-1,3,33,37,32,8,2,12,19,119,27,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,1.0,-2.0,17.0,-12.0,4.0,-1.0,-3.0,-4.0
DE LOS LAGOS,CHONCHI,ESCUELA BASICA SAN CARLOS,23,4,19,44,33,6,17,1,0,5,1,1,0,15,27,21,22,15,10,7,4,3,2,0,2,0,0,129,38,-1,-1,2,30,33,28,7,2,11,16,111,18,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,2.0,-11.0,11.0,5.0,-1.0,-1.0,6.0,-11.0
DE LOS LAGOS,CHONCHI,LICEO MANUEL JESUS ANDRADE BORQUEZ,10M,2,32,29,40,11,12,1,2,41,3,1,1,3,1,3,1,21,59,3,54,1,21,0,2,0,0,170,38,-1,-1,3,31,38,38,9,3,16,32,90,81,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,-1.0,1.0,-9.0,2.0,2.0,0.0,-4.0,9.0
DE LOS LAGOS,CHONCHI,LICEO MANUEL JESUS ANDRADE BORQUEZ,10V,2,19,32,36,14,16,3,0,19,3,3,2,3,6,5,39,41,3,19,3,10,0,7,0,0,0,141,38,-1,-1,3,30,34,31,7,3,12,21,102,39,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,-1.0,-11.0,-2.0,5.0,7.0,0.0,4.0,-2.0
DE LOS LAGOS,CHONCHI,LICEO MANUEL JESUS ANDRADE BORQUEZ,11M,4,34,28,35,9,15,1,1,33,2,0,2,3,3,0,5,20,63,1,34,1,17,0,8,0,3,160,38,-1,-1,3,31,37,36,8,3,15,27,96,64,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,1.0,3.0,-9.0,-1.0,1.0,-1.0,0.0,6.0
DE LOS LAGOS,CHONCHI,LICEO MANUEL JESUS ANDRADE BORQUEZ,11V,2,27,33,48,6,13,3,1,24,4,1,3,6,9,6,37,42,1,22,2,17,0,8,0,2,0,157,38,-1,-1,3,32,37,35,8,3,14,25,105,51,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,-1.0,-5.0,-4.0,13.0,-2.0,1.0,-1.0,-1.0
DE LOS LAGOS,CHONCHI,LICEO MANUEL JESUS ANDRADE BORQUEZ,12M,0,31,36,44,9,16,2,1,30,3,0,1,3,5,10,35,5,50,3,26,0,21,1,7,1,1,169,38,-1,-1,3,34,39,38,9,3,15,28,109,60,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,-3.0,-3.0,-3.0,6.0,0.0,0.0,1.0,2.0
DE LOS LAGOS,CHONCHI,LICEO MANUEL JESUS ANDRADE BORQUEZ,13M,3,36,47,44,10,19,0,0,33,0,0,4,5,10,9,50,3,50,1,31,2,19,2,6,0,0,192,38,-1,-1,3,40,46,43,10,3,17,30,131,61,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,0.0,-4.0,1.0,1.0,0.0,-3.0,2.0,3.0
DE LOS LAGOS,CHONCHI,LICEO MANUEL JESUS ANDRADE BORQUEZ,14M,3,33,44,44,4,24,3,3,32,6,6,1,9,6,8,53,2,40,3,36,4,15,1,5,0,2,190,38,-1,-1,3,39,45,42,10,3,17,31,125,66,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,0.0,-6.0,-1.0,2.0,-6.0,3.0,7.0,1.0
DE LOS LAGOS,CHONCHI,LICEO MANUEL JESUS ANDRADE BORQUEZ,15M,5,30,26,38,9,6,1,0,24,1,2,4,2,8,58,22,3,14,2,11,2,7,0,4,0,0,139,38,-1,-1,2,32,35,30,7,2,12,19,113,26,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,3.0,-2.0,-9.0,8.0,2.0,-1.0,-6.0,5.0
DE LOS LAGOS,CHONCHI,LICEO MANUEL JESUS ANDRADE BORQUEZ,1M,0,14,17,22,4,15,1,1,22,2,1,0,6,2,3,2,1,1,2,20,1,29,0,20,1,7,96,38,-1,-1,1,12,18,23,5,2,11,24,16,80,0.018351960509630685,0.25554867141198956,0.2719537764205706,0.2128513823941954,0.05178283553638565,0.015500455393126398,0.07429152675663511,0.09971939157746676,0.014541732569416323,0.10464386075380591,0.16423508670592227,0.24114022356650625,0.05202941499136696,0.021025276940757596,0.121797777534485,0.28058662693773956,-1.0,2.0,-1.0,-1.0,-1.0,0.0,4.0,-2.0
