REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,HUALAIHUE,LICEO HORNOPIREN,10,7,18,28,16,3,8,2,0,6,2,0,5,24,21,7,11,4,5,2,4,1,3,0,1,0,0,88,16,-1,-1,2,23,21,21,5,2,6,8,77,11,0.028273528981638412,0.2868346746216832,0.25522992147271784,0.23633302305744464,0.05396092627328365,0.020385278036578747,0.06425259062433158,0.05473005693232185,0.00029878839153791757,0.08279147890673504,0.1142053961510531,0.28476064069278534,0.057528898020882506,0.04229753062260285,0.1262875726318205,0.29182969458258273,5.0,-5.0,7.0,-5.0,-2.0,0.0,2.0,-2.0
DE LOS LAGOS,HUALAIHUE,LICEO HORNOPIREN,1M,1,15,19,29,7,14,3,1,27,4,2,3,2,6,2,3,1,1,2,31,5,34,1,16,0,7,116,16,-1,-1,1,14,16,32,7,4,13,29,20,96,0.028273528981638412,0.2868346746216832,0.25522992147271784,0.23633302305744464,0.05396092627328365,0.020385278036578747,0.06425259062433158,0.05473005693232185,0.00029878839153791757,0.08279147890673504,0.1142053961510531,0.28476064069278534,0.057528898020882506,0.04229753062260285,0.1262875726318205,0.29182969458258273,0.0,1.0,3.0,-3.0,0.0,0.0,1.0,-2.0
DE LOS LAGOS,HUALAIHUE,LICEO HORNOPIREN,1V,1,9,20,44,4,9,4,0,21,4,0,1,5,10,4,2,2,3,25,1,38,3,13,1,4,0,112,16,-1,-1,1,15,17,31,6,4,12,26,27,85,0.028273528981638412,0.2868346746216832,0.25522992147271784,0.23633302305744464,0.05396092627328365,0.020385278036578747,0.06425259062433158,0.05473005693232185,0.00029878839153791757,0.08279147890673504,0.1142053961510531,0.28476064069278534,0.057528898020882506,0.04229753062260285,0.1262875726318205,0.29182969458258273,0.0,-6.0,3.0,13.0,-2.0,0.0,-3.0,-5.0
DE LOS LAGOS,HUALAIHUE,LICEO HORNOPIREN,2M,1,14,7,22,3,7,1,2,21,3,1,1,6,5,1,0,15,2,8,18,3,9,1,8,0,0,78,16,-1,-1,1,13,13,21,4,3,8,15,31,47,0.028273528981638412,0.2868346746216832,0.25522992147271784,0.23633302305744464,0.05396092627328365,0.020385278036578747,0.06425259062433158,0.05473005693232185,0.00029878839153791757,0.08279147890673504,0.1142053961510531,0.28476064069278534,0.057528898020882506,0.04229753062260285,0.1262875726318205,0.29182969458258273,0.0,1.0,-6.0,1.0,-1.0,0.0,-1.0,6.0
DE LOS LAGOS,HUALAIHUE,LICEO HORNOPIREN,2V,2,23,23,29,7,10,3,3,18,6,2,1,5,7,1,17,1,41,18,2,17,0,5,0,1,0,118,16,-1,-1,2,25,24,30,7,3,10,17,75,43,0.028273528981638412,0.2868346746216832,0.25522992147271784,0.23633302305744464,0.05396092627328365,0.020385278036578747,0.06425259062433158,0.05473005693232185,0.00029878839153791757,0.08279147890673504,0.1142053961510531,0.28476064069278534,0.057528898020882506,0.04229753062260285,0.1262875726318205,0.29182969458258273,0.0,-2.0,-1.0,-1.0,0.0,3.0,0.0,1.0
DE LOS LAGOS,HUALAIHUE,LICEO HORNOPIREN,3M,0,31,21,30,7,18,2,2,18,4,0,0,5,7,19,3,16,12,1,32,0,23,2,9,0,0,129,16,-1,-1,2,23,24,34,7,4,12,23,62,67,0.028273528981638412,0.2868346746216832,0.25522992147271784,0.23633302305744464,0.05396092627328365,0.020385278036578747,0.06425259062433158,0.05473005693232185,0.00029878839153791757,0.08279147890673504,0.1142053961510531,0.28476064069278534,0.057528898020882506,0.04229753062260285,0.1262875726318205,0.29182969458258273,-2.0,8.0,-3.0,-4.0,0.0,0.0,6.0,-5.0
DE LOS LAGOS,HUALAIHUE,LICEO HORNOPIREN,3V,0,32,22,24,14,15,2,4,21,6,2,1,9,11,6,50,0,2,26,2,15,2,5,0,3,0,134,16,-1,-1,2,28,27,34,7,4,12,20,81,53,0.028273528981638412,0.2868346746216832,0.25522992147271784,0.23633302305744464,0.05396092627328365,0.020385278036578747,0.06425259062433158,0.05473005693232185,0.00029878839153791757,0.08279147890673504,0.1142053961510531,0.28476064069278534,0.057528898020882506,0.04229753062260285,0.1262875726318205,0.29182969458258273,-2.0,4.0,-5.0,-10.0,7.0,2.0,3.0,1.0
DE LOS LAGOS,HUALAIHUE,LICEO HORNOPIREN,4M,4,32,28,30,7,12,3,0,28,3,3,1,2,4,22,6,2,41,3,41,3,12,0,4,0,0,144,16,-1,-1,2,29,28,37,8,4,13,23,81,63,0.028273528981638412,0.2868346746216832,0.25522992147271784,0.23633302305744464,0.05396092627328365,0.020385278036578747,0.06425259062433158,0.05473005693232185,0.00029878839153791757,0.08279147890673504,0.1142053961510531,0.28476064069278534,0.057528898020882506,0.04229753062260285,0.1262875726318205,0.29182969458258273,2.0,3.0,0.0,-7.0,-1.0,-1.0,-1.0,5.0
DE LOS LAGOS,HUALAIHUE,LICEO HORNOPIREN,4V,1,30,33,35,9,8,0,4,15,4,3,2,5,30,4,24,11,5,23,6,15,0,4,1,2,0,135,16,-1,-1,2,28,27,34,8,4,12,20,84,51,0.028273528981638412,0.2868346746216832,0.25522992147271784,0.23633302305744464,0.05396092627328365,0.020385278036578747,0.06425259062433158,0.05473005693232185,0.00029878839153791757,0.08279147890673504,0.1142053961510531,0.28476064069278534,0.057528898020882506,0.04229753062260285,0.1262875726318205,0.29182969458258273,-1.0,2.0,6.0,1.0,1.0,0.0,-4.0,-5.0
DE LOS LAGOS,HUALAIHUE,LICEO HORNOPIREN,5M,4,26,21,45,6,14,2,2,23,4,1,1,6,3,12,35,1,41,3,28,1,10,0,1,0,0,143,16,-1,-1,3,32,30,36,8,4,12,18,100,43,0.028273528981638412,0.2868346746216832,0.25522992147271784,0.23633302305744464,0.05396092627328365,0.020385278036578747,0.06425259062433158,0.05473005693232185,0.00029878839153791757,0.08279147890673504,0.1142053961510531,0.28476064069278534,0.057528898020882506,0.04229753062260285,0.1262875726318205,0.29182969458258273,1.0,-6.0,-9.0,9.0,-2.0,0.0,2.0,5.0
