REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,10V,1,28,23,47,12,6,4,3,34,7,0,2,5,10,4,40,1,3,38,0,33,1,21,0,0,0,158,48,-1,-1,1,24,26,52,12,3,13,27,65,93,0.012543859159616363,0.2499493251368926,0.22631661106604412,0.320975367821612,0.05644545901861975,0.005276930547075778,0.06243686772627506,0.06605557952386433,0.0034554419450331156,0.08382154612861359,0.11614776887478845,0.3376531230460005,0.08672461150679166,0.029774689990215868,0.0973609258905572,0.24506189261799974,0.0,4.0,-3.0,-5.0,0.0,4.0,-7.0,7.0
DE LOS LAGOS,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,11V,1,28,39,50,7,14,1,1,28,2,1,2,3,4,5,48,5,4,35,2,35,1,17,1,6,0,169,48,-1,-1,1,26,28,56,12,3,14,29,72,97,0.012543859159616363,0.2499493251368926,0.22631661106604412,0.320975367821612,0.05644545901861975,0.005276930547075778,0.06243686772627506,0.06605557952386433,0.0034554419450331156,0.08382154612861359,0.11614776887478845,0.3376531230460005,0.08672461150679166,0.029774689990215868,0.0973609258905572,0.24506189261799974,0.0,2.0,11.0,-6.0,-5.0,-1.0,0.0,-1.0
DE LOS LAGOS,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,12V,1,32,31,59,16,7,0,1,39,1,2,0,2,6,3,54,27,3,54,2,20,1,7,0,4,1,186,48,-1,-1,2,32,32,61,13,3,15,28,97,89,0.012543859159616363,0.2499493251368926,0.22631661106604412,0.320975367821612,0.05644545901861975,0.005276930547075778,0.06243686772627506,0.06605557952386433,0.0034554419450331156,0.08382154612861359,0.11614776887478845,0.3376531230460005,0.08672461150679166,0.029774689990215868,0.0973609258905572,0.24506189261799974,-1.0,0.0,-1.0,-2.0,3.0,-2.0,-8.0,11.0
DE LOS LAGOS,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,13V,1,38,32,45,10,15,0,4,29,4,0,2,8,9,4,46,42,1,35,3,14,0,8,0,1,0,174,48,-1,-1,2,33,33,57,12,2,13,22,112,61,0.012543859159616363,0.2499493251368926,0.22631661106604412,0.320975367821612,0.05644545901861975,0.005276930547075778,0.06243686772627506,0.06605557952386433,0.0034554419450331156,0.08382154612861359,0.11614776887478845,0.3376531230460005,0.08672461150679166,0.029774689990215868,0.0973609258905572,0.24506189261799974,-1.0,5.0,-1.0,-12.0,-2.0,2.0,2.0,7.0
DE LOS LAGOS,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,14V,2,38,32,51,7,8,1,1,17,2,1,2,3,19,1,31,59,1,20,1,13,0,4,1,1,0,157,48,-1,-1,2,33,31,51,10,2,11,17,117,40,0.012543859159616363,0.2499493251368926,0.22631661106604412,0.320975367821612,0.05644545901861975,0.005276930547075778,0.06243686772627506,0.06605557952386433,0.0034554419450331156,0.08382154612861359,0.11614776887478845,0.3376531230460005,0.08672461150679166,0.029774689990215868,0.0973609258905572,0.24506189261799974,0.0,5.0,1.0,0.0,-3.0,0.0,-3.0,0.0
DE LOS LAGOS,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,15V,0,42,29,50,10,15,0,0,21,0,2,0,8,45,2,11,65,3,11,0,16,0,2,0,2,0,167,48,-1,-1,2,37,34,54,10,2,11,17,136,31,0.012543859159616363,0.2499493251368926,0.22631661106604412,0.320975367821612,0.05644545901861975,0.005276930547075778,0.06243686772627506,0.06605557952386433,0.0034554419450331156,0.08382154612861359,0.11614776887478845,0.3376531230460005,0.08672461150679166,0.029774689990215868,0.0973609258905572,0.24506189261799974,-2.0,5.0,-5.0,-4.0,0.0,-2.0,4.0,4.0
DE LOS LAGOS,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,16V,3,34,43,68,15,11,4,2,21,6,2,2,11,54,5,2,59,5,27,1,22,2,7,2,1,0,201,48,-1,-1,2,40,39,65,13,3,15,24,140,62,0.012543859159616363,0.2499493251368926,0.22631661106604412,0.320975367821612,0.05644545901861975,0.005276930547075778,0.06243686772627506,0.06605557952386433,0.0034554419450331156,0.08382154612861359,0.11614776887478845,0.3376531230460005,0.08672461150679166,0.029774689990215868,0.0973609258905572,0.24506189261799974,1.0,-6.0,4.0,3.0,2.0,3.0,-4.0,-3.0
DE LOS LAGOS,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,17V,1,34,28,61,16,12,0,1,23,1,0,4,4,41,22,4,34,3,22,2,21,1,15,0,3,0,176,48,-1,-1,2,33,33,58,12,2,13,23,112,64,0.012543859159616363,0.2499493251368926,0.22631661106604412,0.320975367821612,0.05644545901861975,0.005276930547075778,0.06243686772627506,0.06605557952386433,0.0034554419450331156,0.08382154612861359,0.11614776887478845,0.3376531230460005,0.08672461150679166,0.029774689990215868,0.0973609258905572,0.24506189261799974,-1.0,1.0,-5.0,3.0,4.0,-1.0,-1.0,0.0
DE LOS LAGOS,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,18V,2,35,33,76,15,11,3,2,25,5,4,1,12,22,41,7,45,1,37,2,18,2,9,0,2,0,202,48,-1,-1,2,39,38,66,13,3,15,26,133,70,0.012543859159616363,0.2499493251368926,0.22631661106604412,0.320975367821612,0.05644545901861975,0.005276930547075778,0.06243686772627506,0.06605557952386433,0.0034554419450331156,0.08382154612861359,0.11614776887478845,0.3376531230460005,0.08672461150679166,0.029774689990215868,0.0973609258905572,0.24506189261799974,0.0,-4.0,-5.0,10.0,2.0,2.0,-4.0,-1.0
DE LOS LAGOS,LLANQUIHUE,ESCUELA INES GALLARDO ALVARADO,19V,1,34,39,72,11,9,1,0,24,1,1,3,8,26,44,2,34,2,37,1,21,1,8,0,3,0,191,48,-1,-1,2,36,35,63,13,3,14,25,120,71,0.012543859159616363,0.2499493251368926,0.22631661106604412,0.320975367821612,0.05644545901861975,0.005276930547075778,0.06243686772627506,0.06605557952386433,0.0034554419450331156,0.08382154612861359,0.11614776887478845,0.3376531230460005,0.08672461150679166,0.029774689990215868,0.0973609258905572,0.24506189261799974,-1.0,-2.0,4.0,9.0,-2.0,-2.0,-5.0,-1.0
