REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,OSORNO,COLEGIO SAN MATEO,52M,0,17,26,47,9,19,1,2,23,3,2,3,9,6,2,2,25,2,1,27,1,37,0,21,0,7,144,372,-1,-1,1,16,28,47,7,2,18,25,51,94,0.014134531307567156,0.19636154671621744,0.24850771793811305,0.31434023896974417,0.03789946519303748,0.0062282898663275745,0.09952544479659318,0.08300276521240006,0.008478534809253462,0.0610638870219975,0.1625324104748993,0.33627656994081406,0.05534040120824334,0.015022718230488771,0.14272665359870004,0.2185588247156037,-1.0,1.0,-2.0,0.0,2.0,1.0,1.0,-2.0
DE LOS LAGOS,OSORNO,COLEGIO SAN MATEO,53M,4,13,24,39,11,19,0,2,27,2,1,1,5,8,1,1,28,3,2,36,2,35,1,13,0,4,139,372,-1,-1,1,15,26,46,7,2,18,24,48,93,0.014134531307567156,0.19636154671621744,0.24850771793811305,0.31434023896974417,0.03789946519303748,0.0062282898663275745,0.09952544479659318,0.08300276521240006,0.008478534809253462,0.0610638870219975,0.1625324104748993,0.33627656994081406,0.05534040120824334,0.015022718230488771,0.14272665359870004,0.2185588247156037,3.0,-2.0,-2.0,-7.0,4.0,0.0,1.0,3.0
DE LOS LAGOS,OSORNO,COLEGIO SAN MATEO,54M,3,8,27,45,7,20,2,1,26,3,2,0,7,7,2,2,22,3,1,23,0,39,0,24,0,6,139,372,-1,-1,1,15,26,46,7,2,18,24,45,93,0.014134531307567156,0.19636154671621744,0.24850771793811305,0.31434023896974417,0.03789946519303748,0.0062282898663275745,0.09952544479659318,0.08300276521240006,0.008478534809253462,0.0610638870219975,0.1625324104748993,0.33627656994081406,0.05534040120824334,0.015022718230488771,0.14272665359870004,0.2185588247156037,2.0,-7.0,1.0,-1.0,0.0,1.0,2.0,2.0
DE LOS LAGOS,OSORNO,COLEGIO SAN MATEO,55M,4,15,30,50,7,20,0,0,24,0,2,3,7,5,3,3,22,5,2,32,1,36,2,21,1,5,150,372,-1,-1,2,16,29,49,7,2,19,26,50,100,0.014134531307567156,0.19636154671621744,0.24850771793811305,0.31434023896974417,0.03789946519303748,0.0062282898663275745,0.09952544479659318,0.08300276521240006,0.008478534809253462,0.0610638870219975,0.1625324104748993,0.33627656994081406,0.05534040120824334,0.015022718230488771,0.14272665359870004,0.2185588247156037,2.0,-1.0,1.0,1.0,0.0,-2.0,1.0,-2.0
DE LOS LAGOS,OSORNO,COLEGIO SAN MATEO,56M,1,19,33,44,12,11,0,0,21,0,0,1,7,9,2,5,28,2,5,34,1,28,1,17,0,2,141,372,-1,-1,1,16,27,46,7,2,18,24,54,88,0.014134531307567156,0.19636154671621744,0.24850771793811305,0.31434023896974417,0.03789946519303748,0.0062282898663275745,0.09952544479659318,0.08300276521240006,0.008478534809253462,0.0610638870219975,0.1625324104748993,0.33627656994081406,0.05534040120824334,0.015022718230488771,0.14272665359870004,0.2185588247156037,0.0,3.0,6.0,-2.0,5.0,-2.0,-7.0,-3.0
DE LOS LAGOS,OSORNO,COLEGIO SAN MATEO,57M,0,19,31,43,9,17,0,3,27,3,1,2,4,8,0,2,38,3,0,36,0,32,0,17,0,6,149,372,-1,-1,1,17,29,49,7,2,19,25,58,91,0.014134531307567156,0.19636154671621744,0.24850771793811305,0.31434023896974417,0.03789946519303748,0.0062282898663275745,0.09952544479659318,0.08300276521240006,0.008478534809253462,0.0610638870219975,0.1625324104748993,0.33627656994081406,0.05534040120824334,0.015022718230488771,0.14272665359870004,0.2185588247156037,-1.0,2.0,2.0,-6.0,2.0,1.0,-2.0,2.0
DE LOS LAGOS,OSORNO,COLEGIO SAN MATEO,58M,0,18,37,31,7,18,0,0,33,0,3,2,7,9,1,3,32,3,0,24,1,37,1,15,0,6,144,372,-1,-1,1,17,29,47,7,2,18,23,60,84,0.014134531307567156,0.19636154671621744,0.24850771793811305,0.31434023896974417,0.03789946519303748,0.0062282898663275745,0.09952544479659318,0.08300276521240006,0.008478534809253462,0.0610638870219975,0.1625324104748993,0.33627656994081406,0.05534040120824334,0.015022718230488771,0.14272665359870004,0.2185588247156037,-1.0,1.0,8.0,-16.0,0.0,-2.0,0.0,10.0
DE LOS LAGOS,OSORNO,COLEGIO SAN MATEO,59M,4,23,25,41,12,15,1,0,23,1,1,3,7,6,1,1,31,1,1,30,1,29,0,24,0,8,144,372,-1,-1,1,16,28,47,7,2,18,25,51,93,0.014134531307567156,0.19636154671621744,0.24850771793811305,0.31434023896974417,0.03789946519303748,0.0062282898663275745,0.09952544479659318,0.08300276521240006,0.008478534809253462,0.0610638870219975,0.1625324104748993,0.33627656994081406,0.05534040120824334,0.015022718230488771,0.14272665359870004,0.2185588247156037,3.0,7.0,-3.0,-6.0,5.0,-1.0,-3.0,-2.0
DE LOS LAGOS,OSORNO,COLEGIO SAN MATEO,60M,2,20,33,54,4,17,1,1,20,2,0,1,8,7,4,4,24,4,1,30,1,35,2,21,0,10,152,372,-1,-1,2,16,29,50,8,2,19,26,52,100,0.014134531307567156,0.19636154671621744,0.24850771793811305,0.31434023896974417,0.03789946519303748,0.0062282898663275745,0.09952544479659318,0.08300276521240006,0.008478534809253462,0.0610638870219975,0.1625324104748993,0.33627656994081406,0.05534040120824334,0.015022718230488771,0.14272665359870004,0.2185588247156037,0.0,4.0,4.0,4.0,-4.0,0.0,-2.0,-6.0
DE LOS LAGOS,OSORNO,COLEGIO SAN MATEO,61M,0,19,25,50,7,20,3,0,27,3,0,1,3,6,6,4,17,7,5,48,0,30,0,18,0,6,151,372,-1,-1,1,15,28,50,8,2,20,27,44,107,0.014134531307567156,0.19636154671621744,0.24850771793811305,0.31434023896974417,0.03789946519303748,0.0062282898663275745,0.09952544479659318,0.08300276521240006,0.008478534809253462,0.0610638870219975,0.1625324104748993,0.33627656994081406,0.05534040120824334,0.015022718230488771,0.14272665359870004,0.2185588247156037,-1.0,4.0,-3.0,0.0,-1.0,1.0,0.0,0.0
