REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,10V,0,12,27,61,7,24,1,1,24,2,1,1,7,5,9,5,3,32,32,6,28,2,17,1,8,0,157,115,-1,-1,1,12,25,67,7,2,24,19,63,94,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,-1.0,0.0,2.0,-6.0,0.0,0.0,0.0,5.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,11V,0,12,34,65,13,20,2,1,24,3,1,0,10,8,1,3,5,48,36,6,35,2,14,0,3,0,171,115,-1,-1,1,14,29,72,7,2,26,20,76,96,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,-1.0,-2.0,5.0,-7.0,6.0,1.0,-6.0,4.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,12V,3,17,38,77,6,28,1,1,14,2,0,0,7,16,5,4,1,56,38,2,37,2,15,1,1,0,185,115,-1,-1,2,15,32,77,8,2,29,20,89,96,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,1.0,2.0,6.0,0.0,-2.0,0.0,-1.0,-6.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,13V,2,16,31,74,7,19,0,0,27,0,1,1,7,5,5,8,4,48,32,4,28,2,26,0,5,0,176,115,-1,-1,1,14,30,74,8,2,27,20,79,97,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,1.0,2.0,1.0,0.0,-1.0,-2.0,-8.0,7.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,14V,2,10,24,73,8,20,1,1,22,2,1,1,5,5,3,2,3,33,52,5,32,0,13,0,5,1,161,115,-1,-1,1,12,24,71,7,2,23,21,53,108,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,1.0,-2.0,0.0,2.0,1.0,0.0,-3.0,1.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,15V,1,16,28,64,6,29,2,1,21,3,5,1,6,5,2,6,4,45,34,2,24,5,22,2,5,0,168,115,-1,-1,2,13,28,71,7,2,26,19,74,94,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,-1.0,3.0,0.0,-7.0,-1.0,1.0,3.0,2.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,16V,2,18,22,73,5,17,1,2,28,3,1,2,7,7,4,2,2,51,27,5,41,3,14,0,2,0,168,115,-1,-1,1,14,28,71,7,2,26,19,76,92,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,1.0,4.0,-6.0,2.0,-2.0,1.0,-9.0,9.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,17V,5,15,20,70,13,24,0,1,24,1,0,2,5,8,6,9,4,45,34,2,25,3,17,2,7,2,172,115,-1,-1,2,14,29,72,7,2,27,19,79,92,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,3.0,1.0,-9.0,-2.0,6.0,-1.0,-3.0,5.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,18V,1,12,32,69,8,18,1,0,17,1,0,2,2,4,3,27,4,18,30,2,30,7,23,2,3,0,158,115,-1,-1,1,12,25,68,7,2,24,19,60,97,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,0.0,0.0,7.0,1.0,1.0,-1.0,-6.0,-2.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,19V,1,21,26,66,10,23,0,1,29,1,1,2,12,4,7,40,3,15,36,4,36,5,7,0,4,1,177,115,-1,-1,2,14,30,74,8,2,28,19,84,93,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,-1.0,7.0,-4.0,-8.0,2.0,-1.0,-5.0,10.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,1V,0,8,23,47,3,18,2,1,15,3,2,1,14,7,2,4,5,3,19,2,19,3,22,4,8,1,117,115,-1,-1,1,9,17,51,5,2,17,15,38,78,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,-1.0,-1.0,6.0,-4.0,-2.0,1.0,1.0,0.0
DE LOS LAGOS,PUERTO VARAS,COLEGIO FELMER NIKLITSCHEK,20V,4,18,34,69,9,31,1,1,20,2,1,0,11,6,3,62,6,8,48,3,19,4,10,1,4,1,187,115,-1,-1,2,16,33,77,8,2,30,19,97,90,0.00812106352485413,0.10959795770973706,0.25280391941592034,0.34513528758041107,0.027608849540257455,0.006500329109288373,0.20950163636128447,0.04073095675824723,0.008688695507734887,0.05599417953252408,0.09820670829690595,0.48422467966096455,0.05528162380848314,0.015907700035080307,0.1096478324437483,0.17204858071455886,2.0,2.0,1.0,-8.0,1.0,0.0,1.0,1.0
