REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,16V,0,22,20,45,7,5,1,2,23,3,1,1,5,51,2,4,2,2,21,0,16,3,14,0,3,0,125,58,-1,-1,1,16,19,47,6,2,12,22,68,57,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,-1.0,6.0,1.0,-2.0,1.0,1.0,-7.0,1.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,17V,3,15,20,43,10,12,2,2,19,4,2,0,2,61,1,0,1,2,21,1,16,0,14,1,4,0,126,58,-1,-1,1,16,19,48,6,2,12,22,69,57,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,2.0,-1.0,1.0,-5.0,4.0,2.0,0.0,-3.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,18V,4,13,21,49,8,15,0,0,16,0,3,3,2,50,1,5,2,0,21,1,22,1,13,0,2,0,126,58,-1,-1,1,15,19,48,6,3,12,22,66,60,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,3.0,-2.0,2.0,1.0,2.0,-3.0,3.0,-6.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,19V,0,16,14,41,3,10,3,0,16,3,1,4,8,19,2,8,2,4,27,0,12,1,10,0,5,0,103,58,-1,-1,1,12,15,39,5,2,10,19,48,55,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,-1.0,4.0,-1.0,2.0,-2.0,1.0,0.0,-3.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,20V,1,17,23,40,5,18,1,2,21,3,2,1,12,15,1,4,47,2,23,1,11,0,7,0,2,0,128,58,-1,-1,1,17,20,49,6,2,12,21,84,44,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,0.0,0.0,3.0,-9.0,-1.0,1.0,6.0,0.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,21M,0,15,21,47,5,14,0,4,34,4,2,2,17,9,1,1,1,58,2,20,2,18,0,2,1,4,140,58,-1,-1,1,19,22,54,6,3,13,22,91,49,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,-1.0,-4.0,-1.0,-7.0,-1.0,1.0,1.0,12.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,21V,1,8,14,49,3,10,0,1,15,1,1,4,11,10,3,5,17,1,25,3,10,0,7,0,4,0,101,58,-1,-1,1,12,15,38,5,2,10,18,52,49,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,0.0,-4.0,-1.0,11.0,-2.0,-1.0,0.0,-3.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,22M,0,20,19,49,6,16,3,1,22,4,1,1,24,2,1,0,2,67,0,16,0,17,0,5,0,0,136,58,-1,-1,1,19,22,52,6,3,12,21,98,38,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,-1.0,1.0,-3.0,-3.0,0.0,1.0,4.0,1.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,23M,2,25,25,58,6,19,0,1,21,1,1,0,25,7,2,0,4,67,3,29,1,10,0,8,0,0,157,58,-1,-1,1,22,25,60,7,3,14,25,106,51,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,1.0,3.0,0.0,-2.0,-1.0,-2.0,5.0,-4.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,24M,0,12,17,54,10,21,2,1,18,3,0,0,19,5,4,16,3,48,0,20,0,13,0,4,0,2,135,58,-1,-1,1,19,22,52,6,2,12,21,95,39,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,-1.0,-7.0,-5.0,2.0,4.0,1.0,9.0,-3.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,25M,1,16,23,55,9,20,1,1,23,2,2,0,14,7,0,33,2,30,2,25,3,13,0,15,0,3,149,58,-1,-1,1,19,23,57,7,3,14,25,88,61,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,0.0,-3.0,0.0,-2.0,2.0,-1.0,6.0,-2.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,26M,0,22,27,69,6,18,0,2,30,2,0,0,7,3,1,59,2,33,3,33,1,20,0,5,0,7,174,58,-1,-1,2,23,27,66,8,3,16,29,105,69,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,-2.0,-1.0,0.0,3.0,-2.0,-1.0,2.0,1.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,27M,2,19,28,58,4,17,1,2,32,3,1,1,5,3,4,51,2,35,2,25,2,20,1,8,0,3,163,58,-1,-1,1,22,26,62,7,3,15,27,102,61,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,1.0,-3.0,2.0,-4.0,-3.0,0.0,2.0,5.0
DE LOS LAGOS,PURRANQUE,COLEGIO CRECER,28M,2,26,21,65,9,17,0,3,26,3,1,1,3,14,3,55,5,35,4,21,4,14,0,9,0,0,169,58,-1,-1,2,24,27,65,7,3,15,26,117,52,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,0.0,2.0,-6.0,0.0,2.0,0.0,2.0,0.0
DE LOS LAGOS,PURRANQUE,ESCUELA VILLA LO BURGOS,10V,0,15,13,56,8,10,0,2,22,2,3,1,5,3,1,45,2,3,27,1,25,0,6,0,4,0,126,58,-1,-1,1,15,19,48,6,3,12,22,63,63,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,-1.0,0.0,-6.0,8.0,2.0,-1.0,-2.0,0.0
DE LOS LAGOS,PURRANQUE,ESCUELA VILLA LO BURGOS,11V,3,17,23,47,6,10,3,2,25,5,2,0,5,3,2,49,2,2,32,0,24,0,12,0,3,0,136,58,-1,-1,1,16,20,52,6,3,13,25,65,71,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,2.0,1.0,3.0,-5.0,0.0,2.0,-3.0,0.0
DE LOS LAGOS,PURRANQUE,ESCUELA VILLA LO BURGOS,12V,1,16,22,41,6,15,2,1,26,3,1,4,2,6,2,45,0,1,25,2,25,1,12,0,1,0,130,58,-1,-1,1,16,19,49,6,3,12,24,61,66,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,0.0,0.0,3.0,-8.0,0.0,0.0,3.0,2.0
DE LOS LAGOS,PURRANQUE,ESCUELA VILLA LO BURGOS,13V,0,20,22,36,9,10,1,1,26,2,2,2,5,5,3,46,1,0,20,1,25,2,9,0,5,0,125,58,-1,-1,1,15,19,47,6,3,12,22,64,62,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,-1.0,5.0,3.0,-11.0,3.0,-1.0,-2.0,4.0
DE LOS LAGOS,PURRANQUE,ESCUELA VILLA LO BURGOS,14V,3,12,20,53,7,12,0,2,21,2,2,3,5,6,2,51,2,2,25,1,19,3,3,0,6,0,130,58,-1,-1,1,16,20,50,6,3,12,22,73,57,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,2.0,-4.0,0.0,3.0,1.0,-1.0,0.0,-1.0
DE LOS LAGOS,PURRANQUE,ESCUELA VILLA LO BURGOS,15V,1,16,21,40,8,8,0,2,24,2,0,2,4,16,3,30,2,1,19,1,24,0,13,0,5,0,120,58,-1,-1,1,14,18,46,6,2,11,22,58,62,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,0.0,2.0,3.0,-6.0,2.0,0.0,-3.0,2.0
DE LOS LAGOS,PURRANQUE,ESCUELA VILLA LO BURGOS,1V,0,10,20,38,5,8,3,3,14,6,2,1,10,15,7,7,2,3,9,2,14,1,18,1,7,2,101,58,-1,-1,1,12,15,38,5,2,10,18,47,54,0.007594223433664044,0.1679920715091388,0.18302907241849173,0.38961633211919305,0.03767317785416527,0.012779161775287113,0.08104145151376002,0.12027450937630006,0.010361715678265498,0.07355018868187507,0.11542668429109963,0.37017783505857876,0.05532418819855143,0.028971664281511825,0.10905142102217999,0.23713630278793793,-1.0,-2.0,5.0,0.0,0.0,4.0,-2.0,-4.0
