REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,PUYEHUE (ENTRE LAGOS),ESCUELA ENTRE LAGOS,10V,3,19,32,42,9,12,0,3,30,3,0,2,27,28,3,2,6,5,31,5,18,4,14,0,4,1,150,35,-1,-1,1,18,22,53,8,3,12,33,73,77,0.005724476147304837,0.16166168187505014,0.1687888090846144,0.4094358741937644,0.029420384523233284,0.012405500763841285,0.08555640792629977,0.12700686548589185,0.010287704898696633,0.08139865717063229,0.13060519340611973,0.30371974599111284,0.07103200240743128,0.019457487826451934,0.07734360255532832,0.30615560574422707,2.0,1.0,10.0,-11.0,1.0,0.0,0.0,-3.0
DE LOS LAGOS,PUYEHUE (ENTRE LAGOS),ESCUELA ENTRE LAGOS,11V,0,20,25,53,5,10,5,1,28,6,1,5,8,9,6,2,45,5,30,2,18,2,9,1,5,0,147,35,-1,-1,1,19,22,53,7,2,12,31,81,67,0.005724476147304837,0.16166168187505014,0.1687888090846144,0.4094358741937644,0.029420384523233284,0.012405500763841285,0.08555640792629977,0.12700686548589185,0.010287704898696633,0.08139865717063229,0.13060519340611973,0.30371974599111284,0.07103200240743128,0.019457487826451934,0.07734360255532832,0.30615560574422707,-1.0,1.0,3.0,0.0,-2.0,4.0,-2.0,-3.0
DE LOS LAGOS,PUYEHUE (ENTRE LAGOS),ESCUELA ENTRE LAGOS,12V,0,15,29,52,7,6,0,2,29,2,2,1,7,10,2,6,42,6,30,3,13,2,12,0,4,0,140,35,-1,-1,1,18,21,51,7,2,11,29,76,64,0.005724476147304837,0.16166168187505014,0.1687888090846144,0.4094358741937644,0.029420384523233284,0.012405500763841285,0.08555640792629977,0.12700686548589185,0.010287704898696633,0.08139865717063229,0.13060519340611973,0.30371974599111284,0.07103200240743128,0.019457487826451934,0.07734360255532832,0.30615560574422707,-1.0,-3.0,8.0,1.0,0.0,0.0,-5.0,0.0
DE LOS LAGOS,PUYEHUE (ENTRE LAGOS),ESCUELA ENTRE LAGOS,13V,3,22,18,54,8,13,0,3,34,3,3,5,11,16,5,4,54,4,17,2,17,2,14,1,0,0,155,35,-1,-1,1,21,24,58,7,2,13,29,102,53,0.005724476147304837,0.16166168187505014,0.1687888090846144,0.4094358741937644,0.029420384523233284,0.012405500763841285,0.08555640792629977,0.12700686548589185,0.010287704898696633,0.08139865717063229,0.13060519340611973,0.30371974599111284,0.07103200240743128,0.019457487826451934,0.07734360255532832,0.30615560574422707,2.0,1.0,-6.0,-4.0,1.0,1.0,0.0,5.0
DE LOS LAGOS,PUYEHUE (ENTRE LAGOS),ESCUELA ENTRE LAGOS,14V,1,18,18,52,4,14,3,1,25,4,2,6,14,10,6,2,37,2,19,6,18,1,7,2,4,0,136,35,-1,-1,1,17,21,50,6,2,11,28,79,57,0.005724476147304837,0.16166168187505014,0.1687888090846144,0.4094358741937644,0.029420384523233284,0.012405500763841285,0.08555640792629977,0.12700686548589185,0.010287704898696633,0.08139865717063229,0.13060519340611973,0.30371974599111284,0.07103200240743128,0.019457487826451934,0.07734360255532832,0.30615560574422707,0.0,1.0,-3.0,2.0,-2.0,2.0,3.0,-3.0
DE LOS LAGOS,PUYEHUE (ENTRE LAGOS),ESCUELA ENTRE LAGOS,15V,0,13,26,63,1,12,1,2,27,3,5,4,10,7,5,5,42,1,30,2,22,1,9,0,1,0,145,35,-1,-1,1,18,22,53,7,2,12,30,79,65,0.005724476147304837,0.16166168187505014,0.1687888090846144,0.4094358741937644,0.029420384523233284,0.012405500763841285,0.08555640792629977,0.12700686548589185,0.010287704898696633,0.08139865717063229,0.13060519340611973,0.30371974599111284,0.07103200240743128,0.019457487826451934,0.07734360255532832,0.30615560574422707,-1.0,-5.0,4.0,10.0,-6.0,1.0,0.0,-3.0
DE LOS LAGOS,PUYEHUE (ENTRE LAGOS),ESCUELA ENTRE LAGOS,16V,0,20,22,65,10,14,2,0,35,2,1,1,7,21,21,9,32,7,27,1,22,3,12,0,4,0,168,35,-1,-1,1,22,26,61,8,2,14,34,99,69,0.005724476147304837,0.16166168187505014,0.1687888090846144,0.4094358741937644,0.029420384523233284,0.012405500763841285,0.08555640792629977,0.12700686548589185,0.010287704898696633,0.08139865717063229,0.13060519340611973,0.30371974599111284,0.07103200240743128,0.019457487826451934,0.07734360255532832,0.30615560574422707,-1.0,-2.0,-4.0,4.0,2.0,0.0,0.0,1.0
DE LOS LAGOS,PUYEHUE (ENTRE LAGOS),ESCUELA ENTRE LAGOS,17V,1,16,23,72,11,13,0,1,32,1,1,4,8,11,18,2,35,1,32,6,24,7,13,2,5,0,169,35,-1,-1,1,20,25,60,9,3,14,37,80,89,0.005724476147304837,0.16166168187505014,0.1687888090846144,0.4094358741937644,0.029420384523233284,0.012405500763841285,0.08555640792629977,0.12700686548589185,0.010287704898696633,0.08139865717063229,0.13060519340611973,0.30371974599111284,0.07103200240743128,0.019457487826451934,0.07734360255532832,0.30615560574422707,0.0,-4.0,-2.0,12.0,2.0,-2.0,-1.0,-5.0
DE LOS LAGOS,PUYEHUE (ENTRE LAGOS),ESCUELA ENTRE LAGOS,18V,1,20,30,50,9,10,0,1,34,1,1,4,13,7,42,0,21,1,27,3,12,5,11,3,5,0,155,35,-1,-1,1,20,24,56,7,2,13,32,89,66,0.005724476147304837,0.16166168187505014,0.1687888090846144,0.4094358741937644,0.029420384523233284,0.012405500763841285,0.08555640792629977,0.12700686548589185,0.010287704898696633,0.08139865717063229,0.13060519340611973,0.30371974599111284,0.07103200240743128,0.019457487826451934,0.07734360255532832,0.30615560574422707,0.0,0.0,6.0,-6.0,2.0,-1.0,-3.0,2.0
DE LOS LAGOS,PUYEHUE (ENTRE LAGOS),ESCUELA ENTRE LAGOS,19V,2,22,20,57,4,16,0,1,16,1,1,4,23,19,13,13,8,6,13,9,10,10,3,3,2,1,138,35,-1,-1,1,18,21,51,6,2,12,27,87,51,0.005724476147304837,0.16166168187505014,0.1687888090846144,0.4094358741937644,0.029420384523233284,0.012405500763841285,0.08555640792629977,0.12700686548589185,0.010287704898696633,0.08139865717063229,0.13060519340611973,0.30371974599111284,0.07103200240743128,0.019457487826451934,0.07734360255532832,0.30615560574422707,1.0,4.0,-1.0,6.0,-2.0,-1.0,4.0,-11.0
