REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,RAHUE,ESCUELA 88 CANADA,10M,4,31,39,50,8,11,0,1,25,1,3,8,7,8,13,16,11,36,5,37,5,13,2,4,1,0,169,53,-1,-1,3,33,36,45,10,2,14,26,102,67,0.017950951020244885,0.2747898535413796,0.2359398964759798,0.25076944661547335,0.05921389861345699,0.008393359950070949,0.07013045781791026,0.08281213596548433,0.010292449269818729,0.06831749992380898,0.17983927441356726,0.29327637701360837,0.05867535755390597,0.01906906611576156,0.10765226222234277,0.2628777134871863,1.0,-2.0,3.0,5.0,-2.0,-1.0,-3.0,-1.0
DE LOS LAGOS,RAHUE,ESCUELA 88 CANADA,11M,2,42,39,44,9,19,0,1,25,1,2,10,10,9,19,22,8,58,3,22,4,10,0,2,0,1,181,53,-1,-1,3,41,40,47,11,2,14,23,138,42,0.017950951020244885,0.2747898535413796,0.2359398964759798,0.25076944661547335,0.05921389861345699,0.008393359950070949,0.07013045781791026,0.08281213596548433,0.010292449269818729,0.06831749992380898,0.17983927441356726,0.29327637701360837,0.05867535755390597,0.01906906611576156,0.10765226222234277,0.2628777134871863,-1.0,1.0,-1.0,-3.0,-2.0,-1.0,5.0,2.0
DE LOS LAGOS,RAHUE,ESCUELA 88 CANADA,12M,2,26,27,43,9,15,1,1,19,2,2,2,5,9,12,16,8,48,1,23,0,11,0,4,0,2,143,53,-1,-1,2,31,31,38,8,2,12,19,102,41,0.017950951020244885,0.2747898535413796,0.2359398964759798,0.25076944661547335,0.05921389861345699,0.008393359950070949,0.07013045781791026,0.08281213596548433,0.010292449269818729,0.06831749992380898,0.17983927441356726,0.29327637701360837,0.05867535755390597,0.01906906611576156,0.10765226222234277,0.2628777134871863,0.0,-5.0,-4.0,5.0,1.0,0.0,3.0,0.0
DE LOS LAGOS,RAHUE,ESCUELA 88 CANADA,13M,1,39,24,38,5,12,0,0,31,0,5,3,7,6,12,29,5,39,1,17,0,15,3,6,0,2,150,53,-1,-1,2,32,33,40,9,2,12,20,106,44,0.017950951020244885,0.2747898535413796,0.2359398964759798,0.25076944661547335,0.05921389861345699,0.008393359950070949,0.07013045781791026,0.08281213596548433,0.010292449269818729,0.06831749992380898,0.17983927441356726,0.29327637701360837,0.05867535755390597,0.01906906611576156,0.10765226222234277,0.2628777134871863,-1.0,7.0,-9.0,-2.0,-4.0,-2.0,0.0,11.0
DE LOS LAGOS,RAHUE,ESCUELA 88 CANADA,14M,2,25,27,37,7,15,1,2,23,3,0,6,9,10,6,29,7,20,1,22,2,16,1,8,0,2,139,53,-1,-1,2,27,30,37,8,2,12,21,87,52,0.017950951020244885,0.2747898535413796,0.2359398964759798,0.25076944661547335,0.05921389861345699,0.008393359950070949,0.07013045781791026,0.08281213596548433,0.010292449269818729,0.06831749992380898,0.17983927441356726,0.29327637701360837,0.05867535755390597,0.01906906611576156,0.10765226222234277,0.2628777134871863,0.0,-2.0,-3.0,0.0,-1.0,1.0,3.0,2.0
DE LOS LAGOS,RAHUE,ESCUELA 88 CANADA,15M,2,38,29,42,15,15,0,0,34,0,4,5,5,15,6,26,4,31,5,37,4,18,1,8,0,6,175,53,-1,-1,3,32,37,47,10,2,15,29,96,79,0.017950951020244885,0.2747898535413796,0.2359398964759798,0.25076944661547335,0.05921389861345699,0.008393359950070949,0.07013045781791026,0.08281213596548433,0.010292449269818729,0.06831749992380898,0.17983927441356726,0.29327637701360837,0.05867535755390597,0.01906906611576156,0.10765226222234277,0.2628777134871863,-1.0,6.0,-8.0,-5.0,5.0,-2.0,0.0,5.0
DE LOS LAGOS,RAHUE,ESCUELA 88 CANADA,16M,2,37,32,26,7,13,0,2,10,2,3,7,7,11,41,41,2,4,6,2,1,2,1,1,0,0,129,53,-1,-1,2,33,30,33,8,1,9,13,116,13,0.017950951020244885,0.2747898535413796,0.2359398964759798,0.25076944661547335,0.05921389861345699,0.008393359950070949,0.07013045781791026,0.08281213596548433,0.010292449269818729,0.06831749992380898,0.17983927441356726,0.29327637701360837,0.05867535755390597,0.01906906611576156,0.10765226222234277,0.2628777134871863,0.0,4.0,2.0,-7.0,-1.0,1.0,4.0,-3.0
DE LOS LAGOS,RAHUE,ESCUELA 88 CANADA,1M,2,18,27,31,13,16,1,1,32,2,2,2,8,10,4,11,4,10,12,37,1,25,1,8,2,4,141,53,-1,-1,2,20,28,39,9,2,13,28,51,90,0.017950951020244885,0.2747898535413796,0.2359398964759798,0.25076944661547335,0.05921389861345699,0.008393359950070949,0.07013045781791026,0.08281213596548433,0.010292449269818729,0.06831749992380898,0.17983927441356726,0.29327637701360837,0.05867535755390597,0.01906906611576156,0.10765226222234277,0.2628777134871863,0.0,-2.0,-1.0,-8.0,4.0,0.0,3.0,4.0
DE LOS LAGOS,RAHUE,ESCUELA 88 CANADA,2M,2,14,25,35,8,14,1,2,19,3,9,0,5,9,4,8,3,3,2,34,1,24,4,8,1,5,120,53,-1,-1,2,17,24,33,7,2,11,24,41,79,0.017950951020244885,0.2747898535413796,0.2359398964759798,0.25076944661547335,0.05921389861345699,0.008393359950070949,0.07013045781791026,0.08281213596548433,0.010292449269818729,0.06831749992380898,0.17983927441356726,0.29327637701360837,0.05867535755390597,0.01906906611576156,0.10765226222234277,0.2628777134871863,0.0,-3.0,1.0,2.0,1.0,1.0,3.0,-5.0
DE LOS LAGOS,RAHUE,ESCUELA 88 CANADA,3M,1,21,23,34,7,11,0,1,31,1,8,3,7,8,4,4,5,4,4,30,7,32,0,10,0,4,129,53,-1,-1,2,18,26,36,7,2,12,26,43,87,0.017950951020244885,0.2747898535413796,0.2359398964759798,0.25076944661547335,0.05921389861345699,0.008393359950070949,0.07013045781791026,0.08281213596548433,0.010292449269818729,0.06831749992380898,0.17983927441356726,0.29327637701360837,0.05867535755390597,0.01906906611576156,0.10765226222234277,0.2628777134871863,-1.0,3.0,-3.0,-2.0,0.0,-1.0,-1.0,5.0
