REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,RIO NEGRO,ESCUELA ANDREW JACKSON,13M,1,18,21,57,11,12,0,1,27,1,0,3,34,6,4,6,2,22,0,52,0,9,0,10,0,0,148,40,-1,-1,1,20,21,50,7,3,16,30,77,71,0.009133105750908881,0.18592169342989476,0.13564136981345246,0.35332615820974994,0.06373111254157522,0.011316024748701994,0.08969688733501889,0.15123364817069784,0.006459089500750153,0.07849916575991148,0.15064227616800147,0.3263599258212049,0.03169927164969402,0.024971042042665228,0.12381108073277293,0.25755814832499985,0.0,-2.0,0.0,7.0,4.0,-2.0,-4.0,-3.0
DE LOS LAGOS,RIO NEGRO,ESCUELA ANDREW JACKSON,14M,4,26,21,44,7,13,0,2,34,2,2,2,32,3,3,0,4,47,0,34,1,15,0,7,0,1,151,40,-1,-1,1,22,21,52,8,2,16,29,93,58,0.009133105750908881,0.18592169342989476,0.13564136981345246,0.35332615820974994,0.06373111254157522,0.011316024748701994,0.08969688733501889,0.15123364817069784,0.006459089500750153,0.07849916575991148,0.15064227616800147,0.3263599258212049,0.03169927164969402,0.024971042042665228,0.12381108073277293,0.25755814832499985,3.0,4.0,0.0,-8.0,-1.0,0.0,-3.0,5.0
DE LOS LAGOS,RIO NEGRO,ESCUELA ANDREW JACKSON,15M,2,20,12,47,12,27,1,1,38,2,2,1,10,6,4,6,10,68,6,25,1,12,0,5,2,2,160,40,-1,-1,1,24,22,55,9,3,16,30,107,53,0.009133105750908881,0.18592169342989476,0.13564136981345246,0.35332615820974994,0.06373111254157522,0.011316024748701994,0.08969688733501889,0.15123364817069784,0.006459089500750153,0.07849916575991148,0.15064227616800147,0.3263599258212049,0.03169927164969402,0.024971042042665228,0.12381108073277293,0.25755814832499985,1.0,-4.0,-10.0,-8.0,3.0,-1.0,11.0,8.0
DE LOS LAGOS,RIO NEGRO,ESCUELA ANDREW JACKSON,15V,1,14,23,53,4,12,0,2,18,2,2,2,12,15,1,3,50,5,15,4,9,1,5,0,3,0,127,40,-1,-1,1,19,18,44,7,2,13,23,90,37,0.009133105750908881,0.18592169342989476,0.13564136981345246,0.35332615820974994,0.06373111254157522,0.011316024748701994,0.08969688733501889,0.15123364817069784,0.006459089500750153,0.07849916575991148,0.15064227616800147,0.3263599258212049,0.03169927164969402,0.024971042042665228,0.12381108073277293,0.25755814832499985,0.0,-5.0,5.0,9.0,-3.0,0.0,-1.0,-5.0
DE LOS LAGOS,RIO NEGRO,ESCUELA ANDREW JACKSON,16M,1,23,18,60,10,16,3,0,40,3,1,1,8,10,4,7,1,75,0,30,0,17,3,13,0,1,171,40,-1,-1,1,25,24,59,9,3,17,33,107,64,0.009133105750908881,0.18592169342989476,0.13564136981345246,0.35332615820974994,0.06373111254157522,0.011316024748701994,0.08969688733501889,0.15123364817069784,0.006459089500750153,0.07849916575991148,0.15064227616800147,0.3263599258212049,0.03169927164969402,0.024971042042665228,0.12381108073277293,0.25755814832499985,0.0,-2.0,-6.0,1.0,1.0,0.0,-1.0,7.0
DE LOS LAGOS,RIO NEGRO,ESCUELA ANDREW JACKSON,16V,0,14,20,45,9,10,0,1,18,1,3,2,15,14,2,4,34,4,13,4,8,3,6,1,4,0,117,40,-1,-1,1,18,16,40,6,2,12,22,78,39,0.009133105750908881,0.18592169342989476,0.13564136981345246,0.35332615820974994,0.06373111254157522,0.011316024748701994,0.08969688733501889,0.15123364817069784,0.006459089500750153,0.07849916575991148,0.15064227616800147,0.3263599258212049,0.03169927164969402,0.024971042042665228,0.12381108073277293,0.25755814832499985,-1.0,-4.0,4.0,5.0,3.0,-1.0,-2.0,-4.0
DE LOS LAGOS,RIO NEGRO,ESCUELA ANDREW JACKSON,17M,2,21,26,54,7,19,0,1,32,1,1,0,9,17,6,38,2,32,3,32,1,8,0,10,0,3,162,40,-1,-1,1,24,23,56,8,3,16,31,105,57,0.009133105750908881,0.18592169342989476,0.13564136981345246,0.35332615820974994,0.06373111254157522,0.011316024748701994,0.08969688733501889,0.15123364817069784,0.006459089500750153,0.07849916575991148,0.15064227616800147,0.3263599258212049,0.03169927164969402,0.024971042042665228,0.12381108073277293,0.25755814832499985,1.0,-3.0,3.0,-2.0,-1.0,-2.0,3.0,1.0
DE LOS LAGOS,RIO NEGRO,ESCUELA ANDREW JACKSON,17V,1,25,18,51,8,12,1,1,28,2,2,0,18,14,2,6,66,2,12,2,10,3,6,1,0,1,145,40,-1,-1,1,23,20,51,8,2,14,26,110,35,0.009133105750908881,0.18592169342989476,0.13564136981345246,0.35332615820974994,0.06373111254157522,0.011316024748701994,0.08969688733501889,0.15123364817069784,0.006459089500750153,0.07849916575991148,0.15064227616800147,0.3263599258212049,0.03169927164969402,0.024971042042665228,0.12381108073277293,0.25755814832499985,0.0,2.0,-2.0,0.0,0.0,0.0,-2.0,2.0
DE LOS LAGOS,RIO NEGRO,ESCUELA ANDREW JACKSON,18M,3,23,25,56,10,18,1,2,28,3,3,2,7,5,5,50,3,32,2,28,1,14,2,9,0,2,166,40,-1,-1,1,25,23,57,9,3,17,31,107,58,0.009133105750908881,0.18592169342989476,0.13564136981345246,0.35332615820974994,0.06373111254157522,0.011316024748701994,0.08969688733501889,0.15123364817069784,0.006459089500750153,0.07849916575991148,0.15064227616800147,0.3263599258212049,0.03169927164969402,0.024971042042665228,0.12381108073277293,0.25755814832499985,2.0,-2.0,2.0,-1.0,1.0,0.0,1.0,-3.0
DE LOS LAGOS,RIO NEGRO,ESCUELA ANDREW JACKSON,18V,0,19,22,57,7,7,1,0,26,1,2,3,10,13,6,7,51,3,13,2,12,0,11,2,4,0,139,40,-1,-1,1,21,20,48,7,2,14,26,95,44,0.009133105750908881,0.18592169342989476,0.13564136981345246,0.35332615820974994,0.06373111254157522,0.011316024748701994,0.08969688733501889,0.15123364817069784,0.006459089500750153,0.07849916575991148,0.15064227616800147,0.3263599258212049,0.03169927164969402,0.024971042042665228,0.12381108073277293,0.25755814832499985,-1.0,-2.0,2.0,9.0,0.0,-1.0,-7.0,0.0
