REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,SAN JUAN DE LA COSTA,LICEO POLITECNICO ANTULAFKEN,11V,1,15,14,27,10,12,0,2,31,2,1,1,5,5,14,5,22,2,24,0,16,1,6,1,9,0,112,18,-1,-1,2,16,19,26,7,2,9,31,55,57,0.009023195677628309,0.17997696274156533,0.22674305722037283,0.2258485168086061,0.06379849277451687,0.001982926438163579,0.06827863834295578,0.22434820999619118,0.01955292735518276,0.10156107538867762,0.11121239603475162,0.23590436375952104,0.055026547251369254,0.03845097668777087,0.1023538386962154,0.33593787482651144,-1.0,-1.0,-5.0,1.0,3.0,0.0,3.0,0.0
DE LOS LAGOS,SAN JUAN DE LA COSTA,LICEO POLITECNICO ANTULAFKEN,12V,3,19,32,21,4,8,0,1,34,1,0,0,6,11,19,7,22,7,13,6,11,4,7,2,7,0,122,18,-1,-1,2,18,22,28,7,2,10,33,72,50,0.009023195677628309,0.17997696274156533,0.22674305722037283,0.2258485168086061,0.06379849277451687,0.001982926438163579,0.06827863834295578,0.22434820999619118,0.01955292735518276,0.10156107538867762,0.11121239603475162,0.23590436375952104,0.055026547251369254,0.03845097668777087,0.1023538386962154,0.33593787482651144,1.0,1.0,10.0,-7.0,-3.0,-1.0,-2.0,1.0
DE LOS LAGOS,SAN JUAN DE LA COSTA,LICEO POLITECNICO ANTULAFKEN,1M,2,8,4,19,7,7,0,3,29,3,1,1,1,3,2,1,1,0,0,24,0,19,3,21,0,2,79,18,-1,-1,1,9,10,19,4,3,8,25,10,69,0.009023195677628309,0.17997696274156533,0.22674305722037283,0.2258485168086061,0.06379849277451687,0.001982926438163579,0.06827863834295578,0.22434820999619118,0.01955292735518276,0.10156107538867762,0.11121239603475162,0.23590436375952104,0.055026547251369254,0.03845097668777087,0.1023538386962154,0.33593787482651144,1.0,-1.0,-6.0,0.0,3.0,0.0,-1.0,4.0
DE LOS LAGOS,SAN JUAN DE LA COSTA,LICEO POLITECNICO ANTULAFKEN,1V,1,7,12,21,2,6,1,2,34,3,1,1,2,1,0,1,0,2,18,3,22,5,16,0,13,1,86,18,-1,-1,2,9,10,20,5,3,9,28,8,78,0.009023195677628309,0.17997696274156533,0.22674305722037283,0.2258485168086061,0.06379849277451687,0.001982926438163579,0.06827863834295578,0.22434820999619118,0.01955292735518276,0.10156107538867762,0.11121239603475162,0.23590436375952104,0.055026547251369254,0.03845097668777087,0.1023538386962154,0.33593787482651144,-1.0,-2.0,2.0,1.0,-3.0,0.0,-3.0,6.0
DE LOS LAGOS,SAN JUAN DE LA COSTA,LICEO POLITECNICO ANTULAFKEN,2M,1,7,16,15,4,10,2,3,20,5,1,1,1,6,1,1,4,3,13,8,6,12,3,13,1,4,78,18,-1,-1,1,9,11,18,5,2,8,24,18,60,0.009023195677628309,0.17997696274156533,0.22674305722037283,0.2258485168086061,0.06379849277451687,0.001982926438163579,0.06827863834295578,0.22434820999619118,0.01955292735518276,0.10156107538867762,0.11121239603475162,0.23590436375952104,0.055026547251369254,0.03845097668777087,0.1023538386962154,0.33593787482651144,0.0,-2.0,5.0,-3.0,-1.0,3.0,2.0,-4.0
DE LOS LAGOS,SAN JUAN DE LA COSTA,LICEO POLITECNICO ANTULAFKEN,2V,1,12,10,19,5,10,0,0,21,0,0,0,2,4,0,0,1,26,16,4,11,0,8,0,5,1,78,18,-1,-1,1,10,12,18,5,2,7,23,33,45,0.009023195677628309,0.17997696274156533,0.22674305722037283,0.2258485168086061,0.06379849277451687,0.001982926438163579,0.06827863834295578,0.22434820999619118,0.01955292735518276,0.10156107538867762,0.11121239603475162,0.23590436375952104,0.055026547251369254,0.03845097668777087,0.1023538386962154,0.33593787482651144,0.0,2.0,-2.0,1.0,0.0,-2.0,3.0,-2.0
DE LOS LAGOS,SAN JUAN DE LA COSTA,LICEO POLITECNICO ANTULAFKEN,3M,2,9,23,17,3,7,0,0,34,0,0,3,2,3,0,0,35,1,6,19,1,12,1,11,0,1,95,18,-1,-1,1,13,16,22,6,2,8,27,44,51,0.009023195677628309,0.17997696274156533,0.22674305722037283,0.2258485168086061,0.06379849277451687,0.001982926438163579,0.06827863834295578,0.22434820999619118,0.01955292735518276,0.10156107538867762,0.11121239603475162,0.23590436375952104,0.055026547251369254,0.03845097668777087,0.1023538386962154,0.33593787482651144,1.0,-4.0,7.0,-5.0,-3.0,-2.0,-1.0,7.0
DE LOS LAGOS,SAN JUAN DE LA COSTA,LICEO POLITECNICO ANTULAFKEN,3V,1,13,19,23,9,8,1,2,42,3,0,2,0,0,2,23,0,44,17,2,16,1,8,0,3,0,118,18,-1,-1,2,17,21,27,7,2,10,32,71,47,0.009023195677628309,0.17997696274156533,0.22674305722037283,0.2258485168086061,0.06379849277451687,0.001982926438163579,0.06827863834295578,0.22434820999619118,0.01955292735518276,0.10156107538867762,0.11121239603475162,0.23590436375952104,0.055026547251369254,0.03845097668777087,0.1023538386962154,0.33593787482651144,-1.0,-4.0,-2.0,-4.0,2.0,1.0,-2.0,10.0
DE LOS LAGOS,SAN JUAN DE LA COSTA,LICEO POLITECNICO ANTULAFKEN,4M,1,14,16,22,6,8,1,3,28,4,0,0,3,2,29,0,20,1,4,11,3,13,1,9,0,3,99,18,-1,-1,1,15,17,23,6,2,8,27,55,44,0.009023195677628309,0.17997696274156533,0.22674305722037283,0.2258485168086061,0.06379849277451687,0.001982926438163579,0.06827863834295578,0.22434820999619118,0.01955292735518276,0.10156107538867762,0.11121239603475162,0.23590436375952104,0.055026547251369254,0.03845097668777087,0.1023538386962154,0.33593787482651144,0.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,1.0
DE LOS LAGOS,SAN JUAN DE LA COSTA,LICEO POLITECNICO ANTULAFKEN,4V,1,14,17,22,6,7,1,0,28,1,0,0,3,8,1,57,2,5,11,0,6,0,2,1,0,0,96,18,-1,-1,1,16,19,22,6,1,7,24,76,20,0.009023195677628309,0.17997696274156533,0.22674305722037283,0.2258485168086061,0.06379849277451687,0.001982926438163579,0.06827863834295578,0.22434820999619118,0.01955292735518276,0.10156107538867762,0.11121239603475162,0.23590436375952104,0.055026547251369254,0.03845097668777087,0.1023538386962154,0.33593787482651144,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,4.0
