REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,SAN PABLO,ESCUELA DELICIO CARDENAS BUSTAMANTE,10M,2,23,35,45,12,19,1,3,26,4,1,1,8,2,7,46,1,27,4,32,2,21,1,9,2,2,166,25,-1,-1,2,21,26,58,9,3,15,32,93,73,0.009867787147612174,0.19571973780711824,0.19299153898391405,0.3981819510440346,0.05629927167674134,0.013655696154894929,0.05392198966568299,0.07936202752000175,0.010930276635345683,0.04128560693392999,0.10889547405008376,0.2891020494497237,0.05676388322302258,0.0169822535439741,0.140119909980654,0.3359205461832662,0.0,2.0,9.0,-13.0,3.0,1.0,4.0,-6.0
DE LOS LAGOS,SAN PABLO,ESCUELA DELICIO CARDENAS BUSTAMANTE,11M,4,21,21,70,7,24,0,2,27,2,0,3,11,9,2,47,4,32,7,22,3,20,1,8,0,7,176,25,-1,-1,2,24,28,63,10,3,15,31,108,68,0.009867787147612174,0.19571973780711824,0.19299153898391405,0.3981819510440346,0.05629927167674134,0.013655696154894929,0.05392198966568299,0.07936202752000175,0.010930276635345683,0.04128560693392999,0.10889547405008376,0.2891020494497237,0.05676388322302258,0.0169822535439741,0.140119909980654,0.3359205461832662,2.0,-3.0,-7.0,7.0,-3.0,-1.0,9.0,-4.0
DE LOS LAGOS,SAN PABLO,ESCUELA DELICIO CARDENAS BUSTAMANTE,12M,2,23,20,46,9,7,0,2,22,2,0,3,44,9,11,18,4,5,7,9,7,9,1,4,0,0,131,25,-1,-1,1,20,22,48,8,2,10,20,94,37,0.009867787147612174,0.19571973780711824,0.19299153898391405,0.3981819510440346,0.05629927167674134,0.013655696154894929,0.05392198966568299,0.07936202752000175,0.010930276635345683,0.04128560693392999,0.10889547405008376,0.2891020494497237,0.05676388322302258,0.0169822535439741,0.140119909980654,0.3359205461832662,1.0,3.0,-2.0,-2.0,1.0,0.0,-3.0,2.0
DE LOS LAGOS,SAN PABLO,ESCUELA DELICIO CARDENAS BUSTAMANTE,1M,1,6,19,49,3,18,1,3,26,4,3,0,6,18,4,2,3,1,1,19,2,37,1,22,1,6,126,25,-1,-1,1,11,17,40,7,2,15,33,37,89,0.009867787147612174,0.19571973780711824,0.19299153898391405,0.3981819510440346,0.05629927167674134,0.013655696154894929,0.05392198966568299,0.07936202752000175,0.010930276635345683,0.04128560693392999,0.10889547405008376,0.2891020494497237,0.05676388322302258,0.0169822535439741,0.140119909980654,0.3359205461832662,0.0,-5.0,2.0,9.0,-4.0,2.0,3.0,-7.0
DE LOS LAGOS,SAN PABLO,ESCUELA DELICIO CARDENAS BUSTAMANTE,2M,3,15,17,49,11,16,1,1,40,2,2,3,7,15,2,3,4,2,4,21,5,40,9,24,1,11,153,25,-1,-1,2,12,20,48,9,2,18,42,38,115,0.009867787147612174,0.19571973780711824,0.19299153898391405,0.3981819510440346,0.05629927167674134,0.013655696154894929,0.05392198966568299,0.07936202752000175,0.010930276635345683,0.04128560693392999,0.10889547405008376,0.2891020494497237,0.05676388322302258,0.0169822535439741,0.140119909980654,0.3359205461832662,1.0,3.0,-3.0,1.0,2.0,0.0,-2.0,-2.0
DE LOS LAGOS,SAN PABLO,ESCUELA DELICIO CARDENAS BUSTAMANTE,3M,3,9,14,40,7,20,0,2,42,2,1,1,3,6,2,3,2,3,14,32,5,29,2,25,2,7,137,25,-1,-1,1,9,17,42,8,2,17,41,21,116,0.009867787147612174,0.19571973780711824,0.19299153898391405,0.3981819510440346,0.05629927167674134,0.013655696154894929,0.05392198966568299,0.07936202752000175,0.010930276635345683,0.04128560693392999,0.10889547405008376,0.2891020494497237,0.05676388322302258,0.0169822535439741,0.140119909980654,0.3359205461832662,2.0,0.0,-3.0,-2.0,-1.0,0.0,3.0,1.0
DE LOS LAGOS,SAN PABLO,ESCUELA DELICIO CARDENAS BUSTAMANTE,4M,1,5,12,48,13,15,0,4,31,4,2,0,5,5,2,0,13,2,10,39,2,28,0,15,0,7,129,25,-1,-1,1,10,17,40,7,2,16,36,29,101,0.009867787147612174,0.19571973780711824,0.19299153898391405,0.3981819510440346,0.05629927167674134,0.013655696154894929,0.05392198966568299,0.07936202752000175,0.010930276635345683,0.04128560693392999,0.10889547405008376,0.2891020494497237,0.05676388322302258,0.0169822535439741,0.140119909980654,0.3359205461832662,0.0,-5.0,-5.0,8.0,6.0,2.0,-1.0,-5.0
DE LOS LAGOS,SAN PABLO,ESCUELA DELICIO CARDENAS BUSTAMANTE,5M,1,14,22,46,6,23,1,1,26,2,1,0,2,2,3,6,26,1,5,37,2,33,2,15,0,4,140,25,-1,-1,2,12,19,45,8,2,16,36,41,98,0.009867787147612174,0.19571973780711824,0.19299153898391405,0.3981819510440346,0.05629927167674134,0.013655696154894929,0.05392198966568299,0.07936202752000175,0.010930276635345683,0.04128560693392999,0.10889547405008376,0.2891020494497237,0.05676388322302258,0.0169822535439741,0.140119909980654,0.3359205461832662,-1.0,2.0,3.0,1.0,-2.0,0.0,7.0,-10.0
DE LOS LAGOS,SAN PABLO,ESCUELA DELICIO CARDENAS BUSTAMANTE,6M,0,20,25,45,9,16,1,1,41,2,3,2,6,5,23,3,3,12,4,48,1,25,4,14,0,5,158,25,-1,-1,2,15,22,52,9,3,17,38,57,101,0.009867787147612174,0.19571973780711824,0.19299153898391405,0.3981819510440346,0.05629927167674134,0.013655696154894929,0.05392198966568299,0.07936202752000175,0.010930276635345683,0.04128560693392999,0.10889547405008376,0.2891020494497237,0.05676388322302258,0.0169822535439741,0.140119909980654,0.3359205461832662,-2.0,5.0,3.0,-7.0,0.0,-1.0,-1.0,3.0
DE LOS LAGOS,SAN PABLO,ESCUELA DELICIO CARDENAS BUSTAMANTE,7M,2,22,21,58,7,13,0,1,28,1,0,2,2,1,39,3,2,37,3,29,3,13,2,13,0,3,152,25,-1,-1,2,19,24,53,9,2,14,29,86,66,0.009867787147612174,0.19571973780711824,0.19299153898391405,0.3981819510440346,0.05629927167674134,0.013655696154894929,0.05392198966568299,0.07936202752000175,0.010930276635345683,0.04128560693392999,0.10889547405008376,0.2891020494497237,0.05676388322302258,0.0169822535439741,0.140119909980654,0.3359205461832662,0.0,3.0,-3.0,5.0,-2.0,-1.0,-1.0,-1.0
