REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS RIOS,CORRAL,ESCUELA BASICA DE CORRAL,1M,0,11,19,38,6,10,0,0,29,0,2,0,6,1,3,2,1,1,1,33,1,33,0,22,2,6,113,17,-1,-1,0,13,22,30,7,2,7,32,16,98,0.017659268020382958,0.1615106263034963,0.3453970851064416,0.20063412713226764,0.05212359352362012,0.016564047114054313,0.07280329022759337,0.13330796257214367,3.096987635588145e-05,0.11131317706400057,0.1668944503287604,0.2711865157471895,0.05875112238851841,0.0215042582334129,0.06064753482473304,0.30967197153702936,0.0,-2.0,-3.0,8.0,-1.0,-2.0,3.0,-3.0
DE LOS RIOS,CORRAL,ESCUELA BASICA DE CORRAL,1V,0,11,24,18,5,3,1,1,22,2,2,1,3,4,4,2,3,3,14,0,20,1,18,1,8,1,85,17,-1,-1,0,11,18,22,5,2,5,22,22,63,0.017659268020382958,0.1615106263034963,0.3453970851064416,0.20063412713226764,0.05212359352362012,0.016564047114054313,0.07280329022759337,0.13330796257214367,3.096987635588145e-05,0.11131317706400057,0.1668944503287604,0.2711865157471895,0.05875112238851841,0.0215042582334129,0.06064753482473304,0.30967197153702936,0.0,0.0,6.0,-4.0,0.0,0.0,-2.0,0.0
DE LOS RIOS,CORRAL,ESCUELA BASICA DE CORRAL,2M,0,16,23,16,6,10,0,2,33,2,1,1,8,8,1,1,2,2,0,29,4,26,0,14,1,8,106,17,-1,-1,0,13,22,27,6,2,7,29,24,82,0.017659268020382958,0.1615106263034963,0.3453970851064416,0.20063412713226764,0.05212359352362012,0.016564047114054313,0.07280329022759337,0.13330796257214367,3.096987635588145e-05,0.11131317706400057,0.1668944503287604,0.2711865157471895,0.05875112238851841,0.0215042582334129,0.06064753482473304,0.30967197153702936,0.0,3.0,1.0,-11.0,0.0,0.0,3.0,4.0
DE LOS RIOS,CORRAL,ESCUELA BASICA DE CORRAL,2V,0,12,18,21,7,6,2,1,40,3,1,1,3,2,1,6,2,12,24,2,21,0,24,0,9,0,107,17,-1,-1,1,13,23,27,6,2,7,28,28,80,0.017659268020382958,0.1615106263034963,0.3453970851064416,0.20063412713226764,0.05212359352362012,0.016564047114054313,0.07280329022759337,0.13330796257214367,3.096987635588145e-05,0.11131317706400057,0.1668944503287604,0.2711865157471895,0.05875112238851841,0.0215042582334129,0.06064753482473304,0.30967197153702936,-1.0,-1.0,-5.0,-6.0,1.0,1.0,-1.0,12.0
DE LOS RIOS,CORRAL,ESCUELA BASICA DE CORRAL,3M,0,17,14,36,8,6,3,2,33,5,2,1,3,9,2,2,9,3,5,31,0,34,1,12,0,5,119,17,-1,-1,1,15,25,30,7,2,8,31,31,88,0.017659268020382958,0.1615106263034963,0.3453970851064416,0.20063412713226764,0.05212359352362012,0.016564047114054313,0.07280329022759337,0.13330796257214367,3.096987635588145e-05,0.11131317706400057,0.1668944503287604,0.2711865157471895,0.05875112238851841,0.0215042582334129,0.06064753482473304,0.30967197153702936,-1.0,2.0,-11.0,6.0,1.0,3.0,-2.0,2.0
DE LOS RIOS,CORRAL,ESCUELA BASICA DE CORRAL,3V,4,11,27,41,4,13,2,0,28,2,4,1,5,12,2,25,1,4,24,2,25,1,17,1,6,0,130,17,-1,-1,1,17,31,31,7,3,9,31,54,76,0.017659268020382958,0.1615106263034963,0.3453970851064416,0.20063412713226764,0.05212359352362012,0.016564047114054313,0.07280329022759337,0.13330796257214367,3.096987635588145e-05,0.11131317706400057,0.1668944503287604,0.2711865157471895,0.05875112238851841,0.0215042582334129,0.06064753482473304,0.30967197153702936,3.0,-6.0,-4.0,10.0,-3.0,-1.0,4.0,-3.0
DE LOS RIOS,CORRAL,ESCUELA BASICA DE CORRAL,4M,1,14,25,37,9,8,0,0,34,0,1,0,4,2,13,5,6,1,4,42,2,24,2,15,0,7,128,17,-1,-1,1,16,27,32,7,3,8,34,32,96,0.017659268020382958,0.1615106263034963,0.3453970851064416,0.20063412713226764,0.05212359352362012,0.016564047114054313,0.07280329022759337,0.13330796257214367,3.096987635588145e-05,0.11131317706400057,0.1668944503287604,0.2711865157471895,0.05875112238851841,0.0215042582334129,0.06064753482473304,0.30967197153702936,0.0,-2.0,-2.0,5.0,2.0,-3.0,0.0,0.0
DE LOS RIOS,CORRAL,ESCUELA BASICA DE CORRAL,4V,2,20,49,29,7,9,6,1,27,7,3,0,7,41,6,5,3,4,38,1,23,1,11,1,6,0,150,17,-1,-1,1,20,37,36,9,3,10,34,69,81,0.017659268020382958,0.1615106263034963,0.3453970851064416,0.20063412713226764,0.05212359352362012,0.016564047114054313,0.07280329022759337,0.13330796257214367,3.096987635588145e-05,0.11131317706400057,0.1668944503287604,0.2711865157471895,0.05875112238851841,0.0215042582334129,0.06064753482473304,0.30967197153702936,1.0,0.0,12.0,-7.0,-2.0,4.0,-1.0,-7.0
DE LOS RIOS,CORRAL,ESCUELA BASICA DE CORRAL,5M,0,18,33,28,6,5,0,1,24,1,0,2,5,7,17,3,1,17,3,36,1,19,0,3,0,2,115,17,-1,-1,1,15,28,28,6,2,8,27,52,64,0.017659268020382958,0.1615106263034963,0.3453970851064416,0.20063412713226764,0.05212359352362012,0.016564047114054313,0.07280329022759337,0.13330796257214367,3.096987635588145e-05,0.11131317706400057,0.1668944503287604,0.2711865157471895,0.05875112238851841,0.0215042582334129,0.06064753482473304,0.30967197153702936,-1.0,3.0,5.0,0.0,0.0,-1.0,-3.0,-3.0
DE LOS RIOS,CORRAL,ESCUELA BASICA DE CORRAL,5V,0,23,33,30,6,5,3,1,31,4,1,0,14,16,3,3,13,4,42,0,21,3,9,0,2,0,132,17,-1,-1,1,17,32,32,7,3,9,31,54,77,0.017659268020382958,0.1615106263034963,0.3453970851064416,0.20063412713226764,0.05212359352362012,0.016564047114054313,0.07280329022759337,0.13330796257214367,3.096987635588145e-05,0.11131317706400057,0.1668944503287604,0.2711865157471895,0.05875112238851841,0.0215042582334129,0.06064753482473304,0.30967197153702936,-1.0,6.0,1.0,-2.0,-1.0,1.0,-4.0,0.0
