REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS RIOS,LAGO RANCO,LICEO ANTONIO VARAS,10V,0,15,13,38,6,8,0,0,15,0,1,4,4,7,1,0,44,0,17,2,9,2,4,0,0,0,95,23,-1,-1,1,14,19,33,5,2,9,12,61,34,0.01679234400365275,0.2013805201583638,0.2037799466342859,0.3355415102728297,0.06716876082195083,0.014496873704593972,0.0689844929571743,0.09185555144714874,0.006536848973868553,0.04190959390276723,0.18274896378568473,0.3763833437189467,0.024163755005918813,0.032718183708117826,0.15240054010641277,0.18313877079828336,-1.0,1.0,-6.0,5.0,1.0,-2.0,-1.0,3.0
DE LOS RIOS,LAGO RANCO,LICEO ANTONIO VARAS,11V,2,10,18,39,6,14,0,9,18,9,2,0,7,8,24,6,22,2,17,1,17,2,5,0,3,0,116,23,-1,-1,1,16,23,41,6,2,12,15,71,45,0.01679234400365275,0.2013805201583638,0.2037799466342859,0.3355415102728297,0.06716876082195083,0.014496873704593972,0.0689844929571743,0.09185555144714874,0.006536848973868553,0.04190959390276723,0.18274896378568473,0.3763833437189467,0.024163755005918813,0.032718183708117826,0.15240054010641277,0.18313877079828336,1.0,-6.0,-5.0,-2.0,0.0,7.0,2.0,3.0
DE LOS RIOS,LAGO RANCO,LICEO ANTONIO VARAS,12V,0,11,29,37,5,13,0,4,13,4,0,4,5,6,29,6,16,4,12,3,15,0,7,0,3,2,112,23,-1,-1,2,16,22,39,6,2,11,14,70,42,0.01679234400365275,0.2013805201583638,0.2037799466342859,0.3355415102728297,0.06716876082195083,0.014496873704593972,0.0689844929571743,0.09185555144714874,0.006536848973868553,0.04190959390276723,0.18274896378568473,0.3763833437189467,0.024163755005918813,0.032718183708117826,0.15240054010641277,0.18313877079828336,-2.0,-5.0,7.0,-2.0,-1.0,2.0,2.0,-1.0
DE LOS RIOS,LAGO RANCO,LICEO ANTONIO VARAS,13,1,21,15,24,6,1,0,0,6,0,0,1,40,10,4,8,2,4,1,0,0,2,1,1,0,0,74,23,-1,-1,1,14,15,25,5,1,6,7,69,5,0.01679234400365275,0.2013805201583638,0.2037799466342859,0.3355415102728297,0.06716876082195083,0.014496873704593972,0.0689844929571743,0.09185555144714874,0.006536848973868553,0.04190959390276723,0.18274896378568473,0.3763833437189467,0.024163755005918813,0.032718183708117826,0.15240054010641277,0.18313877079828336,0.0,7.0,0.0,-1.0,1.0,-1.0,-5.0,-1.0
DE LOS RIOS,LAGO RANCO,LICEO ANTONIO VARAS,1V,1,6,15,23,0,8,1,1,15,2,0,2,5,4,3,4,1,4,8,7,12,3,11,1,4,1,70,23,-1,-1,1,6,13,25,3,2,9,11,23,47,0.01679234400365275,0.2013805201583638,0.2037799466342859,0.3355415102728297,0.06716876082195083,0.014496873704593972,0.0689844929571743,0.09185555144714874,0.006536848973868553,0.04190959390276723,0.18274896378568473,0.3763833437189467,0.024163755005918813,0.032718183708117826,0.15240054010641277,0.18313877079828336,0.0,0.0,2.0,-2.0,-3.0,0.0,-1.0,4.0
DE LOS RIOS,LAGO RANCO,LICEO ANTONIO VARAS,2V,1,9,13,31,2,10,1,0,7,1,2,4,6,2,2,0,2,17,13,3,8,0,9,1,5,0,74,23,-1,-1,1,9,14,27,3,2,8,10,35,39,0.01679234400365275,0.2013805201583638,0.2037799466342859,0.3355415102728297,0.06716876082195083,0.014496873704593972,0.0689844929571743,0.09185555144714874,0.006536848973868553,0.04190959390276723,0.18274896378568473,0.3763833437189467,0.024163755005918813,0.032718183708117826,0.15240054010641277,0.18313877079828336,0.0,0.0,-1.0,4.0,-1.0,-1.0,2.0,-3.0
DE LOS RIOS,LAGO RANCO,LICEO ANTONIO VARAS,3V,2,10,16,31,5,8,0,2,19,2,0,2,5,9,6,10,2,18,16,1,13,1,9,1,0,0,93,23,-1,-1,1,12,18,33,5,2,10,12,52,41,0.01679234400365275,0.2013805201583638,0.2037799466342859,0.3355415102728297,0.06716876082195083,0.014496873704593972,0.0689844929571743,0.09185555144714874,0.006536848973868553,0.04190959390276723,0.18274896378568473,0.3763833437189467,0.024163755005918813,0.032718183708117826,0.15240054010641277,0.18313877079828336,1.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,7.0
DE LOS RIOS,LAGO RANCO,LICEO ANTONIO VARAS,4V,2,19,24,38,9,10,1,2,17,3,2,1,10,10,6,37,5,5,12,4,10,2,14,2,2,0,122,23,-1,-1,2,17,24,43,6,3,12,15,76,46,0.01679234400365275,0.2013805201583638,0.2037799466342859,0.3355415102728297,0.06716876082195083,0.014496873704593972,0.0689844929571743,0.09185555144714874,0.006536848973868553,0.04190959390276723,0.18274896378568473,0.3763833437189467,0.024163755005918813,0.032718183708117826,0.15240054010641277,0.18313877079828336,0.0,2.0,0.0,-5.0,3.0,0.0,-2.0,2.0
DE LOS RIOS,LAGO RANCO,LICEO ANTONIO VARAS,5V,1,21,19,37,2,17,1,1,9,2,0,2,6,10,0,52,4,5,9,1,12,2,3,1,1,0,108,23,-1,-1,2,17,21,37,6,2,10,13,79,29,0.01679234400365275,0.2013805201583638,0.2037799466342859,0.3355415102728297,0.06716876082195083,0.014496873704593972,0.0689844929571743,0.09185555144714874,0.006536848973868553,0.04190959390276723,0.18274896378568473,0.3763833437189467,0.024163755005918813,0.032718183708117826,0.15240054010641277,0.18313877079828336,-1.0,4.0,-2.0,0.0,-4.0,0.0,7.0,-4.0
DE LOS RIOS,LAGO RANCO,LICEO ANTONIO VARAS,6V,2,10,30,41,7,10,0,2,13,2,3,1,6,33,4,11,3,4,18,2,16,1,7,0,6,0,115,23,-1,-1,1,15,22,41,6,3,12,15,65,50,0.01679234400365275,0.2013805201583638,0.2037799466342859,0.3355415102728297,0.06716876082195083,0.014496873704593972,0.0689844929571743,0.09185555144714874,0.006536848973868553,0.04190959390276723,0.18274896378568473,0.3763833437189467,0.024163755005918813,0.032718183708117826,0.15240054010641277,0.18313877079828336,1.0,-5.0,8.0,0.0,1.0,-1.0,-2.0,-2.0
