REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS RIOS,MARIQUINA,COLEGIO SAN JOSE,16M,0,29,27,41,4,7,0,0,19,0,0,2,3,7,19,2,2,53,5,21,3,7,0,2,0,1,127,50,-1,-1,1,28,25,38,7,1,9,18,88,39,0.007962630302476133,0.2665972534435938,0.21529964355139478,0.2829770313576731,0.06177846963459437,0.003926997390150974,0.060497196121149184,0.10096077819896768,0.007975448327449222,0.1196116824097601,0.1538285900487411,0.3228883976012886,0.03165941156002809,0.029013538601280003,0.10598786957662136,0.22903506187483158,-1.0,1.0,2.0,3.0,-3.0,-1.0,-2.0,1.0
DE LOS RIOS,MARIQUINA,COLEGIO SAN JOSE,17M,0,20,22,60,13,9,1,0,15,1,2,2,4,7,18,2,3,49,2,30,0,12,0,6,0,3,140,50,-1,-1,1,29,27,42,7,2,11,21,87,53,0.007962630302476133,0.2665972534435938,0.21529964355139478,0.2829770313576731,0.06177846963459437,0.003926997390150974,0.060497196121149184,0.10096077819896768,0.007975448327449222,0.1196116824097601,0.1538285900487411,0.3228883976012886,0.03165941156002809,0.029013538601280003,0.10598786957662136,0.22903506187483158,-1.0,-9.0,-5.0,18.0,6.0,-1.0,-2.0,-6.0
DE LOS RIOS,MARIQUINA,COLEGIO SAN JOSE,18M,0,31,16,38,7,12,0,2,20,2,0,3,3,6,3,17,3,48,2,24,1,7,0,8,0,0,126,50,-1,-1,1,27,25,37,6,2,10,18,83,42,0.007962630302476133,0.2665972534435938,0.21529964355139478,0.2829770313576731,0.06177846963459437,0.003926997390150974,0.060497196121149184,0.10096077819896768,0.007975448327449222,0.1196116824097601,0.1538285900487411,0.3228883976012886,0.03165941156002809,0.029013538601280003,0.10598786957662136,0.22903506187483158,-1.0,4.0,-9.0,1.0,1.0,0.0,2.0,2.0
DE LOS RIOS,MARIQUINA,COLEGIO SAN JOSE,19M,1,31,22,37,9,20,1,0,25,1,3,2,5,4,8,41,0,43,1,21,1,12,1,3,0,0,146,50,-1,-1,1,33,29,43,8,1,11,20,106,39,0.007962630302476133,0.2665972534435938,0.21529964355139478,0.2829770313576731,0.06177846963459437,0.003926997390150974,0.060497196121149184,0.10096077819896768,0.007975448327449222,0.1196116824097601,0.1538285900487411,0.3228883976012886,0.03165941156002809,0.029013538601280003,0.10598786957662136,0.22903506187483158,0.0,-2.0,-7.0,-6.0,1.0,0.0,9.0,5.0
DE LOS RIOS,MARIQUINA,COLEGIO SAN JOSE,20M,1,33,30,41,12,9,1,1,25,2,1,3,5,11,7,41,3,36,1,20,1,13,2,7,1,1,153,50,-1,-1,1,34,30,45,8,2,12,21,107,46,0.007962630302476133,0.2665972534435938,0.21529964355139478,0.2829770313576731,0.06177846963459437,0.003926997390150974,0.060497196121149184,0.10096077819896768,0.007975448327449222,0.1196116824097601,0.1538285900487411,0.3228883976012886,0.03165941156002809,0.029013538601280003,0.10598786957662136,0.22903506187483158,0.0,-1.0,0.0,-4.0,4.0,0.0,-3.0,4.0
DE LOS RIOS,MARIQUINA,COLEGIO SAN JOSE,20V,1,24,32,44,5,10,0,2,14,2,2,1,18,15,4,5,37,4,18,0,15,1,7,1,3,0,132,50,-1,-1,1,28,26,39,7,2,10,19,86,45,0.007962630302476133,0.2665972534435938,0.21529964355139478,0.2829770313576731,0.06177846963459437,0.003926997390150974,0.060497196121149184,0.10096077819896768,0.007975448327449222,0.1196116824097601,0.1538285900487411,0.3228883976012886,0.03165941156002809,0.029013538601280003,0.10598786957662136,0.22903506187483158,0.0,-4.0,6.0,5.0,-2.0,0.0,0.0,-5.0
DE LOS RIOS,MARIQUINA,COLEGIO SAN JOSE,21M,0,32,27,47,8,19,0,0,19,0,1,0,4,8,6,52,1,38,2,18,0,12,0,7,0,2,152,50,-1,-1,1,34,30,45,8,2,11,21,110,41,0.007962630302476133,0.2665972534435938,0.21529964355139478,0.2829770313576731,0.06177846963459437,0.003926997390150974,0.060497196121149184,0.10096077819896768,0.007975448327449222,0.1196116824097601,0.1538285900487411,0.3228883976012886,0.03165941156002809,0.029013538601280003,0.10598786957662136,0.22903506187483158,-1.0,-2.0,-3.0,2.0,0.0,-2.0,8.0,-2.0
DE LOS RIOS,MARIQUINA,COLEGIO SAN JOSE,21V,1,28,18,46,4,10,1,1,12,2,0,3,8,17,15,5,29,1,21,1,10,1,7,0,3,0,121,50,-1,-1,1,26,23,36,6,2,9,18,78,43,0.007962630302476133,0.2665972534435938,0.21529964355139478,0.2829770313576731,0.06177846963459437,0.003926997390150974,0.060497196121149184,0.10096077819896768,0.007975448327449222,0.1196116824097601,0.1538285900487411,0.3228883976012886,0.03165941156002809,0.029013538601280003,0.10598786957662136,0.22903506187483158,0.0,2.0,-5.0,10.0,-2.0,0.0,1.0,-6.0
DE LOS RIOS,MARIQUINA,COLEGIO SAN JOSE,22M,1,40,29,43,6,7,0,1,22,1,3,1,10,11,10,47,5,26,3,16,1,11,1,5,0,0,149,50,-1,-1,1,34,30,44,8,1,11,20,113,37,0.007962630302476133,0.2665972534435938,0.21529964355139478,0.2829770313576731,0.06177846963459437,0.003926997390150974,0.060497196121149184,0.10096077819896768,0.007975448327449222,0.1196116824097601,0.1538285900487411,0.3228883976012886,0.03165941156002809,0.029013538601280003,0.10598786957662136,0.22903506187483158,0.0,6.0,-1.0,-1.0,-2.0,0.0,-4.0,2.0
DE LOS RIOS,MARIQUINA,COLEGIO SAN JOSE,22V,0,21,34,36,7,12,2,1,19,3,3,0,6,8,38,4,27,0,18,3,15,1,11,0,3,0,132,50,-1,-1,1,28,25,39,7,2,10,20,86,51,0.007962630302476133,0.2665972534435938,0.21529964355139478,0.2829770313576731,0.06177846963459437,0.003926997390150974,0.060497196121149184,0.10096077819896768,0.007975448327449222,0.1196116824097601,0.1538285900487411,0.3228883976012886,0.03165941156002809,0.029013538601280003,0.10598786957662136,0.22903506187483158,-1.0,-7.0,9.0,-3.0,0.0,1.0,2.0,-1.0
